Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;I;3;SAO PAULO;SP;44440;0;0;4155668;3948357;0;0;8104025;0;0;0;1433073;0;0;1433073;2405009;11942107;98;632420;12574625;5650;2195911;14776186
PINE - PRUDENCIAL;1000080374;b1;S3;I;2;SAO PAULO;SP;44440;118121;0;538971;6424293;0;0;7081384;3858834;297599;375698;62314;0;0;735611;49762;11725591;1751654;499000;13976245;13548;771253;14761046
BS2 - PRUDENCIAL;1000080422;b1;S3;I;2;BELO HORIZONTE;MG;44440;782813;0;158547;3987583;10831;19488;4959262;159003;82690;0;6929;0;0;89619;0;5207884;0;7873430;13081315;28594;684051;13793959
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;I;2;RIO DE JANEIRO;RJ;44440;168;0;0;0;0;0;168;0;0;0;0;0;0;0;0;168;0;4172778;4172946;0;9598523;13771469
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44440;1522451;1370254;0;8171812;0;0;11064517;37804;0;0;12711;0;0;12711;57855;11172887;0;421606;11594494;0;1632211;13226704
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44440;11166;0;52110;38658;0;0;101934;8310;0;0;1403054;0;0;1403054;0;1513299;0;8641667;10154966;0;3044072;13199038
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44440;0;0;912777;1614873;0;0;2527650;0;0;1156940;1789270;0;0;2946210;5514721;10988581;53859;257844;11300284;177757;1668632;13146674
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S3;I;2;SAO PAULO;SP;44440;0;0;555953;219443;0;0;775396;0;0;0;2094111;0;0;2094111;0;2869506;0;8399517;11269023;0;1293289;12562312
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;I;2;BELO HORIZONTE;MG;44440;445400;226583;229842;8297687;0;3131;9202644;71416;2707;66775;4244;0;0;73726;0;9347786;0;1558116;10905902;273;1158361;12064535
BOCOM - PRUDENCIAL;1000084624;b1;S3;I;3;SALVADOR;BA;44440;255909;0;570847;1042487;0;0;1869243;313046;57056;1756685;1539207;0;0;3352949;4594564;10129802;310609;782181;11222591;16535;815601;12054727
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;44440;82;0;118669;1170505;0;0;1289256;726435;0;0;0;0;0;0;2395481;4411172;3468951;2803642;10683765;0;1231577;11915342
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;I;2;SAO PAULO;SP;44440;172672;0;296150;7034914;0;0;7503736;795283;0;134492;382098;0;0;516590;251145;9066753;68183;1071163;10206099;6548;1175315;11387962
MIZUHO - PRUDENCIAL;1000080697;b1;S4;I;3;SAO PAULO;SP;44440;82858;0;142137;3423528;0;0;3648523;1274393;0;0;38466;0;0;38466;2781093;7742476;286570;2248052;10277098;683;796192;11073974
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44440;0;0;100492;0;0;2091021;2191514;0;21468;0;0;0;0;21468;0;2212981;0;138354;2351335;0;8634115;10985451
MERCADOPAGO PRUDENCIAL;1000084820;n1;S4;I;2;OSASCO;SP;44440;0;0;0;1947760;3266170;0;5213929;0;0;0;506574;0;0;506574;57;5720560;8041;4744700;10473302;0;463532;10936834
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;44440;0;0;0;25751;0;0;25751;0;0;0;0;0;0;0;144695;170445;0;9810794;9981240;0;663811;10645051
