Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
COOPERATIVA DE CRÉDITO CREDICAMPO LTDA.- SICOOB CREDICAMPO;21661202;b3S;I;2;ENTRE RIOS DE MINAS;MG;44440;Não;Sim;Sim;264804;NI;;S5
COOPERATIVA DE CRÉDITO CREDIBOM LTDA. - SICOOB CREDIBOM;21670187;b3S;I;2;BOM DESPACHO;MG;44440;Não;Sim;Sim;520591;NI;;S5
COOPERATIVA DE CRÉDITO DOS SERVIDORES DOS PODERES LEGISLATIVOS DO ESTADO DE MINAS GERAIS E DO SEU ÓRGÃO AUXILIAR LTDA. - SICOOB COFAL;21797311;b3S;I;2;BELO HORIZONTE;MG;44440;Não;Sim;Sim;239094;NI;;S5
COOPERATIVA DE CRÉDITO CREDINOR LTDA - SICOOB CREDINOR;21866694;b3S;I;2;MONTES CLAROS;MG;44440;Não;Sim;Sim;548806;NI;;S5
COOPERATIVA DE CREDITO CREDISUDESTE LTDA. - SICOOB CREDISUDESTE;22656789;b3S;I;2;MURIAE;MG;44440;Não;Sim;Sim;689859;NI;;S5
COOPERATIVA DE CRÉDITO CREDIVERTENTES LTDA. - SICOOB CREDIVERTENTES;22724710;b3S;I;2;SAO TIAGO;MG;44440;Não;Sim;Sim;630808;NI;;S5
COOPERATIVA DE CRÉDITO DA REGIÃO CENTRAL DE MINAS LTDA. - SICOOB UNIÃO CENTRAL;22749014;b3S;I;2;PARAOPEBA;MG;44440;Não;Sim;Sim;287161;NI;;S5
COOPERATIVA DE CRÉDITO CREDISETE LTDA. - SICOOB CREDISETE;22753982;b3S;I;2;SETE LAGOAS;MG;44440;Não;Sim;Sim;480665;NI;;S5
COOPERATIVA DE CRÉDITO NOSSOCRÉDITO LTDA - SICOOB NOSSOCRÉDITO;22760839;b3S;I;2;SAO SEBASTIAO DO PARAISO;MG;44440;Não;Sim;Sim;627239;NI;;S5
CREBEL - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DAS EMPRESAS BELGO BEKAERT - CREBEL LTDA.;23241540;b3S;I;2;CONTAGEM;MG;44440;Não;Sim;Sim;23696;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DE MATO GROSSO - SICOOB NORTE MT;23623636;b3S;I;2;SINOP;MT;44440;Não;Sim;Sim;457414;NI;;S5
COOPERATIVA DE CRÉDITO CREDICARPA LTDA. - SICOOB CREDICARPA;23949522;b3S;I;2;CARMO DO PARANAIBA;MG;44440;Não;Sim;Sim;446945;NI;;S5
COOPERATIVA DE CRÉDITO CREDINTER LTDA. - SICOOB CREDINTER;24048910;b3S;I;2;GUARANESIA;MG;44440;Não;Sim;Sim;487898;NI;;S5
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DAS EMPRESAS SIDERÚRGICAS, METALÚRGICAS E ELETRO-MECÂNICAS DE JOÃO MONLEVADE LTDA. - CREDIBELGO;24235459;b3S;I;2;JOAO MONLEVADE;MG;44440;Não;Sim;Sim;4762;NI;;S5
COOPERATIVA DE CRÉDITO SICOOB TRANSAMAZÔNICA;24431221;b3S;I;2;PACAJA;PA;44440;Não;Sim;Sim;126692;NI;;S5
COOPERATIVA DE CRÉDITO SICOOB IPÊ - SICOOB IPÊ;24610065;b3S;I;2;CAMPO GRANDE;MS;44440;Não;Sim;Sim;90756;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24795049;b3S;I;2;RIO VERDE;GO;44440;Não;Sim;Sim;3534424;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO PARANAÍBA LTDA.;24799033;b3S;I;2;QUIRINOPOLIS;GO;44440;Não;Sim;Sim;714346;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO ARAGUAIA LTDA.;24830879;b3S;I;2;MINEIROS;GO;44440;Não;Sim;Sim;630160;NI;;S5
COOPERATIVA DE CRÉDITO CREDIALP LTDA - SICOOB CREDIALP;25353939;b3S;I;2;ALPINOPOLIS;MG;44440;Não;Sim;Sim;189075;NI;;S5
COOPERATIVA DE CRÉDITO DOS INTEGRANTES DO PODER JUDICIÁRIO E DAS INSTITUIÇÕES JURÍDICAS DA UNIÃO EM MINAS GERAIS LTDA.   SICOOB COOPJUS;25363615;b3S;I;2;BELO HORIZONTE;MG;44440;Não;Sim;Sim;203540;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO MUCURI LTDA. - SICOOB CREDIVALE;25387655;b3S;I;2;TEOFILO OTONI;MG;44440;Não;Sim;Sim;348910;NI;;S5
COOPERATIVA DE CREDITO DO ALTO PARANAIBA E REGIÃO LTDA. - SICOOB CREDIPATOS;25387671;b3S;I;2;PATOS DE MINAS;MG;44440;Não;Sim;Sim;1129831;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL;25387713;b3S;I;2;PARA DE MINAS;MG;44440;Não;Sim;Sim;356344;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE DE MINAS LTDA. - SICOOB CREDICAF;25395435;b3S;I;2;LAJINHA;MG;44440;Não;Sim;Sim;671083;NI;;S5
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO VALE DO GORUTUBA LTDA - SICOOB CREDIVAG;25404542;b3S;I;2;JANAUBA;MG;44440;Não;Sim;Sim;137032;NI;;S5
COOPERATIVA DE CRÉDITO CREDIOESTE LTDA. - SICOOB CREDIOESTE;25420696;b3S;I;2;ABAETE;MG;44440;Não;Sim;Sim;265402;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE DIVINÓPOLIS LTDA - SICOOB CREDIVERDE;25528753;b3S;I;2;DIVINOPOLIS;MG;44440;Não;Sim;Sim;273782;NI;;S5
COOPERATIVA DE CRÉDITO CREDILUZ LTDA. - SICOOB CREDILUZ;25536764;b3S;I;2;LUZ;MG;44440;Não;Sim;Sim;354908;NI;;S5
COOPERATIVA DE POUPANÇA E CRÉDITO DO VALE DO RIO DOCE LTDA - SICOOB CREDIRIODOCE;25606237;b3S;I;2;GOVERNADOR VALADARES;MG;44440;Não;Sim;Sim;472423;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO RIO GRANDE LTDA. - SICOOB UBERABA;25683475;b3S;I;2;UBERABA;MG;44440;Não;Sim;Sim;273155;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CARMO DO RIO CLARO LTDA - SICOOB CREDICARMO;25743311;b3S;I;2;CARMO DO RIO CLARO;MG;44440;Não;Sim;Sim;155037;NI;;S5
COOPERATIVA DE CRÉDITO CREDIVAR LTDA. - SICOOB CREDIVAR;25798596;b3S;I;2;VARGINHA;MG;44440;Não;Sim;Sim;1307366;NI;;S5
COOPERATIVA DE CRÉDITO GUARANICREDI LTDA. - SICOOB GUARANICREDI;26014175;b3S;I;2;GUARANI;MG;44440;Não;Sim;Sim;259485;NI;;S5
COOPERATIVA DE CRÉDITO UNIÃO CENTRO OESTE LTDA. - SICOOB UNIÃO CENTRO OESTE;26072728;b3S;I;2;ARCOS;MG;44440;Não;Sim;Sim;233681;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DO ALTO SÃO FRANCISCO LTDA. - SICOOB CREDIPRATA;26178111;b3S;I;2;LAGOA DA PRATA;MG;44440;Não;Sim;Sim;280292;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO PONTAL DO TRIANGULO LTDA - SICOOB CREDIPONTAL;26178533;b3S;I;2;ITUIUTABA;MG;44440;Não;Sim;Sim;1060236;NI;;S5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO SUL DO MARANHÃO - SICREDI SUL DO MARANHÃO;26191078;b3S;I;2;IMPERATRIZ;MA;44440;Não;Sim;Sim;41238;NI;;S5
