cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;dez/15;25.746.925;263.075;2.114.223;3.969.232;4.469.471;1.024.492;290.448;1.496;12.132.436;25.262;310.551;787.214;1.191.570;324.558;150.211;3.130;2.792.496;82.634;1.495.080;1.623.031;39.205;19.088;11.786;4.307;3.275.130;108.889;3.120.310;351.165;1.741;19;1;0;3.582.124;0;0;0;0;0;0;0;0;103.710;571.890;1.380.606;687.426;221.853;89.835;17.138;3.072.459;5.350;63.230;27.327;23.317;2.619;76;0;121.918;2.848;152.434;537.175;70.014;6.803;1.088;0;770.362;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;dez/15;1,18%;2,69%;3,24%;3,54%;3,98%;2,59%;5,20%;0,17%;3,51%;1,62%;2,93%;3,11%;3,42%;1,44%;0,51%;0,04%;2,10%;2,00%;4,40%;13,12%;3,56%;8,91%;6,30%;2,64%;6,28%;6,28%;4,30%;1,67%;0,09%;0,00%;0,00%;0,00%;3,62%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,22%;3,02%;5,88%;2,45%;1,02%;0,71%;1,34%;2,68%;0,16%;0,14%;0,03%;0,01%;0,00%;0,00%;0,00%;0,02%;1,05%;1,82%;1,64%;0,75%;0,13%;0,02%;0,00%;1,26%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/15;1.174.238;0;287.457;506.122;76.363;11.288;833;0;882.063;0;887;2.273;3.334;0;0;0;6.495;0;319;21.467;9.105;0;0;0;30.891;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;28.368;129.667;63.138;254;87;164;221.681;0;1.697;22.709;5.360;2.120;1.222;0;33.108;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/15;0,05%;0,00%;0,44%;0,45%;0,07%;0,03%;0,01%;0,00%;0,26%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,17%;0,83%;0,00%;0,00%;0,00%;0,06%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,15%;0,55%;0,22%;0,00%;0,00%;0,01%;0,19%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;dez/15;406.583.608;43.693;115.725;447.497;305.530;26.111;108.000;0;1.046.555;9.218;71.001;223.814;397.836;232.149;55.495;0;989.513;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;704;5.486;14.464;24.501;4.672;1.535;0;51.362;824.517;16.020.929;40.298.454;89.631.215;75.244.021;148.682.396;28.333.564;399.035.097;14.794;270.312;715.061;1.510.045;1.287.456;1.663.215;199;5.461.082;0;0;0;0;0;0;0;0;
b4%;b4 - Banco de Desenvolvimento;dez/15;18,66%;0,45%;0,18%;0,40%;0,27%;0,07%;1,94%;0,00%;0,30%;0,59%;0,67%;0,88%;1,14%;1,03%;0,19%;0,00%;0,74%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,06%;0,09%;0,02%;0,01%;0,00%;0,04%;25,40%;35,88%;41,32%;47,78%;62,79%;68,85%;56,67%;55,52%;5,46%;3,22%;2,18%;16,12%;24,60%;33,89%;1,07%;8,95%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n1;n1 - Não Bancário de Crédito;dez/15;9.801.468;297.033;225.549;385.715;313.341;34.792;1.011;1;1.257.443;40.637;532.410;1.163.561;1.810.422;608.521;224.895;15.778;4.396.225;0;517;1.432;0;0;0;0;1.949;21.028;445.169;149.741;12.833;1.018;3.026;331;633.146;0;0;0;0;0;0;0;0;5.917;9.671;10.642;21.475;6.691;660;0;55.056;47.718;149.168;409.884;999.148;737.193;769.292;5.737;3.118.140;147;4.720;21.335;51.372;80.993;84.592;0;243.158;13;240;93.389;2.225;142;342;0;96.351;
n1%;n1 - Não Bancário de Crédito;dez/15;0,45%;3,03%;0,35%;0,34%;0,28%;0,09%;0,02%;0,00%;0,36%;2,60%;5,03%;4,60%;5,19%;2,71%;0,76%;0,19%;3,31%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;1,21%;0,61%;0,71%;0,66%;0,09%;0,88%;3,94%;0,64%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,07%;0,05%;0,05%;0,08%;0,03%;0,01%;0,00%;0,05%;1,47%;0,33%;0,42%;0,53%;0,62%;0,36%;0,01%;0,43%;0,05%;0,06%;0,06%;0,55%;1,55%;1,72%;0,00%;0,40%;0,00%;0,00%;0,67%;0,01%;0,00%;0,01%;0,00%;0,19%;
n2;n2 - Não Bancário de Mercado de Capitais;dez/15;725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;555;0;0;0;0;169;725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n2%;n2 - Não Bancário de Mercado de Capitais;dez/15;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
C;C - Conglomerado;dez/15;1.460.160.399;5.976.883;52.840.422;85.100.334;83.529.934;26.398.868;5.017.233;726.190;259.589.864;763.095;7.468.999;18.936.556;26.558.727;20.170.824;29.024.863;8.390.419;111.313.485;3.089.686;31.120.862;6.989.203;936.542;186.399;175.343;159.016;42.657.050;1.403.135;64.735.673;15.356.701;1.385.033;1.164.993;340.025;8.077;84.393.637;1.475.922;30.480.566;50.999.907;22.931.851;9.694.062;2.416.474;11.124;118.009.907;5.097.936;15.551.894;17.451.435;23.922.758;20.442.594;12.206.634;1.174.598;95.847.848;1.445.626;19.699.587;40.625.555;68.077.228;29.148.038;35.879.814;12.393.117;207.268.965;165.978;6.928.793;25.451.677;7.080.332;3.624.355;2.921.728;18.390;46.191.252;248.526;2.748.592;10.337.528;18.281.094;4.144.564;2.839.885;10.080;38.610.268;
C%;C - Conglomerado;dez/15;67,00%;61,00%;81,03%;75,80%;74,36%;66,74%;89,89%;84,88%;75,11%;48,85%;70,53%;74,82%;76,18%;89,67%;97,83%;99,74%;83,75%;74,78%;91,62%;56,49%;85,05%;87,03%;93,70%;97,36%;81,82%;80,92%;89,18%;72,86%;70,98%;99,23%;99,12%;96,06%;85,35%;85,07%;87,56%;82,89%;74,64%;82,86%;45,15%;100,00%;80,91%;59,75%;82,10%;74,39%;85,24%;93,83%;96,43%;91,85%;83,55%;44,54%;44,12%;41,66%;36,29%;24,32%;16,62%;24,79%;28,84%;61,26%;82,51%;77,50%;75,59%;69,25%;59,54%;98,93%;75,68%;76,45%;36,46%;74,41%;85,72%;91,23%;88,08%;95,44%;75,91%;
I;I - Instituição independente;dez/15;719.028.009;3.820.626;12.367.908;27.165.827;28.796.046;13.156.545;564.152;129.390;86.000.495;799.112;3.121.384;6.373.984;8.306.567;2.322.854;644.711;21.659;21.590.272;1.042.135;2.844.639;5.382.401;164.579;27.785;11.786;4.307;9.477.630;330.761;7.856.041;5.718.998;566.227;9.045;3.027;331;14.484.431;258.945;4.332.138;10.527.482;7.792.498;2.005.245;2.936.064;0;27.852.373;3.433.997;3.390.849;6.008.830;4.143.849;1.343.419;451.441;104.154;18.876.539;1.799.876;24.949.573;56.892.082;119.497.986;90.683.678;180.068.264;37.604.871;511.496.331;104.969;1.469.035;7.387.327;2.286.165;1.609.599;1.985.612;199;14.842.906;76.556;4.789.973;3.556.026;3.045.011;398.455;384.169;481;12.250.671;
I%;I - Instituição independente;dez/15;33,00%;39,00%;18,97%;24,20%;25,64%;33,26%;10,11%;15,12%;24,89%;51,15%;29,47%;25,18%;23,82%;10,33%;2,17%;0,26%;16,25%;25,22%;8,38%;43,51%;14,95%;12,97%;6,30%;2,64%;18,18%;19,08%;10,82%;27,14%;29,02%;0,77%;0,88%;3,94%;14,65%;14,93%;12,44%;17,11%;25,36%;17,14%;54,85%;0,00%;19,09%;40,25%;17,90%;25,61%;14,76%;6,17%;3,57%;8,15%;16,45%;55,46%;55,88%;58,34%;63,71%;75,68%;83,38%;75,21%;71,16%;38,74%;17,49%;22,50%;24,41%;30,75%;40,46%;1,07%;24,32%;23,55%;63,54%;25,59%;14,28%;8,77%;11,92%;4,56%;24,09%;
