cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;jun/14;19.221.860;149.383;1.661.670;3.329.137;3.217.116;697.032;230.659;1.402;9.286.400;12.996;264.640;680.834;1.072.693;304.389;159.467;3.727;2.498.745;57.191;964.039;1.153.662;17.028;880;1.349;598.811;2.792.960;56.487;2.690.316;274.465;3.613;1.147;0;0;3.026.028;0;0;0;0;0;0;0;0;50.815;244.604;323.062;273.893;82.481;57.368;17.467;1.049.690;1.897;52.507;22.654;15.006;1.553;133;0;93.750;1.071;123.898;275.930;66.377;5.280;1.729;0;474.286;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;jun/14;1,11%;1,82%;2,41%;2,73%;2,69%;2,54%;4,44%;0,29%;2,64%;0,80%;2,11%;2,41%;3,16%;1,47%;0,63%;0,08%;1,97%;1,74%;2,52%;7,69%;1,34%;0,35%;1,45%;81,48%;4,74%;3,83%;4,36%;1,63%;0,22%;0,79%;0,00%;0,00%;3,67%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,30%;1,71%;2,34%;1,81%;1,77%;0,90%;7,78%;1,80%;0,15%;0,16%;0,03%;0,01%;0,00%;0,00%;0,00%;0,02%;0,71%;0,86%;0,82%;0,36%;0,05%;0,03%;0,00%;0,57%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/14;945.860;0;84.233;608.300;80.900;7.890;396;0;781.719;0;144;105;14;0;0;0;263;0;14.217;92.985;0;0;0;50;107.252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;1.175;3.042;3.603;0;0;164;8.001;0;3.027;15.603;12.097;305;951;0;31.983;0;8.377;1.744;3.405;3.111;5;0;16.641;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/14;0,05%;0,00%;0,12%;0,50%;0,07%;0,03%;0,01%;0,00%;0,22%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,62%;0,00%;0,00%;0,00%;0,01%;0,18%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,02%;0,00%;0,00%;0,07%;0,01%;0,00%;0,01%;0,02%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,06%;0,01%;0,02%;0,03%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;jun/14;305.547.632;12.956;130.738;241.429;494.543;39.586;115.587;0;1.034.839;15.445;44.351;144.896;435.687;235.006;149.996;0;1.025.380;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;104;786;2.097;175;0;0;3.163;227;3.049;8.663;25.401;9.713;15.291;0;62.343;65.368;10.768.073;25.931.380;68.060.409;58.209.108;117.014.177;20.013.906;300.062.422;691;221.017;348.005;979.384;747.679;1.062.523;186;3.359.484;0;0;0;0;0;0;0;0;
b4%;b4 - Banco de Desenvolvimento;jun/14;17,57%;0,16%;0,19%;0,20%;0,41%;0,14%;2,23%;0,00%;0,29%;0,95%;0,35%;0,51%;1,28%;1,13%;0,59%;0,00%;0,81%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,06%;0,17%;0,21%;0,24%;0,00%;0,11%;5,20%;32,13%;32,44%;40,68%;57,85%;69,13%;53,48%;50,91%;0,46%;1,54%;1,03%;5,28%;7,60%;17,20%;0,19%;4,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n1;n1 - Não Bancário de Crédito;jun/14;8.760.414;67.105;303.216;380.023;209.444;14.909;747;0;975.444;35.714;437.492;1.078.981;1.669.532;471.901;218.467;18.310;3.930.396;92;191;3.016;0;0;0;0;3.299;7.038;370.956;46.491;8.578;114;483;0;433.659;0;0;0;0;0;0;0;0;994;4.091;19.442;8.280;2.259;541;0;35.607;17.239;174.660;509.703;949.297;608.440;740.525;5.564;3.005.429;74;5.689;10.619;45.866;49.732;124.070;0;236.049;60;5;70.023;69.864;544;36;0;140.531;
n1%;n1 - Não Bancário de Crédito;jun/14;0,50%;0,82%;0,44%;0,31%;0,18%;0,05%;0,01%;0,00%;0,28%;2,19%;3,49%;3,83%;4,92%;2,28%;0,86%;0,40%;3,10%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,01%;0,48%;0,60%;0,28%;0,51%;0,08%;0,26%;0,00%;0,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,03%;0,14%;0,05%;0,05%;0,01%;0,00%;0,06%;1,37%;0,52%;0,64%;0,57%;0,60%;0,44%;0,01%;0,51%;0,05%;0,04%;0,03%;0,25%;0,51%;2,01%;0,00%;0,28%;0,03%;0,00%;0,59%;0,32%;0,01%;0,00%;0,00%;0,27%;
n2;n2 - Não Bancário de Mercado de Capitais;jun/14;2.952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.952;0;0;0;0;0;2.952;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n2%;n2 - Não Bancário de Mercado de Capitais;jun/14;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
C;C - Conglomerado;jun/14;1.167.542.953;4.912.706;54.754.023;92.840.219;84.604.539;22.363.354;4.331.639;347.648;264.154.128;888.681;9.731.645;21.449.633;23.514.206;15.465.288;21.311.828;4.560.916;96.922.197;2.348.557;34.843.750;8.547.889;1.194.294;232.774;91.458;136.046;47.394.768;1.287.571;52.414.641;12.204.356;1.571.439;143.255;182.207;459.370;68.262.840;686.044;25.118.216;39.191.953;20.727.897;4.582.200;2.308.260;11.047;92.625.616;3.384.294;11.946.583;11.676.933;13.989.778;4.074.562;5.965.385;120.395;51.157.930;751.114;16.916.224;41.637.832;76.642.926;30.466.415;27.415.735;8.725.118;202.555.365;79.427;12.007.796;30.378.786;16.765.673;8.823.534;4.752.779;98.609;72.906.605;142.339;2.287.373;9.164.226;19.130.189;6.020.259;5.892.769;112.729;42.749.884;
C%;C - Conglomerado;jun/14;67,15%;60,00%;79,32%;76,15%;70,70%;81,57%;83,41%;71,06%;75,07%;54,41%;77,52%;76,06%;69,29%;74,57%;84,27%;99,52%;76,36%;71,49%;90,96%;57,01%;94,26%;92,79%;98,13%;18,51%;80,42%;87,38%;84,88%;72,61%;93,75%;99,13%;99,74%;100,00%;82,75%;89,36%;89,75%;87,23%;90,07%;74,08%;82,63%;100,00%;87,64%;86,65%;83,38%;84,63%;92,41%;87,41%;93,18%;53,59%;87,51%;59,78%;50,47%;52,09%;45,81%;30,28%;16,20%;23,32%;34,37%;52,75%;83,70%;90,13%;90,30%;89,71%;76,92%;99,81%;87,96%;80,57%;45,27%;77,22%;88,26%;94,06%;93,88%;89,69%;82,89%;
I;I - Instituição independente;jun/14;571.108.762;3.275.636;14.271.460;29.077.301;35.058.723;5.053.477;861.375;141.594;87.739.566;744.514;2.821.658;6.752.389;10.419.639;5.272.906;3.977.983;22.197;30.011.285;936.623;3.463.551;6.446.549;72.694;18.080;1.740;598.861;11.538.098;185.985;9.336.122;4.604.299;104.674;1.262;483;0;14.232.827;81.703;2.868.898;5.739.155;2.283.954;1.603.387;485.082;0;13.062.180;521.259;2.381.987;2.120.963;1.148.788;586.825;436.847;104.246;7.300.914;505.254;16.601.004;38.299.131;90.674.023;70.155.176;141.861.930;28.696.209;386.792.728;71.150;2.338.730;3.328.455;1.800.820;1.011.734;1.425.922;186;9.976.997;34.315;2.765.863;2.703.388;2.544.008;380.410;384.183;12.961;8.825.128;
I%;I - Instituição independente;jun/14;32,85%;40,00%;20,68%;23,85%;29,30%;18,43%;16,59%;28,94%;24,93%;45,59%;22,48%;23,94%;30,71%;25,43%;15,73%;0,48%;23,64%;28,51%;9,04%;42,99%;5,74%;7,21%;1,87%;81,49%;19,58%;12,62%;15,12%;27,39%;6,25%;0,87%;0,26%;0,00%;17,25%;10,64%;10,25%;12,77%;9,93%;25,92%;17,37%;0,00%;12,36%;13,35%;16,62%;15,37%;7,59%;12,59%;6,82%;46,41%;12,49%;40,22%;49,53%;47,91%;54,19%;69,72%;83,80%;76,68%;65,63%;47,25%;16,30%;9,87%;9,70%;10,29%;23,08%;0,19%;12,04%;19,43%;54,73%;22,78%;11,74%;5,94%;6,12%;10,31%;17,11%;
