Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44075;697783;19429;21173;-10695;0;0;727689;-138466;-25889;-17197;0;-95756;-277308;450381;50138;31347;-999;-97153;-26844;0;62093;-259272;-240690;209692;-1272;208420;-87954;0;120466;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44075;21081;64014;66647;213438;357253;0;722433;-3464;-310833;-53792;0;2551;-365538;356896;26975;21;-25192;-26311;-6176;0;29655;-274161;-275190;81706;2;81708;-33819;0;47889;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44075;8604;0;737154;-62989;26689;0;709458;-386114;-396;0;0;-9982;-396493;312965;844965;346166;-246504;-926586;-95291;-2737;258345;-180654;-2296;310669;-4879;305790;-35532;-230530;39728;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44075;566693;0;3070;0;0;0;569763;-9317;0;0;0;-430225;-439542;130221;175941;128016;-45089;-239275;-42590;-266;11642;-133385;-145006;-14785;446;-14339;5301;0;-9038;0
PAGSEGURO;1000084813;b1;S4;C;2;SAO PAULO;SP;44075;542152;0;3489;0;0;0;545641;-9325;0;0;0;-2282;-11607;534035;1249643;0;-118398;-345043;-135660;10980;58326;-911435;-191588;342447;4965;347412;-81132;0;266280;0
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;44075;514876;0;19267;0;0;0;534143;-47;0;0;-213;-189357;-189617;344526;366;10658;-6247;-290608;-26690;0;83221;-38976;-268277;76249;594;76843;-41367;-19;35457;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44075;57484;0;32987;-142387;583305;0;531389;-5362;-504555;0;0;-179;-510096;21293;13331;51;-26346;-14675;-12374;30;3051;-1478;-38410;-17117;0;-17117;4983;0;-12134;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44075;501410;0;16892;-18166;21184;654;521973;-40215;-2859;0;0;-88835;-131909;390065;8801;52563;-114790;-162824;-27440;8130;45436;-151275;-341399;48666;-1001;47665;-15036;-4280;28349;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44075;5344;0;92336;66745;355702;0;520126;-37744;-210012;0;0;788;-246968;273158;430072;1954;-163873;-52753;-40711;0;1574;-156740;19525;292683;0;292683;-126636;0;166047;0
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44075;263462;0;247390;-1963;1388;6153;516429;-299570;-31111;0;0;-18094;-348774;167655;252283;10;-42211;-71763;-39859;6957;118624;-305313;-81271;86383;625;87009;-34702;-2590;49718;0
