Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44075;331363;0;4306363;21271712;0;0;25909439;16067181;182290;1450711;25755973;8314824;9595;35713393;4517460;82207472;5629885;21450942;109288299;119429;10502583;119910311
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44075;166956;0;158782;10048931;0;0;10374669;6053231;0;0;0;0;430142;430142;61037188;77895230;13049266;22085089;113029585;1597;5808088;118839270
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44075;5616130;0;21880;22405819;0;211910;28255738;6274985;0;0;217891;0;459312;677203;18729274;53937199;15630035;34586290;104153525;47361;10320852;114521738
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44075;3476838;10705205;1196187;44520777;4016;13048;59916071;4205420;881232;0;1782708;0;0;2663940;2121732;68907163;0;12788710;81695873;168235;8354638;90218746
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44075;143637;20781307;5793038;128111;0;0;26846093;32948600;0;2338980;1482435;0;0;3821416;14302481;77918589;2345;4793199;82714133;0;1565205;84279338
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;44075;0;0;0;0;22424;0;22424;0;0;0;0;0;0;0;6898206;6920630;0;63448456;70369086;0;12796721;83165807
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44075;81280;8985521;48526899;644071;0;0;58237771;6494907;0;45413;10087;0;0;55500;3337862;68126039;55;9375759;77501853;148;2008304;79510305
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44075;711661;0;383968;8343291;0;322952;9761873;2006974;0;584037;1259695;0;1605108;3448841;14241529;29459217;5508444;36020807;70988469;16686;4576403;75581557
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44075;0;0;0;2594943;0;0;2594943;35679620;0;0;16312;0;1142457;1158769;21292;39454624;7814927;17354351;64623902;4400;2854684;67482986
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44075;38904;0;0;2879496;0;0;2918399;11174150;0;0;438234;0;1558955;1997189;11082946;27172684;6545822;26199632;59918138;74421;4964520;64957079
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44075;49657;0;0;1592973;0;0;1642630;156440;0;6077;9122;0;0;15199;9407008;11221277;2113568;48419006;61753851;456;2318824;64073132
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44075;922;0;72000;2304638;0;0;2377560;0;0;0;0;0;0;0;13716952;16094511;1507954;40934525;58536990;1220;966586;59504796
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44075;760788;4162066;1335732;8407125;0;2076993;16742703;2137088;0;0;6003;0;0;6003;2782534;21668329;0;29594984;51263313;196102;6209466;57668881
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44075;53453;0;0;2213748;0;0;2267201;534512;1137940;639255;1624675;0;0;3401869;27317708;33521290;1972898;13378496;48872684;162;4165173;53038019
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44075;396663;0;655640;8747610;0;0;9799913;1156201;467822;2889421;5860641;0;18824;9236708;10565761;30758582;2755231;7772056;41285868;23735;4187556;45497159
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44075;1397941;0;641890;10728259;0;4981;12773071;2135964;1009210;917326;9656654;2594568;0;14177759;5181464;34268257;50851;6114231;40433339;107427;4354173;44894939
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;44075;0;0;0;18465970;4635141;0;23101111;0;0;0;310866;0;92469;403335;377788;23882234;0;15301861;39184096;82351;1464854;40731301
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44075;217332;0;0;3388453;0;0;3605784;86894;0;0;0;0;0;0;5958362;9651041;2107439;24385653;36144133;959;1287117;37432209
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44075;1253025;3733362;213415;10444259;0;5943;15650004;16854263;47536;117068;0;0;0;164604;99920;32768791;0;1059031;33827822;5265;1638970;35472057
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44075;55833;0;8522037;12344604;0;0;20922473;92695;299831;0;4284464;0;0;4584295;0;25599463;0;4251546;29851009;4;5221418;35072431
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44075;996572;0;285752;8774506;0;0;10056829;2068200;0;0;0;0;0;0;290465;12415495;11998910;3021246;27435652;1477;3146418;30583547
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44075;91107;0;37398;12619031;31754;0;12779290;1711150;56124;49981;2762812;0;0;2868917;788648;18148005;86261;2828791;21063058;0;4121167;25184224
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44075;0;0;1045;2403027;0;0;2404072;1446992;0;0;0;0;4635748;4635748;1617287;10104099;7312422;3310174;20726694;0;3964809;24691503
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44075;0;0;2284728;9249791;0;0;11534519;0;0;0;2668056;0;0;2668056;1573541;15776115;18530;4749923;20544569;103627;2856286;23504482
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44075;26476;0;0;63422;0;0;89898;140414;0;0;0;0;0;0;6395345;6625657;1437901;13811945;21875502;6784;1534566;23416852
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44075;1069555;2387956;983834;10347484;21448;104624;14914901;494422;226463;1;11036;0;0;237500;1173079;16819902;0;3019949;19839851;86;2122893;21962830
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;C;2;SAO PAULO;SP;44075;0;0;0;0;344295;0;344295;0;0;0;0;0;0;0;448828;793123;3913;15887390;16684425;0;4174891;20859316
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44075;2264651;749279;7674;1354903;0;1566982;5943488;0;0;206049;0;0;0;206049;819922;6969459;0;11568191;18537650;0;2298285;20835935
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44075;139588;2935;338803;5823144;0;0;6304470;3539962;4590;177804;438096;0;0;620489;5847360;16312281;124801;2631238;19068320;11958;1030663;20110941
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;44075;0;0;0;6297536;0;0;6297536;44748;0;0;0;0;223275;223275;77;6565637;8494406;2346991;17407034;0;2063187;19470221
PAGSEGURO;1000084813;b1;S4;C;2;SAO PAULO;SP;44075;0;0;0;2896562;67927;0;2964489;0;0;0;0;0;0;0;0;2964489;0;7592454;10556943;190799;8490934;19238675
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44075;78380;0;796803;3761421;0;0;4636604;1439108;53153;504802;6110493;0;322794;6991242;1124209;14191163;535765;697329;15424258;12542;2554153;17990953
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44075;761;0;301216;4284766;0;0;4586743;138354;0;0;109918;0;0;109918;831696;5666711;3466982;7123160;16256853;416;1105792;17363061
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;44075;5194010;700014;30036;3697771;0;0;9621830;149010;1753789;0;0;0;12989;1766778;28167;11565786;53533;1545144;13164462;0;3299588;16464051
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44075;469139;0;524974;6240331;509529;0;7743973;14689;2351768;1926878;620012;0;58821;4957479;5135;12721276;57893;1301131;14080301;3380;2151261;16234942
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12298292;12298292;217;794869;13093378;2798;3015503;16111679
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44075;0;0;4256197;2174345;0;0;6430542;0;0;0;2234033;0;0;2234033;2764708;11429284;10071;750166;12189521;6856;2054038;14250414
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;44075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13552778;13552778;0;320398;13873176
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;44075;87;0;100007;43113;0;0;143207;1015656;0;0;0;0;0;0;3814701;4973565;5536683;1669796;12180044;0;1133609;13313653
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;44075;601142;0;0;2426131;0;0;3027273;0;0;0;0;0;0;0;1704044;4731316;1440266;5052565;11224147;4946;1593819;12822912
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44075;182009;0;196694;5842107;0;0;6220809;1743734;119709;299668;282575;0;0;701952;74875;8741370;2151707;443280;11336357;22176;814691;12173224
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44075;0;0;897730;2913242;0;0;3810972;0;0;0;2505864;0;0;2505864;0;6316836;0;2796400;9113235;83544;2864093;12060872
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44075;0;0;0;2437207;0;0;2437207;0;58839;309870;901857;0;0;1270567;6055773;9763546;77186;197884;10038616;210205;1345688;11594508
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44075;1229656;1327333;237886;6404793;0;0;9199668;78915;0;0;253258;0;0;253258;5670;9537511;0;351616;9889127;0;1483961;11373088
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44075;9431;0;660281;6460;0;0;676172;0;0;0;907206;0;0;907206;0;1583378;0;6863808;8447186;0;2728166;11175352
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;44075;2041844;0;228626;4901652;0;0;7172123;443015;57278;323123;689391;0;0;1069792;232028;8916959;287319;721527;9925804;9022;1201985;11136811
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;44075;231474;0;435524;3291096;61986;219;4020299;53495;38178;0;91003;0;0;129181;0;4202976;10;6302869;10505855;33011;490082;11028948
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;44075;310651;0;221795;1394911;0;0;1927357;260988;103734;1284414;1390275;0;0;2778423;4010922;8977689;527771;726608;10232069;15861;715109;10963038
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;44075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;127117;127117;0;9688929;9816046;0;591130;10407175
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44075;389922;233046;26474;7042648;0;0;7692089;65902;0;76330;10476;0;0;86806;0;7844797;0;1347859;9192657;303;1025776;10218736
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44075;0;0;73137;0;0;1874448;1947584;0;122647;0;0;0;0;122647;0;2070231;0;127533;2197764;0;7855520;10053284
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;44075;66;0;0;0;0;0;66;0;0;0;0;0;0;0;0;66;0;2614697;2614763;0;7004258;9619020
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;44075;45476;0;222305;1507895;0;0;1775676;739156;0;0;3625;0;0;3625;3519744;6038202;418363;2363459;8820025;1003;752468;9573496
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44075;0;0;865447;211428;0;0;1076875;0;0;0;1257377;0;50802;1308180;0;2385055;0;5953239;8338294;0;1101530;9439824
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;44075;2763;0;0;1609510;0;752;1613025;0;0;0;0;0;0;0;11306;1624330;0;7209214;8833544;0;559657;9393201
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44075;234034;0;30178;305927;0;0;570139;0;0;0;304071;0;0;304071;6759220;7633429;0;118034;7751463;5341;1494954;9251758
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44075;0;0;261235;368833;0;0;630067;0;14898;0;2693812;0;0;2708711;3428448;6767226;130603;665240;7563069;49781;1071090;8683940
MERCADOPAGO PRUDENCIAL;1000084820;n4;;I;2;OSASCO;SP;44075;0;0;0;0;2612693;0;2612693;0;0;0;0;0;0;0;2085028;4697721;0;3483553;8181274;0;278680;8459954
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;44075;8674;0;366764;3570602;0;0;3946039;5010;11374;0;2759000;0;0;2770374;0;6721424;0;385687;7107110;0;1185826;8292936
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;44075;201564;0;10828;2019506;0;0;2231898;0;0;0;0;0;0;0;3034203;5266101;202689;841496;6310286;2157;1832631;8145074
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44075;0;0;625705;205797;0;0;831502;0;0;324589;33887;0;0;358476;3542205;4732183;0;864912;5597095;17838;1962105;7577037
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;44075;0;0;0;15870;0;0;15870;0;0;0;0;0;0;0;0;15870;0;7137887;7153756;0;285046;7438802
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;44075;0;0;0;697;0;0;697;0;0;0;0;0;0;0;0;697;0;7125322;7126020;0;294509;7420529
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;44075;1199544;0;124159;3985274;0;29214;5338190;0;0;0;0;0;0;0;2794;5340984;0;325864;5666849;0;1742888;7409736
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44075;1131868;0;0;2328636;0;6189;3466693;0;881;1347970;0;0;0;1348851;1137;4816681;0;675665;5492346;0;1754273;7246619
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;44075;357755;0;17215;3489639;0;0;3864609;185574;276549;307640;1241128;20327;0;1845644;40566;5936393;1385;442966;6380744;560;830345;7211650
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;44075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6774551;6774551;0;416625;7191176
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44075;0;0;0;106318;0;0;106318;0;0;0;0;0;0;0;5225158;5331476;0;436412;5767888;130900;1098898;6997687
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;44075;939285;1748871;139522;2606911;1462;241;5436291;5074;32762;0;49113;0;0;81875;107884;5631124;0;767319;6398443;10513;543281;6952236
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;44075;96119;0;0;195;19348;0;115662;0;0;0;0;0;0;0;0;115662;0;516150;631813;2332;5875993;6510138
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;44075;0;0;50360;1528019;0;0;1578379;3500963;0;0;288775;0;0;288775;193820;5561937;99633;274764;5936334;323;523692;6460348
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;44075;0;0;2027173;88798;0;0;2115972;0;0;0;211978;0;0;211978;869941;3197891;19916;1140667;4358474;3648;2067152;6429273
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44075;0;0;617336;18416;0;0;635752;0;0;0;301426;0;1668258;1969684;498920;3104356;0;2056943;5161299;0;998685;6159984
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;44075;0;0;314776;3012;0;0;317787;0;0;0;0;0;0;0;4108514;4426301;0;217927;4644227;4769;1199199;5848196
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;44075;20051;0;0;4170297;43;0;4190390;228775;251890;0;114477;0;0;366367;0;4785532;5656;610828;5402016;0;337455;5739471
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;44075;0;0;398240;0;0;0;398240;0;0;0;0;0;0;0;3204082;3602322;0;1651117;5253439;0;198245;5451684
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;44075;721913;0;213532;2238124;0;8625;3182194;0;0;0;0;0;0;0;18084;3200278;0;1396027;4596306;0;536416;5132722
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;44075;484075;0;0;2067031;0;0;2551106;0;0;678030;0;0;0;678030;2348;3231483;0;972782;4204266;0;785061;4989326
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;44075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4779853;4779853;0;163642;4943496
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;44075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;203754;203754;0;4273410;4477164;0;427401;4904565
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;44075;0;0;383304;1503616;0;0;1886920;0;1030040;0;788486;0;0;1818526;0;3705446;2994;151400;3859839;2402;900372;4762613
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;44075;0;0;0;905299;0;0;905299;0;0;0;0;0;0;0;2810222;3715521;0;362416;4077937;519;575067;4653523
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;44075;726976;0;76398;1325594;0;5367;2134334;0;0;0;0;0;0;0;32381;2166715;0;1593806;3760521;0;776362;4536882
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;44075;0;0;0;1851;0;0;1851;0;0;0;0;0;0;0;205986;207836;0;3951435;4159272;0;228916;4388188
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;44075;699685;0;116422;2047517;0;3539;2867163;0;0;0;0;0;0;0;7602;2874765;0;1021877;3896642;0;488967;4385609
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;44075;110242;0;349104;1346995;0;0;1806341;28193;53648;48253;842792;0;0;944694;799558;3578786;299;145343;3724427;1149;578335;4303911
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;44075;33431;0;20624;2189576;30621;0;2274253;3950;0;0;496574;0;97598;594172;112014;2984388;0;828362;3812750;4631;462859;4280241
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;44075;640757;0;0;1084927;0;0;1725683;1307507;0;0;0;0;0;0;0;3033191;40361;740807;3814359;2083;385258;4201700
BANCO C6;1000084844;b1;S4;C;2;SAO PAULO;SP;44075;420215;0;0;1989179;37329;0;2446723;0;3014;0;167839;0;0;170853;0;2617576;40330;439506;3097411;224010;710856;4032277
RODOBENS - PRUDENCIAL;1000080855;b1;S4;C;2;SAO PAULO;SP;44075;600;0;332775;263001;7385;0;603762;80000;111201;77949;654503;0;0;843652;180843;1708257;31087;938746;2678090;1555;1249564;3929208
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;44075;516132;0;233802;1668521;0;2292;2420747;0;0;0;0;0;0;0;24442;2445189;0;975375;3420564;0;409000;3829565
INDUSVAL - PRUDENCIAL;1000080415;b1;S4;C;2;SAO PAULO;SP;44075;44447;0;20106;2738823;0;0;2803375;151999;674;431914;19108;0;0;451696;4880;3411951;0;152083;3564034;1887;238472;3804393
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;44075;0;0;0;313660;0;0;313660;28900;0;35832;11429;0;0;47261;905044;1294865;4628;1882630;3182124;12984;545661;3740769
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;44075;341859;0;308478;1095727;30500;0;1776565;0;63251;0;348473;0;0;411724;178139;2366428;0;769646;3136074;710;493723;3630507
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;S4;I;2;CAMPO MOURAO;PR;44075;204348;68097;895058;1412291;0;0;2579795;0;0;0;0;0;0;0;0;2579795;0;89511;2669306;469;845251;3515026
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;44075;698989;0;0;2125975;0;2352;2827316;0;0;23544;0;0;0;23544;0;2850860;0;66126;2916986;0;583759;3500746
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE;70119680;b3C;S4;I;2;CABEDELO;PB;44075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3324197;3324197;0;172835;3497032
RENDIMENTO - PRUDENCIAL;1000080659;b1;S4;C;2;SAO PAULO;SP;44075;147039;0;65421;938653;37170;254308;1442591;71790;20514;0;77954;0;0;98468;268455;1881304;24339;1199877;3105520;299;388969;3494788
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;44075;650323;0;0;1915059;0;4067;2569448;0;12682;103547;0;0;0;116229;36293;2721970;0;323792;3045762;14;423698;3469474
PEFISA S.A. - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;44075;0;0;0;424047;10782;0;434829;0;0;0;0;0;675844;675844;0;1110673;0;1709392;2820065;0;648634;3468700
