cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;mar/19;45.983.160;325.279;3.741.041;8.328.019;9.884.706;2.561.388;888.207;2.118;25.730.757;18.447;582.953;1.521.833;2.291.229;739.314;270.658;514;5.424.948;167.873;2.080.585;2.152.220;87.459;5.246;13.902;7.798;4.515.083;109.169;3.956.021;350.238;1.273;517;169;0;4.417.387;0;0;0;0;0;0;0;0;154.257;737.178;1.195.791;1.396.529;650.624;502.732;11.866;4.648.976;975;27.806;38.038;41.073;6.490;796;0;115.178;9.222;219.467;704.314;142.692;48.524;6.612;0;1.130.831;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;mar/19;2,59%;5,52%;7,71%;9,68%;10,06%;10,49%;11,76%;0,16%;9,46%;1,77%;4,19%;6,42%;6,30%;4,72%;0,93%;0,09%;4,51%;7,95%;7,18%;24,19%;16,45%;5,75%;0,97%;2,67%;10,67%;12,22%;4,97%;1,30%;0,13%;0,15%;0,18%;0,00%;4,05%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;2,12%;4,14%;6,69%;6,72%;8,34%;6,75%;0,43%;5,68%;0,05%;0,09%;0,06%;0,03%;0,01%;0,00%;0,00%;0,02%;6,46%;2,52%;3,52%;1,30%;1,15%;0,18%;0,00%;2,36%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;mar/19;955.137;0;261.970;360.915;141.743;34.359;1.349;0;800.336;0;1.000;2.980;7.112;332;474;0;11.897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;376;4.979;13.963;30.458;1.633;1.114;194;52.716;1.121;518;86.762;1.786;0;0;0;90.187;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/19;0,05%;0,00%;0,54%;0,42%;0,14%;0,14%;0,02%;0,00%;0,29%;0,00%;0,01%;0,01%;0,02%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,03%;0,08%;0,15%;0,02%;0,01%;0,01%;0,06%;0,06%;0,00%;0,15%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;mar/19;307.366.439;8.103;51.658;133.639;169.967;161.576;16.511;109.483;650.937;12.753;59.770;172.783;276.520;143.852;37.856;693;704.228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.777;56.497;116.179;81.395;18.640;1.503;0;278.991;672.641;13.097.862;26.084.357;63.538.316;44.974.648;120.012.053;31.477.933;299.857.811;3.112;254.285;960.126;1.937.389;1.326.468;1.392.802;289;5.874.472;0;0;0;0;0;0;0;0;
b4%;b4 - Banco de Desenvolvimento;mar/19;17,32%;0,14%;0,11%;0,16%;0,17%;0,66%;0,22%;8,44%;0,24%;1,22%;0,43%;0,73%;0,76%;0,92%;0,13%;0,12%;0,59%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,07%;0,32%;0,65%;0,39%;0,24%;0,02%;0,00%;0,34%;36,52%;44,10%;43,61%;52,23%;57,57%;65,24%;61,89%;57,01%;2,18%;2,92%;4,79%;17,60%;31,31%;37,45%;96,33%;12,28%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n1;n1 - Não Bancário de Crédito;mar/19;9.627.154;30.396;213.026;361.099;319.246;108.926;29.248;0;1.061.942;39.816;649.074;1.467.819;2.174.200;724.308;246.773;6.926;5.308.916;1.784;6.392;6.922;1.129;0;0;0;16.227;6.441;152.959;288.974;4.533;0;0;0;452.907;0;0;0;0;0;0;0;0;6.830;11.949;18.802;23.578;7.302;9;4.202;72.672;29.638;151.124;433.000;961.561;528.520;368.081;10.222;2.482.146;329;11.136;13.161;90.815;73.421;23.028;0;211.890;2;13;31;20.051;80;277;0;20.454;
n1%;n1 - Não Bancário de Crédito;mar/19;0,54%;0,52%;0,44%;0,42%;0,32%;0,45%;0,39%;0,00%;0,39%;3,82%;4,67%;6,19%;5,98%;4,63%;0,85%;1,21%;4,41%;0,08%;0,02%;0,08%;0,21%;0,00%;0,00%;0,00%;0,04%;0,72%;0,19%;1,08%;0,48%;0,00%;0,00%;0,00%;0,41%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,09%;0,07%;0,11%;0,11%;0,09%;0,00%;0,15%;0,09%;1,61%;0,51%;0,72%;0,79%;0,68%;0,20%;0,02%;0,47%;0,23%;0,13%;0,07%;0,83%;1,73%;0,62%;0,00%;0,44%;0,00%;0,00%;0,00%;0,20%;0,01%;0,08%;0,00%;0,09%;
n2;n2 - Não Bancário de Mercado de Capitais;mar/19;2.761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.734;0;0;0;0;27;2.761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n2%;n2 - Não Bancário de Mercado de Capitais;mar/19;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n4;n4 - Instituições de Pagamento;mar/19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n4%;n4 - Instituições de Pagamento;mar/19;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
C;C - Conglomerado;mar/19;1.189.174.697;3.602.933;37.816.017;65.143.571;71.149.512;16.157.804;4.854.110;1.067.504;199.791.452;866.807;10.218.282;17.057.716;27.274.352;12.720.606;28.185.637;562.158;96.885.558;1.593.884;26.243.878;5.275.849;417.368;85.965;1.416.292;283.919;35.317.154;495.326;68.254.274;20.719.477;728.139;235.886;29.563;424.262;90.886.926;1.281.880;43.790.126;61.083.968;22.269.926;16.268.406;14.999.077;146.343;159.839.726;5.536.315;14.839.484;14.938.789;17.226.227;6.400.756;6.448.565;2.677.397;68.067.532;809.453;8.832.424;19.520.808;33.901.755;18.022.882;28.003.878;10.176.649;119.267.849;103.618;6.632.783;15.352.046;8.252.135;2.249.150;2.115.409;11;34.705.151;586.155;1.526.535;4.002.626;6.528.036;1.380.612;196.892;76.402;14.297.257;
C%;C - Conglomerado;mar/19;67,02%;61,11%;77,94%;75,70%;72,40%;66,16%;64,28%;82,30%;73,45%;83,06%;73,45%;71,94%;75,02%;81,25%;97,19%;98,47%;80,57%;75,45%;90,58%;59,30%;78,52%;94,25%;99,03%;97,33%;83,44%;55,47%;85,69%;77,19%;76,70%;70,59%;30,94%;99,94%;83,24%;82,89%;88,99%;89,70%;76,80%;94,96%;99,57%;99,97%;88,71%;75,98%;83,32%;83,61%;82,86%;82,07%;86,54%;96,03%;83,22%;43,95%;29,74%;32,64%;27,87%;23,07%;15,22%;20,01%;22,68%;72,58%;76,11%;76,66%;74,97%;53,08%;56,88%;3,67%;72,53%;50,92%;48,96%;54,97%;64,71%;87,68%;55,11%;99,70%;60,46%;
I;I - Instituição independente;mar/19;585.297.874;2.292.781;10.700.444;20.911.405;27.123.748;8.263.485;2.697.260;229.510;72.218.633;176.809;3.693.369;6.653.750;9.079.502;2.934.749;816.353;8.712;23.363.243;518.755;2.729.830;3.621.680;114.147;5.246;13.902;7.798;7.011.358;397.675;11.396.729;6.121.341;221.248;98.255;65.999;257;18.301.503;264.578;5.416.985;7.013.949;6.727.389;862.813;64.768;45;20.350.526;1.750.513;2.969.990;2.928.035;3.563.276;1.398.017;1.002.778;110.829;13.723.437;1.032.499;20.864.887;40.289.964;87.739.676;60.103.433;155.951.640;40.683.882;406.665.981;39.141;2.082.444;4.672.884;2.755.147;1.987.948;1.603.423;289;13.141.277;564.877;1.591.311;3.278.960;3.559.352;193.956;160.365;227;9.349.048;
I%;I - Instituição independente;mar/19;32,98%;38,89%;22,06%;24,30%;27,60%;33,84%;35,72%;17,70%;26,55%;16,94%;26,55%;28,06%;24,98%;18,75%;2,81%;1,53%;19,43%;24,55%;9,42%;40,70%;21,48%;5,75%;0,97%;2,67%;16,56%;44,53%;14,31%;22,81%;23,30%;29,41%;69,06%;0,06%;16,76%;17,11%;11,01%;10,30%;23,20%;5,04%;0,43%;0,03%;11,29%;24,02%;16,68%;16,39%;17,14%;17,93%;13,46%;3,97%;16,78%;56,05%;70,26%;67,36%;72,13%;76,93%;84,78%;79,99%;77,32%;27,42%;23,89%;23,34%;25,03%;46,92%;43,12%;96,33%;27,47%;49,08%;51,04%;45,03%;35,29%;12,32%;44,89%;0,30%;39,54%;
