Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento
BCO KEB DO BRASIL SA - PRUDENCIAL;1000081232;b1;;I;3;SAO PAULO;SP;42705;467044;117316;344025;333620;123019;5144;122952;1,0507;0,0024;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CELEIRO CENTRO OESTE - SICREDI CELEIRO CENTRO OESTE;3566655;b3S;;I;2;SAO GABRIEL DO OESTE;MS;42705;466784;300580;371497;191245;95286;13414;94114;0,1875;0,142;0;11
COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DE BLUMENAU E VALE DO ITAJAÍ LTDA - UNICRED BLUMENAU;73443863;b3S;;I;2;BLUMENAU;SC;42705;464193;263392;408924;403993;55269;3194;55112;0,1932;0,1159;0;11
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CENTRO LESTE - SICREDI CENTRO LESTE RS;88471024;b3S;;I;2;CACHOEIRA DO SUL;RS;42705;451517;284622;388757;283808;62761;2863;68464;0,1913;0,1226;0;15
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CELEIRO - SICREDI CELEIRO RS/SC;88099247;b3S;;I;2;CAMPO NOVO;RS;42705;440283;280554;354417;258693;85866;8486;84374;0,2401;0,0614;0;18
COOPERATIVA DE CRÉDITO DOS FORNECEDORES DE CANA, AGROPECUARISTAS E EMPRESÁRIOS DA REGIÃO DE PIRACICABA;54401286;b3S;;I;2;PIRACICABA;SP;42705;439563;169057;343942;278620;95621;8536;95621;0,3397;0,0132;0;11
SICREDI ALAGOAS - COOPERATIVA DE CRÉDITO;41180092;b3S;;I;2;MACEIO;AL;42705;438068;155060;302309;289881;135759;12681;135749;0,6117;0,0054;0;6
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE DAS REGIÕES METROPOLITANAS DA BAIXADA SANTISTA E GRANDE SÃO PAULO LTDA. - SICOOB UNIMAIS METROPOLITANA;259231;b3S;;I;2;SANTOS;SP;42705;429234;203418;373285;351476;55949;1228;55946;0,2141;0,0647;0;13
AVISTA S.A. CFI - PRUDENCIAL;1000084600;n1;;C;2;VITORIA;ES;42705;426044;100308;300585;154436;125459;4533;22120;0,2181;0,009;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS LITORÂNEA;85291086;b3S;;I;2;JACINTO MACHADO;SC;42705;422979;230204;347772;303852;75207;6125;75187;0,2289;0,1736;0;14
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DE FURNAS E DEMAIS EMPRESAS DO SISTEMA ELETROBRÁS LTDA.;33370115;b3S;;I;2;RIO DE JANEIRO;RJ;42705;421207;82877;358315;350827;62892;3736;62838;0,3545;0,0643;0;6
BARCLAYS - PRUDENCIAL;1000080817;b1;;I;3;SAO PAULO;SP;42705;412191;0;186883;0;225307;7036;225307;0,6715;0;1;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO DO CENTRO SUL DO PARANÁ - SICREDI CENTRO SUL PR/SC;78907607;b3S;;I;2;PRUDENTOPOLIS;PR;42705;408345;230827;340530;223107;67815;5610;66336;0,189;0,1159;0;17
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO VINHO - SICOOB VIDEIRA/SC;81016131;b3S;;I;2;VIDEIRA;SC;42705;404178;179436;337309;290667;66869;1333;66820;0,2232;0,207;0;15
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO PROGRESSO - SICREDI PROGRESSO PR/SP;76059997;b3S;;I;2;TOLEDO;PR;42705;403944;235940;324899;236182;79045;8453;83267;0,2072;0,0985;0;12
COOPERATIVA CENTRAL DE CRÉDITO DA BAHIA - SICOOB CENTRAL BA;34148882;b3C;;I;2;SALVADOR;BA;42705;401127;9849;353659;9467;47468;2236;34253;0,3601;0,0183;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA FRONTEIRA SUL - SICREDI FRONTEIRA SUL RS;88530142;b3S;;I;2;BAGE;RS;42705;398854;292827;331747;178902;67107;4238;66003;0,2163;0,0935;0;12
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3358914;b3S;;I;2;CACHOEIRO DE ITAPEMIRIM;ES;42705;398379;239288;326838;297407;71541;7708;71503;0,2649;0,0459;0;8
COOPERATIVA DE CRÉDITO DO TRIÂNGULO MINEIRO E SÃO FRANCISCO LTDA. - SICOOB ARACOOP;3320525;b3S;;I;2;ARAGUARI;MG;42705;391400;274353;323100;220644;68300;3171;68265;0,2325;0,1609;0;19
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA ZONA DA MATA DE MINAS LTDA - SICOOB CREDILIVRE;41697103;b3S;;I;2;MANHUACU;MG;42705;386160;186697;310336;214865;75825;10116;75808;0,3367;0,0797;0;15
RENASCENCA DTVM LTDA - PRUDENCIAL;1000084105;n2;;I;2;SAO PAULO;SP;42705;380758;0;323307;300048;57452;7974;57452;0,2414;0,0192;1;0
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NOROESTE DE MATO GROSSO E ACRE - SICREDI NOROESTE MT E ACRE;33022690;b3S;;I;2;ARAPUTANGA;MT;42705;375340;218031;288146;196440;87193;13462;85425;0,2304;0,1409;0;15
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ E SUL DE SÃO PAULO - SICREDI NORTE SUL PR/SP;79063574;b3S;;I;2;SANTO ANTONIO DA PLATINA;PR;42705;375222;223242;317963;243034;57259;5753;59571;0,2112;0,195;0;20
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, DOS PROFISSIONAIS DE NÍVEL SUPERIOR DA ÁREA DA SAÚDE, DOS MEMBROS E SERV DO PODER JUD, DO MP E DE ÓRGÃOS JUR DA REG METROP DE NATAL - SICREDI NATAL;70038237;b3S;;I;2;NATAL;RN;42705;374671;102933;300607;282584;74064;8257;74037;0,4198;0,0359;0;0
AFEAM - PRUDENCIAL;1000081108;n1;;I;1;MANAUS;AM;42705;372633;50885;260483;67019;112150;-25335;111984;0,4666;0,0904;1;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS DA REGIÃO OESTE DO PARANÁ LTDA. - UNIPRIME OESTE DO PARANÁ;1736243;b3S;;I;2;CASCAVEL;PR;42705;369268;119933;319218;313837;50051;7586;50049;0,3104;0,0912;0;4
LEASEPLAN AM S.A. - PRUDENCIAL;1000082963;n1;;I;3;BARUERI;SP;42705;368983;8799;282931;207655;86052;9335;85998;0,2004;0,0058;1;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO INTEGRAÇÃO - SICREDI INTEGRAÇÃO PR/SC;81054686;b3S;;I;2;LAPA;PR;42705;368407;160848;332259;270881;36147;3113;38133;0,1676;0,1655;0;15
