Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Conta de Pagamento Pré-Paga (a5);Depósitos Outros (a6);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
PAGSEGURO;1000084813;b1;;C;2;SAO PAULO;SP;44256;0;0;0;4281214;663687;0;4944901;0;0;0;0;0;0;0;0;4944901;0;8319999;13264901;215093;9127482;22607476
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44256;39;0;163160;551549;0;0;714748;0;0;0;0;0;0;0;4942975;5657723;415833;15533671;21607227;980;824148;22432355
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44256;2291423;769419;32821;1585801;0;1485856;6165320;229975;0;212546;0;0;0;212546;770536;7378377;0;11853809;19232186;0;2490175;21722361
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;44256;7076853;935359;50199;5394449;0;0;13456861;164487;1704748;0;0;0;0;1704748;27179;15353274;83222;2544146;17980642;30;3233491;21214163
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;;C;2;SAO PAULO;SP;44256;0;0;0;0;538654;0;538654;0;0;0;0;0;0;0;1539998;2078652;1418;13217099;15297169;0;5763749;21060918
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44256;0;0;0;1330667;0;0;1330667;690054;0;0;0;0;4032939;4032939;122888;6176548;5395901;5255731;16828179;0;3940650;20768830
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44256;73153;0;766905;2983808;0;0;3823866;1936640;24774;429250;7517189;0;71252;8042465;1880222;15683193;404694;512304;16600191;15391;2602904;19218487
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44256;104784;2931;154373;5507791;0;0;5769879;3715952;1077;253093;398887;0;0;653057;4888908;15027796;76354;2854590;17958740;13501;1122709;19094950
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44256;527326;0;833679;6309717;2584375;0;10255098;141817;2164783;2205759;547844;0;58673;4977059;0;15373973;11353;1192413;16577739;2186;2393182;18973107
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;44256;0;0;0;5422506;0;0;5422506;601674;0;0;0;0;208021;208021;0;6232200;6894906;3193249;16320356;0;2171680;18492036
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44256;0;0;0;10029;0;0;10029;0;0;0;0;0;0;0;12312995;12323024;1136;953751;13277910;2618;3179781;16460309
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44256;9124;0;304552;3287616;0;0;3601292;880232;0;0;0;0;0;0;646340;5127865;2931306;6566012;14625182;1704;1045195;15672081
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44256;155549;0;558321;6969253;0;0;7683124;2768069;177400;340490;60377;0;0;578267;72570;11102030;1984839;520531;13607400;18729;750054;14376182
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;44256;448080;0;0;3225076;0;0;3673156;0;0;0;0;0;0;0;1898336;5571492;1061665;5804623;12437781;3187;1589997;14030964
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44256;0;0;3077092;2555685;0;0;5632777;0;0;0;3126409;0;0;3126409;2388121;11147307;3082;615816;11766205;4798;2151447;13922450
BANCO C6;1000084844;b1;S4;C;2;SAO PAULO;SP;44256;1002301;0;0;5916631;81128;0;7000060;1098998;4206;0;387734;0;0;391941;0;8490998;648;2575498;11067143;220658;1666011;12953812
BS2 - PRUDENCIAL;1000080422;b1;S3;C;2;BELO HORIZONTE;MG;44256;496073;0;189868;4308632;28359;13710;5036642;105503;48864;0;92140;0;0;141003;10;5283158;2;6957127;12240287;30951;538757;12809995
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;C;3;SAO PAULO;SP;44256;93;0;0;186131;0;0;186224;1002703;0;0;0;0;0;0;3362447;4551374;4668048;2322918;11542341;0;1183482;12725823
