Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Social de Cooperativas (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43525;369185;0;281221;20859;4711;0;675976;-277144;-211026;0;0;-17377;-505547;170430;72038;6771;-68235;-39013;-10352;0;142727;-123986;-20049;150381;-715;149666;1984;-32095;119554;0
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43525;553714;0;67827;0;778;6979;629298;-150302;-968;0;0;-55276;-206546;422751;18890;41828;-206834;-105881;-28453;12950;18936;-53773;-302338;120414;-172;120241;-38683;-10484;71074;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43525;20727;0;561938;-304595;310496;0;588567;-235462;-77637;0;0;-28369;-341467;247100;141569;202;-199642;-59606;-22035;0;25494;-21785;-135803;111297;-10;111288;-62209;-5606;43473;0
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;43525;526183;0;40855;254;1520;1330;570141;-105789;-373;0;0;-127981;-234142;335999;7445;54391;-101792;-142634;-26696;3337;15931;-93638;-283656;52344;-5621;46723;-17157;-207;29359;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43525;565861;0;4235;0;0;0;570096;-16425;0;0;0;-223804;-240229;329867;137323;114152;-35903;-227733;-51121;0;15011;-73480;-121751;208117;720;208837;-82029;0;126807;0
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43525;202155;834;346970;0;1225;7966;559150;-330801;-3048;-587;0;-30286;-364723;194427;32168;51631;-85631;-65450;-18688;5244;6053;-25914;-100587;93840;361;94201;-24873;-5962;63366;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;43525;504250;0;14743;0;0;0;518994;-28909;0;0;0;-230744;-259653;259341;70489;24184;-8225;-152078;-31082;0;12425;-46060;-130347;128994;4;128999;-47951;-9122;71925;0
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43525;429165;8229;11121;0;0;0;448515;-145443;0;-6723;0;-40180;-192346;256169;56799;19249;-34744;-111492;-23431;8789;23924;-18408;-79314;176855;431;177286;-64299;-4941;108046;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43525;226854;0;203931;-2344;9342;0;437783;-149541;-2616;0;0;-43008;-195165;242618;10351;5139;-68844;-100190;-12543;-252;57405;-63926;-172860;69758;-1160;68598;-10805;-56101;1692;0
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43525;182771;10129;184658;21677;26341;1;425577;-206113;-120776;-8257;0;-3423;-338570;87007;8446;184;-52473;-17019;-5759;-593;41829;-81451;-106836;-19829;-828;-20657;7003;0;-13654;0
