Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;41791;1547;1013904;226675;3226986;-86578;3140407;0;0;0;0;0;81291;104260;640471;5208554;0;5208554
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;41791;8509;141823;1568722;2375965;-99036;2276929;0;0;0;0;0;862584;154579;113215;5126362;0;5126362
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;41791;844;126099;951897;3468627;-197598;3271028;0;729;860;0;1588;340971;20984;22928;4736339;860;4735479
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;41791;23140;1212594;589215;351116;-106;351009;0;0;0;0;0;2397951;2902;2854;4579664;0;4579664
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;41791;6122;622754;230516;3333621;-64151;3269471;1113;186584;85143;-3014;269827;220314;17922;25684;4662609;85143;4577466
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;41791;1597;45436;0;4478753;-94932;4383822;0;0;0;0;0;72422;17487;4234;4524998;0;4524998
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;I;3;SAO PAULO;SP;41791;1318;0;31;4243883;-175541;4068342;153;20596;1157;-31;21875;157606;54791;2242;4306204;1157;4305048
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;41791;2029;0;154775;1298352;-356166;942186;0;0;0;0;0;3071099;8777;37132;4215998;0;4215998
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;41791;10271;677808;1595580;1511293;-69058;1442235;0;0;0;0;0;326804;68999;75519;4197217;0;4197217
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;41791;63634;50361;1125117;1694674;-69922;1624752;9;25441;19323;-730;44043;475341;620012;213155;4216414;19323;4197092
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;41791;1590;0;670425;3486879;-94817;3392061;0;0;0;0;0;92973;164;37754;4194967;0;4194967
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;41791;36729;0;278621;1372707;-197763;1174944;0;0;0;0;0;2420513;7026;6974;3924808;0;3924808
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;41791;11149;0;16888;3654527;-128877;3525650;1351;67608;26696;-2261;93395;122356;1317;10922;3781677;26696;3754981
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41791;3032;0;1118905;2310296;-126209;2184087;0;0;0;0;0;38782;45284;140670;3530759;0;3530759
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;41791;13216;1092585;836838;642761;-1054;641707;0;0;0;0;0;614474;309419;18971;3527209;0;3527209
PSA FINANCE - PRUDENCIAL;1000080594;b2;;C;3;SAO PAULO;SP;41791;9266;149283;128587;2686586;-52560;2634026;168;30134;16694;-922;46073;237914;9308;5967;3220425;16694;3203731
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;41791;4;661123;2260367;96064;-16;96048;0;0;0;0;0;90874;39;52387;3160843;0;3160843
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;41791;6;2808252;254799;0;0;0;0;0;0;0;0;2996;1624;81545;3149221;0;3149221
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;41791;4890;724943;655719;1092325;-31823;1060501;0;0;0;0;0;367757;85469;64791;2964071;0;2964071
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;41791;348;1381222;1110814;16677;-332;16345;0;0;0;0;0;23596;176663;171737;2880725;0;2880725
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;41791;16;2164169;349951;87334;-528;86805;0;0;0;0;0;3547;17017;94819;2716323;0;2716323
RODOBENS - PRUDENCIAL;1000080855;b1;;C;2;SAO PAULO;SP;41791;2652;1113;589042;1431028;-37951;1393077;922;173932;2435;-2583;174706;222883;36010;299189;2718671;2435;2716236
BONSUCESSO - PRUDENCIAL;1000080422;b1;;C;2;BELO HORIZONTE;MG;41791;2096;222179;410679;1722161;-110359;1611801;0;0;0;0;0;301890;55606;62161;2666414;0;2666414
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;41791;12050;533156;113522;1159071;-15104;1143967;0;618;606;0;1223;486860;27422;38329;2356529;606;2355923
SCANIA - PRUDENCIAL;1000080776;b2;;C;3;SAO BERNARDO DO CAMPO;SP;41791;3069;76153;156893;2007645;-37656;1969988;15;11323;2691;-92;13935;98519;15968;4434;2338960;2691;2336269
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;41791;13110;12633;577593;1213780;-60597;1153183;0;0;0;0;0;195072;99348;54780;2105718;0;2105718
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;41791;719;557136;410560;1210112;-229559;980553;0;0;0;0;0;106258;193;27656;2083075;0;2083075
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;41791;4;1315600;622707;58054;-1219;56835;0;0;0;0;0;3634;63;73388;2072231;0;2072231
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;41791;8075;0;490819;1451399;-37755;1413644;0;0;0;0;0;9467;21904;98724;2042633;0;2042633
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;41791;9447;49500;76146;1192213;-285226;906986;0;0;0;0;0;908160;0;1531;1951769;0;1951769
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;;I;3;RIO DE JANEIRO;RJ;41791;620;99823;526911;0;0;0;0;0;0;0;0;1286762;12243;18681;1945040;0;1945040
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;I;2;UBERLANDIA;MG;41791;332;330385;136365;1132397;-90560;1041837;0;0;0;0;0;278014;92982;60697;1940613;0;1940613
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;41791;53396;246833;192465;706272;-9400;696873;0;0;0;0;0;739118;4766;313;1933764;0;1933764
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;41791;17559;166290;116077;1484712;-243907;1240805;191;4406;1988;-132;6453;200480;163579;3131;1914375;1988;1912387
COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO, PARÁ E RONDÔNIA - CENTRAL SICREDI MT/PA/RO;33667205;b3C;;I;2;CUIABA;MT;41791;2;296259;1353759;63103;-27;63077;0;0;0;0;0;42641;36;41874;1797649;0;1797649
SOCOPA - PRUDENCIAL;1000080381;b1;;C;2;SAO PAULO;SP;41791;262591;383878;364114;256998;-13515;243484;0;0;0;0;0;505218;23885;6714;1789883;0;1789883
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;41791;236;191199;185756;923566;-266905;656661;0;0;0;0;0;699600;0;606;1734059;0;1734059
