Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Número de Agências;Número de Postos de Atendimento
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;41791;10700917;6567209;9430989;8101485;1269928;70468;12;0
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;;C;3;SAO PAULO;SP;41791;10038051;3114435;9008710;3750402;1029341;18632;5;0
BARCLAYS - PRUDENCIAL;1000080817;b1;;C;3;SAO PAULO;SP;41791;8361400;298;7791136;1925833;570263;32468;1;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;;C;3;SAO PAULO;SP;41791;8049003;328668;6719001;1904303;1330002;51668;2;0
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;;I;2;SAO PAULO;SP;41791;7672040;4617256;6604964;5604395;1067076;-151811;10;0
HAITONG - PRUDENCIAL;1000080666;b2;;C;3;SAO PAULO;SP;41791;7414528;1710763;6735228;6012386;679300;25102;6;0
BCO TOKYO-MITSUBISHI BM S.A. - PRUDENCIAL;1000081713;b1;;I;3;SAO PAULO;SP;41791;7053454;1250255;5893717;3707826;1159737;21710;2;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41791;6988420;240373;6639316;0;349104;0;0;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;;I;3;RIO DE JANEIRO;RJ;41791;6757987;3606028;6343909;6178252;414078;33287;2;0
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;41791;6729642;5605956;5565676;5026203;1163966;78497;1;0
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;;I;2;RIO DE JANEIRO;RJ;41791;6165204;0;1154081;3;5011123;3300;1;0
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;;C;3;SAO PAULO;SP;41791;5953176;1278766;5161455;2596769;791721;1562;4;0
BANCO FIDIS - PRUDENCIAL;1000081751;b2;;I;3;BETIM;MG;41791;5866321;5139207;5331975;5201352;534346;35877;2;0
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;;I;3;PORTO ALEGRE;RS;41791;5832442;5101369;5061776;4642084;770666;42933;2;0
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;41791;5622432;4703907;3826550;3436260;1795882;45365;1;0
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;;I;1;ARACAJU;SE;41791;5352037;1907340;5028814;2977468;323223;32882;61;9
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;;C;3;SAO PAULO;SP;41791;5293868;133583;4250690;2580406;1043178;35122;2;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;;I;1;BELEM;PA;41791;5282838;2908235;4774335;4550373;508502;40525;51;52
APE POUPEX - PRUDENCIAL;1000081184;n1;;I;2;BRASILIA;DF;41791;5261866;1049064;604006;494844;4657860;43205;54;0
J.MALUCELLI - PRUDENCIAL;1000080233;b1;;C;2;CURITIBA;PR;41791;5208554;3243494;3862254;3775679;1346301;74759;2;0
INDUSVAL - PRUDENCIAL;1000080415;b1;;C;2;SAO PAULO;SP;41791;5126362;2930128;4454931;4246249;671431;-8821;13;1
HONDA - PRUDENCIAL;1000080611;b2;;C;3;SAO PAULO;SP;41791;4735479;3468627;3536604;2873724;1198875;170135;2;0
ING - PRUDENCIAL;1000080501;b1;;C;3;SAO PAULO;SP;41791;4579664;2220073;3735348;3172108;844316;21952;2;0
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;;I;3;SAO PAULO;SP;41791;4577466;3443224;4075517;3579376;501949;20287;1;0
JOHN DEERE - PRUDENCIAL;1000080343;b1;;C;3;INDAIATUBA;SP;41791;4524998;4479121;3897369;3670255;627629;59213;2;0
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;;I;3;SAO PAULO;SP;41791;4305048;4258156;3599272;3531253;705776;10974;1;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;;I;3;SAO PAULO;SP;41791;4215998;3600397;3210435;238546;1005563;186552;1;0
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;41791;4197217;1627480;2136713;994978;2060504;24160;2;0
SOFISA - PRUDENCIAL;1000080271;b1;;C;2;SAO PAULO;SP;41791;4197092;1824978;3534073;2738563;663018;12025;17;0
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;;I;1;PORTO ALEGRE;RS;41791;4194967;3486879;3395203;3276625;799764;44453;1;0
PORTO SEGURO - PRUDENCIAL;1000080642;n1;;C;2;SAO PAULO;SP;41791;3924808;3656834;3462149;1010109;462658;69045;3;0
VOLVO - PRUDENCIAL;1000080769;b2;;C;3;CURITIBA;PR;41791;3754981;3696842;3231476;2983517;523504;33929;1;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41791;3530759;2310296;2620751;2582789;910008;4502;0;52
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;;I;3;SAO PAULO;SP;41791;3527209;1154202;2826963;2147873;700246;23233;1;0
PSA FINANCE - PRUDENCIAL;1000080594;b2;;C;3;SAO PAULO;SP;41791;3203731;2700520;2452686;1016565;751045;39344;2;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;41791;3160843;96064;3016438;184;144405;0;0;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;41791;3149221;0;3003801;2785218;145420;8467;0;0
BBM - PRUDENCIAL;1000080161;b1;;C;2;SALVADOR;BA;41791;2964071;1351641;2383011;2273627;581060;17296;9;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;41791;2880725;16677;2612595;185462;268130;13293;0;1
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;41791;2716323;87334;2564859;2328609;151464;1060;0;0
RODOBENS - PRUDENCIAL;1000080855;b1;;C;2;SAO PAULO;SP;41791;2716236;1580354;1872539;1351584;843697;76321;3;0
BONSUCESSO - PRUDENCIAL;1000080422;b1;;C;2;BELO HORIZONTE;MG;41791;2666414;1754866;2260791;1419602;405623;33535;5;0
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;;C;2;SAO PAULO;SP;41791;2355923;1550776;1887132;1734868;468791;23723;8;0
SCANIA - PRUDENCIAL;1000080776;b2;;C;3;SAO BERNARDO DO CAMPO;SP;41791;2336269;2016396;2097236;1892184;239033;21796;1;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;41791;2105718;1338824;1775703;1672745;330015;-4217;0;25
CREFISA S.A. CFI - PRUDENCIAL;1000083632;n1;;I;2;SAO PAULO;SP;41791;2083075;1210112;270684;0;1812391;327896;1;0
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;;I;2;BELO HORIZONTE;MG;41791;2072231;58218;1961513;75786;110718;4263;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;41791;2042633;1451399;1544368;1466747;498265;43902;0;78
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;;C;2;SAO PAULO;SP;41791;1951769;1834194;1329095;217647;622674;117604;2;0
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;;I;3;RIO DE JANEIRO;RJ;41791;1945040;0;1559234;0;385806;8908;3;0
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;;I;2;UBERLANDIA;MG;41791;1940613;1303161;1584704;1286566;355909;22755;43;0
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;;I;3;SAO PAULO;SP;41791;1933764;1434433;1541559;1405776;392205;31729;1;0
OMNI - PRUDENCIAL;1000080460;n1;;C;2;SAO PAULO;SP;41791;1912387;1530322;1680893;1067470;231494;15166;2;0
COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO, PARÁ E RONDÔNIA - CENTRAL SICREDI MT/PA/RO;33667205;b3C;;I;2;CUIABA;MT;41791;1797649;63103;1685455;5300;112194;604;0;0
SOCOPA - PRUDENCIAL;1000080381;b1;;C;2;SAO PAULO;SP;41791;1789883;264359;1626306;1042036;163577;17863;2;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;;I;2;SAO PAULO;SP;41791;1734059;1491037;1100417;367958;633642;101853;1;0
MIZUHO - PRUDENCIAL;1000080697;b1;;C;3;SAO PAULO;SP;41791;1711726;597310;1209444;934698;502281;7246;1;0
INTERMEDIUM - PRUDENCIAL;1000080996;b1;;C;2;BELO HORIZONTE;MG;41791;1686364;1263249;1388546;1194530;297818;10746;27;0
CAIXA GERAL - PRUDENCIAL;1000080927;b1;;C;3;SAO PAULO;SP;41791;1599909;662339;1189129;952962;410781;-6407;4;0
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;;I;2;RIO DE JANEIRO;RJ;41791;1580676;525694;1341668;1057130;239008;4463;2;0
RENASCENCA DTVM LTDA - PRUDENCIAL;1000084105;n2;;I;2;SAO PAULO;SP;41791;1574724;0;1526303;1514941;48421;4074;1;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;;I;2;CAMPO MOURAO;PR;41791;1556234;772404;1260130;1161491;296105;30285;0;38
BCO DES. DO ES S.A. - PRUDENCIAL;1000081304;b4;;I;1;VITORIA;ES;41791;1546808;976890;1288068;899648;258740;1085;1;0
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;;I;2;FRANCISCO BELTRAO;PR;41791;1504274;14284;1447881;993295;56393;789;0;0
FATOR - PRUDENCIAL;1000080350;b1;;C;2;SAO PAULO;SP;41791;1485011;120895;1074950;948644;410060;-8011;4;0
BCO FORD S.A. - PRUDENCIAL;1000081782;b2;;I;3;SAO PAULO;SP;41791;1458665;1316455;1167112;1136556;291554;27616;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;41791;1457570;1052127;1172452;649271;285118;24992;0;26
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;41791;1444935;1080411;1085929;1058509;359006;35877;0;5
RENDIMENTO - PRUDENCIAL;1000080659;b1;;C;2;SAO PAULO;SP;41791;1444531;399875;1227149;521100;217382;23463;12;1
STANDARD CHARTERED BI S.A. - PRUDENCIAL;1000081373;b2;;I;3;SAO PAULO;SP;41791;1416297;0;1116526;608310;299771;4938;1;0
AF DESENVOLVE SP S.A. - PRUDENCIAL;1000081153;n1;;I;1;SAO PAULO;SP;41791;1366343;883537;321302;272728;1045041;22127;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;41791;1316175;831254;1144125;731676;172050;11256;0;71
AF PARANÁ - PRUDENCIAL;1000081115;n1;;I;1;CURITIBA;PR;41791;1294214;727781;87912;43013;1206302;35421;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;41791;1275082;660560;1066965;971103;208117;15182;0;39
BANIF - PRUDENCIAL;1000080130;b1;;C;3;SAO PAULO;SP;41791;1271150;719850;1066750;898933;204399;5240;13;0
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;;I;3;SAO PAULO;SP;41791;1240564;449245;835975;776323;404589;4282;1;0
HP FINANCIAL SERVICES AM S.A - PRUDENCIAL;1000082987;n1;;I;3;BARUERI;SP;41791;1215556;1191563;751202;623758;464354;11091;3;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAIBA - SICREDI VANGUARDA PR/SP;78414067;b3S;;I;2;MEDIANEIRA;PR;41791;1128645;767442;954586;653081;174059;19008;0;39
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;;I;2;BELO HORIZONTE;MG;41791;1117193;329565;997776;972539;119417;9885;0;33
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CRESOL CENTRAL SC/RS;7202627;b3C;;I;2;CHAPECO;SC;41791;1102666;7507;1046744;625382;55922;327;0;0
BMW - PRUDENCIAL;1000080635;n1;;C;3;SAO PAULO;SP;41791;1095667;972849;908503;819989;187164;3348;2;0
BCO GUANABARA S.A. - PRUDENCIAL;1000081672;b1;;I;2;RIO DE JANEIRO;RJ;41791;1048075;400897;925944;826766;122131;-2138;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;;I;2;CERRO LARGO;RS;41791;1047449;599178;863436;638823;184013;18024;0;42
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUARIBA;44469161;b3S;;I;2;GUARIBA;SP;41791;1002435;399743;887603;810592;114832;6092;0;5
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - UNICRED CENTRAL NORTE/NORDESTE;70119680;b3C;;I;2;CABEDELO;PB;41791;996750;94039;897400;0;99350;4983;0;0
AF DO ESTADO DE SC S.A. - PRUDENCIAL;1000081074;n1;;I;1;FLORIANOPOLIS;SC;41791;984089;780688;465249;411003;518840;-813;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;;I;2;ENCANTADO;RS;41791;976638;285993;799773;715987;176866;17636;0;20
COOPERATIVA CENTRAL DE CRÉDITO URBANO - CECRED;5463212;b3C;;I;2;BLUMENAU;SC;41791;967700;106203;862341;753302;105359;0;0;0
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;;I;2;LONDRINA;PR;41791;934298;399591;646383;605524;287915;20125;0;20
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;;I;2;SORRISO;MT;41791;926527;430261;763777;505913;162750;20304;0;13
DESENBAHIA AG FOMENTO BAHIA SA - PRUDENCIAL;1000081067;n1;;I;1;SALVADOR;BA;41791;921803;462413;427534;367559;494269;13901;1;0
BRASIL PLURAL - PRUDENCIAL;1000080941;b1;;C;2;RIO DE JANEIRO;RJ;41791;903246;28414;788802;520210;114444;10312;7;0
BANCO MONEO S.A. - PRUDENCIAL;1000081500;b2;;I;2;CAXIAS DO SUL;RS;41791;896650;858715;720847;710040;175803;1570;1;0
DACASA FINANCEIRA - PRUDENCIAL;1000081005;n1;;C;2;VITORIA;ES;41791;890602;709071;771999;423417;118603;5995;45;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;;I;2;CARLOS BARBOSA;RS;41791;890268;409961;780169;672797;110099;13415;0;27
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;;I;2;PALOTINA;PR;41791;865810;477581;738943;469600;126867;15009;0;38
COOPERATIVA CENTRAL DE CRÉDITO DE GOIÁS LTDA;33416108;b3C;;I;2;GOIANIA;GO;41791;861618;7584;801498;0;60121;3800;0;0
UNIPRIME CENTRAL - CENTRAL INTERESTADUAL DE COOPERATIVAS DE CREDITO LTDA.;3046391;b3C;;I;2;LONDRINA;PR;41791;838182;0;815600;24044;22582;0;0;1
COOPERATIVA CENTRO BRASILEIRA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE LTDA.;37395399;b3S;;I;2;GOIANIA;GO;41791;783965;558679;609166;583500;174799;22573;0;13
COOPERATIVA DE CRÉDITO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES - SICOOB CREDICOONAI.;53923116;b3S;;I;2;RIBEIRAO PRETO;SP;41791;782773;530224;630765;329515;152008;8928;0;38
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;;I;2;CHAPECO;SC;41791;772761;486633;627473;611602;145288;19922;0;32
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26408161;b3S;;I;2;DOURADOS;MS;41791;750514;457278;592693;391486;157822;23755;0;22
CENTRAL DAS COOPERATIVAS DE CREDITO DO ESTADO DO PARANÁ - SICOOB CENTRAL PARANÁ;5036532;b3C;;I;2;MARINGA;PR;41791;750233;7800;697792;0;52441;-1423;0;0
BCO A.J. RENNER S.A. - PRUDENCIAL;1000081799;b1;;I;2;PORTO ALEGRE;RS;41791;744358;660532;651631;619934;92727;5918;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO GAÚCHO - SICREDI PLANALTO GAÚCHO;88038260;b3S;;I;2;CRUZ ALTA;RS;41791;742047;439592;588873;359950;153174;29271;0;21
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;;I;2;VITORIA;ES;41791;732879;24135;658098;206586;74781;2604;0;0
BCO KDB BRASIL S.A. - PRUDENCIAL;1000081603;b1;;I;3;SAO PAULO;SP;41791;728523;357604;622916;288269;105607;-7961;1;0
BCO COMMERCIAL INV. TRUST S.A. - PRUDENCIAL;1000081476;b2;;I;3;BARUERI;SP;41791;715370;464687;426001;298406;289370;9159;1;0
COOPERATIVA CENTRAL DE ECONOMIA E CRÉDITO MÚTUO DAS UNICRED'S DE SANTA CATARINA LTDA.- UNICRED CENTRAL SC;543968;b3C;;I;2;FLORIANOPOLIS;SC;41791;707768;0;657848;0;49920;1138;0;0
ICBC DO BRASIL BM S.A. - PRUDENCIAL;1000081830;b1;;I;3;SAO PAULO;SP;41791;701693;249420;502038;498233;199655;416;1;0
CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS;1634601;b3C;;I;2;PORTO ALEGRE;RS;41791;694216;754;667466;0;26749;0;0;0
COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO DO SUL, GOIÁS, DISTRITO FEDERAL E TOCANTINS - CENTRAL SICREDI BRASIL CENTRAL;33737818;b3C;;I;2;CAMPO GRANDE;MS;41791;691846;12004;663212;0;28635;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;;I;2;ERECHIM;RS;41791;691366;411484;598542;459539;92824;11447;0;36
BCO TRICURY S.A. - PRUDENCIAL;1000081696;b2;;I;2;SAO PAULO;SP;41791;685177;348461;463225;447650;221952;10029;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;;I;2;LINHARES;ES;41791;676231;576132;510283;495925;165948;24679;0;15
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;;I;2;FLORIANOPOLIS;SC;41791;667478;451282;514484;496301;152994;18166;0;8
BCO LUSO BRASILEIRO S.A. - PRUDENCIAL;1000081706;b1;;I;2;SAO PAULO;SP;41791;664387;389162;564282;489526;100105;-3302;1;0
YAMAHA MOTOR - PRUDENCIAL;1000080721;b2;;C;3;GUARULHOS;SP;41791;655765;519671;509580;375614;146185;13899;1;0
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35571249;b3S;;I;2;JOAO PESSOA;PB;41791;648921;435330;439290;408206;209630;20936;0;5
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;;I;2;ITAQUI;RS;41791;634574;355071;464975;306448;169599;15618;0;12
