Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE LIVRE ADMISSÃO DE ASSOCIADOS DO AGRESTE E SERTÃO CENTRAL DO ESTADO DE PERNAMBUCO - UNICRED CENTRO PERNAMBUCANA;41255225;b3S;I;2;;9;CARUARU;PE;dez/13;52.241;51.587;0;0;0;0;439;0;0;0;0;0;0;0;215;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SERTÃO BAIANO - SICOOB SERTÃO;2057584;b3S;I;2;;9;PINTADAS;BA;dez/13;52.381;46.732;0;0;0;0;5.422;0;0;0;0;0;0;0;227;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CAMPOS ALTOS LTDA - SICOOB CREDIAGRO;429890;b3S;I;2;;9;CAMPOS ALTOS;MG;dez/13;52.420;47.392;0;384;0;0;4.610;0;0;0;0;0;0;0;34;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOROESTE - SICOOB NOROESTE SC;81292278;b3S;I;2;;9;SAO LOURENCO D'OESTE;SC;dez/13;52.694;29.548;22.305;243;0;0;228;0;0;273;0;0;0;0;97;0
COOPERATIVA DE CRÉDITO DA MATA MINEIRA LTDA. - SICOOB CREDIMATA;1152097;b3S;I;2;;9;VOLTA GRANDE;MG;dez/13;53.075;51.411;1.202;178;0;0;0;0;0;0;0;0;0;0;285;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CONSELHEIRO PENA E REGIÃO LTDA. - SICOOB CREDICOPE;38588174;b3S;I;2;;9;CONSELHEIRO PENA;MG;dez/13;53.131;52.384;0;0;0;0;668;0;0;0;0;0;0;0;79;0
COOPERATIVA DE CREDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE TENENTE PORTELA - CRESOL TENENTE PORTELA;4622657;b3S;I;2;;9;TENENTE PORTELA;RS;dez/13;53.184;49.983;46;2.747;0;0;237;0;0;0;0;0;0;0;170;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAPIRANGA - SICOOB CREDITAPIRANGA SC;78483310;b3S;I;2;;9;ITAPIRANGA;SC;dez/13;53.633;27.945;25.514;0;0;0;79;0;0;0;0;0;0;0;96;0
COOPERATIVA DE CRÉDITO MÚTUO DOS EMPREGADOS DA MAXION - CREDMAXION;58290800;b3S;I;2;;9;CRUZEIRO;SP;dez/13;53.775;53.629;0;0;0;0;0;0;0;0;0;0;0;0;146;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO MEIO OESTE CATARINENSE - SICOOB CREDIMOC SC;80959638;b3S;I;2;;9;XANXERE;SC;dez/13;53.863;25.252;28.537;0;0;0;0;0;0;0;0;0;0;0;75;0
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DO NORDESTE DE MINAS GERAIS LTDA - SICOOB CARLOS CHAGAS;41753500;b3S;I;2;;9;CARLOS CHAGAS;MG;dez/13;54.478;53.812;0;561;0;0;0;0;0;0;0;0;0;0;106;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA JOHNSON & JOHNSON;45691128;b3S;I;2;;9;SAO JOSE DOS CAMPOS;SP;dez/13;54.829;54.372;392;0;0;0;0;0;0;0;0;0;0;0;65;0
