Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/12/2013;745830;28045;83532;509494;124760;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/12/2013;658405;31942;16003;414654;195753;54;0
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/12/2013;603548;0;0;167056;436492;0;0
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/12/2013;566584;66638;42308;265412;192227;0;0
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/12/2013;552861;78222;72445;352077;50116;0;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;I;3;;8;BARUERI;SP;01/12/2013;495442;9396;74963;315601;95473;9;0
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/12/2013;490806;49313;210488;145508;85494;2;0
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/12/2013;466425;1531;62289;241786;160633;186;0
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/12/2013;454603;66292;110789;272117;5391;13;0
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/12/2013;451907;19378;33512;337595;61420;3;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/12/2013;403893;30816;59913;87572;225574;19;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/12/2013;396499;28053;53949;314237;0;259;0
BANCO MODAL S.A.;30723886;b1;I;2;;8;RIO DE JANEIRO;RJ;01/12/2013;372833;0;15792;262806;94235;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/12/2013;351653;64251;108361;132821;45990;229;0
BANCO TRICURY S.A.;57839805;b2;I;2;;8;SAO PAULO;SP;01/12/2013;346612;34043;82835;126203;103530;0;0
BANCO RANDON S.A.;11476673;b1;I;2;;8;CAXIAS DO SUL;RS;01/12/2013;343382;14807;42030;134363;152182;0;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/12/2013;333891;26055;32087;240651;35098;0;0
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;;9;MARINGA;PR;01/12/2013;311470;113554;33574;84270;79944;129;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/12/2013;310039;95456;47632;71907;94987;57;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;01/12/2013;307135;34671;49757;114400;108207;99;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;;9;FLORIANOPOLIS;SC;01/12/2013;299636;13972;64039;205749;15851;25;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;01/12/2013;292648;0;0;34782;257866;0;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/12/2013;264913;41463;40497;121754;61197;0;0
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2013;264025;706;9990;214829;38499;1;0
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2013;262804;4166;24814;148788;85028;7;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;01/12/2013;260350;22073;33414;70497;134366;0;0
BRICKELL S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12865507;n1;I;2;;14;SAO PAULO;SP;01/12/2013;257039;5154;15360;120720;115805;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;01/12/2013;254423;111272;33579;70630;38897;45;0
SANTINVEST;50816;n1;C;2;;197;FLORIANOPOLIS;SC;01/12/2013;249213;13955;68372;154569;11949;368;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;01/12/2013;249010;36771;51023;78281;82797;138;0
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/12/2013;247730;56591;0;20469;170669;0;0
COOPERATIVA CENTRO BRASILEIRA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE LTDA.;37395399;b3S;I;2;;9;GOIANIA;GO;01/12/2013;247145;75591;39571;131088;882;13;0
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;01/12/2013;236309;0;3058;137275;95976;0;0
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/12/2013;230961;28839;11391;162825;27886;21;0
SOCOPA;50328;b1;C;2;;199;SAO PAULO;SP;01/12/2013;230875;41344;58376;9680;121475;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5582619;b3S;I;2;;9;LONDRINA;PR;01/12/2013;221183;45789;31435;30187;113736;36;0
