Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS FUNCIONARIOS DO EXPRESSO PRINCESA DOS CAMPOS;1551820;b3S;;I;2;PONTA GROSSA;PR;01/06/2016;364;0;18;0;0;0;382;0;0;0;0;-29;-29;352;0;0;-52;-49;0;0;0;0;-101;251;0;251;0;0;251;0
COOPERATIVA DE CRÉDITO RURAL DOS PLANTADORES DE CANA DA REGIÃO DE IGARAPAVA;52623311;b3S;;I;2;IGARAPAVA;SP;01/06/2016;381;0;0;0;0;0;381;0;0;0;0;9;9;391;0;0;-84;-116;-5;0;132;0;-73;318;6;324;0;0;324;0
PILLA CORRETORA DE VALORES MOBILIÁRIOS E CÂMBIO LTDA.;92875780;n2;;I;2;PORTO ALEGRE;RS;01/06/2016;4;0;377;0;0;0;380;0;0;0;0;0;0;380;335;0;-1752;-863;-51;0;1;1;-2329;-1949;409;-1540;0;0;-1540;0
COOPERATIVA DE CRÉDITO RURAL DO SERTÃO ALAGOANO ASCOOB COCREAL;7564184;b3S;;I;2;PAO DE ACUCAR;AL;01/06/2016;368;0;13;0;0;0;380;-12;-16;0;0;-144;-172;209;0;0;-107;-91;0;0;1;-26;-224;-15;0;-15;-1;0;-16;0
COOPERATIVA DE CRÉDITO MÚTUO DOS FUNCIONÁRIOS PÚBLICOS DO PODER JUDICIÁRIO DA CAPITAL DO ESTADO DE SÃO PAULO - JUDCRED;7651495;b3S;;I;2;SAO PAULO;SP;01/06/2016;366;0;13;0;0;0;379;0;-7;0;0;0;-7;371;124;0;-32;-288;0;1;9;-3;-190;182;0;182;0;0;182;0
COOPERATIVA DE CRÉDITO RURAL DE PEQUENOS AGRICULTORES E DA REFORMA AGRÁRIA DO CENTRO OESTE DO PARANÁ - CREHNOR LARANJEIRAS;1330387;b3S;;I;2;LARANJEIRAS DO SUL;PR;01/06/2016;342;0;36;0;0;0;378;-75;0;0;0;-120;-194;184;17;53;-203;-168;-4;0;60;-43;-288;-104;0;-104;0;0;-104;0
COOPERATIVA DE CREDITO DE MENDES LTDA;28572261;b3S;;I;2;MENDES;RJ;01/06/2016;264;0;104;0;0;0;368;-153;0;0;0;-263;-416;-48;55;87;-298;-182;-4;0;28;-37;-350;-398;0;-398;1;0;-399;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DA PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO E EMPREGADOS EM ESTABELECIMENTOS PRIVADOS DE ENSINO DO MUNICÍPIO DO RIO DE JANEIRO LTDA.;42445122;b3S;;I;2;RIO DE JANEIRO;RJ;01/06/2016;364;0;0;0;0;0;364;-24;0;0;0;-53;-78;287;1;0;-162;-101;1;0;2;-2;-262;25;0;25;0;0;25;0
VNK SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;20269566;n1;;I;2;FORTALEZA;CE;01/06/2016;341;0;24;0;0;0;364;0;0;0;0;-40;-40;324;0;0;0;-68;-17;0;0;0;-85;239;0;239;-74;0;165;0
CP & FRIZZO - DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62264924;n2;;I;2;SAO PAULO;SP;01/06/2016;0;0;364;0;0;0;364;0;0;0;0;0;0;364;112;0;-243;-240;-28;0;0;0;-399;-35;0;-35;0;0;-35;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA ANDORINHA - COFASA;64761471;b3S;;I;2;PRESIDENTE PRUDENTE;SP;01/06/2016;317;0;45;0;0;0;362;0;0;0;0;0;0;362;0;0;-152;-78;0;0;10;0;-221;141;0;141;0;0;141;0
COOPERATIVA DE CRÉDITO MÚTUO DOS TRABALHADORES DO SETOR AEROESPACIAL DE SÃO JOSE DOS CAMPOS - COSAE;8227676;b3S;;I;2;SAO JOSE DOS CAMPOS;SP;01/06/2016;334;0;24;0;0;0;358;-31;0;0;0;2;-29;328;0;0;-115;-136;1;0;12;0;-240;89;1;90;0;0;90;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO ALCOA EM PERNAMBUCO;8931800;b3S;;I;2;ITAPISSUMA;PE;01/06/2016;323;0;27;0;0;0;351;0;0;0;0;-22;-22;328;0;0;-61;-77;0;0;10;-124;-252;76;0;76;0;0;76;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DA REGIÃO NORTE MARANHENSE - SICOOB EMPRESARIAL;22491263;b3S;;I;2;SAO LUIS;MA;01/06/2016;251;0;100;0;0;0;350;-118;0;0;0;-54;-172;179;39;25;-194;-353;-3;0;144;-6;-347;-168;0;-168;0;0;-168;0
