Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;41153;NA;NA;677606;0;517606;2024749;0;0;0;0;0;169961;2194710;NA;NA%;NA%;0,2358;NA%;0,0099
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;41153;NA;NA;247864;77505;324795;1756294;0;267;27083;34997;62348;285266;2103908;NA;NA%;NA%;0,1544;NA%;0,2479
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;41153;NA;NA;730326;0;730326;763603;0;0;991713;41826;1033539;254992;2052134;NA;NA%;NA%;0,3559;NA%;0,025
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;41153;NA;NA;388756;0;388752;1765178;0;0;198;0;198;163785;1929162;NA;NA%;NA%;0,2015;NA%;0,1242
ING;51073;b1;;C;3;SAO PAULO;SP;41153;NA;NA;819188;0;819188;1546471;0;0;213823;0;213823;153283;1913577;NA;NA%;NA%;0,4281;NA%;0,005
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;41153;NA;NA;264252;68529;331452;907590;125909;4919;684431;78775;894034;100217;1901840;NA;NA%;NA%;0,1743;NA%;0,0704
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;41153;NA;NA;987352;0;987352;981542;0;0;0;0;0;802706;1784248;NA;NA%;NA%;0,5534;NA%;0,0156
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;41153;NA;NA;344073;-1;344072;1259285;0;0;1936;0;1936;501920;1763142;NA;NA%;NA%;0,1951;NA%;0,1413
HONDA;51396;b2;;C;3;SAO PAULO;SP;41153;NA;NA;416684;0;416684;1653179;0;0;0;0;0;85166;1738345;NA;NA%;NA%;0,2397;NA%;0,0015
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;41153;NA;NA;1090995;641;1091636;1403807;79498;0;103276;0;182774;143314;1729894;NA;NA%;NA%;0,631;NA%;0,0228
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;41153;NA;NA;239789;0;239789;1575909;21770;0;0;0;21770;118449;1716128;NA;NA%;NA%;0,1397;NA%;0
CAIXA GERAL;51815;b1;;C;3;SAO PAULO;SP;41153;NA;NA;460421;0;460421;1145242;45629;0;53075;27573;126277;187897;1459416;NA;NA%;NA%;0,3155;NA%;0,1376
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;41153;NA;NA;3660098;-727;3659371;1202247;0;0;14430;0;14430;215493;1432171;NA;NA%;NA%;2,5551;NA%;0,0065
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;41153;NA;NA;253117;0;239616;1332124;0;0;808;0;808;95820;1428752;NA;NA%;NA%;0,1677;NA%;0,0468
FATOR;50122;b1;;C;2;SAO PAULO;SP;41153;NA;NA;425000;0;425000;878573;230501;1385;103005;33742;368634;176042;1423249;NA;NA%;NA%;0,2986;NA%;0,3361
WESTLB;51554;b1;;I;3;SAO PAULO;SP;41153;NA;NA;514845;6568;521412;1194902;0;0;82905;0;82905;135522;1413329;NA;NA%;NA%;0,3689;NA%;0,0057
BANCO INTERMEDIUM S/A;416968;b1;;I;2;BELO HORIZONTE;MG;41153;NA;NA;272041;0;272041;1202164;0;0;0;0;0;176913;1379077;NA;NA%;NA%;0,1973;NA%;0,0303
SCANIA BANCO S.A.;11417016;b2;;I;3;SAO BERNARDO DO CAMPO;SP;41153;NA;NA;110471;55236;165707;1307989;0;0;0;0;0;26813;1334802;NA;NA%;NA%;0,1241;NA%;0,0104
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;41153;NA;NA;250932;521;251454;1123106;0;0;50077;0;50077;86048;1259232;NA;NA%;NA%;0,1997;NA%;0,0008
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;41153;NA;NA;178347;0;178347;829660;60016;0;14666;0;74683;234151;1138494;NA;NA%;NA%;0,1567;NA%;0,1371
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;41153;NA;NA;303246;0;303246;1024054;0;0;0;0;0;0;1126460;NA;NA%;NA%;0,2692;NA%;0,0166
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;41153;NA;NA;276665;0;276665;997591;0;0;0;0;0;120802;1118394;NA;NA%;NA%;0,2474;NA%;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;41153;NA;NA;336681;0;336681;1014619;0;0;0;0;0;0;1116081;NA;NA%;NA%;0,3017;NA%;0,0353
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;41153;NA;NA;369559;15088;384647;886799;0;0;24;0;24;151956;1038779;NA;NA%;NA%;0,3703;NA%;0,0014
BANCO STANDARD DE INVESTIMENTOS S.A.;4866275;b2;;I;3;SAO PAULO;SP;41153;NA;NA;310421;1410;311831;601222;0;0;299874;0;299874;131777;1032872;NA;NA%;NA%;0,3019;NA%;0,047
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;41153;NA;NA;412866;0;412866;944765;0;0;0;0;0;73407;1018172;NA;NA%;NA%;0,4055;NA%;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41153;NA;NA;239011;0;112573;881284;0;0;33425;2349;35774;10143;927201;NA;NA%;NA%;0,1214;NA%;0,0457
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;41153;NA;NA;207880;0;128020;855947;0;0;3075;0;3075;41674;900696;NA;NA%;NA%;0,1421;NA%;0,4509
DACASA FINANCEIRA S.A.-SOC. DE CRED. FINANC. E INVESTIMENTO;27406222;n1;;I;2;VITORIA;ES;41153;NA;NA;108476;0;108476;570586;0;0;12528;0;12528;259094;842209;NA;NA%;NA%;0,1288;NA%;0,1767
BANCO MONEO S.A.;7441209;b2;;I;2;CAXIAS DO SUL;RS;41153;NA;NA;167553;0;167553;725478;0;0;6;0;6;84475;809959;NA;NA%;NA%;0,2069;NA%;0,0048
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ - SICREDI UNIÃO PR;79342069;b3S;;I;2;MARINGA;PR;41153;NA;NA;118058;0;111148;737820;0;0;0;0;0;63682;801501;NA;NA%;NA%;0,1387;NA%;0,222
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CATARATAS DO IGUAÇU - SICREDI CATARATAS DO IGUAÇU;78414067;b3S;;I;2;MEDIANEIRA;PR;41153;NA;NA;111372;0;104906;704515;0;0;0;3095;3095;47380;754990;NA;NA%;NA%;0,139;NA%;0,1384
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;41153;NA;NA;164350;0;154005;692932;0;0;1;246;247;38583;731762;NA;NA%;NA%;0,2105;NA%;0,1201
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;;I;1;VITORIA;ES;41153;NA;NA;149983;0;149983;638415;0;0;0;0;0;84298;722713;NA;NA%;NA%;0,2075;NA%;0,0734
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;;I;1;SALVADOR;BA;41153;NA;NA;417762;5773;273535;643678;0;0;0;0;0;77576;721254;NA;NA%;NA%;0,3792;NA%;0,0401
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;;I;2;CERRO LARGO;RS;41153;NA;NA;139836;0;130932;665430;0;0;0;983;983;36360;702774;NA;NA%;NA%;0,1863;NA%;0,165
NOSSA CAIXA DESENVOLVIMENTO - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;;I;1;SAO PAULO;SP;41153;NA;NA;1033797;0;833797;536316;0;0;0;0;0;113204;649520;NA;NA%;NA%;1,2837;NA%;0,0033
STANDARD CHARTERED BANK (BRASIL) S.A. ? BANCO DE INVESTIMENTO;11932017;b2;;I;3;SAO PAULO;SP;41153;NA;NA;190818;3500;194318;346857;53401;0;159344;0;212745;73893;633495;NA;NA%;NA%;0,3067;NA%;0,0026
BANCO FICSA S.A.;61348538;b1;;I;2;SAO PAULO;SP;41153;NA;NA;78824;0;78824;575190;6924;0;437;1129;8491;38062;621742;NA;NA%;NA%;0,1268;NA%;0,0263
