cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;dez/20;86.095.229;276.549;4.852.408;15.248.017;25.097.995;7.350.769;2.575.010;30.679;55.431.426;19.968;940.482;3.135.972;5.318.335;2.193.678;922.044;4.778;12.535.257;125.382;1.384.702;1.801.755;112.120;1.942;9.018;253;3.435.172;104.044;3.568.097;398.578;864;231;627;0;4.072.442;0;0;0;0;0;0;0;0;166.123;1.243.809;2.109.480;2.634.595;1.341.408;990.761;3.106;8.489.281;1.824;61.982;189.855;401.744;130.954;8.482;0;794.841;56;156.553;796.914;309.696;55.120;18.471;0;1.336.810;0;0;0;0;0;0;0;0
b3S%;b3S - Cooperativa de Crédito Singulares;dez/20;3,94%;7,23%;8,32%;8,74%;9,99%;12,30%;19,44%;2,00%;9,86%;3,97%;6,85%;8,35%;8,55%;8,71%;2,77%;0,30%;7,20%;8,04%;8,68%;30,46%;23,26%;0,11%;1,07%;0,20%;12,91%;16,64%;3,51%;1,03%;0,03%;0,07%;0,72%;0,00%;2,76%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,39%;5,70%;8,23%;11,00%;13,02%;13,40%;0,20%;8,88%;0,22%;0,29%;0,36%;0,36%;0,18%;0,00%;0,00%;0,16%;0,05%;3,01%;4,22%;4,54%;1,75%;0,48%;0,00%;3,52%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/20;1.598.336;145;154.931;808.362;218.053;34.786;6.037;0;1.222.314;0;649;2.382;6.295;1.331;152;0;10.809;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8.267;43.027;148.102;86.440;1.981;164;287.980;0;5.992;32.781;38.460;0;0;0;77.232;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/20;0,07%;0,00%;0,27%;0,46%;0,09%;0,06%;0,05%;0,00%;0,22%;0,00%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,17%;0,62%;0,84%;0,03%;0,01%;0,30%;0,00%;0,03%;0,06%;0,03%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;dez/20;291.428.399;6.753;52.426;174.752;588.189;199.074;14.780;97.963;1.133.937;5.108;112.019;352.659;1.000.204;373.946;267.395;2.874;2.114.205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.287;30.281;127.694;105.072;24.107;4.686;0;293.127;137.466;8.039.525;21.000.926;52.482.317;42.550.131;126.057.089;31.745.258;282.012.712;2.572;435.825;925.046;1.821.146;1.103.672;1.585.996;162;5.874.419;0;0;0;0;0;0;0;0
b4%;b4 - Banco de Desenvolvimento;dez/20;13,35%;0,18%;0,09%;0,10%;0,23%;0,33%;0,11%;6,39%;0,20%;1,01%;0,82%;0,94%;1,61%;1,49%;0,80%;0,18%;1,21%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,14%;0,50%;0,44%;0,23%;0,06%;0,00%;0,31%;16,25%;37,43%;39,68%;46,90%;58,91%;66,77%;70,59%;57,19%;2,41%;8,38%;4,89%;26,72%;35,02%;41,63%;12,35%;15,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;dez/20;12.151.034;70.443;199.087;540.200;926.411;175.422;36.911;184;1.948.657;29.233;736.477;1.694.288;2.734.410;943.092;317.781;35.734;6.491.015;9.853;28.491;2.731;0;0;0;0;41.075;10.636;197.924;263.439;35.173;6.192;12.591;17;525.970;0;0;0;0;0;0;0;0;8.961;52.541;42.067;28.777;13.549;6.356;0;152.252;12.058;137.038;441.161;1.207.839;641.693;319.617;1.738;2.761.146;583;4.838;12.553;101.830;17.943;25.507;0;163.254;2;7;61.090;6.462;49;56;0;67.666
n1%;n1 - Não Bancário de Crédito;dez/20;0,56%;1,84%;0,34%;0,31%;0,37%;0,29%;0,28%;0,01%;0,35%;5,81%;5,37%;4,51%;4,40%;3,75%;0,95%;2,21%;3,73%;0,63%;0,18%;0,05%;0,00%;0,00%;0,00%;0,00%;0,15%;1,70%;0,19%;0,68%;1,03%;1,90%;14,52%;0,00%;0,36%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,18%;0,24%;0,16%;0,12%;0,13%;0,09%;0,00%;0,16%;1,43%;0,64%;0,83%;1,08%;0,89%;0,17%;0,00%;0,56%;0,55%;0,09%;0,07%;1,49%;0,57%;0,67%;0,00%;0,43%;0,00%;0,00%;1,23%;0,09%;0,01%;0,03%;0,00%;0,41%
n2;n2 - Não Bancário de Mercado de Capitais;dez/20;212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;212;212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;dez/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4;n4 - Instituições de Pagamento;dez/20;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;33;1;0;0;0;0;42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n4%;n4 - Instituições de Pagamento;dez/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C;C - Conglomerado;dez/20;1.525.489.386;2.160.407;47.366.045;137.977.981;185.692.322;44.696.449;8.865.935;1.370.867;428.130.006;365.027;9.186.669;25.580.752;41.621.052;18.379.761;31.677.259;1.567.830;128.378.350;1.204.550;14.238.287;3.080.385;368.388;1.724.610;831.693;127.864;21.575.776;481.050;90.458.980;32.637.821;2.617.296;248.522;21.952;2.348.150;128.813.772;963.855;44.670.307;59.385.523;33.485.295;24.068.476;5.773.864;5.950;168.353.270;3.957.963;18.249.394;20.273.059;19.245.841;8.037.535;5.949.567;1.536.849;77.250.208;413.474;5.917.389;18.469.797;32.868.659;11.458.766;22.479.793;6.363.012;97.970.890;43.646;3.840.668;14.340.989;3.676.006;1.638.062;1.985.336;1.148;25.525.854;1.093.887;989.479;2.170.096;3.910.264;646.565;95.678;2.358;8.908.327
C%;C - Conglomerado;dez/20;69,87%;56,50%;81,23%;79,07%;73,94%;74,78%;66,93%;89,38%;76,14%;72,49%;66,94%;68,12%;66,95%;73,01%;94,99%;96,98%;73,74%;77,28%;89,25%;52,07%;76,43%;99,89%;98,93%;99,80%;81,10%;76,92%;88,89%;84,08%;76,96%;76,10%;25,32%;100,00%;87,41%;60,64%;88,08%;85,66%;90,89%;96,79%;97,70%;100,00%;88,96%;80,80%;83,61%;79,09%;80,33%;77,99%;80,50%;99,44%;80,84%;48,88%;27,55%;34,90%;29,37%;15,87%;11,91%;14,15%;19,87%;40,83%;73,82%;75,87%;53,94%;51,97%;52,11%;87,65%;67,19%;91,89%;48,04%;43,54%;54,74%;83,66%;49,24%;27,37%;54,47%
I;I - Instituição independente;dez/20;657.985.656;1.663.501;10.944.625;36.515.094;65.436.423;15.075.944;4.381.269;162.843;134.179.699;138.554;4.537.141;11.973.212;20.547.761;6.793.387;1.669.392;48.740;45.708.187;354.206;1.714.465;2.835.481;113.581;1.942;9.018;253;5.028.945;144.329;11.304.382;6.180.250;783.575;78.071;64.740;17;18.555.363;625.554;6.044.820;9.941.623;3.357.192;797.296;135.684;0;20.902.169;940.720;3.577.554;5.359.676;4.713.678;2.268.685;1.441.605;8.586;18.310.505;432.458;15.564.145;34.454.917;79.029.521;60.767.651;166.300.760;38.606.022;395.155.474;63.253;1.362.321;4.560.633;3.138.401;1.513.879;1.824.658;162;12.463.307;96.487;1.070.289;2.814.442;3.233.298;126.276;98.624;6.259;7.445.674
I%;I - Instituição independente;dez/20;30,13%;43,50%;18,77%;20,93%;26,06%;25,22%;33,07%;10,62%;23,86%;27,51%;33,06%;31,88%;33,05%;26,99%;5,01%;3,02%;26,26%;22,72%;10,75%;47,93%;23,57%;0,11%;1,07%;0,20%;18,90%;23,08%;11,11%;15,92%;23,04%;23,90%;74,68%;0,00%;12,59%;39,36%;11,92%;14,34%;9,11%;3,21%;2,30%;0,00%;11,04%;19,20%;16,39%;20,91%;19,67%;22,01%;19,50%;0,56%;19,16%;51,12%;72,45%;65,10%;70,63%;84,13%;88,09%;85,85%;80,13%;59,17%;26,18%;24,13%;46,06%;48,03%;47,89%;12,35%;32,81%;8,11%;51,96%;56,46%;45,26%;16,34%;50,76%;72,63%;45,53%
