Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43617;90740;0;0;2079083;0;2169823;351169;0;0;0;0;0;0;4072037;6593030;538489;13923716;21055235;1032;1510548;22566815
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43617;75828;3111;222823;2367240;0;2669002;6482706;40140;823350;728717;55066;0;1647273;5353605;16152586;6286;4126046;20284918;12328;1599792;21897039
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43617;962377;576202;48240;1569874;1315685;4472379;106300;0;261802;0;0;0;261802;824614;5665095;0;12498783;18163878;0;2008888;20172766
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43617;0;0;3573;1799250;0;1802823;1281885;0;0;0;0;64533;64533;959737;4108977;10511931;1534412;16155320;0;1794912;17950232
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43617;0;0;1039101;5586780;0;6625880;0;0;0;1805595;0;0;1805595;2677069;11108543;0;3578451;14686995;174549;2832275;17693819
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43617;50489;0;65750;9675277;35;9791550;0;35536;97604;424863;42914;0;600918;540759;10933227;85162;3614270;14632659;0;2741361;17374019
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n4;;I;2;SAO PAULO;SP;43617;0;0;0;0;3194;3194;0;0;0;0;0;0;0;450398;453591;0;14292563;14746155;0;2465174;17211328
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43617;0;0;0;0;0;0;0;0;0;0;0;0;0;13132057;13132057;0;918910;14050967;6279;2785531;16842777
NU PAGAMENTOS - PRUDENCIAL;1000084693;n4;;I;2;SAO PAULO;SP;43709;0;0;0;81549;5135862;5217412;0;0;0;300772;0;84079;384851;138999;5741261;0;9481224;15222485;59615;968575;16250675
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43617;730184;1909284;199032;8227770;5832;11072102;385633;183940;0;10418;0;0;194358;151893;11803986;0;2759786;14563771;74;1662195;16226040
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43617;4147;0;0;259608;0;263755;23646;0;0;0;0;0;0;3730424;4017825;399431;10013351;14430607;8284;1461094;15899985
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43617;17865;0;23430;269068;0;310363;1780287;0;750224;6424864;0;1395005;8570093;1353931;12014673;414460;531339;12960473;22586;2491173;15474232
PAGSEGURO;1000084813;n4;;I;2;SAO PAULO;SP;43617;0;0;0;0;1740013;1740013;0;0;0;0;0;0;0;0;1740013;0;5441895;7181908;473;6822596;14004978
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43617;0;0;1787062;3113163;0;4900225;0;0;0;2425676;0;0;2425676;0;7325901;0;3045339;10371240;152453;2442275;12965968
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43617;189148;0;101389;5155488;2345;5448370;50007;1596652;1809323;58314;0;0;3464289;7733;8970400;16391;675469;9662260;13537;2232157;11907953
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43617;0;0;2463075;1782032;0;4245106;0;0;0;642096;0;0;642096;3692976;8580178;1736;559969;9141884;10623;1797989;10950495
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;43617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10304980;10304980;0;393924;10698903
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;43617;58;0;0;0;0;58;0;0;0;0;0;0;0;0;58;0;3039423;3039481;0;7362945;10402426
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;43617;92320;0;85501;5858317;0;6036138;425925;146072;150414;23385;0;0;319871;234227;7016161;1775974;609280;9401415;20702;807638;10229754
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;43617;276804;194213;42705;6083649;0;6597372;287774;7135;175998;17117;0;0;200250;0;7085396;0;1679302;8764698;425;894632;9659755
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43617;7231;0;409576;2287;0;419094;283180;0;0;702283;0;0;702283;0;1404558;0;5655909;7060467;780;2429966;9491213
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;43617;380448;0;5018;1300924;0;1686390;0;0;0;247507;0;0;247507;1089908;3023805;252925;4227760;7504490;4485;1620158;9129133
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43617;0;0;80000;568731;0;648731;0;635151;46558;391484;0;0;1073194;5391059;7112983;29215;184018;7326216;203311;1355447;8884974
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;43617;0;0;313515;0;966425;1279940;0;292371;0;0;0;0;292371;0;1572311;0;105570;1677881;0;6596996;8274877
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;43617;77995;0;0;1848776;0;1926771;0;0;0;0;0;0;0;3258979;5185750;152248;1031444;6369442;2410;1770326;8142178
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;43617;661645;968946;185540;4237186;0;6053318;61859;0;0;325886;0;0;325886;1080;6442143;0;353692;6795835;0;1280962;8076798
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;43617;0;0;729088;235645;0;964733;0;0;0;2312561;0;0;2312561;3056614;6333908;143262;575451;7052621;80986;820447;7954055
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;43617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7377343;7377343;0;228808;7606151
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;C;3;INDAIATUBA;SP;43617;120639;0;190811;52463;0;363913;0;0;0;0;0;0;0;5703497;6067410;0;115291;6182701;5625;1265699;7454025
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;43617;85;0;0;1705571;717;1706373;0;0;0;0;0;0;0;25981;1732354;0;5063976;6796330;0;369332;7165662
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;43617;138641;0;0;3982636;0;4121277;83299;138034;251151;1064;0;0;390249;228210;4823035;324804;833836;5981674;7873;1004773;6994321
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;43617;38375;0;155393;1933226;153;2127147;3044;68938;0;1391;0;0;70329;1952;2202473;19;4382374;6584866;3091;399008;6986964
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;43617;0;0;0;0;0;0;0;0;0;1372456;0;0;1372456;162546;1535003;1650;4520911;6057563;0;886455;6944018
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;43617;120325;0;2029;1608875;0;1731230;376633;79805;1445697;1409361;0;0;2934862;686624;5729350;83940;481018;6294307;13049;620188;6927545
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;43617;1113786;162580;0;1857126;0;3133492;71729;1812060;0;10861;0;12366;1835287;31346;5071854;6244;701999;5780097;7750;973098;6760945
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;43617;0;0;0;0;0;0;0;0;0;0;0;0;0;148013;148013;0;5967456;6115470;0;539088;6654558
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;43617;0;0;2743839;26671;0;2770510;0;0;0;316484;0;0;316484;692249;3779243;30841;977410;4787493;18264;1742118;6547876
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;43617;107;0;0;376028;0;376135;408079;0;0;0;0;0;0;2436237;3220451;901425;1209093;5330969;0;1099278;6430247
