Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/06/2018;7712337;5858156;0;425565;17854;0;5223;1258369;146862;0;0;0;0;0;0;307;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/06/2018;7341883;6806237;0;422665;109386;0;0;0;3596;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/06/2018;6625463;6594237;0;0;0;0;0;0;0;0;0;0;0;0;0;31226;0
JOHN DEERE;50071;b1;C;3;S4;199;INDAIATUBA;SP;01/06/2018;6443118;5944306;0;138854;5786;325704;0;0;28467;0;0;0;0;0;0;0;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/06/2018;6253248;5768744;0;219215;0;0;0;222563;15601;0;0;18583;0;0;0;8542;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/06/2018;6133352;6122875;0;0;0;0;0;0;0;0;0;0;0;0;0;10477;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/06/2018;5750478;4686043;125417;0;0;0;293494;638146;0;0;75;0;0;0;0;7303;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/06/2018;5484774;1804324;126206;1492442;0;0;167;22474;633840;10885;203365;367477;0;12555;811039;0;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/06/2018;5289770;5273269;0;0;0;0;0;16501;0;0;0;0;0;0;0;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/06/2018;5252148;2897375;0;0;0;0;0;1184841;0;0;2908;0;0;0;1122594;1629;42801
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/06/2018;4917784;4800406;0;48066;5492;0;0;54231;9589;0;0;0;0;0;0;0;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/06/2018;4871617;4871572;0;0;0;0;46;0;0;0;0;0;0;0;0;0;0
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/06/2018;4827295;2177654;0;0;0;0;0;0;0;0;0;0;0;0;0;2649641;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;4465278;106639;0;0;0;429130;0;1544039;0;0;0;1294725;0;0;0;0;1090744
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S4;8;BELEM;PA;01/06/2018;4142895;4137932;0;0;0;0;569;0;0;0;4184;0;0;0;0;210;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/06/2018;4036973;2423722;487029;45541;0;0;2716;911557;0;0;12690;0;0;0;152123;1594;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/06/2018;3560271;3426669;0;0;0;0;0;0;0;0;0;0;0;0;0;133602;0
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/06/2018;3496787;3415927;0;0;0;0;2667;45704;432;0;30646;0;0;0;0;1412;0
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/06/2018;3464341;3464290;0;0;0;0;0;0;0;0;0;0;0;0;0;52;0
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/06/2018;3439944;1137349;0;0;0;0;342010;1097413;0;0;0;0;0;0;0;35;863137
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/06/2018;3417510;1325615;13471;28598;0;0;12116;1383930;62350;0;0;23409;0;0;328440;0;239581
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/06/2018;3390073;404941;0;0;0;0;14283;1981646;0;0;85;3355;0;0;513703;13;472045
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/06/2018;3054353;1839719;0;1214633;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/06/2018;3034170;1056678;358614;342985;0;0;448160;733561;15926;480;35538;0;0;0;42189;40;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/06/2018;3022207;2210968;3313;0;0;0;0;807895;0;0;0;0;0;0;0;31;0
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/06/2018;2877251;1215143;111940;1587;0;0;1545997;313;0;0;0;0;0;0;0;2271;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/06/2018;2827749;566063;0;0;0;0;0;2068231;0;0;0;11965;0;0;181478;12;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;2762363;1718663;0;0;0;0;52550;991149;0;0;0;0;0;0;0;0;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;2726027;41722;0;0;0;0;0;108491;0;2575796;0;0;0;0;18;0;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/06/2018;2460880;2268916;158643;0;0;0;0;32290;0;0;0;0;0;0;0;1030;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/06/2018;2358220;1559772;34331;446720;4335;0;0;0;273511;0;12213;1346;0;2576;23414;0;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/06/2018;2292732;2214695;0;0;0;0;0;0;0;0;0;0;0;0;0;78037;0
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/06/2018;2268259;2242762;0;0;0;0;0;22316;0;0;1662;0;0;0;0;1519;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/06/2018;2171536;1666532;402344;816;0;0;0;77604;0;0;1417;0;0;0;19462;3359;0
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/06/2018;2152252;2139773;0;0;0;0;0;0;0;0;0;0;0;0;0;12479;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/06/2018;2106792;2106792;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/06/2018;2103890;573254;0;0;0;0;0;539553;0;991082;0;0;0;0;0;0;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/06/2018;2062013;556889;0;0;0;0;0;1498272;0;0;0;0;0;0;6852;0;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/06/2018;1872530;943394;0;3623;0;0;29909;36503;618288;0;7725;0;0;0;159953;134;73000
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/06/2018;1851805;1134531;1038;2106;0;0;3020;651279;0;0;35650;0;0;0;24170;12;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;1794728;0;0;0;0;0;0;398714;0;0;0;0;0;0;1396014;0;0
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;1747466;805241;0;0;0;0;0;942224;0;0;0;0;0;0;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/06/2018;1721545;501134;0;0;0;116459;0;811397;0;0;0;0;0;0;0;0;292555
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/06/2018;1720987;437663;0;0;0;0;1163764;119560;0;0;0;0;0;0;0;0;0
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/06/2018;1710385;720097;0;16414;626;0;2241;463690;0;0;0;0;0;0;507317;0;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;S3;25;BRASILIA;DF;01/06/2018;1697103;354381;1342720;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/06/2018;1690708;1288051;0;81252;3330;0;0;244529;47493;0;0;0;0;0;0;26054;0
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;01/06/2018;1688011;590485;0;0;0;0;0;0;0;0;0;0;0;0;1097526;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/06/2018;1635993;1325011;158960;0;0;0;0;150724;0;0;0;0;0;746;0;552;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/06/2018;1614143;1122640;0;273317;0;0;2990;166977;0;0;0;0;0;0;48219;0;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;S5;9;BRASILIA;DF;01/06/2018;1555878;56305;1499567;0;0;0;0;0;0;0;0;0;0;0;0;6;0
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/06/2018;1553401;1551506;0;0;0;0;0;0;0;0;0;0;0;0;0;1895;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/06/2018;1366828;933654;828;274;0;0;138193;293708;0;0;0;0;0;0;0;171;0
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/06/2018;1345305;1345304;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/06/2018;1309314;966834;26691;0;0;0;0;315453;0;0;0;0;0;0;0;336;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/06/2018;1239280;795759;0;0;0;0;0;436219;0;0;0;0;0;0;7302;0;0
BANCO ABN AMRO S.A.;3532415;b1;I;3;S4;8;SAO PAULO;SP;01/06/2018;1202707;462347;0;0;0;0;0;130587;0;0;0;0;0;0;609774;0;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/06/2018;1199679;1181601;0;0;0;0;0;0;0;0;0;0;0;0;0;18079;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/06/2018;1198300;968381;882;387;0;0;0;228571;0;0;0;0;0;0;0;79;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/06/2018;1197872;87488;0;407472;39092;0;0;0;33071;0;0;232900;0;397849;0;0;0
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/06/2018;1159822;707507;186386;101597;0;0;5325;43097;12251;2801;44761;41977;0;14120;0;1;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/06/2018;1133407;121137;1293;574337;7000;0;10228;0;38545;0;0;380864;0;0;0;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/06/2018;1115473;1021956;20333;0;0;0;0;72918;0;0;0;0;0;0;0;266;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;S4;5;VITORIA;ES;01/06/2018;1060027;937300;23869;43731;0;0;55126;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/06/2018;1047399;649026;0;0;0;0;0;398353;0;0;0;0;0;0;0;21;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;01/06/2018;1042089;692110;36001;0;0;0;0;313756;0;0;0;0;0;0;0;222;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/06/2018;1040302;435561;1040;0;0;0;0;491547;0;0;19851;0;0;189;92106;8;0
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;01/06/2018;1008558;6089;0;0;0;0;0;0;0;1002469;0;0;0;0;0;0;0
BANCO CBSS S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/06/2018;933124;919942;0;0;0;0;0;0;0;0;0;0;0;0;0;13182;0
BANCO A.J. RENNER S.A.;92874270;b1;I;2;S4;8;PORTO ALEGRE;RS;01/06/2018;931504;857721;0;0;0;0;0;73766;0;0;0;0;0;0;0;18;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;S4;9;CAMPO MOURAO;PR;01/06/2018;925885;925694;0;0;0;0;0;0;0;0;0;0;0;150;0;41;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/06/2018;912553;581530;522;0;0;0;0;330455;0;0;0;0;0;0;0;47;0
GRUPO BONSUCESSO - BS2;52034;b1;C;2;S4;199;BELO HORIZONTE;MG;01/06/2018;909568;78050;0;0;0;0;6447;318101;0;0;0;506656;0;0;0;314;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/06/2018;900173;380365;40119;21;0;0;0;478901;0;0;0;0;0;511;0;256;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;01/06/2018;862442;862430;0;0;0;0;0;0;0;0;0;0;0;0;0;12;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;I;2;S4;9;BELO HORIZONTE;MG;01/06/2018;858723;327302;0;0;0;0;0;531345;0;0;0;0;0;0;0;77;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/06/2018;834508;271632;86170;0;0;0;35;476487;0;0;0;0;0;0;0;183;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/06/2018;833032;588721;35542;0;0;0;0;208569;0;0;0;0;0;0;0;199;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;01/06/2018;816858;699739;965;0;0;0;0;115981;0;0;0;0;0;0;0;174;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;I;2;S4;9;CANARANA;MT;01/06/2018;812088;440635;48174;0;0;0;9492;313713;0;0;0;0;0;0;0;74;0
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;01/06/2018;808851;478229;0;0;0;0;0;225486;0;0;0;0;0;0;0;0;105136
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;01/06/2018;801753;490386;170;0;0;0;0;311135;0;0;0;0;0;0;0;62;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/06/2018;767558;698047;41577;0;0;0;0;27922;0;0;0;0;0;0;0;12;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;I;2;S4;9;ITAQUI;RS;01/06/2018;761238;407889;26732;0;0;0;0;325706;0;0;0;0;0;790;0;121;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;01/06/2018;748583;415163;0;1961;0;0;0;331324;0;0;0;0;0;106;0;29;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;01/06/2018;735903;569463;13;0;0;0;0;166395;0;0;0;0;0;0;0;32;0
DACASA FINANCEIRA;51891;n1;C;2;S4;197;VITORIA;ES;01/06/2018;734136;728726;0;0;0;0;0;0;0;0;0;0;0;0;0;5410;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;S4;30;SALVADOR;BA;01/06/2018;733331;239919;0;493077;0;0;0;0;0;0;0;0;0;0;307;29;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88038260;b3S;I;2;S4;9;CRUZ ALTA;RS;01/06/2018;718850;487302;4271;0;0;0;0;219265;0;0;0;0;0;7887;3;122;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/06/2018;703554;483100;15281;0;0;0;0;205010;0;0;0;0;0;0;0;162;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/06/2018;696279;557937;2606;0;0;0;13505;122048;0;0;0;0;0;0;0;183;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53923116;b3S;I;2;S4;9;RIBEIRAO PRETO;SP;01/06/2018;681961;679634;0;0;0;0;0;0;0;0;2308;0;0;0;0;19;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;S4;30;FLORIANOPOLIS;SC;01/06/2018;662056;297549;0;113574;0;0;2389;0;225836;0;22435;0;0;273;0;0;0
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35571249;b3S;I;2;S5;9;JOAO PESSOA;PB;01/06/2018;660761;559280;0;0;0;0;23268;78176;0;0;0;0;0;0;0;36;0
BOFA MERRILL LYNCH;51255;b1;C;3;S3;199;SAO PAULO;SP;01/06/2018;660492;10;0;0;0;0;0;660482;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;01/06/2018;636686;355789;25205;0;0;0;0;250521;0;0;0;0;0;4992;0;178;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.;2015588;b3S;I;2;S5;9;PIMENTA BUENO;RO;01/06/2018;628586;590198;11756;0;0;0;0;26619;0;0;0;0;0;0;0;13;0
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;01/06/2018;628120;162959;0;59999;0;0;234;371904;8546;0;0;0;0;0;24450;28;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;S4;14;SAO PAULO;SP;01/06/2018;626313;521824;0;0;0;0;0;104409;0;0;0;0;0;0;0;79;0
BANCO MONEO S.A.;7441209;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/06/2018;606181;317458;1727;221534;40230;0;0;1006;24226;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;I;2;S4;9;CAMPO VERDE;MT;01/06/2018;605414;410944;577;0;0;0;60698;133133;0;0;0;0;0;0;0;62;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;01/06/2018;602011;350468;22473;0;0;0;0;228958;0;0;0;0;0;0;0;112;0
BANCO SEMEAR S.A.;795423;b1;I;2;S4;8;BELO HORIZONTE;MG;01/06/2018;600350;366668;0;0;0;0;89026;140805;0;0;0;0;0;0;0;3851;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE MATO-GROSSENSE – SICREDI NORTE MT/PA;37442605;b3S;I;2;S4;9;COLIDER;MT;01/06/2018;598273;454138;3197;0;0;0;390;140402;0;0;0;0;0;0;0;146;0
