Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/06/2013;4828993;163404;397575;1868202;2395984;3827;0;;
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/06/2013;4535979;133709;428615;1815265;2158312;78;0;;
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/06/2013;4134103;41874;2036;115973;1036895;0;2937325;;
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2013;4112218;224882;252294;666901;2967642;498;0;;
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/06/2013;4034239;136632;107522;2324588;1464076;111;1309;;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/06/2013;3785505;66;1320323;455038;1706568;0;303510;;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/06/2013;3290443;17428;36240;38731;3198044;0;0;;
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/06/2013;3178381;188077;1037474;1289056;663763;12;0;;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/06/2013;3149377;61306;323435;1569961;1194672;3;0;;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/06/2013;3095129;63822;805731;1811590;413984;1;0;;
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/06/2013;2534766;218237;163776;999518;1025096;1;128138;;
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/06/2013;2387381;2942;11892;315620;1387942;0;668984;;
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/06/2013;2356143;34021;21028;290677;2010417;0;0;;
BANCO CNH CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/06/2013;2352306;723751;235205;779973;613378;0;0;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/06/2013;2169121;209999;1872931;4861;81329;0;0;;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/06/2013;1870049;13261;93613;88355;1674757;63;0;;
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/06/2013;1760650;85429;282427;1248391;144014;390;0;;
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/06/2013;1748604;474119;373344;211828;511088;0;178225;;
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/06/2013;1633344;0;826965;552743;253550;87;0;;
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/06/2013;1631691;1184180;83926;264052;99455;79;0;;
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/06/2013;1609442;232579;342172;841300;193392;0;0;;
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/06/2013;1543122;0;4459;671022;867639;2;0;;
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/06/2013;1477233;252535;403196;725885;95344;273;0;;
RURAL;31244;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2013;1411381;30589;24988;1015848;42818;4419;292719;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/06/2013;1397778;169753;311774;641963;274288;0;0;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/06/2013;1392796;0;349082;143145;900569;0;0;;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/06/2013;1268016;36;33485;934290;300202;2;0;;
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/06/2013;1192940;0;0;0;1192940;0;0;;
BMG;30290;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2013;1152246;200693;58325;180179;712998;51;0;;
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/06/2013;1083086;2923;638;948385;131140;0;0;;
TOYOTA;51334;b2;C;3;;198;SAO PAULO;SP;01/06/2013;1081543;107938;155190;658949;159455;11;0;;
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/06/2013;1018884;259;24559;206112;771943;0;16010;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/06/2013;1002929;0;38915;308011;656000;3;0;;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/06/2013;986906;14751;6244;309074;656838;0;0;;
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/06/2013;952963;40629;30126;122153;760055;0;0;;
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/06/2013;928587;0;629114;267695;31773;4;0;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/06/2013;927764;11184;249421;561078;102499;3582;0;;
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/06/2013;887755;139012;267814;108956;371973;0;0;;
RODOBENS;51736;b1;C;2;;199;SAO PAULO;SP;01/06/2013;841088;536268;113947;106076;84782;13;0;;
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/06/2013;784522;173540;208610;397454;4917;1;0;;
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/06/2013;765041;0;0;115945;649096;0;0;;
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/06/2013;702024;10075;20996;80189;590764;0;0;;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/06/2013;669893;62170;74026;434016;99682;0;0;;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/06/2013;668823;23595;5914;431648;207571;94;0;;
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/06/2013;665409;6483;40647;135242;483037;0;0;;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/06/2013;655357;51803;36273;467721;99559;1;0;;
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/06/2013;579945;71802;225523;167389;115225;7;0;;
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/06/2013;566090;60211;44613;320295;140970;1;0;;
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/06/2013;527469;82126;54407;173449;217475;11;0;;
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/06/2013;514525;17278;53496;386471;57278;2;0;;
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;I;3;;8;BARUERI;SP;01/06/2013;476599;13589;112945;278229;71824;12;0;;
ORIGINAL;51781;b1;C;2;;199;PORTO ALEGRE;RS;01/06/2013;451511;2784;53442;146781;248502;1;0;;
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/06/2013;424840;3257;127938;179247;114207;192;0;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/06/2013;419773;28180;56904;334447;0;242;0;;
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/06/2013;388951;193130;50405;54939;90422;55;0;;
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/06/2013;378715;49423;57184;260825;11283;0;0;;
BANCO MODAL S.A.;30723886;b1;I;2;;8;RIO DE JANEIRO;RJ;01/06/2013;366797;0;7308;322377;37112;0;0;;
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/06/2013;332702;56495;0;13045;263161;0;0;;
INTERCAP;50476;b1;C;2;;199;SAO PAULO;SP;01/06/2013;322817;7891;53986;205062;55877;1;0;;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/06/2013;311698;23557;26596;231906;29639;0;0;;
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/06/2013;305801;23502;56285;42485;183494;35;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/06/2013;303056;54487;98943;112364;37032;231;0;;
BANCO TRICURY S.A.;57839805;b2;I;2;;8;SAO PAULO;SP;01/06/2013;300019;22121;63283;112215;102400;0;0;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;;9;FLORIANOPOLIS;SC;01/06/2013;268579;11843;57931;185214;13554;38;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CENTRO NORTE DO MATO GROSSO - SICREDI CENTRO NORTE MT;26529420;b3S;I;2;;9;NOVA MUTUM;MT;01/06/2013;262875;27085;53506;93111;89104;69;0;;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/06/2013;254880;47108;36973;113583;57215;0;0;;
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;;9;MARINGA;PR;01/06/2013;254625;94111;28940;66379;65090;105;0;;
BANCO RANDON S.A.;11476673;b1;I;2;;8;CAXIAS DO SUL;RS;01/06/2013;251999;3318;40116;109878;98686;0;0;;
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/06/2013;250412;2153;18449;128857;100953;0;0;;
BRICKELL S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12865507;n1;I;2;;14;SAO PAULO;SP;01/06/2013;233028;5280;2210;124823;100716;0;0;;
BANCO INTERMEDIUM S/A;416968;b1;I;2;;8;BELO HORIZONTE;MG;01/06/2013;224244;1631;3295;184424;34892;2;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;01/06/2013;221742;97882;33979;56050;33797;34;0;;
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5883884;n1;I;3;;19;BARUERI;SP;01/06/2013;215864;898;4281;87416;123268;1;0;;
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;I;2;;9;PORTO ALEGRE;RS;01/06/2013;215756;215756;0;0;0;0;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ - SICREDI UNIÃO PR;79342069;b3S;I;2;;9;MARINGA;PR;01/06/2013;207705;20037;42104;70928;74515;121;0;;
COOPERATIVA CENTRO BRASILEIRA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE LTDA.;37395399;b3S;I;2;;9;GOIANIA;GO;01/06/2013;207319;50827;37384;118400;700;9;0;;
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;01/06/2013;205959;0;840;106451;98668;0;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5582619;b3S;I;2;;9;LONDRINA;PR;01/06/2013;203244;41958;29583;27132;104534;38;0;;
SANTINVEST;50816;n1;C;2;;197;FLORIANOPOLIS;SC;01/06/2013;203030;12917;58432;129077;2293;311;0;;
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35571249;b3S;I;2;;9;JOAO PESSOA;PB;01/06/2013;195828;38371;38348;77765;41327;18;0;;
SOCOPA;50328;b1;C;2;;199;SAO PAULO;SP;01/06/2013;190068;9920;30588;6389;143171;0;0;;
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DE SAÚDE E EMPRESÁRIOS LTDA;2398976;b3S;I;2;;9;LONDRINA;PR;01/06/2013;184817;24316;54013;106463;0;25;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;;9;CARLOS BARBOSA;RS;01/06/2013;184474;47391;57162;66586;13239;97;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CATARATAS DO IGUAÇU - SICREDI CATARATAS DO IGUAÇU;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/06/2013;178862;52439;49766;50493;26005;160;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;01/06/2013;175744;59098;21657;33499;61427;64;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/06/2013;174117;76933;14312;52646;30190;36;0;;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;01/06/2013;167614;0;0;10820;156793;0;0;;
COOPERATIVA CENTRAL DE CRÉDITO DE MATO GROSSO, PARÁ E RONDÔNIA - CENTRAL SICREDI MT/PA/RO;33667205;b3C;I;2;;9;CUIABA;MT;01/06/2013;165015;165015;0;0;0;0;0;;
BANCO TOPÁZIO S.A.;7679404;b1;I;2;;8;PORTO ALEGRE;RS;01/06/2013;162963;3374;9341;139566;10678;3;0;;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO/SC;78825270;b3S;I;2;;9;CHAPECO;SC;01/06/2013;162513;66204;27605;22860;45792;52;0;;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;I;2;;9;BELO HORIZONTE;MG;01/06/2013;158733;13190;66;0;145463;15;0;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DO RIO DE JANEIRO - UNICRED-RIO LTDA.;72128440;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/06/2013;158631;17639;8197;127903;4889;3;0;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, OUTROS PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO.;36900256;b3S;I;2;;9;CUIABA;MT;01/06/2013;158519;8426;30443;117397;2238;16;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/06/2013;158448;36758;40237;46940;34421;92;0;;
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;01/06/2013;157937;0;2009;138902;17026;0;0;;
BARCLAYS;51705;b1;C;3;;199;SAO PAULO;SP;01/06/2013;151211;0;253;263;150696;0;0;;
BANCO KEB DO BRASIL S.A.;2318507;b1;I;3;;2;SAO PAULO;SP;01/06/2013;143563;34053;0;67574;41936;0;0;;
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/06/2013;143161;133366;9358;433;0;5;0;;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;01/06/2013;139046;1385;2775;133631;1254;0;0;;
NBC BANK BRASIL S. A. - BANCO MÚLTIPLO;74828799;b1;I;3;;8;PORTO ALEGRE;RS;01/06/2013;138682;2469;14447;90908;30857;0;0;;
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;;14;SAO PAULO;SP;01/06/2013;136553;0;136553;0;0;0;0;;
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/06/2013;134734;19663;7987;98363;8697;25;0;;
ATRIA S.A.- CRÉDITO, FINANCIAMENTO E INVESTIMENTO;5956581;n1;I;2;;14;ARAUCARIA;PR;01/06/2013;130632;0;3007;85336;42290;0;0;;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/06/2013;128179;54025;56649;17247;0;258;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;;9;SANTA MARIA;RS;01/06/2013;125202;21785;20743;44830;37772;73;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;I;2;;9;ENCANTADO;RS;01/06/2013;125083;35575;34350;30682;24427;50;0;;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;;5;VITORIA;ES;01/06/2013;124339;30951;48227;42927;2221;13;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DOS VALES DO ITAJAÍ E ITAPOCÚ E DO LITORAL NORTE DE SANTA CATARINA - SICOOB BLUCREDI SC;3960819;b3S;I;2;;9;BLUMENAU;SC;01/06/2013;124061;42635;20573;23795;37027;32;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;;9;ERECHIM;RS;01/06/2013;121595;28434;28139;46300;18651;71;0;;
MÁXIMA;50201;b1;C;2;;199;RIO DE JANEIRO;RJ;01/06/2013;121160;1036;25825;86341;7958;0;0;;
BANCO VIPAL S.A.;9526594;b2;I;2;;8;PORTO ALEGRE;RS;01/06/2013;119469;21804;41121;32068;24233;244;0;;
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - UNICRED CENTRAL NORTE/NORDESTE;70119680;b3C;I;2;;9;CABEDELO;PB;01/06/2013;117449;635;2515;60124;54176;0;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;01/06/2013;115079;52681;28935;15166;18274;23;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;;9;RODEIO BONITO;RS;01/06/2013;114015;14628;28351;46952;24036;48;0;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DO LITORAL E NORTE CATARINENSE LTDA;74114042;b3S;I;2;;9;ITAJAI;SC;01/06/2013;109632;12404;28104;69089;0;35;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E REGIÃO LTDA;4388688;b3S;I;2;;9;GOIANIA;GO;01/06/2013;109000;7929;7122;17605;76334;10;0;;
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3358914;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/06/2013;103360;76012;8216;7370;11748;14;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO BRANCO - SICREDI OURO BRANCO RS;87853206;b3S;I;2;;9;TEUTONIA;RS;01/06/2013;103042;42793;21689;21365;17136;58;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUDOESTE DE MATO GROSSO - SICREDI SUDOESTE MT;32995755;b3S;I;3;;9;TANGARA DA SERRA;MT;01/06/2013;101057;7826;19574;43537;30073;47;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT;70431630;b3S;I;2;;9;JUINA;MT;01/06/2013;99427;18336;35237;39176;6620;58;0;;
COOPERATIVA DE CRÉDITO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES - SICOOB CREDICOONAI.;53923116;b3S;I;2;;9;RIBEIRAO PRETO;SP;01/06/2013;96372;28407;6527;27735;33645;59;0;;
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;I;2;;9;FLORIANOPOLIS;SC;01/06/2013;95967;116;2994;11765;81093;0;0;;
AGÊNCIA DE FOMENTO DO ESTADO DO AMAZONAS S.A. - AFEAM;3183937;n1;I;1;;30;MANAUS;AM;01/06/2013;94471;4641;42113;33492;14223;0;0;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DE BLUMENAU E VALE DO ITAJAÍ LTDA.;73443863;b3S;I;2;;9;BLUMENAU;SC;01/06/2013;93889;6176;33908;53788;0;18;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC;92555150;b3S;I;2;;9;TAPEJARA;RS;01/06/2013;93880;21768;22674;23728;25665;46;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26408161;b3S;I;2;;9;DOURADOS;MS;01/06/2013;92154;17092;15712;36914;22336;100;0;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE DAS REGIÕES METROPOLITANAS DA BAIXADA SANTISTA E GRANDE SÃO PAULO LTDA. - UNICRED METROPOLITANA;259231;b3S;I;2;;9;SANTOS;SP;01/06/2013;91207;3397;24458;56558;6778;16;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO FRONTEIRA DO IGUAÇU - SICREDI FRONTEIRA PR/SC;82527557;b3S;I;2;;9;CAPANEMA;PR;01/06/2013;90642;14873;24237;31801;19671;59;0;;
COOPERATIVA DE CRÉDITO DE LAJEADO - SICREDI VALE DO TAQUARI RS;91159764;b3S;I;2;;9;LAJEADO;RS;01/06/2013;90255;20711;23262;30064;16177;41;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;;9;PALOTINA;PR;01/06/2013;89256;20490;34077;30450;4159;80;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO MÉDIO DO RIO GRANDE DO SUL - SICREDI PLANALTO MÉDIO RS;87781530;b3S;I;2;;9;PASSO FUNDO;RS;01/06/2013;83569;13362;19188;34207;16771;42;0;;
