Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;41244;NA;NA;10057460;5028730;14305079;49705793;0;2743911;22989024;2960683;28693617;1759853;80159264;NA;NA%;NA%;0,1785;NA%;0,3742
SAFRA;10083;b1;;C;2;SAO PAULO;SP;41244;NA;NA;6823590;2805330;9628920;62603039;1524943;97683;2836179;742866;5201671;2685874;70490583;NA;NA%;NA%;0,1366;NA%;0,2195
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;41244;NA;NA;7811691;-231795;7579896;38178459;0;38841;6008004;18309;6065154;4335716;48579328;NA;NA%;NA%;0,156;NA%;0,1474
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;41244;NA;NA;4874515;1786940;6509321;27354016;539011;0;33150;22373;594533;4280600;32229150;NA;NA%;NA%;0,202;NA%;0,0799
BMG;30290;b1;;C;2;BELO HORIZONTE;MG;41244;NA;NA;2507503;1185360;3692864;30168549;436229;0;0;4891;441120;566112;31175781;NA;NA%;NA%;0,1185;NA%;0,0449
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;41244;NA;NA;2611406;2572865;5184271;26112664;0;3184;33704;0;36888;4451573;30601125;NA;NA%;NA%;0,1694;NA%;0,0387
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;41244;NA;NA;3416365;1024886;4339125;11151638;8814473;0;4674973;270390;13759836;2337016;27248489;NA;NA%;NA%;0,1592;NA%;0,2908
BANCO VOLKSWAGEN S.A.;59109165;b2;;I;3;SAO PAULO;SP;41244;NA;NA;2045549;966244;3011794;21889217;0;0;0;0;0;654871;22544088;NA;NA%;NA%;0,1336;NA%;0,0582
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;41244;NA;NA;3493498;0;3493498;6456904;1245912;116417;11594413;505346;13462087;1052893;20971885;NA;NA%;NA%;0,1666;NA%;0,0207
BIC;32119;b1;;C;2;SAO PAULO;SP;41244;NA;NA;1959030;955918;2914948;15584712;0;0;1738188;19949;1758137;1067560;18410410;NA;NA%;NA%;0,1583;NA%;0,0555
BNP PARIBAS;51516;b1;;C;3;SAO PAULO;SP;41244;NA;NA;2552160;191128;2743287;12545677;277237;1628;2765806;39642;3084312;1727909;17357898;NA;NA%;NA%;0,158;NA%;0,0373
PANAMERICANO;31323;b1;;C;2;SAO PAULO;SP;41244;NA;NA;1582342;790547;2353112;14137449;173316;0;479257;0;652573;1866004;16656026;NA;NA%;NA%;0,1413;NA%;0,5083
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;41244;NA;NA;1674893;832389;2507282;14915885;0;70900;159518;7127;237545;690410;15843840;NA;NA%;NA%;0,1582;NA%;0,0333
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41244;NA;NA;1946078;64936;2011014;11708247;0;0;809;0;809;1423252;13132308;NA;NA%;NA%;0,1531;NA%;0,0577
BANCO DAYCOVAL S.A.;62232889;b1;;I;2;SAO PAULO;SP;41244;NA;NA;2197500;6007;2203507;9230248;642628;0;1278142;256635;2177404;1257052;12664703;NA;NA%;NA%;0,174;NA%;0,0839
ALFA;51293;b1;;C;2;SAO PAULO;SP;41244;NA;NA;1879179;0;1879179;11087222;0;0;119221;3590;122811;729977;11940010;NA;NA%;NA%;0,1574;NA%;0,1175
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41244;NA;NA;1498628;0;1498628;7109099;0;241936;3372009;0;3613945;689476;11412520;NA;NA%;NA%;0,1313;NA%;0,0266
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;41244;NA;NA;1248145;146913;1395058;10396689;0;0;0;0;0;531922;10928610;NA;NA%;NA%;0,1277;NA%;0,0028
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;41244;NA;NA;1051462;534000;1585462;8471311;460091;29745;877700;0;1367536;489776;10328623;NA;NA%;NA%;0,1535;NA%;0,0094
MERCANTIL DO BRASIL;20152;b1;;C;2;BELO HORIZONTE;MG;41244;NA;NA;838555;419546;1258101;9661506;0;0;3176;1286;4462;496954;10162923;NA;NA%;NA%;0,1238;NA%;0,1412
BANCO CLASSICO S.A.;31597552;b1;;I;2;RIO DE JANEIRO;RJ;41244;NA;NA;2302716;2042276;4344992;3360315;0;0;1846;6583493;6585339;156698;10102352;NA;NA%;NA%;0,4301;NA%;0
FIBRA;49951;b1;;C;2;SAO PAULO;SP;41244;NA;NA;1006246;239494;1245740;8332482;0;0;853464;26727;880191;198380;9411053;NA;NA%;NA%;0,1324;NA%;0,1277
BANCO GMAC S.A.;59274605;b2;;I;3;SAO PAULO;SP;41244;NA;NA;1206927;0;1206927;8234539;0;0;0;0;0;986857;9221396;NA;NA%;NA%;0,1309;NA%;0,1658
PINE;50304;b1;;C;2;SAO PAULO;SP;41244;NA;NA;1220446;257199;1477645;8178821;0;275636;593082;0;868718;80854;9128393;NA;NA%;NA%;0,1619;NA%;0,1021
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;41244;NA;NA;1615696;1113;1616809;4072559;2372010;40177;1312594;54289;3779070;685772;8537402;NA;NA%;NA%;0,1894;NA%;0,0075
BRB;31976;b1;;C;1;BRASILIA;DF;41244;NA;NA;944094;188644;1132738;7706640;0;156;117632;20577;138364;615386;8460390;NA;NA%;NA%;0,1339;NA%;0,1439
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;41244;NA;NA;1337975;-2099;1335875;7962140;0;0;0;9373;9373;463941;8435454;NA;NA%;NA%;0,1584;NA%;0,018
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;41244;NA;NA;1314635;52242;1366520;3909857;677210;189;962200;23709;1663307;827084;6400248;NA;NA%;NA%;0,2135;NA%;0,0368
BANESTES;30159;b1;;C;1;VITORIA;ES;41244;NA;NA;860740;8640;869381;5122136;0;20;81251;2402;83673;686748;5892558;NA;NA%;NA%;0,1475;NA%;0,2264
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41244;NA;NA;741258;-52267;688991;3536553;1052445;2791;727873;509;1783618;360096;5680266;NA;NA%;NA%;0,1213;NA%;0,1055
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;41244;NA;NA;477572;124419;601991;4629833;0;0;9612;382;9994;216550;4856377;NA;NA%;NA%;0,124;NA%;0,152
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;41244;NA;NA;565429;12982;578410;4395242;0;0;0;0;0;189510;4584751;NA;NA%;NA%;0,1262;NA%;0,0067
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;41244;NA;NA;1214568;44;1214612;4115234;0;0;0;0;0;368313;4483547;NA;NA%;NA%;0,2709;NA%;0,4817
ORIGINAL;51781;b1;;C;2;PORTO ALEGRE;RS;41244;NA;NA;1922900;0;1922900;1758898;0;3018;2041061;0;2044080;590046;4393023;NA;NA%;NA%;0,4377;NA%;0,0784
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;41244;NA;NA;988420;-1730;986689;3930686;0;0;0;0;0;300102;4230787;NA;NA%;NA%;0,2332;NA%;0,0049
BES;51482;b2;;C;3;SAO PAULO;SP;41244;NA;NA;640751;23577;664328;3033077;0;0;848765;2303;851068;230378;4114523;NA;NA%;NA%;0,1615;NA%;0,2099
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;41244;NA;NA;658664;0;658664;3809815;0;0;0;0;0;141657;3951472;NA;NA%;NA%;0,1667;NA%;0,0034
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;41244;NA;NA;584267;1340;583331;3384984;94428;55030;119952;77979;347388;173723;3906096;NA;NA%;NA%;0,1493;NA%;0,0932
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41244;NA;NA;467037;33916;500953;3416853;0;0;33473;0;33473;314095;3764420;NA;NA%;NA%;0,1331;NA%;0,1399
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;41244;NA;NA;379461;189731;569192;3331329;0;189;32163;13233;45584;371568;3748481;NA;NA%;NA%;0,1518;NA%;0,2616
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;41244;NA;NA;480111;48204;528314;3242048;0;0;0;0;0;174220;3416267;NA;NA%;NA%;0,1546;NA%;0,0611
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;41244;NA;NA;450332;114709;565041;3029529;279685;0;0;0;279685;106019;3415234;NA;NA%;NA%;0,1654;NA%;0,0074
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;41244;NA;NA;551039;0;551039;3166584;0;0;0;0;0;232073;3398657;NA;NA%;NA%;0,1621;NA%;0,0005
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;41244;NA;NA;272186;126548;398734;3110275;0;0;0;0;0;209935;3320210;NA;NA%;NA%;0,1201;NA%;0,2735
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;41244;NA;NA;769386;8172;777557;2712715;0;0;435609;0;435609;165121;3313446;NA;NA%;NA%;0,2347;NA%;0,0246
SOFISA;31873;b1;;C;2;SAO PAULO;SP;41244;NA;NA;781128;-979;780149;3100975;0;22013;5347;19050;46410;120751;3268136;NA;NA%;NA%;0,2387;NA%;0,3899
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;41244;NA;NA;480257;2981;483238;2936117;0;0;0;0;0;206824;3142942;NA;NA%;NA%;0,1538;NA%;0,0108
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;41244;NA;NA;1460336;9798;1070134;2338388;0;0;377126;0;377126;354740;3070255;NA;NA%;NA%;0,3485;NA%;0,0248
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;41244;NA;NA;749317;63679;789942;2496421;0;0;0;0;0;245709;2742130;NA;NA%;NA%;0,2881;NA%;0,0748
TOYOTA;51334;b2;;C;3;SAO PAULO;SP;41244;NA;NA;334418;42590;377008;2614324;0;0;0;0;0;82758;2697083;NA;NA%;NA%;0,1398;NA%;0,0441
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;41244;NA;NA;786715;0;732878;866321;0;64132;1431384;0;1495516;317184;2679020;NA;NA%;NA%;0,2736;NA%;0,0827
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;41244;NA;NA;441975;25160;467135;2372645;37284;0;23729;17240;78253;158127;2609024;NA;NA%;NA%;0,179;NA%;0,0721
RODOBENS;51736;b1;;C;2;SAO PAULO;SP;41244;NA;NA;387056;0;387056;2561596;0;0;82;0;82;30242;2591919;NA;NA%;NA%;0,1493;NA%;0,2282
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;41244;NA;NA;681937;0;467937;2306643;0;0;0;0;0;169961;2476604;NA;NA%;NA%;0,1889;NA%;0,0093
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;41244;NA;NA;606902;14;606916;2340112;0;0;0;0;0;112549;2452661;NA;NA%;NA%;0,2475;NA%;0,0114
BBM;30207;b1;;C;2;SALVADOR;BA;41244;NA;NA;537904;405;538309;1858318;87064;0;253337;0;340400;244527;2443245;NA;NA%;NA%;0,2203;NA%;0,0874
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;;I;3;SAO PAULO;SP;41244;NA;NA;641674;81831;723505;2159905;111545;0;38936;0;150482;111425;2421812;NA;NA%;NA%;0,2987;NA%;0,0032
BANCO MODAL S.A.;30723886;b1;;I;2;RIO DE JANEIRO;RJ;41244;NA;NA;251851;70607;320343;926740;318170;763;820124;84056;1223113;100217;2250070;NA;NA%;NA%;0,1424;NA%;0,0671
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;41244;NA;NA;257808;57749;315164;1833662;0;304;37311;36175;73790;285266;2192718;NA;NA%;NA%;0,1437;NA%;0,2485
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;41244;NA;NA;793489;0;793489;765684;75874;0;1083728;0;1159602;254992;2180279;NA;NA%;NA%;0,3639;NA%;0,032
BANIF;20255;b1;;C;3;SAO PAULO;SP;41244;NA;NA;203960;82381;286341;1817613;24563;0;7212;0;31775;201726;2051113;NA;NA%;NA%;0,1396;NA%;0,0274
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;41244;NA;NA;419837;0;419834;1858367;0;0;1163;0;1163;163785;2023315;NA;NA%;NA%;0,2075;NA%;0,1246
HONDA;51396;b2;;C;3;SAO PAULO;SP;41244;NA;NA;430322;0;430322;1747327;0;0;0;0;0;85166;1832493;NA;NA%;NA%;0,2348;NA%;0,0013
ING;51073;b1;;C;3;SAO PAULO;SP;41244;NA;NA;799302;0;799302;1453211;0;0;205985;0;205985;153283;1812480;NA;NA%;NA%;0,441;NA%;0,005
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;41244;NA;NA;1102418;0;1102418;1007806;0;0;0;0;0;802706;1810511;NA;NA%;NA%;0,6089;NA%;0,0137
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;41244;NA;NA;335135;78;335213;1302405;0;0;1711;0;1711;501920;1806036;NA;NA%;NA%;0,1856;NA%;0,1481
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;41244;NA;NA;1096802;256;1097057;1332473;0;0;319585;0;319585;143314;1795372;NA;NA%;NA%;0,611;NA%;0,0262
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;41244;NA;NA;239645;0;239645;1660427;0;0;0;0;0;118449;1778876;NA;NA%;NA%;0,1347;NA%;0
CAIXA GERAL;51815;b1;;C;3;SAO PAULO;SP;41244;NA;NA;474379;0;474379;1298478;70502;0;75027;764;146293;187897;1632668;NA;NA%;NA%;0,2906;NA%;0,0993
FATOR;50122;b1;;C;2;SAO PAULO;SP;41244;NA;NA;427532;0;427532;871716;231332;848;200672;55895;488748;176042;1536505;NA;NA%;NA%;0,2782;NA%;0,3282
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;41244;NA;NA;267313;0;253812;1425830;0;0;4820;0;4820;95820;1526471;NA;NA%;NA%;0,1663;NA%;0,0467
SCANIA BANCO S.A.;11417016;b2;;I;3;SAO BERNARDO DO CAMPO;SP;41244;NA;NA;114407;57203;171610;1482870;0;0;0;0;0;26813;1509683;NA;NA%;NA%;0,1137;NA%;0,0123
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;41244;NA;NA;3795754;-631;3795123;1259521;0;0;20667;0;20667;215493;1495681;NA;NA%;NA%;2,5374;NA%;0,0064
BANCO CARGILL S.A.;3609817;b1;;I;3;SAO PAULO;SP;41244;NA;NA;260165;340;260505;1230253;0;0;80049;0;80049;86048;1396350;NA;NA%;NA%;0,1866;NA%;0,0007
BANCO INTERMEDIUM S/A;416968;b1;;I;2;BELO HORIZONTE;MG;41244;NA;NA;274443;0;274443;1207695;0;0;0;0;0;176913;1384608;NA;NA%;NA%;0,1982;NA%;0,0363
WESTLB;51554;b1;;I;3;SAO PAULO;SP;41244;NA;NA;508572;6729;515301;1136612;0;0;81836;0;81836;135522;1353970;NA;NA%;NA%;0,3806;NA%;0,0055
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;41244;NA;NA;269767;0;269767;1190113;0;0;0;0;0;120802;1310915;NA;NA%;NA%;0,2058;NA%;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;41244;NA;NA;393793;17263;411056;1079268;0;0;0;0;0;151956;1231225;NA;NA%;NA%;0,3339;NA%;0,0013
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;41244;NA;NA;336469;0;336469;1108694;0;0;0;0;0;0;1219563;NA;NA%;NA%;0,2759;NA%;0,0366
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;41244;NA;NA;272132;0;272132;1056697;0;0;0;0;0;0;1162367;NA;NA%;NA%;0,2341;NA%;0,0325
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;41244;NA;NA;177440;0;177440;851431;29145;0;38268;0;67413;234151;1152995;NA;NA%;NA%;0,1539;NA%;0,1572
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;41244;NA;NA;409483;0;409483;1068323;0;0;0;0;0;73407;1141729;NA;NA%;NA%;0,3587;NA%;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41244;NA;NA;238710;0;111326;861804;0;0;45005;5008;50013;10143;921961;NA;NA%;NA%;0,1207;NA%;0,0463
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;41244;NA;NA;221382;0;138934;852530;0;0;2086;0;2086;41674;896290;NA;NA%;NA%;0,155;NA%;0,4704
DACASA FINANCEIRA S.A.-SOC. DE CRED. FINANC. E INVESTIMENTO;27406222;n1;;I;2;VITORIA;ES;41244;NA;NA;108422;0;108422;588429;0;0;12717;0;12717;259094;860240;NA;NA%;NA%;0,126;NA%;0,1951
BANCO MONEO S.A.;7441209;b2;;I;2;CAXIAS DO SUL;RS;41244;NA;NA;166541;0;166541;770143;0;0;9;0;9;84475;854627;NA;NA%;NA%;0,1949;NA%;0,0044
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ - SICREDI UNIÃO PR;79342069;b3S;;I;2;MARINGA;PR;41244;NA;NA;122159;0;115249;752322;0;0;0;0;0;63682;816003;NA;NA%;NA%;0,1412;NA%;0,2171
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CATARATAS DO IGUAÇU - SICREDI CATARATAS DO IGUAÇU;78414067;b3S;;I;2;MEDIANEIRA;PR;41244;NA;NA;116305;0;109840;746055;0;0;0;3137;3137;47380;796573;NA;NA%;NA%;0,1379;NA%;0,1372
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;;I;1;VITORIA;ES;41244;NA;NA;159226;0;159226;696295;0;0;0;0;0;84298;780593;NA;NA%;NA%;0,204;NA%;0,1318
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;41244;NA;NA;170426;0;160081;726450;0;0;0;249;250;38583;765284;NA;NA%;NA%;0,2092;NA%;0,1201
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;;I;1;SALVADOR;BA;41244;NA;NA;436223;5747;291970;673556;0;0;0;0;0;77576;751132;NA;NA%;NA%;0,3887;NA%;0,1666
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;;I;2;CERRO LARGO;RS;41244;NA;NA;144770;0;135867;687744;0;0;0;997;997;36360;725102;NA;NA%;NA%;0,1874;NA%;0,1639
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;;I;2;SORRISO;MT;41244;NA;NA;107492;0;101916;669368;0;0;0;0;0;35747;705114;NA;NA%;NA%;0,1445;NA%;0,1108
BANCO GUANABARA S.A.;31880826;b1;;I;2;RIO DE JANEIRO;RJ;41244;NA;NA;122140;28197;150337;593408;0;0;0;0;0;68029;661437;NA;NA%;NA%;0,2273;NA%;0,0179
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26565770;b3S;;I;2;LUCAS DO RIO VERDE;MT;41244;NA;NA;132857;0;125509;630744;0;0;0;0;0;30429;661174;NA;NA%;NA%;0,1898;NA%;0,051
NOSSA CAIXA DESENVOLVIMENTO - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;;I;1;SAO PAULO;SP;41244;NA;NA;1033458;0;833458;536957;0;0;0;0;0;113204;650162;NA;NA%;NA%;1,2819;NA%;0,0036
BANCO STANDARD DE INVESTIMENTOS S.A.;4866275;b2;;I;3;SAO PAULO;SP;41244;NA;NA;261088;-234;260854;325534;0;0;178855;0;178855;131777;636166;NA;NA%;NA%;0,41;NA%;0,0522
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;41244;NA;NA;134743;37336;172079;433894;26731;0;0;0;26731;146017;606642;NA;NA%;NA%;0,2837;NA%;0,0369
BANCO FICSA S.A.;61348538;b1;;I;2;SAO PAULO;SP;41244;NA;NA;78219;5644;83863;564620;0;0;1574;0;1574;38062;604256;NA;NA%;NA%;0,1388;NA%;0,0233
XP INVESTIMENTOS CORRETORA DE CÂMBIO,TÍTULOS E VALORES MOBILIÁRIOS S/A;2332886;n2;;I;2;RIO DE JANEIRO;RJ;41244;NA;NA;81742;0;81742;258350;0;0;53571;2060;55631;270061;584041;NA;NA%;NA%;0,14;NA%;0,187
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;;I;2;ENCANTADO;RS;41244;NA;NA;132066;0;124153;542956;0;0;2;0;2;28683;571641;NA;NA%;NA%;0,2172;NA%;0,0765
INTERCAP;50476;b1;;C;2;SAO PAULO;SP;41244;NA;NA;100569;109;100678;375989;105004;0;15077;2545;122626;57103;555718;NA;NA%;NA%;0,1812;NA%;0,0131
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;;I;2;CAMPO MOURAO;PR;41244;NA;NA;225360;0;225360;512932;0;1352;0;0;1352;39813;554097;NA;NA%;NA%;0,4067;NA%;0,0009
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;;I;3;BARUERI;SP;41244;NA;NA;238536;0;238536;498362;0;0;0;0;0;53422;551784;NA;NA%;NA%;0,4323;NA%;0,0045
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO GAÚCHO - SICREDI PLANALTO GAÚCHO;88038260;b3S;;I;3;CRUZ ALTA;RS;41244;NA;NA;108737;0;102010;518209;0;0;0;0;0;28692;546901;NA;NA%;NA%;0,1865;NA%;0,0554
BANCO KDB DO BRASIL S.A.;7656500;b1;;I;3;SAO PAULO;SP;41244;NA;NA;79769;1;79770;508230;0;0;0;0;0;33297;541527;NA;NA%;NA%;0,1473;NA%;0,0083
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CENTRO NORTE DO MATO GROSSO - SICREDI CENTRO NORTE MT;26529420;b3S;;I;2;NOVA MUTUM;MT;41244;NA;NA;82221;0;77987;517839;0;0;0;0;0;22947;540786;NA;NA%;NA%;0,1442;NA%;0,064
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;;I;2;BELO HORIZONTE;MG;41244;NA;NA;84363;541;83274;476064;0;0;0;303;303;60653;537020;NA;NA%;NA%;0,1551;NA%;0,0772
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;41244;NA;NA;120522;0;70753;507377;0;0;8327;0;8327;17248;532952;NA;NA%;NA%;0,1328;NA%;0,2352
