Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;;I;2;PORTO ALEGRE;RS;01/06/2014;339947;0;622557;-1431;2182;23207;986463;-759997;-39125;0;0;260;-798862;187602;15481;21;-44778;-105889;-11815;7466;37086;-29176;-131605;55996;-12;55985;-20030;0;35954;0
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;01/06/2014;275768;0;1426796;-777168;45977;0;971373;-682348;-109973;0;0;-105794;-898116;73257;453589;0;-307156;-226002;-48094;-11128;326840;-134846;53204;126461;289;126751;-76669;-9;50072;0
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;;I;2;SAO PAULO;SP;01/06/2014;913707;0;46872;0;0;0;960579;0;0;0;0;-163684;-163684;796895;3;0;-8576;-274416;-46221;0;93310;-4527;-240426;556470;-82;556388;-228173;-319;327896;-39312
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;01/06/2014;50368;764459;129656;0;0;0;944483;-269378;-1844;-633962;0;-24856;-930040;14444;0;0;0;-16227;-4652;0;62156;-12067;29210;43653;0;43653;-10366;0;33287;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;01/06/2014;271486;0;572785;0;0;12583;856854;-689819;-21108;0;0;-6978;-717905;138949;116576;36;-33917;-77551;-19007;992;4508;-79163;-87525;51424;20975;72398;-27407;-1906;43086;0
BANESTES;30159;b1;;C;1;VITORIA;ES;01/06/2014;390789;23713;411113;0;8991;17419;852024;-494669;-5815;-17606;0;-84746;-602837;249187;83631;35988;-130003;-100609;-26729;8984;21109;-46505;-154133;95054;1216;96269;-19931;-8558;67780;-19478
ALFA;51293;b1;;C;2;SAO PAULO;SP;01/06/2014;499375;104730;265857;-37794;3944;0;836111;-492804;-34450;-84749;0;-12782;-624784;211327;13100;19941;-82787;-53423;-13815;8430;48020;-82020;-142555;68771;15;68786;-7741;-4149;56896;-19644
BIC;32119;b1;;C;2;SAO PAULO;SP;01/06/2014;761727;81789;136762;-152605;0;129;827803;-511813;-41719;-59047;-23348;-307534;-943460;-115658;34157;13706;-109693;-97575;-39831;-564;226024;-114259;-88036;-203693;-20103;-223796;88471;-7867;-143191;0
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;01/06/2014;40707;0;810488;-112342;0;0;738853;-257327;-30744;0;-165216;5178;-448109;290744;204416;176;-276653;-90889;-73468;0;581181;-434578;-89815;200929;42510;243439;-93772;-8137;141531;0
ABC-BRASIL;41856;b1;;C;3;SAO PAULO;SP;01/06/2014;481739;0;293853;-156185;65079;0;684486;-404092;-53539;0;0;-42027;-499658;184828;76549;6281;-73069;-41273;-21509;-29968;180039;-24321;72729;257557;-2291;255266;-61353;-43438;150474;-47766
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;01/06/2014;627493;0;7705;0;0;0;635198;-10408;0;0;0;-226712;-237120;398079;126551;94546;-37155;-184142;-66311;0;24850;-57151;-98811;299267;0;299267;-112715;0;186552;0
BANCO FIBRA S.A.;58616418;b1;;I;2;SAO PAULO;SP;01/06/2014;457056;0;112836;6313;2816;0;579022;-345611;-14501;0;0;-141072;-501184;77839;12098;4973;-86204;-152342;-14544;-8278;100511;-70135;-213921;-136082;-2378;-138460;-12934;-417;-151811;0
PERNAMBUCANAS;40699;n1;;C;2;SAO PAULO;SP;01/06/2014;565610;0;7503;0;0;0;573113;-11567;0;0;-11;-250164;-261742;311371;2845;29670;-27572;-76224;-1515;-10;30988;-73218;-115037;196334;1;196334;-78729;0;117604;0
PINE;50304;b1;;C;2;SAO PAULO;SP;01/06/2014;357728;0;184994;22080;0;0;564802;-340831;-40213;0;-19151;-33539;-433734;131068;41492;828;-44727;-44742;-4604;1185;28448;-4288;-26407;104661;11307;115968;-22934;-22566;70468;-33263
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;01/06/2014;448613;0;77546;0;0;7194;533354;-165456;-3;0;-322;-75928;-241709;291645;4083;23976;-90727;-92996;-20068;0;3584;-2500;-174649;116996;519;117515;-72464;-4525;40525;-12500
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;01/06/2014;165852;0;355279;0;1895;522;523548;-116871;-173511;0;0;-25384;-315766;207782;242276;55040;-212876;-119441;-36520;0;242407;-257504;-86618;121165;2221;123385;-63274;0;60112;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;01/06/2014;413379;0;79972;0;0;563;493915;0;-177810;0;0;-19456;-197266;296648;19872;0;-75636;-16225;-12678;0;6623;-8941;-86984;209664;-918;208747;-84374;0;124373;0
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;01/06/2014;401902;43438;3046;0;0;0;448386;-67995;-109216;-41080;0;-63586;-281877;166510;6;8259;-32407;-47752;-16669;0;63126;-19571;-45008;121502;-7581;113921;-41352;0;72569;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;01/06/2014;387920;0;19257;0;0;0;407177;-19906;0;0;-11;-10216;-30133;377044;71173;8833;-8750;-92125;-25473;0;3949;-163211;-205604;171440;-121;171319;-67367;-2099;101853;0
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;01/06/2014;386474;0;7932;0;0;0;394406;-47441;0;0;0;-169440;-216881;177525;93712;55604;-12381;-99003;-24272;0;19735;-125414;-92018;85507;0;85507;-32965;-1614;50928;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;01/06/2014;0;0;330230;-47314;110207;0;393122;-191313;0;0;0;0;-191313;201809;118766;0;-104604;-30268;-18689;-5967;16056;-22518;-47224;154585;0;154585;-52192;0;102393;0
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;01/06/2014;348203;0;44567;-1197;0;0;391573;-169583;-2186;0;-118;-39599;-211485;180088;5725;1610;-16528;-91294;-10654;27395;1742;-3570;-85574;94515;-18;94497;-19685;-53;74759;-19204
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;01/06/2014;15806;0;207615;-246580;401417;0;378258;-76619;-9574;0;0;21929;-64264;313994;266654;1213;-209653;-54076;-21995;0;31914;-241941;-227885;86110;-12;86097;-34430;0;51668;0
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;01/06/2014;326592;0;46504;-4766;2462;0;370792;-117786;-53;0;0;-94834;-212674;158118;9141;2918;-23899;-104015;-9740;4313;65356;-60047;-115972;42147;-134;42013;-10646;0;31367;-12000
OMNI;50940;n1;;C;2;SAO PAULO;SP;01/06/2014;302236;538;66257;-7936;0;0;361095;-158240;-3067;-275;0;-76918;-238500;122594;4161;32230;-6111;-138266;-13666;19854;9553;-20011;-112255;10339;-2318;8021;6914;0;14934;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;01/06/2014;160611;190562;18551;-15117;0;0;354606;0;-43817;-170906;0;2920;-211804;142803;34236;80;-36801;-72749;-10878;0;32654;-18168;-71627;71176;-72;71104;-28171;0;42933;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;01/06/2014;47160;0;278967;-32934;43100;0;336293;-210998;-19108;0;0;-1673;-231778;104514;116235;370;-118774;-55915;-13293;0;45068;-52529;-78839;25676;-44;25631;-15705;0;9926;0
HONDA;51396;b2;;C;3;SAO PAULO;SP;01/06/2014;328496;267;5272;0;0;0;334036;-136228;0;-67;0;-70212;-206508;127528;10403;36836;-7158;-64679;-13470;0;14617;-10239;-33689;93839;1;93838;-37524;0;56314;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;01/06/2014;109;332764;0;0;0;0;332873;0;-33478;-261796;0;-13500;-308774;24099;0;0;0;-8681;-2880;0;5281;-1082;-7362;16738;1141;17879;-6789;0;11091;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;01/06/2014;267491;27116;37092;-1105;0;0;330593;-88572;-24861;-22096;0;23584;-111945;218648;4513;5;-21818;-22981;-8197;4;10821;-46631;-84284;134363;191;134554;-54268;-1789;78497;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;01/06/2014;103189;0;203750;20535;0;0;327475;-117752;-21337;0;-180408;-50246;-369743;-42269;27109;3862;-67710;-36281;-14377;-1453;349229;-89511;170868;128600;-148;128452;-48303;-8974;71175;0
BES;51482;b2;;C;3;SAO PAULO;SP;01/06/2014;104508;0;330212;-121830;0;0;312889;-271210;-12182;0;-5429;815;-288005;24884;47946;2696;-42390;-27393;-8827;-1037;61744;-14320;18418;43302;140;43442;-10916;-7424;25102;-10100
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;01/06/2014;10556;0;298993;0;0;0;309549;-299308;0;0;0;102;-299205;10344;0;0;-19613;85930;0;1744;2810;-81346;-10475;-132;132;0;0;0;0;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;01/06/2014;262647;807;38337;1421;0;0;303212;-180262;-15541;-582;0;-34848;-231233;71980;615;770;-9965;-17737;-5191;0;7364;-8478;-32621;39358;21753;61111;-24499;-735;35877;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;01/06/2014;327149;137458;145134;-354319;21335;0;276756;-30914;-22577;-116454;0;-67473;-237418;39338;9431;8463;-62510;-157283;-13989;-1653;266354;-57645;-8832;30506;964;31470;-12838;0;18632;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;01/06/2014;94323;0;133763;0;0;34968;263054;-157630;0;0;0;-225;-157855;105200;0;1648;-32777;-17224;-6325;0;1161;-10268;-63786;41414;1791;43205;0;0;43205;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;01/06/2014;155801;0;89450;12239;0;0;257490;-187226;-21242;0;-7490;-3315;-219274;38216;24629;2974;-51967;-43927;-6832;4498;48397;-19200;-41429;-3213;-3054;-6268;1733;-4287;-8821;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;01/06/2014;160226;32025;58781;1707;3804;0;256542;-129689;-5000;-30732;0;-12937;-178357;78184;334;5564;-23314;-22501;-5785;-10380;19741;-8411;-44753;33432;-1456;31976;-12658;-7292;12025;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;01/06/2014;177641;0;65836;0;0;8755;252232;-107360;-2467;0;0;-13237;-123064;129169;25943;7048;-65215;-43533;-10593;520;1537;-3947;-88240;40928;-271;40657;-15188;-3345;22124;-5802
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;01/06/2014;229374;0;31640;-19560;0;0;241454;-39145;-55569;0;-4207;-45301;-144222;97232;19379;2844;-40656;-24060;-9122;0;59639;-23561;-15536;81696;-1996;79700;-32067;-2268;45365;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;01/06/2014;1037;0;225928;13697;0;0;240662;-168535;-199;0;-6089;255;-174569;66094;78809;0;-54070;-25563;-1865;132;14924;-18021;-5654;60440;-96;60343;-27822;-53;32468;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;01/06/2014;179515;0;53736;0;0;0;233251;-59310;-27924;0;0;-91570;-178804;54447;2676;1558;-29977;-22762;-447;0;4680;-2709;-46982;7465;215;7680;-615;-2563;4502;0
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;01/06/2014;111813;0;50190;70267;0;0;232270;-42825;-338;0;-3321;-22454;-68938;163333;6131;12;-46613;-32589;-8223;-178;30638;-25603;-76426;86907;-855;86051;-20309;-41582;24160;0
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;01/06/2014;7837;0;225556;-18779;2253;0;216867;-105784;0;0;0;-39;-105824;111043;128041;0;-140836;-44813;-11926;0;33154;-14698;-51077;59966;1020;60986;-25865;0;35122;0
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;01/06/2014;144184;42971;37834;-10942;0;0;214047;-61662;-1236;-41204;0;-14753;-118855;95192;2890;11651;-18695;-23643;-7065;0;6410;-7300;-35753;59440;-215;59224;-18620;-1260;39344;-14874
DACASA FINANCEIRA;51891;n1;;C;2;VITORIA;ES;01/06/2014;158188;0;43169;504;0;0;201860;-70343;0;0;0;-87152;-157495;44365;17001;12035;-7113;-73633;-8573;0;44783;-20021;-35521;8844;376;9220;-3225;0;5995;0
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;01/06/2014;175893;0;20479;-3440;0;0;192931;-53491;-1058;0;0;-44295;-98844;94087;14697;41914;-41386;-65718;-10142;4403;4841;-8698;-60089;33998;160;34158;-6057;-7347;20754;-7800
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;01/06/2014;149473;33442;2138;0;0;0;185053;-16785;-26563;-29269;0;-22414;-95032;90021;110;4832;-15574;-17748;-5663;785;3911;-3886;-33232;56789;81;56870;-22694;-247;33929;0
INTERMEDIUM;51884;b1;;C;2;BELO HORIZONTE;MG;01/06/2014;153911;0;24409;-1174;0;0;177146;-65488;-450;0;0;-27662;-93600;83547;2376;2690;-17379;-55975;-931;60;1677;-2290;-69772;13775;-528;13248;-2661;0;10586;-6638
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;01/06/2014;149640;0;26886;0;0;0;176526;-53966;-2484;0;0;-14392;-70842;105685;7406;5611;-27075;-44215;-146;0;220;-1337;-59536;46149;-20;46129;0;-2227;43902;0
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;01/06/2014;34434;0;11371;-518;126106;0;171393;-21488;-1186;0;0;-9706;-32380;139013;16682;992;-54713;-66064;-8682;183;3146;-6947;-115403;23611;-761;22850;-5854;-1286;15710;-4900
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;;I;3;SAO PAULO;SP;01/06/2014;266828;46737;40759;-189674;0;0;164651;-67632;-62220;-38287;0;-31093;-199232;-34581;0;18792;-18871;-60451;-12405;0;154408;-7758;73716;39135;-4571;34563;-14008;-268;20287;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;;I;3;BARUERI;SP;01/06/2014;3775;150834;6715;538;0;0;161861;-18718;-253;-114251;0;-2279;-135500;26361;18;0;-9926;-5544;-1748;0;3469;-383;-14115;12246;2191;14437;-5638;-405;8394;0
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;01/06/2014;127295;5838;28143;71;0;0;161347;-33943;-22715;-5573;0;-74801;-137032;24315;1274;2104;-15241;-10143;-4496;0;13463;-901;-13940;10375;-2289;8086;-4571;0;3515;0
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;01/06/2014;105842;4913;29649;-7815;11079;0;143668;-73162;-9220;-4909;0;-8117;-95407;48260;2699;1879;-22729;-10598;-5992;-1724;22480;-216;-14201;34060;389;34449;-10725;0;23723;-9000
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;01/06/2014;1;0;142800;0;0;0;142800;-136434;0;0;0;0;-136434;6366;0;0;-1453;-1217;-8;4048;825;-93;2101;8467;0;8467;0;0;8467;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;01/06/2014;110541;0;30252;0;0;0;140794;0;-53558;0;0;-38246;-91803;48990;4012;658;-17255;-6879;-4362;0;9714;-21082;-35194;13796;35073;48869;-4416;0;44453;-3736
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;01/06/2014;4388;0;135245;0;0;0;139633;-135245;-7;0;0;-15;-135267;4366;0;0;-14873;56541;0;892;929;-47945;-4456;-90;90;0;0;0;0;0
BBM;30207;b1;;C;2;SALVADOR;BA;01/06/2014;77136;0;57283;-4479;6469;0;136410;-96355;-9609;0;0;4096;-101868;34542;10548;17;-16390;-16597;-3248;8571;46750;-25220;4432;38974;-60;38914;-12966;-8652;17296;0
RODOBENS;51736;b1;;C;2;SAO PAULO;SP;01/06/2014;81915;34407;12294;1659;0;0;130275;-37529;-7688;-23724;0;-15250;-84191;46085;11603;1256;-4292;-10896;-4108;17121;8730;-15468;3946;50030;54;50084;-7458;-3109;39517;-10100
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;01/06/2014;127752;0;2455;-648;0;0;129558;-15089;-32964;0;0;-12923;-60976;68582;15595;0;-12288;-8226;-6380;0;41760;-218;30243;98825;614;99439;-38984;-1243;59213;0
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;01/06/2014;24944;0;38775;13790;50246;0;127756;-47062;-2788;0;0;-3169;-53019;74737;34657;8194;-29609;-44779;-8583;350;4249;-8751;-44272;30465;46;30511;-11628;-1021;17863;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;01/06/2014;827;0;118092;19;0;5406;124345;-110511;-6691;0;0;-159;-117361;6984;87;0;-10727;-4331;-8;6752;17476;-2904;6344;13328;-21;13307;-14;0;13293;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;01/06/2014;105733;0;18604;0;0;0;124336;-53134;-449;0;0;-7581;-61164;63172;0;0;-14027;-11864;-76;0;245;-1409;-27130;36042;-165;35877;0;0;35877;-7549
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;01/06/2014;38812;0;172709;-88399;0;0;123122;-85587;-17358;0;-19301;-3673;-125920;-2798;1781;463;-48158;-31435;-852;0;142683;-22723;41759;38961;-15;38946;-17236;0;21710;0
AGIPLAN FINANCEIRA S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO;13660104;n1;;I;2;PORTO ALEGRE;RS;01/06/2014;118161;0;2756;0;0;0;120917;-5732;0;0;-122;-26904;-32758;88159;2;1254;-4671;-32153;-5339;0;1;-23;-40929;47229;-13;47217;-19895;0;27322;0
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;01/06/2014;2848;0;112442;0;0;87;115377;-119229;-509;0;0;14;-119724;-4347;23;0;-4847;-4815;-28;4612;10777;-317;5406;1059;1;1060;0;0;1060;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;01/06/2014;97516;0;17369;7;0;0;114893;-11141;-36848;0;0;-26042;-74031;40862;13386;4294;-19144;-13365;-376;0;35006;-32808;-13007;27855;-386;27470;-2477;0;24992;0
CREDIT AGRICOLE;51066;b1;;C;3;SAO PAULO;SP;01/06/2014;32225;0;99123;-22674;0;0;108674;-78338;-219575;0;-1302;152;-299064;-190390;18381;48;-39396;-16860;-4273;-1908;272591;-24724;203860;13470;21;13491;-10988;-941;1562;0
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;01/06/2014;101688;0;6254;0;0;0;107941;-58350;0;0;0;8343;-50007;57934;0;0;-767;-9506;-2319;0;2313;-1654;-11933;46001;0;46001;-18386;0;27616;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;01/06/2014;84850;0;19475;0;0;17;104342;-24127;-8716;0;0;-19328;-52171;52171;18977;6573;-27456;-28671;-451;0;8328;-15996;-38696;13476;-182;13293;-2038;0;11256;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;01/06/2014;73986;0;25789;0;0;0;99775;-34907;-1866;0;0;-17112;-53885;45890;11730;5847;-22856;-16034;-264;0;4473;-12484;-29587;16302;-144;16158;-976;0;15182;1
