Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/06/2014;772719;22906;82915;549888;117008;2;0;;
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/06/2014;745216;0;1394;24004;719818;0;0;;
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/06/2014;716092;0;569785;123070;23233;4;0;;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/06/2014;699776;37867;30072;442276;189477;84;0;;
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/06/2014;659624;67442;23576;355670;212936;0;0;;
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/06/2014;587077;1910;70610;331091;183168;298;0;;
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;01/06/2014;527215;0;107563;191341;228311;0;0;;
BANCO MODAL S.A.;30723886;b1;I;2;;8;RIO DE JANEIRO;RJ;01/06/2014;490578;0;11076;141504;337998;0;0;;
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;I;3;;8;BARUERI;SP;01/06/2014;464687;10200;59655;302261;92562;9;0;;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;01/06/2014;449245;0;0;45751;403495;0;0;;
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/06/2014;440343;24815;67403;266143;81948;34;0;;
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/06/2014;440047;8141;65429;192158;174318;0;0;;
BANCO RANDON S.A.;11476673;b1;I;2;;8;CAXIAS DO SUL;RS;01/06/2014;418813;6067;64292;318037;30414;4;0;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/06/2014;415570;39417;56610;319261;0;282;0;;
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/06/2014;395451;7166;26803;266529;94948;5;0;;
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/06/2014;382849;36136;16589;283432;46675;18;0;;
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/06/2014;356921;125190;98424;130856;2448;3;0;;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/06/2014;356024;24926;38283;259440;33374;0;0;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/06/2014;351697;58384;106432;141171;45428;281;0;;
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;01/06/2014;351411;0;0;110903;240507;0;0;;
