Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;01/09/2017;10178051;362131;1412390;4404793;3883828;524;114385;
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2017;7715294;620632;1855390;3938539;1300731;3;0;
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;7676624;359798;262329;3220380;3709089;24;125003;
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO PAULO;SP;01/09/2017;7537811;397331;827554;5088904;1224022;0;0;
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;S2;8;FORTALEZA;CE;01/09/2017;6545774;656391;468720;2778840;2641815;7;0;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;01/09/2017;6274272;506989;7945;521117;5238220;0;0;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38.486.817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/09/2017;5653266;99078;323696;2745066;2485426;0;0;
ALFA;51.293;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;4236274;202589;253206;1464719;2315760;0;0;
CCB;32.119;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;4205335;110039;147668;987278;1468925;0;1491425;
CREDIT SUISSE;30.771;b1;C;3;S2;199;SAO PAULO;SP;01/09/2017;4087226;921;5220;110053;2612611;0;1358420;
PINE;50.304;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;3800629;193196;129291;478637;2699585;0;299920;
BNP PARIBAS;51.516;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;3587916;0;116575;577554;2893787;0;0;
BANCO FIBRA S.A.;58.616.418;b1;I;2;S3;8;SAO PAULO;SP;01/09/2017;3345591;479407;21763;1033066;1151303;2;660050;
BANCO FIDIS S/A;62.237.425;b2;I;3;S4;8;BETIM;MG;01/09/2017;3190159;358450;35677;1975507;820524;0;0;
BANCO VOLVO BRASIL S.A.;58.017.179;b2;I;3;S4;8;CURITIBA;PR;01/09/2017;3009122;66186;580206;2082262;280468;0;0;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;01/09/2017;2947766;1060382;730480;887724;269180;0;0;
ORIGINAL;51.781;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;2909518;1650524;184235;671644;402777;338;0;
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;2881083;579159;345068;1405162;551694;0;0;
BOCOM;52.003;b1;C;3;S4;199;SALVADOR;BA;01/09/2017;2820847;97;68899;533836;1846544;2;371468;
BANCO IBM S.A.;34.270.520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/09/2017;2527805;439;41167;335574;2150625;0;0;
SOFISA;31.873;b1;C;2;S4;199;SAO PAULO;SP;01/09/2017;2411854;11019;29291;396921;1974622;1;0;
JOHN DEERE;50.071;b1;C;3;S4;199;INDAIATUBA;SP;01/09/2017;2220263;137836;84714;1370050;627662;0;0;
ING;51.073;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;2206580;254119;0;313544;1638917;0;0;
MERCANTIL DO BRASIL;20.152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/09/2017;2164973;109228;233723;1606085;215920;18;0;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60.518.222;b1;I;3;S3;8;SAO PAULO;SP;01/09/2017;2100612;0;2791;356458;1117632;0;623731;
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;01/09/2017;2062541;14973;138431;196884;1712247;6;0;
BANCO GMAC S.A.;59.274.605;b2;I;3;S3;8;SAO PAULO;SP;01/09/2017;2051118;714293;132547;1081235;123043;0;0;
BANCO CATERPILLAR S.A.;2.658.435;b2;I;3;S4;8;SAO PAULO;SP;01/09/2017;2016850;211786;284073;869097;651894;0;0;
DEUTSCHE BANK S.A. - BANCO ALEMAO;62.331.228;b1;I;3;S3;8;SAO PAULO;SP;01/09/2017;2003429;5059;56171;1422630;519570;0;0;
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;1982577;146;92858;363410;1526162;0;0;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2.885.855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/09/2017;1665506;96798;126561;972216;469931;0;0;
SCANIA BANCO S.A.;11.417.016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/09/2017;1633144;113327;286242;1079061;154515;0;0;
BANESTES;30.159;b1;C;1;S3;199;VITORIA;ES;01/09/2017;1592572;82387;278791;927992;303390;12;0;
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/09/2017;1491172;188531;393287;865753;43577;24;0;
INDUSTRIAL DO BRASIL;50.988;b1;C;2;S4;199;SAO PAULO;SP;01/09/2017;1386261;5902;31473;670157;651647;0;27082;
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;1330137;0;2241;200291;1127604;0;0;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;01/09/2017;1239107;1032;17359;414445;806271;0;0;
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2017;1200215;346398;81238;445753;326821;5;0;
JP MORGAN CHASE;20.107;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;1164690;44562;0;578737;541391;0;0;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;01/09/2017;1154330;82586;33875;753360;284508;1;0;
BANCO TOYOTA DO BRASIL S.A.;3.215.790;b2;I;3;S4;8;SAO PAULO;SP;01/09/2017;1146094;35699;157803;654652;297940;0;0;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;01/09/2017;1143202;180932;123755;640869;197645;0;0;
BOFA MERRILL LYNCH;51.255;b1;C;3;S3;199;SAO PAULO;SP;01/09/2017;1097241;0;35189;651950;410102;0;0;
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;01/09/2017;1094666;23354;136657;792420;142154;82;0;
BANCO CARGILL S.A.;3.609.817;b1;I;3;S4;8;SAO PAULO;SP;01/09/2017;1064768;34960;1588;378693;649526;0;0;
BANCO ABN AMRO S.A.;3.532.415;b1;I;3;S4;8;SAO PAULO;SP;01/09/2017;1041109;0;0;0;1041109;0;0;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60.498.557;b1;I;3;S3;8;SAO PAULO;SP;01/09/2017;1001783;25357;10642;189186;776598;0;0;
BANCOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;01/09/2017;986903;394685;338689;209235;43486;807;0;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29.030.467;b1;I;3;S4;8;SAO PAULO;SP;01/09/2017;976470;0;0;106607;869863;0;0;
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;01/09/2017;945247;88252;234833;561284;60864;14;0;
BANCO LUSO BRASILEIRO S.A.;59.118.133;b1;I;2;S4;8;SAO PAULO;SP;01/09/2017;924265;168612;218231;537422;0;0;0;
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;01/09/2017;922915;94527;296507;465414;66467;0;0;
BANCO FORD S.A.;90.731.688;b2;I;3;S4;8;SAO PAULO;SP;01/09/2017;918197;0;374;808386;109437;0;0;
BANCO DE LAGE LANDEN BRASIL S.A.;5.040.481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/09/2017;842943;20004;79510;438179;305249;0;0;
BANCO BONSUCESSO S.A.;71.027.866;b1;I;2;S4;8;BELO HORIZONTE;MG;01/09/2017;781893;17932;44143;183666;536152;0;0;
COOPERATIVA DE CREDITO CREDICITRUS;54.037.916;b3S;I;2;S4;9;BEBEDOURO;SP;01/09/2017;754428;19365;90041;404663;240356;3;0;
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;01/09/2017;696705;32390;103103;325209;236003;0;0;
INDUSVAL;50.531;b1;C;2;S4;199;SAO PAULO;SP;01/09/2017;696489;46878;49446;222238;377928;0;0;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82.937.293;n1;I;1;S4;30;FLORIANOPOLIS;SC;01/09/2017;693364;35817;58759;272400;326388;0;0;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82.639.451;b3S;I;2;S5;9;BLUMENAU;SC;01/09/2017;674912;240372;351553;81177;1773;37;0;
RENDIMENTO;51.468;b1;C;2;S4;199;SAO PAULO;SP;01/09/2017;673904;79923;67134;366997;159846;4;0;
BANCO MONEO S.A.;7.441.209;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/09/2017;631505;41142;128548;450186;11630;0;0;
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9.313.766;n1;I;2;S4;14;SAO PAULO;SP;01/09/2017;611299;9142;75744;489730;36683;0;0;
MODAL;51.963;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/09/2017;572076;119927;37506;370781;39360;0;4502;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15.163.587;n1;I;1;S4;30;SALVADOR;BA;01/09/2017;565694;21288;64817;446363;33226;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32.430.233;b3S;I;2;S5;9;LINHARES;ES;01/09/2017;565339;78294;126784;357691;2563;8;0;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42.898.825;b3S;I;2;S4;9;BELO HORIZONTE;MG;01/09/2017;532194;9259;40603;424697;57633;2;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78.414.067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/09/2017;512728;105999;149639;172220;84838;32;0;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78.825.270;b3S;I;2;S5;9;CHAPECO;SC;01/09/2017;510534;137248;216818;153581;2881;7;0;
MIZUHO;51.554;b1;I;3;S4;199;SAO PAULO;SP;01/09/2017;498612;0;4129;200375;222363;0;71745;
BANCO GUANABARA S.A.;31.880.826;b1;I;2;S4;8;RIO DE JANEIRO;RJ;01/09/2017;485360;43627;25279;318143;98310;0;0;
SICOOB COCRED COOPERATIVA DE CRÉDITO;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/09/2017;477316;67520;74429;245620;89744;3;0;
INTERMEDIUM;51.884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/09/2017;468835;35994;83874;322209;26757;1;0;
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2.398.976;b3S;I;2;S4;9;LONDRINA;PR;01/09/2017;465708;7939;75032;304382;78351;3;0;
CAIXA GERAL;51.815;b1;C;3;S4;199;SAO PAULO;SP;01/09/2017;463366;1189;16068;106987;339122;0;0;
HAITONG;51.482;b2;C;3;S3;198;SAO PAULO;SP;01/09/2017;455161;38963;6891;124838;284468;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37.395.399;b3S;I;2;S5;9;GOIANIA;GO;01/09/2017;453115;12636;125693;285243;29540;2;0;
SOCOPA;50.328;b1;C;2;S4;199;SAO PAULO;SP;01/09/2017;450466;8111;17716;215154;209484;0;0;
BANCO DO ESTADO DE SERGIPE S.A.;13.009.717;b1;I;1;S4;8;ARACAJU;SE;01/09/2017;437973;11997;70009;344991;10973;3;NI;
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55.230.916;b1;I;3;S4;8;SAO PAULO;SP;01/09/2017;424941;82159;1879;145134;195769;0;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91.586.982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/09/2017;419658;79053;165550;161840;13197;18;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90.608.712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/09/2017;400796;80944;141560;157844;20436;12;0;
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3.459.850;b3S;I;2;S5;9;MARINGA;PR;01/09/2017;385296;33519;97890;187679;66191;18;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815.319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;01/09/2017;384117;49236;94765;213642;26465;9;0;
BANCO DA CHINA BRASIL S.A.;10.690.848;b1;I;3;S4;8;SAO PAULO;SP;01/09/2017;365713;0;0;104819;260893;0;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;01/09/2017;365543;53215;96569;173590;42108;62;0;
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17.453.575;b1;I;3;S4;8;SAO PAULO;SP;01/09/2017;340949;0;0;0;340949;0;0;
COOPERATIVA DE CRÉDITO UNICRED DA GRANDE FLORIANÓPOLIS LTDA - UNICRED FLORIANÓPOLIS;74.064.502;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/09/2017;316484;6686;56044;222714;31037;2;0;
BANCO TOPÁZIO S.A.;7.679.404;b1;I;2;S4;8;PORTO ALEGRE;RS;01/09/2017;298516;270;36031;244621;17594;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32.467.086;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/09/2017;294300;40074;98931;155291;0;5;0;
BANCO RANDON S.A.;11.476.673;b2;I;2;S4;8;CAXIAS DO SUL;RS;01/09/2017;290371;3134;16499;219126;51611;0;0;
COOPERATIVA DE CRÉDITO SICREDI JOÃO PESSOA;35.571.249;b3S;I;2;S5;9;JOAO PESSOA;PB;01/09/2017;286323;20780;65330;178060;22148;4;0;
BANCO RIBEIRAO PRETO S.A.;517.645;b1;I;2;S4;8;RIBEIRAO PRETO;SP;01/09/2017;279420;1535;44795;152137;80954;0;0;
BANCO SEMEAR S.A.;795.423;b1;I;2;S4;8;BELO HORIZONTE;MG;01/09/2017;278199;5101;8653;207859;56584;2;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31.815.293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;01/09/2017;275821;78128;57657;120297;19736;3;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5.582.619;b3S;I;2;S5;9;LONDRINA;PR;01/09/2017;275692;28718;80601;139122;27239;13;0;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28.145.829;b4;I;1;S4;5;VITORIA;ES;01/09/2017;273311;47329;66589;106824;52569;0;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81.099.491;b3S;I;2;S4;9;PALOTINA;PR;01/09/2017;268855;76651;89802;81229;21151;21;0;
PORTO SEGURO;51.444;n1;C;2;S4;197;SAO PAULO;SP;01/09/2017;263891;152758;87174;23070;889;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87.780.268;b3S;I;2;S4;9;ERECHIM;RS;01/09/2017;257309;47403;99562;98648;11682;14;0;
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87.437.687;b3C;I;2;S3;9;PORTO ALEGRE;RS;01/09/2017;256569;8954;1565;246050;0;0;0;
COOPERATIVA DE CRÉDITO SUL - SICOOB SUL;5.888.589;b3S;I;2;S5;9;CURITIBA;PR;01/09/2017;250136;16144;94076;139777;135;4;0;
MÁXIMA;50.201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/09/2017;249459;88540;47722;107529;5668;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E REGIÃO LTDA;4.388.688;b3S;I;2;S5;9;GOIANIA;GO;01/09/2017;247594;14765;36776;179486;16565;2;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81.607.046;b3S;I;2;S5;9;SAO MIGUEL D'OESTE;SC;01/09/2017;245555;43291;78878;123382;0;4;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81.466.286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/09/2017;243729;69991;60047;111447;2224;20;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26.529.420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/09/2017;241107;37852;60775;130167;12300;13;0;
COOPERATIVA DE CREDITO CENTRO-SERRANA DO ESPIRITO SANTO - SICOOB CENTRO-SERRANO;31.804.966;b3S;I;2;S5;9;SANTA MARIA DE JETIBA;ES;01/09/2017;234262;30187;71529;132539;0;7;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3.632.872;b3S;I;2;S5;9;VILHENA;RO;01/09/2017;234260;18936;76190;134642;4489;3;0;
COOPERATIVA DE CRÉDITO DO LESTE DE SANTA CATARINA E DO PARANÁ LTDA - UNICRED UNIÃO;74.114.042;b3S;I;2;S5;9;ITAJAI;SC;01/09/2017;223829;12426;65660;126394;19346;3;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32.995.755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/09/2017;222262;33402;88443;96361;4041;15;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88.894.548;b3S;I;2;S4;9;CERRO LARGO;RS;01/09/2017;219086;40620;77089;89762;11600;16;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53.923.116;b3S;I;2;S4;9;RIBEIRAO PRETO;SP;01/09/2017;217971;84665;24731;105355;3217;3;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87.733.770;b3S;I;2;S4;9;RODEIO BONITO;RS;01/09/2017;217040;54037;58303;104693;0;8;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP;82.527.557;b3S;I;2;S4;9;CAPANEMA;PR;01/09/2017;204132;45309;71054;84158;3601;11;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95.594.941;b3S;I;2;S4;9;SANTA MARIA;RS;01/09/2017;200133;24962;36464;115299;23401;7;0;
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3.358.914;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;01/09/2017;197745;17769;80390;97770;1811;4;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89.126.130;b3S;I;2;S4;9;ENCANTADO;RS;01/09/2017;194513;28473;59024;77022;29987;6;0;
COOPERATIVA DE CREDITO, POUPANCA E INVESTIMENTO IGUACU - SICREDI IGUACU PR/SC/SP;84.974.278;b3S;I;2;S4;9;SAO JOAO;PR;01/09/2017;193474;34880;61786;91428;5370;10;0;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO ESTADO DE SAO PAULO LTDA    UNICRED DO ESTADO DE SAO PAULO;71.884.498;b3S;I;2;S5;9;CAMPINAS;SP;01/09/2017;192004;8625;43698;139681;0;0;0;
CHG-MERIDIAN DO BRASIL ARRENDAMENTO MERCANTIL S.A.;18.539.102;n1;I;3;S4;19;BARUERI;SP;01/09/2017;190758;323;2537;27761;160138;0;0;
BRICKELL S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12.865.507;n1;I;2;S4;14;SAO PAULO;SP;01/09/2017;189723;5520;5672;98208;80323;0;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO – SICREDI OURO BRANCO RS;87.853.206;b3S;I;2;S4;9;TEUTONIA;RS;01/09/2017;183390;36870;49129;73153;24230;8;0;
BANCO TRICURY S.A.;57.839.805;b2;I;2;S4;8;SAO PAULO;SP;01/09/2017;182694;8289;13019;125057;36329;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;2.843.443;b3S;I;2;S5;9;JOINVILLE;SC;01/09/2017;178342;32824;71865;70633;3009;12;0;
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5.883.884;n1;I;3;S4;19;BARUERI;SP;01/09/2017;175820;4890;6205;44041;120684;0;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI VALE DO TAQUARI RS;91.159.764;b3S;I;2;S4;9;LAJEADO;RS;01/09/2017;173794;22659;54230;86895;10005;5;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87.733.077;b3S;I;2;S4;9;ITAQUI;RS;01/09/2017;172898;19318;28046;125527;0;6;0;
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CRÉDITO DO PLANALTO CENTRAL LTDA - SICOOB PLANALTO CENTRAL;692.214;b3C;I;2;S4;9;BRASILIA;DF;01/09/2017;170074;0;30412;139662;0;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO ITAJAÍ E LITORAL CATARINENSE - SICREDI VALE LITORAL SC;10.348.181;b3S;I;2;S4;9;ITAPEMA;SC;01/09/2017;166872;60808;71513;34533;0;17;0;
COMMERZBANK BRASIL S.A. - BANCO MÚLTIPLO;23.522.214;b1;I;3;S4;8;SAO PAULO;SP;01/09/2017;166172;0;46651;70286;49235;0;0;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26.408.161;b3S;I;2;S4;9;DOURADOS;MS;01/09/2017;160945;30343;50856;79003;729;14;0;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO;36.900.256;b3S;I;2;S5;9;CUIABA;MT;01/09/2017;159303;4112;43671;111518;0;1;0;
AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S.A.;5.940.203;n1;I;1;S4;30;RIO DE JANEIRO;RJ;01/09/2017;158695;6275;22713;98871;30836;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO PARANAÍBA, NOROESTE E OESTE DE MINAS LTDA - UNICRED INTEGRAÇÃO DE MINAS;1.727.929;b3S;I;2;S5;9;PATOS DE MINAS;MG;01/09/2017;156188;5140;71885;79161;0;3;0;
HONDA;51.396;b2;C;3;S4;198;SAO PAULO;SP;01/09/2017;152665;14009;26358;86115;26182;0;0;
COOPERATIVA DE CREDITO UNICRED DESBRAVADORA LTDA   UNICRED DESBRAVADORA SUL;1.039.011;b3S;I;2;S5;9;CHAPECO;SC;01/09/2017;152467;10608;78239;62858;762;1;0;
COOPERATIVA DE CRÉDITO DE CASCAVEL E REGIÃO - SICOOB CREDICAPITAL;4.529.074;b3S;I;2;S5;9;CASCAVEL;PR;01/09/2017;152030;14321;49229;67136;21339;4;0;
