Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior
BBM;30207;b1;C;2;;199;SALVADOR;BA;set/16;1.493.224;228.344;663.760;337.884;151.074;8.614;0;19.334;19.438;15.738;49.037
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;set/16;1.465.422;45.828;988.313;134.441;145.402;29.908;18.978;13.303;16.537;72.712;0
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;set/16;1.435.631;1.054.836;146.173;234.622;0;0;0;0;0;0;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;;9;BRASILIA;DF;set/16;1.419.705;0;1.254.512;65.620;26.993;18.891;8.787;8.813;11.548;24.540;0
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;set/16;1.341.065;1.238.614;13.096;55.991;0;0;0;0;0;33.364;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;set/16;1.270.934;27.468;164.267;694.623;186.636;94.836;35.847;20.777;12.754;33.724;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;set/16;1.212.438;14;804.379;172.258;74.210;59.877;18.535;16.365;9.132;57.667;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;;9;CAMPO MOURAO;PR;set/16;1.187.528;33.962;604.726;432.136;78.204;12.024;13.580;2.623;298;9.976;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;set/16;1.160.894;100.921;401.295;408.312;120.641;45.765;10.384;44.992;7.210;21.374;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;set/16;1.150.632;680.920;127.768;130.798;100.016;24.590;22.498;20.284;7.001;36.758;0
