Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43983;297456;0;4006414;21502749;0;0;25806619;24635217;291657;1589894;24493680;5534069;9478;31918779;4976769;87337385;6846039;17106384;111289807;112120;10147411;121549339
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43983;6094870;0;34140;23025782;0;278552;29433345;6022897;0;1376;216602;0;448780;666758;17214150;53337150;16178512;33175181;102690843;45743;10059293;112795880
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43983;2971056;10282017;1055351;42419258;2932;12737;56743352;4219772;937502;0;2145946;0;0;3083448;2342137;66388708;0;11858973;78247681;171664;8218860;86638205
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43983;223559;0;155930;8361836;0;0;8741324;4521084;0;0;0;0;428497;428497;32289066;45979971;12292052;12891569;71163592;1727;5554725;76720044
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;43983;0;0;0;0;23911;0;23911;0;0;0;0;0;0;0;8565420;8589331;46670;54855506;63491507;0;12794123;76285630
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43983;86594;18750773;7076487;100766;0;0;26014620;22703329;0;1847415;1728851;0;0;3576266;13308972;65603188;18539;4205099;69826825;0;1422710;71249535
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43983;627746;0;36827;5643036;0;313479;6621089;2227821;0;451934;1536321;0;1930409;3918664;12168414;24935988;9459905;29244830;63640722;17944;4646185;68304851
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43983;62010;7660917;41883600;620033;0;0;50226560;3831035;0;51879;10020;0;0;61898;3156991;57276484;118;7975250;65251851;200;2007754;67259806
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43983;714883;3651232;1705682;6013140;0;2135387;14220324;2068397;0;0;1217;0;0;1217;2821961;19111899;0;33820573;52932472;198602;5888597;59019670
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43983;981;0;141775;2237904;0;0;2380660;0;0;0;0;0;0;0;14714515;17095175;1470839;38305079;56871093;1669;990275;57863036
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43983;19329;0;0;621022;0;0;640351;158889;0;500;8075;0;0;8575;8876778;9684593;2173949;43324654;55183196;686;2329968;57513850
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43983;40534;0;0;1401190;0;0;1441724;11305925;0;0;438585;0;1404189;1842774;7414798;22005220;7185259;22404816;51595296;62134;4821939;56479368
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43983;50200;0;0;1455011;0;0;1505212;830446;1512432;663558;159683;0;0;2335673;28344083;33015414;1592422;13420477;48028312;328;4114585;52143225
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43983;317899;0;379394;6628388;0;0;7325681;1174817;566323;2693532;6744621;0;22845;10027320;11463489;29991308;3658892;11337350;44987551;25847;4093299;49106696
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;43983;0;0;0;658600;0;0;658600;10231141;0;0;15381;0;638754;654135;31586;11575463;10258659;16498598;38332720;124649;2821215;41278584
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43983;1119436;0;709575;7819218;0;5515;9653743;1828932;960711;863960;11125415;2410485;0;15360572;4209919;31053167;36256;5716801;36806224;78799;4120741;41005765
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43983;37690;0;8541211;11411390;0;0;19990291;60802;365853;0;3847766;0;0;4213619;0;24264712;41458;4050450;28356620;2;5112742;33469364
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;43983;0;0;0;13380426;4104656;0;17485082;0;0;0;316950;0;91633;408582;373943;18267607;0;13123388;31390995;92911;977279;32461185
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43983;815750;0;239062;8865196;0;0;9920008;2144229;0;0;0;0;0;0;522901;12587138;13265484;2028539;27881161;1330;2980341;30862833
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43983;173035;0;0;2592137;0;0;2765172;119084;0;0;0;0;0;0;5649368;8533624;2976964;16322207;27832795;1595;1272754;29107144
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43983;1210699;3504416;90166;9367691;0;5746;14178718;9992818;132250;85002;0;0;0;217251;139157;24527944;0;990985;25518929;4612;1583940;27107482
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43983;0;0;1040;2322634;0;0;2323674;2073198;0;0;0;0;4684196;4684196;947439;10028507;7786546;3884084;21699136;0;3938499;25637635
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43983;0;0;3020075;9966351;0;0;12986426;0;0;0;2504131;0;0;2504131;1691217;17181773;27230;4653180;21862183;110933;2730096;24703212
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43983;11066;0;0;56441;0;0;67507;84259;0;0;0;0;0;0;6183055;6334821;1295997;14871067;22501885;10537;1504293;24016715
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43983;131215;2935;234675;5647749;0;0;6016574;4788060;5092;236386;1119730;0;0;1361209;6321714;18487556;174827;3090921;21753304;17748;1076117;22847169
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43983;96034;0;275049;11483093;13232;0;11867408;329311;58045;67533;1783397;42167;0;1951143;790728;14938590;289197;3266246;18494033;0;4096765;22590799
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43983;1823429;678526;56275;1369477;0;1268479;5196186;10000;0;224995;0;0;0;224995;831634;6262815;0;11932990;18195805;0;2316529;20512334
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43983;0;0;0;6697423;0;0;6697423;90376;0;0;0;0;221491;221491;0;7009290;9466270;1915058;18390618;0;2027991;20418609
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43983;1111531;2250709;851285;9658900;17139;50100;13939663;650394;213577;0;10971;0;0;224548;106779;14921384;0;2778885;17700269;93;2042014;19742376
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;C;2;SAO PAULO;SP;43983;0;0;0;0;203173;0;203173;0;0;0;0;0;0;0;1010744;1213918;6620;12466854;13687392;0;3818223;17505615
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12634317;12634317;0;988962;13623279;3549;2968642;16595471
PAGSEGURO;1000084813;b1;S4;C;2;SAO PAULO;SP;43983;0;0;300754;1961389;738839;0;3000982;0;0;0;0;0;0;0;0;3000982;0;5205124;8206106;142002;8196950;16545058
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43983;38979;0;789299;2155661;0;0;2983940;1036964;65849;562223;6298641;0;615707;7542419;1144440;12707763;554180;579293;13841236;16437;2622086;16479759
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43983;307777;0;222776;6570329;240869;0;7341751;32412;2120166;1717188;615924;0;65614;4518891;10170;11903224;41943;1015054;12960221;19748;2136406;15116375
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;43983;0;0;0;3152583;0;0;3152583;59960;0;0;109336;0;0;109336;396501;3718380;3109546;5527598;12355525;608;1125678;13481810
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43983;0;0;3011486;2966582;0;0;5978068;0;0;0;1711487;0;0;1711487;0;7689555;0;2878101;10567656;91469;2783594;13442719
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43983;0;0;4600124;2348502;0;0;6948625;0;0;0;970110;0;0;970110;2707067;10625802;19200;593422;11238424;8049;2048356;13294830
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;43983;3622766;515454;0;2945287;0;0;7083506;259487;1769974;0;0;0;12924;1782898;48301;9174193;33111;1068120;10275424;0;2148180;12423604
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;43983;98;0;0;110150;0;0;110248;824942;0;0;0;0;0;0;3264591;4199781;5543747;1324558;11068086;0;1149007;12217092
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;43983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11804242;11804242;0;320319;12124561
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;43983;448129;0;25026;2326827;0;0;2799982;0;0;0;0;0;0;0;1758602;4558585;1211196;4489417;10259198;2296;1628643;11890137
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;43983;137740;0;221115;5874625;0;0;6233480;1127490;93223;239377;281609;0;0;614210;83268;8058448;2294964;524554;10877966;28780;845022;11751768
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43983;0;0;262754;1997642;0;0;2260396;0;77445;358896;895731;0;0;1332072;5536175;9128643;81685;164630;9374957;214572;1300565;10890095
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;43983;399263;222429;116902;6738660;0;0;7477255;100903;2944;87456;15166;0;0;105565;0;7683723;0;2112007;9795730;258;1000205;10796193
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43983;8706;0;606544;6777;0;0;622028;10972;0;0;901732;0;0;901732;0;1534732;0;6163856;7698588;0;2739245;10437833
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;43983;58;0;0;0;0;0;58;0;0;0;0;0;0;0;0;58;0;2740490;2740548;0;6970384;9710931
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;43983;1030903;1239817;245496;5031914;0;0;7548130;46006;0;0;251859;0;0;251859;5123;7851118;0;344052;8195170;0;1434660;9629829
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;43983;184388;0;232572;3122544;23750;210;3563464;4601;45839;0;90406;0;0;136245;40;3704349;64;5430707;9135120;13269;476822;9625211
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;43983;0;0;73273;0;0;1815969;1889242;0;160083;0;0;0;0;160083;0;2049325;0;125982;2175306;0;7391026;9566332
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;43983;214357;0;1539;1052887;0;0;1268783;193513;119449;1202177;1149954;0;0;2471581;3455060;7388937;511299;562899;8463135;15544;680475;9159155
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;43983;250394;0;281163;4681578;0;0;5213135;179887;115908;323947;603815;0;0;1043670;218177;6654869;391146;806537;7852552;7677;1196230;9056459
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;43983;0;0;360312;334650;0;0;694962;0;16995;0;2469252;0;0;2486247;3868806;7050015;170180;623367;7843562;65143;1006901;8915606
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S4;I;2;FLORIANOPOLIS;SC;43983;1030;0;0;1615065;0;748;1616843;0;0;0;0;0;0;0;11641;1628484;0;6730494;8358978;0;415515;8774493
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;43983;458064;0;0;60143;0;0;518206;0;0;0;302269;0;0;302269;6275232;7095707;0;86027;7181734;5253;1469120;8656107
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;43983;0;0;922259;0;0;0;922259;0;0;0;1361769;0;50317;1412086;0;2334345;0;5007454;7341799;0;1070791;8412590
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;43983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;91999;91999;0;7728580;7820580;0;566815;8387394
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;43983;98848;0;114721;1282715;0;0;1496285;0;0;0;0;0;0;0;3286437;4782721;421289;1142915;6346926;2248;1822201;8171375
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;43983;96617;0;314122;1530135;0;0;1940874;496812;0;0;3578;0;0;3578;3155914;5597178;369691;1219273;7186143;599;753810;7940553
MERCADOPAGO PRUDENCIAL;1000084820;n4;;I;2;OSASCO;SP;43983;0;0;0;0;2328377;0;2328377;0;0;0;0;0;0;0;1978143;4306521;2424;2831583;7140528;0;186427;7326954
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;43983;0;0;298315;112682;0;0;410997;0;0;331390;33582;0;0;364973;3407248;4183218;0;822704;5005921;11918;1968291;6986130
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;43983;9138;0;363012;2288597;0;0;2660747;229998;17198;0;2395402;0;0;2412600;0;5303345;0;400118;5703463;0;1171608;6875071
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;43983;999229;0;125145;3754411;0;30134;4908919;0;0;0;0;0;0;0;2971;4911890;0;310553;5222443;0;1637511;6859954
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;43983;0;0;0;104654;0;0;104654;0;0;0;0;0;0;0;5103330;5207984;0;415883;5623867;121566;1065497;6810930
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;43983;0;0;2252365;79770;0;0;2332135;0;0;0;322004;0;0;322004;1118490;3772629;31144;1014802;4818576;5046;1974493;6798115
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;43983;928687;0;0;2142276;0;18204;3089168;0;0;1263562;0;0;0;1263562;1137;4353866;0;504562;4858428;0;1729621;6588049
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;43983;0;0;0;694;0;0;694;0;0;0;0;0;0;0;0;694;0;6256730;6257423;0;290972;6548395
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;43983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6080348;6080348;0;406857;6487205
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;43983;857418;1616237;157455;2390789;2856;235;5024990;4187;32604;0;49226;0;0;81829;96102;5207108;0;679798;5886906;10667;534532;6432106
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;43983;67503;0;0;335;18002;0;85841;0;0;0;0;0;0;0;0;85841;0;337709;423550;2465;5919550;6345565
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;43983;238091;0;30945;2516916;0;0;2785953;267081;301150;283691;1448162;19579;0;2052582;94366;5199982;1848;300823;5502653;680;802764;6306097
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;43983;0;0;0;26099;0;0;26099;0;0;0;0;0;0;0;0;26099;0;5919283;5945382;0;276222;6221604
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;43983;0;0;50059;1060632;0;0;1110691;2780015;0;0;610045;0;0;610045;191715;4692466;357954;273982;5324402;335;522170;5846907
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;43983;0;0;386075;2857;0;0;388932;0;0;0;0;0;0;0;4048258;4437190;0;178124;4615314;6110;1164625;5786049
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;43983;37906;0;0;3579036;121;0;3617064;263274;277188;0;59625;0;0;336814;0;4217151;9371;586303;4812825;0;235803;5048628
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;43983;0;0;378423;1467418;0;0;1845840;0;1354062;0;795650;0;0;2149712;0;3995552;3458;173197;4172207;319;869526;5042052
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;43983;0;0;512378;0;0;0;512378;0;0;0;501543;0;747668;1249211;500619;2262209;0;1746976;4009185;0;993703;5002888
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;43983;0;0;50632;1014774;0;0;1065406;0;0;0;0;0;0;0;2709944;3775350;0;343191;4118541;689;553669;4672898
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;43983;472940;0;0;1843328;0;0;2316268;0;0;640516;0;0;0;640516;2330;2959115;0;882463;3841577;0;751810;4593387
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;43983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;196623;196623;0;3953276;4149899;0;388730;4538629
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;43983;612041;0;1350;1095828;0;0;1709219;1634047;0;0;0;0;0;0;0;3343266;24659;792761;4160685;0;367124;4527810
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;43983;532913;0;222070;1993594;0;8619;2757196;0;0;0;0;0;0;0;17836;2775033;0;1233672;4008704;0;491603;4500307
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;43983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4115222;4115222;0;162427;4277649
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;43983;0;0;0;335120;0;0;335120;0;0;46158;11368;0;0;57526;1404723;1797369;49928;1751518;3598815;15645;625790;4240250
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;43983;25073;0;20873;2206207;27394;0;2279548;1097;0;0;551887;0;112092;663979;111893;3056517;0;732398;3788915;3729;436677;4229321
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;43983;0;0;291609;0;0;0;291609;0;0;0;0;0;0;0;2496360;2787969;0;1229740;4017709;0;173902;4191611
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;43983;112875;0;298668;1162079;0;0;1573622;29505;91582;11855;744904;0;0;848341;833141;3284609;226;124745;3409580;940;567228;3977748
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;43983;0;0;0;2032;0;0;2032;0;0;0;0;0;0;0;127037;129069;0;3601842;3730910;0;220155;3951066
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;43983;576997;0;104310;1829918;0;3811;2515037;0;0;0;0;0;0;0;7125;2522162;0;816832;3338994;0;468086;3807080
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;43983;548469;0;68521;1127353;0;5356;1749698;0;0;0;0;0;0;0;32100;1781798;0;1286115;3067913;0;733124;3801037
RODOBENS - PRUDENCIAL;1000080855;b1;S4;C;2;SAO PAULO;SP;43983;486;0;131849;258363;5230;0;395928;0;149950;110528;729818;0;0;990296;161260;1547484;34941;985194;2567620;1657;1221801;3791078
INDUSVAL - PRUDENCIAL;1000080415;b1;S4;C;2;SAO PAULO;SP;43983;33468;0;0;2761957;0;0;2795425;125797;7351;264878;18981;0;0;291211;5061;3217494;20026;138233;3375752;2908;252247;3630907
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;43983;372144;0;306233;1070357;31934;0;1780668;0;61064;0;296562;0;0;357626;131575;2269868;0;707763;2977631;792;489900;3468324
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;43983;390492;0;303551;1516508;0;2294;2212846;0;0;0;0;0;0;0;24106;2236952;0;849745;3086697;0;368573;3455269
PEFISA S.A. - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;43983;0;0;0;367363;10597;0;377960;0;0;0;0;0;831256;831256;0;1209216;0;1350403;2559618;0;655543;3215161
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;43983;448124;0;18221;1896695;0;11771;2374811;0;0;0;0;0;0;0;875;2375686;0;320034;2695720;0;454329;3150049
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;S5;I;2;BELO HORIZONTE;MG;43983;434537;0;0;2039509;0;31167;2505214;0;0;76165;0;0;0;76165;0;2581378;0;68275;2649653;0;498478;3148131
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;43983;570154;0;0;1953071;0;2346;2525571;0;0;25390;0;0;0;25390;0;2550961;0;72951;2623911;0;519678;3143589
BCO DA CHINA BRASIL S.A. - PRUDENCIAL;1000081816;b1;S4;I;3;SAO PAULO;SP;43983;90732;0;0;1344382;0;2424;1437537;0;0;41172;0;0;0;41172;334852;1813561;0;893183;2706744;1517;430474;3138735
COOPERATIVA CENTRAL DE CRÉDITO DO NORTE/NORDESTE - CENTRAL SICREDI NORTE/NORDESTE;70119680;b3C;S4;I;2;CABEDELO;PB;43983;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2961738;2961738;0;164131;3125869
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;S4;I;2;CAMPO MOURAO;PR;43983;226156;0;531486;1420125;0;0;2177767;0;0;0;0;0;0;0;1688;2179455;0;93083;2272538;1379;816851;3090769
