cat;Categoria;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_NÃ£o_Consignado_Vencido_15d;PF_NÃ£o_Consignado_Vencer_90d;PF_NÃ£o_Consignado_Vencer_91-360d;PF_NÃ£o_Consignado_Vencer_361-1080d;PF_NÃ£o_Consignado_Vencer_1081-1800d;PF_NÃ£o_Consignado_Vencer_1801-5400d;PF_NÃ£o_Consignado_Vencer_acima_5400d;PF_NÃ£o_Consignado_TOTAL;PF_VeÃ­culos_Vencido_15d;PF_VeÃ­culos_Vencer_90d;PF_VeÃ­culos_Vencer_91-360d;PF_VeÃ­culos_Vencer_361-1080d;PF_VeÃ­culos_Vencer_1081-1800d;PF_VeÃ­culos_Vencer_1801-5400d;PF_VeÃ­culos_Vencer_acima_5400d;PF_VeÃ­culos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_CartÃ£o_Vencido_15d;PF_CartÃ£o_Vencer_90d;PF_CartÃ£o_Vencer_91-360d;PF_CartÃ£o_Vencer_361-1080d;PF_CartÃ£o_Vencer_1081-1800d;PF_CartÃ£o_Vencer_1801-5400d;PF_CartÃ£o_Vencer_acima_5400d;PF_CartÃ£o_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Micro;Pequena;MÃ©dia;Grande;Total nÃ£o Individualizado Pessoa JurÃ­dica;Total Exterior Pessoa JurÃ­dica;Qt_OperaÃ§Ãµes
b2;b2 - Banco MÃºltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de CÃ¢mbio;dez/14;37910664;418;9117;19995;22092;1851;0;0;53473;2484;37938;44601;41373;4665;1596;0;132657;228489;3919814;9719089;11359933;1378777;2342;0;26608444;0;0;0;0;0;0;0;0;612001;2373738;1088366;86193;0;0;0;4160298;61928;214606;1617148;2744294;1479874;490438;0;6608287;12462;57831;112270;134073;24520;6349;0;347506;0;48056;1882482;1298265;749587;125636;7775;0;4111801;100739;2148608;4438261;3443281;495763;47239;0;10673890;0;0;0;0;0;0;0;0;43059;3708975;6147308;201581;0;0;0;10100923;0;60917;94235;66299;13395;11381;4878;251105;11357;364509;84414;187771;12574;1250;0;661874;290543;2909680;7801196;13869084;4557905;702886;34652;30165946;2418;25073;89615;172413;91063;31192;0;411774;0;0;0;0;0;0;0;0;4678555;12282846;25464069;13948663;3181;284588;6853430
b3S;b3S - Cooperativa de CrÃ©dito Singulares;dez/14;46134962;17934;501050;1138393;1884655;722339;227538;332;4492243;251689;2343790;4617699;4473206;1197440;533464;4980;13422269;24848;450469;1195515;1850535;293749;2333;0;3817449;0;0;0;0;0;0;0;0;61835;433141;108744;225;10;0;2771;606726;136841;2187774;11080756;2580373;697546;467605;11;17150906;200200;2419353;2238017;846755;248961;124892;567192;6645369;0;155780;1895731;3832789;3694247;798263;255205;1065;10633080;15326;291077;737935;1169035;325186;164367;3815;2706741;63059;923556;1255256;12879;13795;1594;620441;2890581;60232;2875666;311184;3779;736;0;25;3251623;0;0;0;0;0;0;0;0;54062;233921;445532;382113;134297;55148;14004;1319077;2997;54425;24008;17475;2019;145;2;101071;1421;118519;423115;65173;6323;1588;0;616140;0;0;0;0;0;0;0;0;4752395;6067423;8148217;2521647;28630;0;7344996
b3C;b3C - Central e ConfederaÃ§Ã£o de Cooperativas de CrÃ©dito;dez/14;380;0;0;0;0;0;0;0;0;0;26;42;79;85;8;0;240;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;140;0;0;140;0;8;302249;516794;72649;6083;486;0;898269;0;8134;24402;62295;0;0;0;94830;0;402;12527;0;0;0;0;12929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;721;1610;12884;7957;775;30;164;24141;0;2894;27974;10133;676;1616;0;43294;0;0;2123;2508;1266;0;0;5897;0;0;0;0;0;0;0;0;154146;108106;404059;413050;0;0;982
b4;b4 - Banco de Desenvolvimento;dez/14;4046438;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16942;103842;432202;994932;846706;1517609;623;3912855;1185;5994;17024;41413;27413;40554;1;133583;0;20393;96750;418702;384210;21759;108444;0;1050257;14000;34971;155467;416211;211836;95725;0;928210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;486;269;808;1795;0;0;0;3357;886;3456;11783;33796;11221;881;0;62023;213013;12008121;30882441;82939123;62485477;129635094;22521587;340684857;8262;281584;551636;1222945;874556;1375189;195;4314368;0;0;0;0;0;0;0;0;24377129;1726265;26827257;294112383;39;0;118532
n1;n1 - NÃ£o BancÃ¡rio de CrÃ©dito;dez/14;17697925;8721;56891;121292;170650;58682;9129;0;425365;1028658;1988566;1385750;131379;2552;1;0;4536905;66887;350406;763896;969192;90352;4648;0;2245380;5507;77426;113815;226884;206422;362730;93325;1086109;708130;4637377;1838120;279681;4;0;0;7463311;10999;33279;141559;339648;273518;464232;730;1263964;89321;267783;230285;37689;8685;33647;9480;676890;0;67465;272081;384567;264994;24210;599;0;1013917;49356;495675;1126381;1733641;506459;242976;26633;4181120;0;353;911;0;0;0;0;1264;4722;603485;48758;12707;279;2767;320;673038;0;0;0;0;0;0;0;0;850;16285;11177;16677;2545;660;0;48193;43527;169844;509679;954428;646757;786716;9468;3120418;741;3570;18266;48853;40636;123716;0;235781;1;42452;68190;13718;264;81;0;124706;750576;819431;4778056;3049180;1194;0;31328940
n2;n2 - NÃ£o BancÃ¡rio de Mercado de Capitais;dez/14;12135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3897;0;0;0;0;0;8238;12135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;1;0;433
C;C - Conglomerado;dez/14;892084973;1599487;17030981;44220085;78671288;33665512;10855573;85715;186128641;3396097;14867628;25107453;23015309;5150692;1626249;118580;73282007;3099853;21824776;51880304;65418404;7783056;19314;7815;150033522;140319;2538256;5396928;12929976;10953502;39764532;30626120;102349632;11721634;101071417;29730202;1417304;164808;32084;129169;144266618;1365526;11080871;53925122;34208987;22444542;24329296;73465;147427810;4817654;20548832;14549749;12275484;3865427;1505978;199671;57762796;30833946;6478225;56149689;91113998;93774797;19460607;5424314;565088;272966719;707078;8989213;18705906;24398452;18120081;21018027;5607174;97545930;2290065;32528343;7764121;1021359;189787;81674;132655;44008004;1213405;60681487;12781169;1142451;511884;691713;257224;77279333;1076862;26052157;40602179;21386008;4880873;3233043;5915;97237037;3628638;12820820;11681973;13328008;4539215;5870302;119183;51988138;999241;17718718;46452320;78881953;30101996;30594236;9977680;214726143;154222;12129801;32819913;14346044;9999666;4775938;21097;74246681;75026;1932963;9453021;21135045;6190581;6485700;154466;45426802;78644448;139479627;358586788;398487351;226574;375045823;321298960
I;I - InstituiÃ§Ã£o independente;dez/14;553969592;2069078;5237430;13881544;27523169;14704057;1051471;332;64467081;2754269;6014323;9670058;8757631;1689685;621370;5138;29512475;637675;5216416;12967893;16962903;2373264;43659;0;38201811;1630537;10806359;28674391;64147096;50297799;128248585;44870402;328675168;2668562;11744108;4191911;221138;464;0;2771;18828954;864870;4343131;17389135;9514815;5276501;5506250;1378;42896081;1911635;8942842;9689372;5454821;2590950;2104244;690090;31383955;4068;4033511;13137897;26861808;34640482;9986273;619894;121911;89401776;1188863;3240148;7988757;9694398;3403261;865406;32043;26412877;766718;3392041;6024835;74526;39099;1594;620441;10919255;222331;7551940;6651630;216538;1015;2767;345;14646567;66963;2957369;6915316;4155833;4049586;3934078;0;22079144;711187;2607820;2607278;1221032;442475;411574;94975;8096341;923858;20054462;46410562;112579068;76769218;156341477;29792200;442870845;82169;1496304;6587695;2111350;1146969;1754498;195;13179180;40318;3748824;2982913;2700967;428853;448863;13678;10364417;74686590;55340090;118946927;388932963;63831;1714503;101261543
1;1 - PÃºblico;mar/15;759546027;2318607;9768379;27030932;53703170;28170986;8129337;97897;129219308;2073430;5034082;12416861;13812228;3955773;1707671;134100;39134145;386069;2621532;6473497;9315657;1439487;5144;5617;20247003;1781012;11582105;30695285;69377209;54985517;146478270;60274756;375174155;2984367;24261115;4409256;215430;495;0;155120;32025783;1915201;12990049;41756994;28110748;21226160;26178133;49525;132226808;2390847;8706618;8861761;4615574;2391108;2278008;261722;29505636;2013189;4787235;21758225;45071419;61888389;17948348;4294495;182633;155930744;1640408;3385011;4850072;15308475;16262521;22999515;5470928;69916930;1166420;6044260;5765575;554913;19159;0;8886;13559214;805071;11783653;2374724;70437;78911;561067;229914;15903777;256160;7717484;10971894;3505731;3806684;3986064;0;30244017;1542763;7870143;6775618;12808510;9222129;6087754;161810;44468727;2745750;24786252;63023152;135298514;88836409;182047216;40247228;536984521;185904;5330615;8747527;3419073;2297131;3852363;19013;23851625;41840;4166317;4261095;6244988;1119827;465251;14112;16313430;81164042;101479949;196059109;528404667;65219;62150423;102194303
2;2 - Privado Nacional;mar/15;503915995;932232;10621074;27638485;46603080;19004556;5014402;540;109814368;3001563;13647212;18623695;12323351;1853658;622237;6017;50077733;2327565;14784096;34621573;43102630;4876214;45302;4;99757382;132251;870278;2439986;5450384;5029734;18574893;14788004;47285531;9544578;61562183;22306395;654639;2248;17;2225;94072285;277110;6826721;17582209;8638916;4081642;3050333;509;40457440;2988848;16616625;9031952;8501679;2292448;793461;663015;40888029;21563227;3921065;32834337;49941765;43842508;8698174;2146609;195648;141580105;503709;5111762;11750822;13416285;2463050;407831;7662;33661122;1626934;24797223;5747423;61685;19980;21139;697616;32971999;570169;26536647;4635122;874759;435469;129112;4032;33185310;526356;12760180;17505426;11963475;4500101;2135591;1880;49393009;2747556;7458882;6582005;6134731;1793077;606999;29866;25353117;415516;8454799;23719025;36404285;13558368;11051900;1843180;95447073;26541;7316650;15329358;3177352;2669167;1070362;0;29589430;22632;1099370;4554275;13453562;5107203;4560127;156846;28954013;49476092;65415224;177455214;177618996;169653;337063344;263126994
3;3 - Privado com Controle Estrangeiro;mar/15;212614870;454615;2060570;5349991;8204535;2547985;544827;178;19162702;1269218;2818000;5071706;5338999;1104414;66981;1200;15670518;1030682;9372653;22492134;27348232;3244632;9669;2017;63500020;42674;1049484;2498611;5338535;3785939;11055487;5223779;28994510;2751458;21679252;5079826;713063;126511;26104;18;30376232;142758;2669232;6301767;6550799;3474335;1623630;0;20762521;1845316;6320168;5630924;4999797;2010490;527557;8577;21342829;12805539;1728440;14811792;20736567;16071660;4652403;1528289;309473;59838624;243448;3562809;6763626;7625936;1199874;1031686;884875;21312255;473193;7160493;3223459;470470;161860;70238;127334;11687048;200653;22305396;10575090;531479;610740;6973;1534;34231867;616699;13580083;23134656;6452142;1441130;1114111;14048;46352870;1080368;2807166;3388134;4047063;1037108;332337;89388;12781564;496551;4824577;12973220;21130439;6611716;2671189;34307;48741999;22937;2040875;5343935;1088633;473452;220782;0;9190614;45201;1253540;3765082;3799924;277541;1546475;2268;10690031;21826091;32033889;100398476;100525945;42471;50744252;60085322
b1;b1 - Banco Comercial, Banco MÃºltiplo com Carteira Comercial ou Caixa EconÃ´mica;mar/15;1368843315;3677095;21899959;58653271;106383415;48916001;13413096;98310;253041148;4874913;16733993;30178486;26747545;5691273;1904450;135311;86265972;3406957;21995098;51931637;65668084;7857356;51676;7638;150918445;1951106;13424533;35520297;79934819;63568233;175765511;80190981;450355481;13651367;100048272;29054172;1248159;129230;26113;155137;144312451;2119873;16957937;55378512;36240124;25292525;27777428;48367;163814766;6864261;28474519;21286387;17048323;6387835;3400186;291586;83753097;36381955;10070090;64765015;109478365;116532934;30346150;7628098;685949;339506601;2203636;9350430;18101275;29643083;18438107;23945948;6340449;108022929;3195595;36995869;13380910;1062329;181083;91267;136223;55043276;1406739;53491531;11377954;1190335;1121339;694442;232506;69514846;1396018;34030301;51480266;21842667;9735118;7221798;9942;125716110;5269557;17574188;16159479;22325462;11874427;6946927;264537;80414577;1521098;23526027;57107289;90598785;39932426;57826197;17992613;288504434;218863;14238167;28331758;6106352;4334186;3431543;18914;56679785;109662;6428140;12574390;23481588;6504422;6571517;173226;55842945;114867030;174426459;407413936;482274694;263385;449649102;379192020
b2;b2 - Banco MÃºltiplo sem Carteira Comercial ou Banco de Investimento ou Banco de CÃ¢mbio;mar/15;38222607;444;7592;19847;21317;1853;0;0;51053;2683;22619;55897;38723;4627;1594;0;126143;241826;3984479;9681045;11289491;1348990;1955;0;26547786;0;0;0;0;0;0;0;0;715829;2495969;941982;76770;10;8;0;4230567;57238;860719;984212;2863495;1579122;587321;0;6932108;14272;85983;67359;134665;26261;6410;0;334949;0;72861;1995283;1061490;788630;135728;5860;0;4059852;96430;1890298;3172681;3370721;459371;35151;0;9024652;0;0;0;0;0;0;0;0;82717;3785714;5855196;266890;2548;0;0;9993066;3198;27446;131710;78681;12796;13968;5986;273786;17380;260025;70124;173240;9106;1120;0;530995;373984;2932040;7630144;13372037;4080345;702177;34307;29125035;2477;40779;79039;183352;95435;33379;0;434463;0;0;0;0;0;0;0;0;4182014;11192877;24252001;13811664;3295;308917;7124472
b3S;b3S - Cooperativa de CrÃ©dito Singulares;mar/15;46827728;18580;485993;1216482;1926886;747281;265187;307;4660715;285501;2690977;4403983;4565362;1215017;490844;6006;13657689;30407;464232;1184353;1807461;266819;1644;0;3754916;0;0;0;0;0;0;0;0;72104;437949;101714;209;12;0;2225;614213;126498;4429477;8768210;2812834;694014;448350;111;17279494;244329;2825678;1940329;857890;244915;124760;622798;6860700;0;193255;2060489;3833414;3781433;776057;225707;1466;10871821;20562;299230;753925;1183162;316365;151666;3528;2728438;70836;1003648;1337219;24740;19916;111;697613;3154082;79282;2932356;297562;3429;598;0;2652;3315879;0;0;0;0;0;0;0;0;80592;277816;486130;442449;157951;77611;16363;1538911;4138;56711;23231;15758;1750;110;2;101702;1553;188521;395377;86483;6548;1433;0;679914;0;0;0;0;0;0;0;0;4629325;6424548;8628809;2697822;10243;0;7575852
b3C;b3C - Central e ConfederaÃ§Ã£o de Cooperativas de CrÃ©dito;mar/15;2867;0;0;0;0;0;0;0;0;0;68;72;236;147;0;0;522;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;660;0;351;696;622;14;0;2344;0;0;0;0;0;0;0;0;0;16;176047;624763;66474;8251;1036;335;876921;0;9256;27728;69782;0;0;0;106766;0;1201;12127;0;0;0;0;13327;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25;9645;3062;1838;119;16;164;14869;0;8604;26173;10101;843;1472;0;47193;0;792;1397;2975;1266;0;0;6430;0;0;0;0;0;0;0;0;171012;98151;402265;394078;0;0;898
b4;b4 - Banco de Desenvolvimento;mar/15;4188999;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21666;197078;369314;1028107;914670;1544271;1208;4076314;2367;6172;17504;37504;23250;25888;0;112685;0;24932;116778;402053;352356;17407;108249;0;1021775;8866;37085;169547;396533;205893;81042;0;898967;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;543;3982;13649;32208;8780;813;0;59974;1696660;11370014;34440582;87878061;64311369;136434855;24089443;360220983;11730;214156;594146;1255982;959166;1547539;99;4582818;0;0;0;0;0;0;0;0;27903252;5885962;28501473;304493792;38;0;120379
n1;n1 - NÃ£o BancÃ¡rio de CrÃ©dito;mar/15;17978425;9335;56478;129809;179168;58390;10282;0;443462;1181114;2051637;1473824;122712;2780;2;0;4832069;65126;334472;790169;1001483;87168;4840;0;2283258;4831;77333;113585;231309;232957;343140;95559;1098714;841105;4520360;1697608;257994;2;0;0;7317069;9133;40790;140370;355206;301183;494713;348;1341743;95883;251059;213057;38669;11786;41781;9875;662110;0;75586;290743;349667;280730;15332;441;3;1012502;58071;473282;1139364;1687416;505708;225225;19489;4108554;117;1259;6201;0;0;0;0;7577;7156;416095;54225;16020;635;2710;322;497162;0;0;0;0;0;0;0;0;2591;6592;13313;15106;1931;603;0;40137;61936;172231;487979;958495;679760;805495;8349;3174246;758;5724;19103;49914;43149;129612;0;248260;11;91087;6061;16885;148;336;0;114529;713593;901065;4714314;2873614;382;0;31392567
n2;n2 - NÃ£o BancÃ¡rio de Mercado de Capitais;mar/15;12953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3897;0;0;0;0;0;9055;12953;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3944;0;0;0;0;0;3944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3944;0;0;431
C;C - Conglomerado;mar/15;901065549;1636482;17038948;45271108;79878488;34890581;12761558;98299;191575464;3346872;14936975;26391882;22528612;5223317;1780611;135051;74343321;3096713;21358002;50397659;62632361;7247903;18035;7638;144758311;187013;2348397;5947496;13569280;11459656;42012951;32947139;108471932;12175149;95909701;27943575;1368557;128750;26113;155137;137706984;1446822;14176723;51788717;33000541;23198785;25181162;48352;148841101;4843864;21462840;14398141;12554628;4016743;1526369;188910;58991496;36376939;6612829;55877952;89783292;87755780;21701001;7548085;564276;269843215;729555;8904242;16743351;26776651;16582705;23730960;6338411;99805874;2321218;34372257;8574609;1005841;161911;91267;136223;46663326;1285764;52909865;11336464;1194089;1121288;694442;232506;68774417;1293752;29651428;44418531;17616278;5576307;3217940;14705;101788940;4511903;14987410;14373069;21740565;11581261;6616398;180680;73991286;1168671;18292656;49850217;74361327;29210176;31631396;10556401;215070843;147948;11700220;24325575;5395597;4177362;3203553;18362;48968616;73389;2473836;9601071;20801813;6080704;6134677;159114;45324603;76132468;138575975;350577771;404712740;232167;447654407;324404023
I;I - InstituiÃ§Ã£o independente;mar/15;575011343;2068972;5411075;14748300;28632298;14832945;927007;317;66620914;2997339;6562319;9720379;8945966;1690528;616278;6266;30539075;647602;5420279;13189546;17134157;2312430;42080;0;38746093;1768924;11153469;29686387;66596848;52341534;134095700;47339401;342982263;3105255;11592849;3851901;214574;504;8;2225;18767317;888247;8309279;13852253;10299921;5583352;5670934;1682;44605669;2381146;10180570;9126495;5562422;2677303;2072657;744404;32744998;5015;3823911;13526403;25966459;34046777;9597923;421307;123477;87506258;1658010;3155340;6621169;9574046;3342740;708072;25054;25084432;945330;3629720;6161847;81227;39088;111;697613;11554936;290129;7715832;6248473;282586;3832;2710;2974;14546537;105464;4406319;7193445;4305071;4171608;4017826;1224;24200957;858784;3148782;2372687;1249739;471053;410692;100385;8612121;2489146;19772971;49865181;118471911;79796317;164138909;31568314;466102750;87434;2987920;5095246;2289460;1262388;1939954;651;13663054;36285;4045391;2979380;2696661;423866;437176;14112;10632871;76333758;60353087;123335027;401836867;45175;2303612;101002596
1;1 - PÃºblico;jun/15;782296811;2255352;10095369;27941380;55077611;28270841;8733938;185687;132560178;1567045;5632736;13005775;14178247;4364345;1902763;229285;40880198;491404;2648447;6574543;9330716;1408160;4609;16845;20474723;1863003;11885567;31516891;71504231;56841554;152084866;64117746;389813859;3649942;23829425;4251496;241463;559;0;184960;32157845;1999262;21409298;34362153;28208312;22011347;26235581;47643;134273594;2777379;8511015;8881705;4681735;2403726;2272568;270885;29799011;2337403;5188726;21822412;43126926;58129406;22752334;3217245;242619;154479668;2179186;2317851;6278165;18143084;17708071;19645019;5036984;71308359;1214753;5482009;5798311;94374;9478;0;7282;12606207;778269;10740029;2066665;191952;248548;609274;226471;14861208;301115;7955600;14820150;3212175;4943551;3695131;0;34927722;1564530;6230641;10394127;12199667;13128861;9459925;181569;53159320;1282050;24909069;66035273;128876974;93773462;183405659;41930250;540212737;201224;4279915;7780436;3399801;2504002;3915256;16487;22097121;62014;4468193;4479356;6532868;1135375;455457;14162;17147425;80986125;96981924;223328385;519438600;64733;58240893;101015530
2;2 - Privado Nacional;jun/15;504631878;899656;10733773;28122374;47433933;19893730;5303857;803;112388128;3367269;12460971;16625622;14475211;2566838;638227;5296;50139434;2259104;14180858;33127466;40833439;4498620;42028;4;94941519;110200;1252982;2259951;5679847;5250351;19419838;15625474;49598644;10132770;62429026;21561005;683833;9250;21;618;94816523;299915;8449271;14979188;9000104;4336368;3102970;92;40167909;3388163;16518497;9215250;8800337;2499504;886468;95308;41403527;21176195;4438926;30670976;48478934;43809480;9807423;1659157;237479;139102375;473847;4977833;12062399;12202743;2205159;273651;7915;32203549;1868752;25404654;5553352;66289;20312;53245;4591;32971194;621122;27578247;4644353;817558;398490;119200;482;34179453;738890;10916188;19494033;13321971;6554187;1432337;996;52458602;2705967;6571550;7511890;6753536;2053390;1117084;343929;27057346;487924;8923121;22011430;33417725;13802993;11085695;2052834;91781722;30611;7255824;11990457;4158027;2684907;786403;0;26906229;22404;1006560;4714447;13395810;5000519;4697622;265359;29102722;44697934;62097399;177877106;180914192;176562;288539799;263030709
3;3 - Privado com Controle Estrangeiro;jun/15;209204821;433328;2118094;5513573;8450271;2771251;639489;278;19926283;1252466;2766581;4922802;5148216;1121537;68042;5367;15285012;1015139;9130923;21864399;26261723;2961880;9067;2075;61245207;47313;1120939;2647478;5634016;4007481;11697461;5569022;30723711;2889688;22081431;5097786;756854;121573;26732;20;30974084;208797;2477311;5719092;6666701;3414296;1374659;0;19860857;1994065;6079551;5698997;5239631;1990131;562006;10683;21575063;9614604;1915758;16211912;22408778;16042235;4924964;972570;261531;62737748;222544;3495446;6945792;7239133;1199520;1164482;932855;21199773;521868;7530333;3330823;441498;151755;67157;163423;12206856;274149;24625473;9930595;493351;604154;6327;1931;35935981;539252;13187553;25863915;6536863;1188895;1046052;14257;48376786;1332259;3067627;3565380;4141599;1123862;343556;90864;13665148;515807;5808705;11996901;19642148;6363578;2692903;33996;47054038;32422;2015980;4574266;1396497;521372;286937;0;8827474;46926;944035;3737900;4298493;199631;1544414;2151;10773549;22020082;30115931;99580233;109018640;42466;43819419;60561059
b1;b1 - Banco Comercial, Banco MÃºltiplo com Carteira Comercial ou Caixa EconÃ´mica;jun/15;1388386067;3559963;22435074;60148743;108781929;50096680;14374756;186172;259583317;4483822;16094829;28330181;29011935;6797667;2116422;234665;87069520;3411412;21226743;50098038;62668971;7260016;48515;18924;144732619;2015052;14168841;36278558;82514847;65822421;182856741;85213130;468869590;14860323;100667941;28326659;1313697;124556;26724;184980;145504881;2234737;27403498;44753815;36425445;26163975;27744395;46548;164772413;7752064;27724891;21143004;17682805;6589974;3523762;309024;84725525;33128202;11099900;64548034;107886025;112505070;36439041;5488544;740178;338706793;2718969;8063184;19896100;31296686;19583271;20619199;5913887;108091297;3512525;36817567;13174973;563745;161233;117408;170704;54518156;1477017;55246141;11459248;1248338;1243376;732010;228558;71634687;1571638;31996894;60090779;23006246;12674435;6158149;11410;135509551;5494343;15255762;20538230;22277206;16107123;10829648;594718;91097031;1522430;23881875;56160998;84381314;40106763;58551352;18894178;283498909;246474;12993874;23309205;7466128;4402259;3336976;15849;51770765;131343;6412885;12905653;24149756;6335233;6697412;281673;56913955;111882400;168598623;404229366;506761833;268921;390416027;377310973
