Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;dez/20;6.904.418;0;16.607;135.311;1.703.411;119.243;95.000;0;2.069.572;0;830;206.730;1.488.318;545.430;569.319;275.744;3.086.372;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19.737;851.257;34.059;35.272;12.841;0;953.166;0;17;0;425.456;0;0;0;425.473;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;369.835
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;dez/20;6.417.899;0;199.593;1.452.154;935.182;150.386;194;0;2.737.508;804;148.685;319.621;386.689;107.016;19.987;0;982.801;1.660;117.539;39.120;0;0;0;0;158.320;0;588.980;670.345;1.164;0;0;0;1.260.489;0;227.108;258.097;6.222;0;0;0;491.427;0;3;0;0;0;0;0;3;1.852;45.696;158.397;512.257;66.185;2.036;0;786.423;0;87;248;563;31;0;0;929;0;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;dez/20;6.245.899;7.793;51.236;254.068;345.878;53.256;118.189;64;830.485;3.094;109.390;330.076;462.071;27.626;19.275;4;951.536;679;458;1.094;34;0;0;0;2.264;192;2.326;74;0;0;0;0;2.593;0;73.330;705.538;0;0;0;0;778.868;5.649;13.419;42.354;55.369;50.247;141.545;0;308.583;1.584;54.495;132.366;394.797;357.129;1.343.185;475.006;2.758.562;5.611;1.692;301.988;302.546;657;514;0;613.008;0;0;0;0;0;0;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;dez/20;5.778.923;6.742;46.747;151.933;499.373;151.820;13.141;97.963;967.719;3.554;87.990;270.735;698.290;157.091;53.343;494;1.271.497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;318;25.429;105.659;45.593;11.288;293;0;188.581;5.605;137.594;503.898;1.244.971;430.494;321.130;35.755;2.679.446;676;150.860;243.627;160.423;57.830;58.264;0;671.680;0;0;0;0;0;0;0;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;dez/20;5.720.115;690;3.319;7.232;13.321;8.398;16.560;0;49.521;6.170;305.092;856.161;1.577.421;426.682;1.197;0;3.172.723;0;0;0;0;0;0;0;0;0;63.280;51.456;0;0;0;0;114.736;0;0;0;0;0;0;0;0;784;22.018;42.101;43.446;11.179;883;0;120.410;8.971;195.100;554.955;1.068.826;423.699;11.174;0;2.262.726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;dez/20;5.562.107;773;194.087;334.211;574.342;22.308;0;40.163;1.165.884;0;0;0;0;0;0;0;0;205;14.474;30;0;0;0;0;14.709;10.795;1.888.944;103.324;0;0;0;3.172;2.006.234;0;70.241;115.557;132.632;0;0;5.950;324.380;1.815;13.072;35.398;35.253;319;7;52.565;138.428;0;13.052;64.231;63.148;0;0;0;140.431;0;5.325;10.482;10.000;0;0;0;25.807;0;0;0;0;0;0;0;0;1.746.233
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;dez/20;5.286.289;2.712;743.935;33.151;0;0;0;0;779.799;7.232;149.288;433.465;839.414;341.712;1.188;0;1.772.299;0;0;0;0;0;0;0;0;2;1.418.983;131.947;8.016;0;0;0;1.558.949;0;0;0;0;0;0;0;0;0;2.276;20.374;33.228;16.528;444;0;72.850;4.654;76.035;210.272;416.463;113.895;50;0;821.369;0;3.862;66.061;112.316;78.878;19.907;0;281.025;0;0;0;0;0;0;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;dez/20;5.284.904;4.904;335.666;656.516;535.585;38.760;461;0;1.571.892;0;155;469;193;0;0;0;818;5.562;242.419;204.521;19.493;0;0;0;471.995;117;410.936;17.434;1.524;114;0;0;430.126;1.142;139.426;130.531;45.587;4.942;0;0;321.627;634;94.348;79.095;14.418;2.110;1.227;0;191.831;206;28.935;406.076;1.158.549;590.474;321;0;2.184.562;0;9.320;19.164;0;0;0;0;28.484;0;0;0;0;0;0;0;0;83.571
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;dez/20;4.572.904;11.281;285.657;581.096;382.261;73.639;4.952;0;1.338.887;0;0;0;0;0;0;0;0;2.535;8.627;2.817;0;0;0;0;13.980;1.181;1.002.658;1.259.180;431.309;0;0;0;2.694.328;9.199;127.700;171.551;47.786;0;0;0;356.236;20.911;6.798;4.314;0;0;0;0;32.023;0;0;0;0;0;0;0;0;0;19.800;60.784;13.515;0;0;0;94.099;0;0;0;0;0;0;0;0;43.351
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;dez/20;4.464.542;0;425;1.899;5.791;2.050;0;0;10.165;2.955;234.068;677.116;1.305.217;338.757;623;0;2.558.736;0;0;0;0;0;0;0;0;0;34.796;302;0;0;0;0;35.097;0;0;0;0;0;0;0;0;0;12.670;0;0;0;0;0;12.670;3.097;163.807;468.517;873.543;337.863;1.049;0;1.847.875;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
