cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;set/18;39.873.815;317.350;3.362.963;7.135.526;8.751.287;2.307.166;744.347;7.247;22.625.885;18.374;442.216;1.232.201;1.685.147;529.763;196.235;638;4.104.574;153.524;1.774.923;1.968.709;72.417;3.447;13.907;6.185;3.993.111;82.194;3.594.329;314.074;1.798;500;309;0;3.993.204;0;0;0;0;0;0;0;0;147.056;633.333;1.050.930;1.207.632;514.443;409.965;13.169;3.976.527;789;21.395;36.059;36.889;5.019;863;0;101.014;997;237.584;642.790;158.519;33.476;6.134;0;1.079.499;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;set/18;2,27%;5,18%;7,52%;8,96%;8,98%;8,26%;8,39%;0,55%;8,51%;1,98%;4,64%;5,53%;5,05%;3,63%;0,64%;0,04%;3,63%;7,04%;6,90%;21,91%;11,60%;2,97%;1,15%;3,37%;10,23%;10,10%;5,03%;1,19%;0,12%;0,11%;0,13%;0,00%;3,94%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,90%;4,05%;5,78%;6,16%;5,98%;5,86%;0,46%;4,99%;0,03%;0,07%;0,05%;0,03%;0,01%;0,00%;0,00%;0,02%;0,69%;2,42%;2,68%;1,17%;0,79%;0,18%;0,00%;1,96%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;set/18;1.291.798;0;484.566;547.966;140.518;42.877;7.991;0;1.223.919;0;1.057;3.080;4.166;332;557;0;9.192;0;0;2.857;989;0;0;0;3.846;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.021;7.678;9.709;17.308;1.052;1.163;164;38.095;1.119;841;12.415;2.191;180;0;0;16.746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;set/18;0,07%;0,00%;1,08%;0,69%;0,14%;0,15%;0,09%;0,00%;0,46%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,03%;0,16%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,05%;0,05%;0,09%;0,01%;0,02%;0,01%;0,05%;0,04%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;set/18;314.042.094;8.369;58.142;133.015;155.422;126.972;2.370;110.285;594.575;27.181;75.014;206.592;310.660;133.509;35.642;615;789.214;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.584;36.592;103.506;112.899;21.831;725;0;279.136;1.312.740;12.218.485;31.910.179;65.828.866;51.428.880;117.392.823;26.454.771;306.546.743;11.704;259.077;893.815;1.928.492;1.352.138;1.387.199;0;5.832.426;0;0;0;0;0;0;0;0;
b4%;b4 - Banco de Desenvolvimento;set/18;17,86%;0,14%;0,13%;0,17%;0,16%;0,45%;0,03%;8,31%;0,22%;2,92%;0,79%;0,93%;0,93%;0,92%;0,12%;0,04%;0,70%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,05%;0,23%;0,57%;0,58%;0,25%;0,01%;0,00%;0,35%;49,46%;40,35%;45,13%;52,04%;59,15%;64,56%;54,45%;55,99%;8,16%;2,64%;3,72%;14,28%;31,86%;40,22%;0,00%;10,57%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n1;n1 - Não Bancário de Crédito;set/18;9.449.759;32.726;222.488;327.322;344.553;109.900;6.001;55;1.043.046;38.867;637.084;1.393.025;2.106.408;641.819;237.535;15.101;5.069.840;1.784;6.514;3.124;65;0;0;0;11.487;2.224;105.470;351.991;2.901;0;0;0;462.586;0;0;0;0;0;0;0;0;1.849;10.910;16.191;20.931;6.998;3;0;56.882;30.536;151.232;429.274;945.194;591.238;410.442;10.967;2.568.884;339;18.030;17.005;88.332;77.232;23.740;0;224.677;0;1.318;33;10.601;77;327;0;12.355;
n1%;n1 - Não Bancário de Crédito;set/18;0,54%;0,53%;0,50%;0,41%;0,35%;0,39%;0,07%;0,00%;0,39%;4,18%;6,69%;6,25%;6,31%;4,40%;0,77%;1,00%;4,48%;0,08%;0,03%;0,03%;0,01%;0,00%;0,00%;0,00%;0,03%;0,27%;0,15%;1,33%;0,20%;0,00%;0,00%;0,00%;0,46%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,07%;0,09%;0,11%;0,08%;0,00%;0,00%;0,07%;1,15%;0,50%;0,61%;0,75%;0,68%;0,23%;0,02%;0,47%;0,24%;0,18%;0,07%;0,65%;1,82%;0,69%;0,00%;0,41%;0,00%;0,03%;0,00%;0,09%;0,00%;0,09%;0,00%;0,04%;
n2;n2 - Não Bancário de Mercado de Capitais;set/18;2.420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.386;0;0;0;0;34;2.420;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n2%;n2 - Não Bancário de Mercado de Capitais;set/18;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n4;n4 - Instituições de Pagamento;set/18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n4%;n4 - Instituições de Pagamento;set/18;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
C;C - Conglomerado;set/18;1.163.009.398;3.216.231;33.577.195;59.551.051;68.721.009;16.959.416;5.141.864;1.091.441;188.258.209;710.246;6.178.321;16.218.836;25.786.792;12.203.277;30.054.603;1.488.093;92.640.168;1.575.136;23.368.835;5.582.516;468.302;112.262;1.191.320;177.619;32.475.989;618.552;61.352.340;19.670.380;1.267.794;307.406;157.316;545.941;83.919.729;1.210.100;40.611.313;58.791.045;23.310.529;17.743.375;20.871.385;5.339;162.543.085;5.819.644;12.993.971;15.071.987;16.139.521;7.121.610;5.961.836;2.768.000;65.876.569;911.096;11.467.756;24.691.758;36.021.443;20.298.824;27.023.549;12.934.918;133.349.344;105.184;8.828.100;18.591.024;10.715.908;2.183.435;1.872.468;38;42.296.157;796.925;1.877.551;5.322.230;7.644.283;1.626.641;169.715;7.227;17.444.573;
C%;C - Conglomerado;set/18;66,14%;52,52%;75,09%;74,79%;70,54%;60,74%;57,95%;82,26%;70,77%;76,40%;64,86%;72,78%;77,26%;83,68%;97,41%;98,76%;81,94%;72,25%;90,84%;62,13%;75,02%;96,86%;98,85%;96,63%;83,23%;75,98%;85,85%;74,52%;85,95%;69,50%;67,82%;99,95%;82,79%;85,46%;87,42%;88,58%;77,09%;96,72%;99,80%;100,00%;88,46%;75,09%;83,17%;82,88%;82,36%;82,77%;85,26%;96,25%;82,73%;34,33%;37,87%;34,92%;28,47%;23,35%;14,86%;26,62%;24,36%;73,30%;89,82%;77,40%;79,33%;51,44%;54,29%;15,76%;76,63%;62,34%;48,99%;60,14%;66,85%;88,24%;47,97%;95,20%;63,20%;
I;I - Instituição independente;set/18;595.427.603;2.907.355;11.140.895;20.070.312;28.700.292;10.962.421;3.730.443;235.367;77.747.084;219.373;3.347.214;6.064.787;7.588.989;2.380.311;799.789;18.754;20.419.217;605.072;2.355.341;3.402.363;155.900;3.636;13.907;6.185;6.542.403;195.512;10.110.612;6.726.725;207.243;134.899;74.652;257;17.449.900;205.822;5.843.385;7.582.540;6.925.591;601.156;41.383;0;21.199.876;1.930.448;2.629.023;3.112.522;3.456.349;1.482.301;1.030.437;107.939;13.749.018;1.743.155;18.810.502;46.019.301;90.480.587;66.650.986;154.810.393;35.653.783;414.168.707;38.310;1.000.343;5.428.378;2.792.704;2.061.181;1.576.349;204;12.897.471;481.442;1.955.089;3.527.900;3.791.517;216.801;184.048;364;10.157.161;
I%;I - Instituição independente;set/18;33,86%;47,48%;24,91%;25,21%;29,46%;39,26%;42,05%;17,74%;29,23%;23,60%;35,14%;27,22%;22,74%;16,32%;2,59%;1,24%;18,06%;27,75%;9,16%;37,87%;24,98%;3,14%;1,15%;3,37%;16,77%;24,02%;14,15%;25,48%;14,05%;30,50%;32,18%;0,05%;17,21%;14,54%;12,58%;11,42%;22,91%;3,28%;0,20%;0,00%;11,54%;24,91%;16,83%;17,12%;17,64%;17,23%;14,74%;3,75%;17,27%;65,67%;62,13%;65,08%;71,53%;76,65%;85,14%;73,38%;75,64%;26,70%;10,18%;22,60%;20,67%;48,56%;45,71%;84,24%;23,37%;37,66%;51,01%;39,86%;33,15%;11,76%;52,03%;4,80%;36,80%;
