cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;dez/14;21.518.312;155.780;1.895.731;3.832.789;3.694.247;798.263;255.205;1.065;10.633.080;15.326;291.077;737.935;1.169.035;325.186;164.367;3.815;2.706.741;63.059;923.556;1.255.256;12.879;13.795;1.594;620.441;2.890.581;60.232;2.875.666;311.184;3.779;736;0;25;3.251.623;0;0;0;0;0;0;0;0;54.062;233.921;445.532;382.113;134.297;55.148;14.004;1.319.077;2.997;54.425;24.008;17.475;2.019;145;2;101.071;1.421;118.519;423.115;65.173;6.323;1.588;0;616.140;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;dez/14;1,08%;1,48%;2,74%;3,25%;2,88%;2,71%;4,22%;0,16%;2,93%;0,81%;2,38%;2,76%;3,43%;1,51%;0,75%;0,07%;2,18%;2,06%;2,57%;9,10%;1,18%;6,03%;1,91%;82,39%;5,26%;4,20%;4,21%;1,60%;0,28%;0,14%;0,00%;0,01%;3,54%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,25%;1,52%;3,12%;2,63%;2,70%;0,88%;6,54%;2,20%;0,16%;0,14%;0,03%;0,01%;0,00%;0,00%;0,00%;0,02%;0,60%;0,87%;1,07%;0,40%;0,06%;0,02%;0,00%;0,70%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/14;1.079.360;8;302.249;516.794;72.649;6.083;486;0;898.269;0;8.134;24.402;62.295;0;0;0;94.830;0;402;12.527;0;0;0;0;12.929;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;721;1.610;12.884;7.957;775;30;164;24.141;0;2.894;27.974;10.133;676;1.616;0;43.294;0;0;2.123;2.508;1.266;0;0;5.897;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/14;0,05%;0,00%;0,44%;0,44%;0,06%;0,02%;0,01%;0,00%;0,25%;0,00%;0,07%;0,09%;0,18%;0,00%;0,00%;0,00%;0,08%;0,00%;0,00%;0,09%;0,00%;0,00%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,01%;0,09%;0,05%;0,02%;0,00%;0,08%;0,04%;0,00%;0,01%;0,03%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,01%;0,02%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;dez/14;347.043.073;20.393;96.750;418.702;384.210;21.759;108.444;0;1.050.257;14.000;34.971;155.467;416.211;211.836;95.725;0;928.210;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;486;269;808;1.795;0;0;0;3.357;886;3.456;11.783;33.796;11.221;881;0;62.023;213.013;12.008.121;30.882.441;82.939.123;62.485.477;129.635.094;22.521.587;340.684.857;8.262;281.584;551.636;1.222.945;874.556;1.375.189;195;4.314.368;0;0;0;0;0;0;0;0;
b4%;b4 - Banco de Desenvolvimento;dez/14;17,44%;0,19%;0,14%;0,35%;0,30%;0,07%;1,79%;0,00%;0,29%;0,74%;0,29%;0,58%;1,22%;0,98%;0,44%;0,00%;0,75%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,02%;0,02%;0,08%;0,23%;0,23%;0,01%;0,00%;0,10%;11,08%;31,79%;33,26%;43,32%;58,47%;69,35%;56,63%;51,81%;3,50%;2,07%;1,40%;7,43%;7,85%;21,06%;0,92%;4,93%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n1;n1 - Não Bancário de Crédito;dez/14;9.398.438;67.465;272.081;384.567;264.994;24.210;599;0;1.013.917;49.356;495.675;1.126.381;1.733.641;506.459;242.976;26.633;4.181.120;0;353;911;0;0;0;0;1.264;4.722;603.485;48.758;12.707;279;2.767;320;673.038;0;0;0;0;0;0;0;0;850;16.285;11.177;16.677;2.545;660;0;48.193;43.527;169.844;509.679;954.428;646.757;786.716;9.468;3.120.418;741;3.570;18.266;48.853;40.636;123.716;0;235.781;1;42.452;68.190;13.718;264;81;0;124.706;
n1%;n1 - Não Bancário de Crédito;dez/14;0,47%;0,64%;0,39%;0,33%;0,21%;0,08%;0,01%;0,00%;0,28%;2,60%;4,05%;4,22%;5,09%;2,35%;1,11%;0,47%;3,37%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,33%;0,88%;0,25%;0,94%;0,05%;0,40%;0,12%;0,73%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,11%;0,08%;0,11%;0,05%;0,01%;0,00%;0,08%;2,26%;0,45%;0,55%;0,50%;0,61%;0,42%;0,02%;0,47%;0,31%;0,03%;0,05%;0,30%;0,36%;1,89%;0,00%;0,27%;0,00%;0,75%;0,55%;0,06%;0,00%;0,00%;0,00%;0,22%;
n2;n2 - Não Bancário de Mercado de Capitais;dez/14;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n2%;n2 - Não Bancário de Mercado de Capitais;dez/14;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
C;C - Conglomerado;dez/14;1.350.470.610;6.478.225;56.149.689;91.113.998;93.774.797;19.460.607;5.424.314;565.088;272.966.719;707.078;8.989.213;18.705.906;24.398.452;18.120.081;21.018.027;5.607.174;97.545.930;2.290.065;32.528.343;7.764.121;1.021.359;189.787;81.674;132.655;44.008.004;1.213.405;60.681.487;12.781.169;1.142.451;511.884;691.713;257.224;77.279.333;1.076.862;26.052.157;40.602.179;21.386.008;4.880.873;3.233.043;5.915;97.237.037;3.628.638;12.820.820;11.681.973;13.328.008;4.539.215;5.870.302;119.183;51.988.138;999.241;17.718.718;46.452.320;78.881.953;30.101.996;30.594.236;9.977.680;214.726.143;154.222;12.129.801;32.819.913;14.346.044;9.999.666;4.775.938;21.097;74.246.681;75.026;1.932.963;9.453.021;21.135.045;6.190.581;6.485.700;154.466;45.426.802;
C%;C - Conglomerado;dez/14;67,86%;61,63%;81,04%;77,23%;73,02%;66,09%;89,74%;82,25%;75,33%;37,29%;73,51%;70,07%;71,56%;84,19%;96,05%;99,43%;78,69%;74,92%;90,56%;56,31%;93,20%;82,92%;98,09%;17,61%;80,12%;84,51%;88,93%;65,77%;84,07%;99,80%;99,60%;99,87%;84,07%;94,15%;89,81%;85,45%;83,73%;54,65%;45,11%;100,00%;81,50%;83,61%;83,10%;81,75%;91,61%;91,12%;93,45%;55,65%;86,53%;51,96%;46,91%;50,02%;41,20%;28,17%;16,37%;25,09%;32,65%;65,24%;89,02%;83,28%;87,17%;89,71%;73,13%;99,08%;84,93%;65,05%;34,02%;76,01%;88,67%;93,52%;93,53%;91,87%;81,42%;
I;I - Instituição independente;dez/14;639.684.904;4.033.511;13.137.897;26.861.808;34.640.482;9.986.273;619.894;121.911;89.401.776;1.188.863;3.240.148;7.988.757;9.694.398;3.403.261;865.406;32.043;26.412.877;766.718;3.392.041;6.024.835;74.526;39.099;1.594;620.441;10.919.255;222.331;7.551.940;6.651.630;216.538;1.015;2.767;345;14.646.567;66.963;2.957.369;6.915.316;4.155.833;4.049.586;3.934.078;0;22.079.144;711.187;2.607.820;2.607.278;1.221.032;442.475;411.574;94.975;8.096.341;923.858;20.054.462;46.410.562;112.579.068;76.769.218;156.341.477;29.792.200;442.870.845;82.169;1.496.304;6.587.695;2.111.350;1.146.969;1.754.498;195;13.179.180;40.318;3.748.824;2.982.913;2.700.967;428.853;448.863;13.678;10.364.417;
I%;I - Instituição independente;dez/14;32,14%;38,37%;18,96%;22,77%;26,98%;33,91%;10,26%;17,75%;24,67%;62,71%;26,49%;29,93%;28,44%;15,81%;3,95%;0,57%;21,31%;25,08%;9,44%;43,69%;6,80%;17,08%;1,91%;82,39%;19,88%;15,49%;11,07%;34,23%;15,93%;0,20%;0,40%;0,13%;15,93%;5,85%;10,19%;14,55%;16,27%;45,35%;54,89%;0,00%;18,50%;16,39%;16,90%;18,25%;8,39%;8,88%;6,55%;44,35%;13,47%;48,04%;53,09%;49,98%;58,80%;71,83%;83,63%;74,91%;67,35%;34,76%;10,98%;16,72%;12,83%;10,29%;26,87%;0,92%;15,07%;34,95%;65,98%;23,99%;11,33%;6,48%;6,47%;8,13%;18,58%;
