cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;dez/13;17.287.656;119.542;1.514.405;3.073.432;2.895.532;645.831;197.620;313;8.446.674;9.859;248.404;637.349;1.010.562;305.563;155.560;4.025;2.371.322;41.887;787.105;1.034.039;12.395;1.957;472;485.098;2.362.953;49.353;2.386.259;265.955;2.900;994;0;0;2.705.462;0;0;0;0;0;0;0;0;34.305;170.087;363.813;214.208;60.716;50.765;9.350;903.245;1.822;42.438;19.921;15.920;1.774;359;10;82.243;788;65.824;292.880;50.201;4.345;1.719;0;415.757;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;dez/13;1,02%;1,35%;2,13%;2,56%;2,40%;2,53%;3,53%;0,17%;2,40%;0,67%;1,91%;2,50%;3,34%;2,11%;0,64%;0,10%;2,09%;1,32%;2,15%;8,09%;1,09%;0,72%;0,48%;77,74%;4,33%;3,15%;3,56%;1,50%;0,14%;0,55%;0,00%;0,00%;3,04%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,93%;1,13%;2,63%;1,66%;1,34%;0,84%;4,37%;1,60%;0,14%;0,12%;0,03%;0,01%;0,00%;0,00%;0,00%;0,01%;0,38%;0,65%;0,74%;0,28%;0,08%;0,02%;0,00%;0,51%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/13;825.818;25;180.517;417.978;78.166;23.625;340;0;700.650;0;151;387;23;0;0;0;561;0;4.212;70.649;0;0;0;24;74.884;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253;1.775;3.524;2.547;0;0;164;8.264;0;3.274;9.618;11.000;96;0;0;23.989;0;0;10.870;3.292;3.309;0;0;17.471;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/13;0,05%;0,00%;0,25%;0,35%;0,06%;0,09%;0,01%;0,00%;0,20%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,55%;0,00%;0,00%;0,00%;0,00%;0,14%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,03%;0,02%;0,00%;0,00%;0,08%;0,01%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,02%;0,06%;0,00%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;dez/13;291.756.429;7.431;59.816;285.615;458.626;49.254;108.954;0;969.695;8.829;87.475;89.307;257.786;209.883;184.929;0;838.209;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;340;1.943;648;0;0;2.931;15.035;6.979;5.437;11.764;5.595;11.388;0;56.198;79.425;12.070.081;24.724.114;66.431.813;54.209.427;111.277.539;17.911.469;286.703.870;1.081;158.379;372.153;992.817;697.940;962.948;209;3.185.526;0;0;0;0;0;0;0;0;
b4%;b4 - Banco de Desenvolvimento;dez/13;17,17%;0,08%;0,08%;0,24%;0,38%;0,19%;1,95%;0,00%;0,28%;0,60%;0,67%;0,35%;0,85%;1,45%;0,75%;0,00%;0,74%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,41%;0,05%;0,04%;0,09%;0,12%;0,19%;0,00%;0,10%;5,93%;35,08%;31,91%;39,57%;58,94%;70,51%;55,55%;50,91%;0,53%;1,56%;0,94%;5,59%;12,22%;10,94%;0,54%;3,88%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n1;n1 - Não Bancário de Crédito;dez/13;8.491.325;60.618;250.475;349.339;230.872;18.260;690;0;910.253;36.319;423.737;1.011.054;1.655.099;453.524;183.177;10.955;3.773.866;5;7.660;2;0;0;0;0;7.667;5.484;489.282;55.569;9.425;32;0;0;559.793;0;0;0;0;0;0;0;0;1.065;2.607;3.198;5.961;2.720;558;0;16.108;12.427;128.534;468.905;1.022.670;522.476;674.274;6.088;2.835.374;1.387;3.011;13.048;47.392;52.853;124.087;0;241.778;30;143;131.885;14.327;82;19;0;146.486;
n1%;n1 - Não Bancário de Crédito;dez/13;0,50%;0,68%;0,35%;0,29%;0,19%;0,07%;0,01%;0,00%;0,26%;2,47%;3,26%;3,97%;5,47%;3,13%;0,75%;0,26%;3,33%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,35%;0,73%;0,31%;0,45%;0,02%;0,00%;0,00%;0,63%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,02%;0,02%;0,05%;0,06%;0,01%;0,00%;0,03%;0,93%;0,37%;0,61%;0,61%;0,57%;0,43%;0,02%;0,50%;0,68%;0,03%;0,03%;0,27%;0,93%;1,41%;0,00%;0,29%;0,03%;0,00%;1,30%;0,07%;0,00%;0,00%;0,00%;0,33%;
n2;n2 - Não Bancário de Mercado de Capitais;dez/13;6.466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.090;0;0;0;0;1.376;6.466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n2%;n2 - Não Bancário de Mercado de Capitais;dez/13;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,64%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
C;C - Conglomerado;dez/13;1.161.783.837;5.267.581;58.222.343;93.370.933;85.721.855;19.686.673;4.362.827;64.053;266.696.265;677.041;9.790.081;19.542.004;22.743.080;12.166.491;23.579.529;4.176.010;92.674.237;2.380.349;33.775.937;7.721.285;1.089.312;240.049;97.942;138.883;45.443.757;1.377.391;57.939.442;12.645.716;1.935.203;180.112;108.241;254.583;74.440.687;459.607;22.562.365;33.215.375;20.518.474;4.783.875;2.565.223;7.663;84.112.583;3.274.172;12.343.597;11.021.707;11.965.356;3.886.736;5.669.272;117.925;48.278.764;736.409;17.161.184;40.551.692;80.315.267;27.340.450;25.046.252;6.823.361;197.974.615;131.086;9.094.844;33.791.303;16.067.524;4.792.947;7.489.505;38.248;71.405.456;93.955;2.057.075;8.775.877;18.219.377;5.155.512;5.205.396;115.819;39.623.011;
C%;C - Conglomerado;dez/13;68,38%;59,39%;82,02%;77,89%;71,10%;77,07%;78,03%;34,95%;75,85%;46,06%;75,29%;76,74%;75,21%;83,99%;96,26%;99,62%;81,76%;74,92%;92,47%;60,41%;95,93%;88,06%;99,49%;22,26%;83,20%;87,86%;86,42%;71,49%;92,33%;99,40%;100,00%;100,00%;83,70%;82,02%;91,93%;89,79%;92,80%;45,24%;38,85%;100,00%;82,96%;88,57%;81,65%;79,66%;92,57%;86,08%;93,49%;55,08%;85,65%;54,94%;49,87%;52,33%;47,83%;29,72%;15,87%;21,16%;35,15%;63,91%;89,77%;85,54%;90,39%;83,88%;85,05%;98,36%;86,90%;85,00%;54,35%;86,34%;94,09%;93,86%;94,40%;89,94%;88,93%;
I;I - Instituição independente;dez/13;537.268.111;3.601.722;12.759.873;26.497.050;34.845.894;5.856.188;1.228.151;119.207;84.908.084;792.763;3.212.584;5.922.675;7.494.845;2.318.779;914.935;16.004;20.672.585;796.917;2.752.376;5.060.916;46.185;32.548;506;485.121;9.174.569;190.350;9.106.905;5.041.914;160.778;1.096;0;0;14.501.043;100.773;1.981.078;3.777.828;1.592.312;5.790.321;4.037.745;0;17.280.057;422.432;2.774.175;2.813.900;960.263;628.329;394.983;96.172;8.090.253;603.909;17.249.744;36.939.753;87.589.710;64.640.120;132.771.910;25.421.490;365.216.635;74.019;1.036.311;5.711.816;1.708.181;920.796;1.316.092;636;10.767.851;16.581;1.727.765;1.388.034;1.143.415;337.014;308.786;12.961;4.934.556;
I%;I - Instituição independente;dez/13;31,62%;40,61%;17,98%;22,11%;28,90%;22,93%;21,97%;65,05%;24,15%;53,94%;24,71%;23,26%;24,79%;16,01%;3,74%;0,38%;18,24%;25,08%;7,53%;39,59%;4,07%;11,94%;0,51%;77,74%;16,80%;12,14%;13,58%;28,51%;7,67%;0,60%;0,00%;0,00%;16,30%;17,98%;8,07%;10,21%;7,20%;54,76%;61,15%;0,00%;17,04%;11,43%;18,35%;20,34%;7,43%;13,92%;6,51%;44,92%;14,35%;45,06%;50,13%;47,67%;52,17%;70,28%;84,13%;78,84%;64,85%;36,09%;10,23%;14,46%;9,61%;16,12%;14,95%;1,64%;13,10%;15,00%;45,65%;13,66%;5,91%;6,14%;5,60%;10,06%;11,07%;
