Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71.328.769;b3S;I;2;S4;9;SERTAOZINHO;SP;03/2017;1.553.668;1.056.005;39.677;13.696;0;3.325;376.516;0;0;34.272;0;0;0;30.169;8;0
SOCIETE GENERALE;31.859;b1;C;3;S3;199;SAO PAULO;SP;03/2017;1.538.685;959.457;0;0;0;65.676;513.527;0;0;0;0;0;0;0;25;0
BANCO TRIANGULO S.A.;17.351.180;b1;I;2;S4;8;UBERLANDIA;MG;03/2017;1.447.540;1.073.811;0;12.211;0;0;242.224;91.599;0;0;0;0;0;0;27.695;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1.658.426;b3S;I;2;S5;9;BRASILIA;DF;03/2017;1.432.660;57.253;1.375.400;0;0;0;0;0;0;0;0;0;0;0;6;0
BMW;51.420;n1;C;3;S4;197;SAO PAULO;SP;03/2017;1.352.993;1.352.993;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO RODOBENS S.A.;33.603.457;b1;I;2;S4;8;SAO PAULO;SP;03/2017;1.351.490;752.008;311.419;84.538;0;13.319;19.098;12.885;0;0;2.486;0;0;155.735;1;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79.342.069;b3S;I;2;S4;9;MARINGA;PR;03/2017;1.314.315;1.043.065;0;0;0;18.689;251.346;0;0;0;0;0;698;0;518;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97.406.706;n1;I;3;S4;19;BARUERI;SP;03/2017;1.230.596;596.254;0;0;0;0;624.401;0;0;0;0;0;0;9.940;0;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81.723.108;b3S;I;2;S4;9;CAMPO MOURAO;PR;03/2017;1.205.228;1.204.785;0;0;0;0;0;0;0;0;0;0;408;0;35;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3.584.906;n1;I;1;S4;30;CURITIBA;PR;03/2017;1.203.632;129.970;2.578;678.600;0;7.335;0;29.118;0;0;356.029;0;0;0;3;0
CREDIT AGRICOLE;51.066;b1;C;3;S3;199;SAO PAULO;SP;03/2017;1.162.348;0;0;0;0;0;297.973;0;0;0;0;0;0;864.375;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10.663.610;n1;I;1;S4;30;SAO PAULO;SP;03/2017;1.150.026;118.530;0;296.955;0;0;0;32.256;0;0;103.660;0;598.623;0;0;0
