Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;mar/19;8.691.966;828.376;78.920;902.602;6.882.068;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;mar/19;8.398.245;536.296;1.678.754;4.727.105;1.456.088;0;3;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;mar/19;6.830.096;0;117.152;726.413;5.986.531;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;mar/19;5.866.183;438.695;312.709;2.176.894;2.937.879;0;6;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;mar/19;5.756.366;40.636;97.595;958.465;1.338.384;17.841;0;3.303.445
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;mar/19;4.810.733;1.592.711;482;2.253.699;963.842;0;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;mar/19;4.660.198;101.579;314.513;2.193.358;2.050.748;0;0;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;mar/19;4.226.315;194.344;317.051;1.577.351;2.135.581;1.988;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;mar/19;3.991.000;1.099.590;275.453;744.745;799.194;1.034.251;496;37.270
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;mar/19;3.977.825;241.809;1.048.668;2.210.358;433.027;43.962;0;0
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;mar/19;3.631.325;0;52.898;1.066.059;1.782.595;0;0;729.773
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;mar/19;3.426.481;0;28.405;168.937;2.369.174;859.966;0;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;mar/19;3.386.159;640.902;1.257.737;1.404.850;82.670;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;mar/19;3.154.161;72.213;58.867;203.519;2.819.561;0;2;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;mar/19;3.068.075;280.690;100.364;1.037.475;1.437.249;112.342;0;99.955
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;mar/19;2.949.088;4.814;76.169;699.216;1.489.970;103.815;3;575.102
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;mar/19;2.851.148;37.703;43.762;470.881;2.298.801;0;0;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;mar/19;2.803.604;1.049.929;346.088;1.294.593;112.995;0;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;mar/19;2.792.565;0;6.667;95.429;2.690.470;0;0;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;mar/19;2.648.547;0;30.350;187.352;2.144.325;0;0;286.521
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;mar/19;2.634.245;132.318;546.549;1.606.499;348.019;860;0;0
JOHN DEERE;50071;b1;C;3;S3;199;INDAIATUBA;SP;mar/19;2.449.027;22.249;103.102;1.437.089;886.587;0;0;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;mar/19;2.240.049;477.125;24.671;105.828;1.632.425;0;0;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;mar/19;2.078.175;3.613;18.017;428.522;1.628.023;0;0;0
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;mar/19;2.052.742;3.004;0;167.781;1.881.957;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;mar/19;1.850.682;146.558;483.493;945.329;275.298;0;3;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;mar/19;1.845.812;570.597;660.840;567.903;29.662;15.619;1.191;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;mar/19;1.807.132;6.410;88.791;583.733;576.565;474.259;1;77.374
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;mar/19;1.805.679;0;0;52.769;1.752.910;0;0;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;mar/19;1.702.426;144.215;124.050;135.950;1.298.208;0;3;0
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;mar/19;1.687.852;147.695;256.652;875.808;267.989;139.707;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;mar/19;1.657.687;35.941;91.582;840.090;690.075;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;mar/19;1.510.088;73.160;226.296;1.080.847;129.776;0;8;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;mar/19;1.507.504;181.281;161.565;763.827;400.830;0;0;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;mar/19;1.501.403;65.971;360.196;829.035;245.270;920;12;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;mar/19;1.457.403;31.743;189.620;699.393;536.647;0;0;0
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;mar/19;1.425.101;0;7.283;281.337;614.909;0;0;521.572
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;mar/19;1.337.194;11.192;252.519;942.983;118.608;11.787;104;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;mar/19;1.284.224;189.766;198.266;560.280;223.430;112.477;3;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;mar/19;1.283.891;85.605;128.868;807.980;261.438;0;0;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;mar/19;1.278.107;227.430;196.577;660.075;194.024;0;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;mar/19;1.235.215;2.436;33.060;444.950;754.769;0;0;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;mar/19;1.156.806;5.006;3.468;574.272;497.866;0;0;76.195
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;mar/19;1.151.288;0;12.997;958.577;179.714;0;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;mar/19;1.115.119;89.349;37.702;772.254;214.760;1.053;1;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;mar/19;1.064.675;115.843;145.875;565.306;237.652;0;0;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;mar/19;989.637;308.461;203.349;460.392;17.435;0;0;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;mar/19;975.805;52.964;237.256;457.048;198.481;30.049;6;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;mar/19;936.371;292.122;505.420;137.010;1.562;216;42;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;mar/19;915.641;184.537;327.849;288.985;114.223;0;47;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;mar/19;851.708;28.562;259.300;501.952;59.924;1.955;15;0
BANCO ABN AMRO S.A.;3532415;b1;I;3;S4;8;SAO PAULO;SP;mar/19;843.419;0;0;0;843.419;0;0;0
BOFA MERRILL LYNCH;51255;b1;C;3;S3;199;SAO PAULO;SP;mar/19;820.303;0;0;253.355;566.947;0;0;0
BANCO TOPÁZIO S.A.;7679404;b1;I;2;S4;8;PORTO ALEGRE;RS;mar/19;814.345;1.292;47.430;305.891;459.732;0;0;0
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;mar/19;781.603;42.535;117.652;460.545;160.866;0;5;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;I;2;S5;9;BELO HORIZONTE;MG;mar/19;776.764;30.931;76.797;535.483;132.804;733;16;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;mar/19;744.190;35.219;194.221;306.993;206.066;1.678;12;0
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;mar/19;742.464;129.567;135.737;435.406;41.751;0;5;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;mar/19;738.577;144.772;362.895;221.460;6.067;3.358;25;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;mar/19;731.701;67.042;179.648;403.354;34.809;46.828;20;0
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;mar/19;721.861;59.713;209.087;381.879;71.181;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;mar/19;710.516;128.649;272.446;291.325;18.079;0;16;0
GRUPO BONSUCESSO - BS2;52034;b1;C;2;S4;199;BELO HORIZONTE;MG;mar/19;707.078;87.730;36.076;109.609;473.409;254;0;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;mar/19;687.576;43.523;117.920;506.250;19.869;0;14;0
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;mar/19;681.830;37.568;124.944;450.077;69.241;0;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;S4;30;FLORIANOPOLIS;SC;mar/19;669.908;13.430;67.325;483.976;105.177;0;0;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;S4;14;SAO PAULO;SP;mar/19;654.195;2.011;67.182;563.471;21.532;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;mar/19;640.693;104.026;302.879;212.687;21.078;0;23;0
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;mar/19;621.127;0;3.584;107.992;509.551;0;0;0
BANCO GUANABARA S.A.;31880826;b1;I;2;S4;8;RIO DE JANEIRO;RJ;mar/19;620.106;36.514;26.074;412.053;145.465;0;0;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;mar/19;604.632;18.411;104.351;414.322;67.539;0;8;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;mar/19;588.991;82.465;233.874;190.222;82.364;0;67;0
SOCOPA;50328;b1;C;2;S4;199;SAO PAULO;SP;mar/19;561.718;100.039;14.535;227.182;219.962;0;0;0
BANCO MONEO S.A.;7441209;b2;I;2;S4;8;CAXIAS DO SUL;RS;mar/19;557.090;59.268;151.635;341.224;4.964;0;0;0
COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;mar/19;548.587;71.640;184.145;230.185;47.992;14.602;24;0
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;S5;9;MARINGA;PR;mar/19;545.157;64.323;188.660;167.318;124.461;330;64;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;S4;30;SALVADOR;BA;mar/19;543.959;23.927;110.465;383.994;25.573;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;mar/19;505.993;98.917;201.173;156.168;49.712;0;23;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;I;2;S4;9;ERECHIM;RS;mar/19;498.090;94.015;206.335;179.890;17.833;0;17;0
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;I;3;S4;8;SAO PAULO;SP;mar/19;463.348;0;0;64.274;399.075;0;0;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;mar/19;454.939;14.129;4.912;205.052;230.845;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;mar/19;453.802;84.582;135.516;213.862;19.809;0;33;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;mar/19;452.037;23.821;157.822;253.920;9.713;6.747;13;0
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;mar/19;433.108;175.584;59.543;177.397;20.584;0;0;0
BANCO RIBEIRAO PRETO S.A.;517645;b1;I;2;S4;8;RIBEIRAO PRETO;SP;mar/19;426.903;19.660;77.279;205.529;124.433;0;0;0
BANCO RANDON S.A.;11476673;b2;I;2;S4;8;CAXIAS DO SUL;RS;mar/19;424.936;1.408;25.487;283.263;114.778;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;mar/19;401.013;62.396;128.946;209.515;0;143;14;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;mar/19;400.328;34.917;77.595;281.579;6.233;0;3;0
GOLDMAN SACHS;51585;b2;C;3;S3;198;SAO PAULO;SP;mar/19;362.446;0;0;0;362.446;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;mar/19;351.410;59.587;137.138;126.366;28.306;0;12;0
COOPERATIVA DE CRÉDITO UNICRED DA GRANDE FLORIANÓPOLIS LTDA - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;S5;9;FLORIANOPOLIS;SC;mar/19;351.395;17.837;85.592;218.904;29.060;0;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;mar/19;349.378;64.688;130.928;127.688;26.062;0;13;0
COOPERATIVA DE POUPANÇA E CRÉDITO OURO VERDE – SICOOB OURO VERDE;5582619;b3S;I;2;S5;9;LONDRINA;PR;mar/19;343.542;31.714;112.691;145.393;52.922;801;21;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO NORTE E NORDESTE DE SANTA CATARINA - SICREDI NORTE SC;2843443;b3S;I;2;S4;9;JOINVILLE;SC;mar/19;342.128;48.595;146.027;143.342;4.146;0;18;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;mar/19;338.326;63.791;169.311;98.648;6.553;0;22;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO FRONTEIRAS DO PARANÁ, SANTA CATARINA E SÃO PAULO - SICREDI FRONTEIRAS PR/SC/SP;82527557;b3S;I;2;S4;9;CAPANEMA;PR;mar/19;330.596;69.381;147.582;106.325;7.298;0;10;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG – SICREDI REGIÃO CENTRO RS/MG;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;mar/19;325.553;34.807;73.149;162.673;54.916;0;9;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC/MG;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;mar/19;323.136;77.313;95.542;150.274;0;0;8;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;S5;9;SAO MIGUEL D'OESTE;SC;mar/19;319.628;53.862;129.611;112.639;23.234;274;8;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E REGIÃO LTDA;4388688;b3S;I;2;S5;9;GOIANIA;GO;mar/19;315.026;3.948;72.938;215.405;10.430;12.303;2;0
CAIXA GERAL;51815;b1;C;3;S4;199;SAO PAULO;SP;mar/19;313.631;499;5.319;72.919;215.596;19.298;0;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;S4;8;SAO PAULO;SP;mar/19;312.561;0;0;100.849;211.712;0;0;0
INDUSVAL;50531;b1;C;2;S4;199;SAO PAULO;SP;mar/19;311.328;4.069;48.417;59.974;198.868;0;0;0
COOPERATIVA DE CREDITO CENTRO-SERRANA DO ESPIRITO SANTO - SICOOB CENTRO-SERRANO;31804966;b3S;I;2;S5;9;SANTA MARIA DE JETIBA;ES;mar/19;306.972;34.453;108.622;141.419;11.259;11.204;14;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;I;2;S4;9;ENCANTADO;RS;mar/19;297.325;58.372;95.553;91.545;51.845;0;8;0
COOPERATIVA DE CRÉDITO SUL - SICOOB SUL;5888589;b3S;I;2;S5;9;CURITIBA;PR;mar/19;288.153;19.519;136.287;127.808;0;4.527;12;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE LAJEADO - SICREDI INTEGRAÇÃO RS/MG;91159764;b3S;I;2;S4;9;LAJEADO;RS;mar/19;279.905;31.537;96.503;133.066;18.795;0;4;0
COOPERATIVA DE CRÉDITO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;S5;9;SAO GABRIEL DA PALHA;ES;mar/19;275.473;39.248;91.777;113.191;11.789;19.458;10;0
MODAL;51963;b1;C;2;S4;199;RIO DE JANEIRO;RJ;mar/19;273.450;83.384;49.565;110.556;29.945;0;0;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;S4;5;VITORIA;ES;mar/19;272.670;57.649;56.187;116.095;42.739;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL DO ESTADO DE SANTA CATARINA – SICREDI SUL SC;3793242;b3S;I;2;S4;9;CRICIUMA;SC;mar/19;269.572;30.842;110.130;128.589;0;0;11;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;I;2;S4;9;ITAQUI;RS;mar/19;262.694;26.842;55.974;175.884;3.989;0;6;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA ZONA DA MATA LTDA   SICOOB COOPEMATA;2335109;b3S;I;2;S5;9;CATAGUASES;MG;mar/19;262.394;26.055;61.035;164.344;10.954;0;7;0
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5883884;n1;I;3;S4;19;BARUERI;SP;mar/19;258.071;3.261;26.522;73.417;154.871;0;0;0
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3358914;b3S;I;2;S5;9;CACHOEIRO DE ITAPEMIRIM;ES;mar/19;253.867;37.998;114.166;100.129;0;1.565;9;0
CHG-MERIDIAN DO BRASIL ARRENDAMENTO MERCANTIL S.A.;18539102;n1;I;3;S4;19;BARUERI;SP;mar/19;251.640;0;5.960;48.696;196.984;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO BRANCO – SICREDI OURO BRANCO RS;87853206;b3S;I;2;S4;9;TEUTONIA;RS;mar/19;251.455;58.347;83.376;76.353;33.371;0;9;0
HAITONG;51482;b2;C;3;S3;198;SAO PAULO;SP;mar/19;250.179;0;0;96.503;153.675;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO VALE DO ITAJAÍ E LITORAL CATARINENSE – SICREDI VALE LITORAL SC;10348181;b3S;I;2;S4;9;ITAPEMA;SC;mar/19;249.984;65.073;121.523;63.368;0;0;20;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E DEMAIS PROFISSIONAIS DA AREA DE SAUDE DO ESTADO DE SAO PAULO LTDA    UNICRED DO ESTADO DE SAO PAULO;71884498;b3S;I;2;S5;9;CAMPINAS;SP;mar/19;248.451;32.669;68.918;144.862;2.002;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO ALTO PARANAÍBA, NOROESTE E OESTE DE MINAS LTDA - UNICRED INTEGRAÇÃO DE MINAS;1727929;b3S;I;2;S5;9;PATOS DE MINAS;MG;mar/19;248.232;7.661;107.768;128.949;3.853;0;1;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;mar/19;247.162;163.004;72.234;11.859;61;0;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI EVOLUÇÃO - SICREDI EVOLUÇÃO;35571249;b3S;I;2;S5;9;JOAO PESSOA;PB;mar/19;244.290;79.273;50.576;105.348;9.088;0;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DA REGIÃO DA PRODUÇÃO -  SICREDI REGIÃO DA PRODUÇÃO RS/SC/MG;89468565;b3S;I;2;S4;9;SARANDI;RS;mar/19;242.211;36.528;89.801;115.873;0;0;9;0
COOPERATIVA DE CREDITO - SICOOB CREDICOONAI;53923116;b3S;I;2;S4;9;RIBEIRAO PRETO;SP;mar/19;235.694;94.973;70.239;67.849;0;2.619;14;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;mar/19;234.526;43.183;97.140;81.752;12.434;0;17;0
COOPERATIVA DE CRÉDITO DE EMPRESÁRIOS - SICOOB/TRANSCREDI;4247370;b3S;I;2;S5;9;CONCORDIA;SC;mar/19;232.632;29.918;100.967;88.387;9.779;3.576;4;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALIANÇA RS/SC - SICREDI ALIANÇA RS/SC;87795639;b3S;I;2;S4;9;MARAU;RS;mar/19;232.440;45.587;91.400;94.834;610;0;8;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE;94433109;b3S;I;2;S5;9;PORTO ALEGRE;RS;mar/19;230.391;8.549;36.741;123.381;61.718;0;2;0
