cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;jun/21;96.977.795;292.680;6.506.438;17.013.560;25.562.982;7.373.473;2.804.978;44.136;59.598.247;22.589;1.327.004;3.690.632;6.790.762;2.901.889;1.122.747;7.162;15.862.785;134.808;1.916.210;2.347.272;177.965;4.258;9.413;190;4.590.116;91.825;4.362.043;478.774;1.056;236;565;112;4.934.612;0;0;0;0;0;0;0;0;215.279;1.449.046;2.286.852;2.862.552;1.454.715;1.191.893;5.866;9.466.204;2.555;83.506;211.537;380.556;108.020;18.616;0;804.790;611;235.622;937.842;404.383;91.922;50.662;0;1.721.042;0;0;0;0;0;0;0;0
b3S%;b3S - Cooperativa de Crédito Singulares;jun/21;4,36%;6,42%;9,13%;9,90%;10,78%;14,34%;21,05%;3,38%;10,82%;3,65%;8,52%;9,07%;10,00%;11,16%;3,56%;0,46%;8,63%;9,20%;8,57%;30,89%;37,48%;0,22%;1,32%;0,08%;13,21%;16,76%;3,58%;1,11%;0,04%;0,11%;0,74%;0,00%;2,88%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,65%;6,02%;8,07%;13,61%;18,64%;12,46%;0,35%;9,62%;0,16%;0,40%;0,42%;0,38%;0,15%;0,01%;0,00%;0,17%;0,68%;2,86%;5,34%;5,77%;2,77%;1,30%;0,00%;4,29%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;jun/21;2.533.814;0;247.335;1.082.428;468.912;53.203;3.180;0;1.855.058;0;914;3.035;5.671;1.172;0;0;10.791;0;0;30.644;0;6.016;0;0;36.660;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14.276;71.439;232.937;159.008;1.589;164;479.413;0;56.621;66.829;28.442;0;0;0;151.892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;jun/21;0,11%;0,00%;0,35%;0,63%;0,20%;0,10%;0,02%;0,00%;0,34%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,40%;0,00%;0,32%;0,00%;0,00%;0,11%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,25%;1,11%;2,04%;0,02%;0,01%;0,49%;0,00%;0,27%;0,13%;0,03%;0,00%;0,00%;0,00%;0,03%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;jun/21;283.487.776;4.549;60.764;201.331;560.741;168.472;32.503;97.626;1.125.987;4.047;99.636;422.532;898.261;328.125;333.505;2.203;2.088.308;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;405;69.585;116.752;136.761;32.845;25.301;0;381.649;978.465;7.688.387;20.620.835;46.326.469;42.325.279;123.836.151;32.355.660;274.131.247;2.310;538.842;801.438;1.724.816;1.140.375;1.552.804;0;5.760.585;0;0;0;0;0;0;0;0
b4%;b4 - Banco de Desenvolvimento;jun/21;12,76%;0,10%;0,09%;0,12%;0,24%;0,33%;0,24%;7,47%;0,20%;0,65%;0,64%;1,04%;1,32%;1,26%;1,06%;0,14%;1,14%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,29%;0,41%;0,65%;0,42%;0,26%;0,00%;0,39%;62,91%;36,51%;41,13%;46,18%;58,87%;65,31%;73,00%;57,24%;2,56%;6,55%;4,56%;24,60%;34,32%;39,82%;0,00%;14,36%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;jun/21;13.016.358;65.460;186.065;475.945;700.197;219.273;41.337;214;1.688.491;21.388;737.706;1.820.099;2.844.920;939.790;304.703;5.841;6.674.447;364;54.775;14.066;0;0;0;0;69.205;5.769;228.989;420.118;29.417;3.470;82;17;687.861;0;0;0;0;0;0;0;0;11.607;97.579;106.080;36.284;12.889;7.848;0;272.287;27.669;205.699;653.196;1.505.709;635.342;317.514;4.739;3.349.867;52;4.165;17.566;110.869;22.603;31.523;0;186.777;0;33.610;30.858;22.882;49;25;0;87.423
n1%;n1 - Não Bancário de Crédito;jun/21;0,59%;1,44%;0,26%;0,28%;0,30%;0,43%;0,31%;0,02%;0,31%;3,46%;4,74%;4,47%;4,19%;3,61%;0,97%;0,38%;3,63%;0,02%;0,25%;0,19%;0,00%;0,00%;0,00%;0,00%;0,20%;1,05%;0,19%;0,97%;1,15%;1,57%;0,11%;0,00%;0,40%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,20%;0,41%;0,37%;0,17%;0,17%;0,08%;0,00%;0,28%;1,78%;0,98%;1,30%;1,50%;0,88%;0,17%;0,01%;0,70%;0,06%;0,05%;0,10%;1,58%;0,68%;0,81%;0,00%;0,47%;0,00%;2,03%;0,74%;0,41%;0,01%;0,01%;0,00%;0,56%
n2;n2 - Não Bancário de Mercado de Capitais;jun/21;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;171;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;jun/21;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n4;n4 - Instituições de Pagamento;jun/21;7.998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;6.133;1.858;3;0;0;0;7.998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
