cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;dez/16;28.938.168;298.130;2.516.451;5.280.809;5.445.761;1.362.279;405.160;6.184;15.314.774;36.206;304.295;773.382;1.103.446;276.077;127.977;2.122;2.623.505;89.520;1.532.955;1.636.182;52.234;13.739;6.096;4.020;3.334.746;109.721;3.272.700;307.781;1.061;67;0;0;3.691.330;0;0;0;0;0;0;0;0;164.194;537.604;992.561;840.375;279.301;99.359;17.007;2.930.403;1.348;20.321;26.089;27.229;2.174;69;0;77.230;2.573;188.743;680.479;87.156;5.304;1.925;0;966.180;0;0;0;0;0;0;0;0
b3S%;b3S - Cooperativa de Crédito Singulares;dez/16;1,53%;2,71%;4,03%;5,77%;5,33%;4,90%;5,73%;0,42%;5,05%;2,92%;3,32%;4,32%;4,72%;3,58%;0,57%;0,05%;3,04%;2,47%;5,57%;15,23%;6,63%;7,18%;1,14%;1,61%;7,64%;7,87%;5,41%;1,64%;0,07%;0,01%;0,00%;0,00%;4,43%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,52%;2,52%;3,91%;2,70%;1,24%;1,00%;1,77%;2,40%;0,03%;0,06%;0,03%;0,02%;0,00%;0,00%;0,00%;0,01%;0,64%;2,11%;1,97%;0,65%;0,10%;0,04%;0,00%;1,43%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;dez/16;1.061.242;56;282.949;550.224;105.318;16.876;372;0;955.796;0;609;1.739;3.363;0;0;0;5.711;0;0;1.072;0;0;0;0;1.072;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13.793;32.765;37.573;88;20;164;84.404;10;1.763;8.900;1.267;2.319;0;0;14.259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;dez/16;0,06%;0,00%;0,45%;0,60%;0,10%;0,06%;0,01%;0,00%;0,32%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,06%;0,13%;0,12%;0,00%;0,00%;0,02%;0,07%;0,00%;0,01%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;dez/16;358.496.475;15.568;78.925;158.413;170.905;18.386;108.508;0;550.706;15.654;95.010;191.840;437.694;192.424;56.648;0;989.270;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;542;4.883;12.422;15.823;8.325;2.370;0;44.367;2.573.629;15.135.306;38.290.731;83.633.216;62.818.292;121.257.928;27.036.216;350.745.319;8.168;323.897;763.402;1.750.475;1.492.457;1.828.413;0;6.166.813;0;0;0;0;0;0;0;0
b4%;b4 - Banco de Desenvolvimento;dez/16;18,91%;0,14%;0,13%;0,17%;0,17%;0,07%;1,53%;0,00%;0,18%;1,26%;1,04%;1,07%;1,87%;2,49%;0,25%;0,00%;1,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,02%;0,05%;0,05%;0,04%;0,02%;0,00%;0,04%;52,82%;43,78%;43,12%;48,05%;61,99%;64,15%;54,64%;54,62%;2,05%;3,62%;2,21%;13,07%;28,59%;37,20%;0,00%;9,15%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;dez/16;10.063.001;52.842;228.803;420.326;338.528;68.044;4.728;0;1.113.271;51.179;580.804;1.305.913;2.036.669;685.381;283.829;3.611;4.947.386;99;5.990;917;0;0;0;0;7.006;15.756;579.847;48.629;7.943;316;426;0;652.917;0;0;0;0;0;0;0;0;3.491;4.381;10.351;24.563;4.341;7.857;0;54.983;46.091;142.560;426.353;1.050.761;666.786;651.143;5.567;2.989.260;239;4.761;22.989;45.840;81.356;83.246;0;238.430;416;8.291;40.131;10.883;25;3;0;59.749
n1%;n1 - Não Bancário de Crédito;dez/16;0,53%;0,48%;0,37%;0,46%;0,33%;0,24%;0,07%;0,00%;0,37%;4,13%;6,34%;7,29%;8,71%;8,88%;1,26%;0,08%;5,74%;0,00%;0,02%;0,01%;0,00%;0,00%;0,00%;0,00%;0,02%;1,13%;0,96%;0,26%;0,55%;0,03%;0,14%;0,00%;0,78%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,02%;0,04%;0,08%;0,02%;0,08%;0,00%;0,05%;0,95%;0,41%;0,48%;0,60%;0,66%;0,34%;0,01%;0,47%;0,06%;0,05%;0,07%;0,34%;1,56%;1,69%;0,00%;0,35%;0,05%;0,12%;0,29%;0,06%;0,00%;0,00%;0,00%;0,13%
n2;n2 - Não Bancário de Mercado de Capitais;dez/16;325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;282;0;0;0;0;44;325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;dez/16;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C;C - Conglomerado;dez/16;1.226.096.468;7.711.783;43.832.278;69.057.516;70.081.979;20.451.606;6.312.226;1.292.921;218.740.310;867.896;6.210.711;11.528.532;15.236.337;5.962.913;21.699.188;4.308.924;65.814.502;2.773.444;24.727.733;6.263.602;624.972;177.146;530.897;245.757;35.343.551;1.029.977;52.292.085;13.027.671;1.345.868;902.013;313.892;14.891;68.926.397;1.463.237;28.856.379;50.992.802;31.168.226;11.773.613;5.591.807;4.430;129.850.494;7.316.590;18.629.687;19.075.877;25.362.671;21.803.640;9.533.943;860.930;102.583.338;1.410.985;12.621.213;34.079.592;61.030.458;23.464.135;33.700.429;12.902.471;179.209.283;138.553;7.219.321;25.108.549;10.844.969;3.339.589;2.725.633;19.730;49.396.345;559.613;2.823.252;10.187.510;14.384.445;2.884.982;1.562.689;127.385;32.529.876
C%;C - Conglomerado;dez/16;64,66%;70,00%;70,28%;75,51%;68,59%;73,54%;89,21%;88,16%;72,10%;70,08%;67,78%;64,38%;65,19%;77,30%;96,47%;99,76%;76,34%;76,55%;89,85%;58,31%;79,30%;92,53%;98,86%;98,39%;80,96%;73,84%;86,43%;69,40%;93,79%;98,68%;99,86%;100,00%;82,70%;79,91%;85,63%;81,81%;81,82%;76,57%;86,21%;100,00%;82,27%;67,69%;87,26%;75,09%;81,48%;97,18%;95,66%;89,43%;84,05%;28,96%;36,50%;38,38%;35,06%;23,15%;17,83%;26,08%;27,91%;34,72%;80,63%;72,72%;80,96%;63,96%;55,46%;100,00%;73,26%;72,49%;40,12%;72,70%;80,64%;89,58%;83,36%;99,58%;72,48%
I;I - Instituição independente;dez/16;670.160.942;3.305.675;18.538.599;22.399.182;32.096.549;7.358.810;763.424;173.687;84.635.926;370.618;2.952.914;6.377.417;8.135.210;1.751.267;794.760;10.358;20.392.545;849.819;2.793.211;4.479.075;163.132;14.300;6.096;4.020;8.309.652;364.988;8.210.937;5.743.549;89.109;12.033;426;0;14.421.042;367.816;4.843.722;11.338.166;6.927.572;3.602.868;894.360;0;27.974.504;3.493.002;2.719.540;6.326.846;5.766.596;632.032;432.411;101.806;19.472.233;3.461.695;21.953.116;54.716.203;113.025.190;77.874.960;155.328.250;36.578.462;462.937.876;260.492;1.734.543;9.418.347;2.549.748;1.881.413;2.188.928;0;18.033.470;212.414;4.213.563;3.825.036;3.452.414;335.593;312.029;538;12.351.587
I%;I - Instituição independente;dez/16;35,34%;30,00%;29,72%;24,49%;31,41%;26,46%;10,79%;11,84%;27,90%;29,92%;32,22%;35,62%;34,81%;22,70%;3,53%;0,24%;23,66%;23,45%;10,15%;41,69%;20,70%;7,47%;1,14%;1,61%;19,04%;26,16%;13,57%;30,60%;6,21%;1,32%;0,14%;0,00%;17,30%;20,09%;14,37%;18,19%;18,18%;23,43%;13,79%;0,00%;17,73%;32,31%;12,74%;24,91%;18,52%;2,82%;4,34%;10,57%;15,95%;71,04%;63,50%;61,62%;64,94%;76,85%;82,17%;73,92%;72,09%;65,28%;19,37%;27,28%;19,04%;36,04%;44,54%;0,00%;26,74%;27,51%;59,88%;27,30%;19,36%;10,42%;16,64%;0,42%;27,52%
