Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44166;8512622;1565629;10078250;532280;10610530;63770830;1077522;0;1173315;0;2250837;6445422;72467089;137634327;0,1175;0,1391;0,1464;0,0732;0,187
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44166;5879301;795889;6675190;2054344;8729534;55144098;119445;625;16513;0;136582;11343041;66623721;105711799;0,0882;0,1002;0,131;0,0631;0,0268
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44166;10082135;0;10082135;0;10082135;38193075;926330;0;7538204;154460;8618995;10265756;57077825;97285444;0,1766;0,1766;0,1766;0,1036;0,0179
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44166;6465913;0;6465913;355315;6821228;32410415;678576;0;5168;13956;697701;10026455;43134571;93927787;0,1499;0,1499;0,1581;0,0688;0,0973
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44166;4518961;0;4518961;426336;4945297;30107890;245766;0;4208799;37555;4492120;4974127;39574137;47748130;0,1142;0,1142;0,125;0,0946;0,0171
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44166;4130733;0;4130733;1697585;5828318;32218704;1488928;81902;2139869;0;3710699;1901000;37830403;53338510;0,1092;0,1092;0,1541;0,0774;0,0035
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44166;5833266;0;5833266;0;5833266;14464562;695972;0;15479733;3716137;19891842;3388281;37744685;93147023;0,1545;0,1545;0,1545;0,0626;0,015
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44166;4414119;297214;4711333;161085;4872419;29635831;889695;0;209062;96683;1195440;2804970;33636241;49242955;0,1312;0,1401;0,1449;0,0957;0,2156
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44166;4217928;480570;4698498;689929;5388427;28854946;275892;512825;518888;3413;1311017;1805855;31971818;51700075;0,1319;0,147;0,1685;0,0909;0,0049
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44166;4332118;0;4332118;0;4332118;21953371;495118;0;5079917;1215595;6790631;2585358;31329360;62804565;0,1383;0,1383;0,1383;0,069;0,0358
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44166;2901781;0;2901781;0;2901781;21092690;587;0;322;0;909;3951250;25044849;34640086;0,1159;0,1159;0,1159;0,0838;0,0501
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;44166;3629393;0;3629393;8784;3638177;20809673;238;0;0;0;238;2113560;22923471;37335232;0,1583;0,1583;0,1587;0,0972;0,12
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;44166;8260745;0;8260745;0;8260745;601866;0;0;70;19104646;19104716;207347;19913929;13290837;0,4148;0,4148;0,4148;0,6215;0,0413
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44166;2730661;0;2730661;717876;3448537;18291891;0;0;0;0;0;1196248;19488139;24162077;0,1401;0,1401;0,177;0,113;0,0023
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44166;3016583;113678;3130261;19336;3149597;16903395;9331;0;40;0;9371;823355;17736121;27722640;0,1701;0,1765;0,1776;0,1129;0,4349
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44166;4003930;0;4003930;0;4003930;9591518;350614;1174568;1693268;1652846;4871297;2402392;16865207;27093797;0,2374;0,2374;0,2374;0,1478;0,0061
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44166;3084195;0;3084195;0;3084195;15346354;0;0;0;3867;3867;1209732;16559952;18211671;0,1862;0,1862;0,1862;0,1694;0,0132
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44166;2550290;0;2550290;0;2550290;13799737;229307;95590;1141385;46444;1512727;1208095;16520559;21757495;0,1544;0,1544;0,1544;0,1172;0,145
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44166;2478907;0;2478907;0;2478907;6628411;151892;1034;2083420;308369;2544714;6045389;15218514;77270293;0,1629;0,1629;0,1629;0,0321;0,0452
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44166;3168546;0;3168546;0;3168546;5725424;415790;78094;6175464;0;6669347;2355913;14750684;26551879;0,2148;0,2148;0,2148;0,1193;0,0144
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44166;1995062;0;1995062;0;1995062;11330092;30128;0;72692;0;102821;2792278;14225191;80206217;0,1402;0,1402;0,1402;0,0249;0,1137
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44166;1759543;49818;1809360;197635;2006995;12842681;13403;1114;0;0;14517;867656;13724855;29090459;0,1282;0,1318;0,1462;0,0622;0,0865
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44166;2045451;0;2045451;0;2045451;12043164;0;0;0;0;0;1098187;13141351;13616089;0,1556;0,1556;0,1556;0,1502;0,0041
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44166;2049057;0;2049057;0;2049057;12050055;11101;0;0;0;11101;944031;13005186;16948173;0,1576;0,1576;0,1576;0,1209;0,0224
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44166;1512619;224469;1737088;0;1737088;10469187;16770;0;42463;0;59233;1958821;12487241;67883049;0,1211;0,1391;0,1391;0,0256;0,0554
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44166;1058316;363769;1422085;423302;1845387;10453127;124692;0;27462;0;152154;1447455;12052735;15514690;0,0878;0,118;0,1531;0,0917;0,0132
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;44166;2118717;0;2118717;0;2118717;8269218;9802;637;1571368;209630;1791437;1414626;11475282;20196157;0,1846;0,1846;0,1846;0,1049;0,0063
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44166;1390889;0;1390889;0;1390889;10296178;0;0;0;0;0;955673;11251851;12683485;0,1236;0,1236;0,1236;0,1097;0,0037
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44166;1135213;0;1135213;0;1135213;10238751;18721;0;104;0;18824;565768;10823343;NA;0,1049;0,1049;0,1049;NA%;0,0011
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44166;2183264;0;2183264;0;2183264;8895067;33178;0;1296356;0;1329534;440864;10665465;77719713;0,2047;0,2047;0,2047;0,0281;0,0073
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44166;1582733;0;1582733;0;1582733;8291029;1629;0;381923;21114;404666;1567140;10262834;27057176;0,1542;0,1542;0,1542;0,0585;0,1247
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44166;1030622;0;1030622;0;1030622;8653764;10149;0;49945;28215;88309;1461221;10203294;16037216;0,101;0,101;0,101;0,0643;0,1433
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;44166;5794856;0;5794856;0;5794856;3468347;2007;644;6626;572;9849;6263163;9741359;6464171;0,5949;0,5949;0,5949;0,8965;0,0039
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;44166;3086869;0;3086869;0;3086869;8064315;64088;41;405945;61934;532008;1102047;9698370;20734026;0,3183;0,3183;0,3183;0,1489;0,0248
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44166;1532962;0;1532962;0;1532962;7647674;181091;0;0;0;181091;490647;8319412;10038904;0,1843;0,1843;0,1843;0,1527;0,0016
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44166;2785778;0;2785778;0;2785778;7290950;0;0;0;0;0;657170;7948120;12699903;0,3505;0,3505;0,3505;0,2194;0,0719
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;44166;1488497;0;1488497;0;1488497;5724789;93032;0;1511047;0;1604080;580243;7909112;12128046;0,1882;0,1882;0,1882;0,1227;0,0095
BANCO C6;1000084844;b1;S4;C;2;SAO PAULO;SP;44166;1224288;0;1224288;0;1224288;4203207;1745987;0;54694;761455;2562135;299608;7064950;9572482;0,1733;0,1733;0,1733;0,1279;0,127
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;44166;700918;0;700918;119524;820442;6056474;14429;0;301902;0;316331;462374;6835179;9826979;0,1025;0,1025;0,12;0,0713;0,0197
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44166;1120555;0;1120555;0;1120555;6195752;19069;0;0;0;19069;304867;6519688;7413818;0,1719;0,1719;0,1719;0,1511;0,0184
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;44166;733988;201760;935749;0;935749;5593210;129414;0;54504;0;183919;736623;6513751;13039693;0,1127;0,1437;0,1437;0,0718;0,0125
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44166;1204079;0;1204079;0;1204079;5559588;213420;0;428;0;213848;668771;6442207;8440201;0,1869;0,1869;0,1869;0,1427;0,0141
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44166;1343334;0;1343334;0;1343334;5752829;10850;0;3077;1237;15164;661436;6429430;10499223;0,2089;0,2089;0,2089;0,1279;0,0433
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44166;734772;47200;781973;252586;1034559;5290346;1328;0;1393;0;2721;939636;6232703;10904446;0,1179;0,1255;0,166;0,0717;0,282
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;44166;1835710;0;1835710;0;1835710;5453441;220799;0;204203;0;425001;336392;6214834;11311334;0,2954;0,2954;0,2954;0,1623;0,0016
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44166;658696;0;658696;60347;719043;5861710;3619;29250;214900;725;248494;53450;6163655;13829585;0,1069;0,1069;0,1167;0,0476;0,1735
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44166;1770651;0;1770651;0;1770651;5282771;0;0;0;0;0;809670;6092442;8760671;0,2906;0,2906;0,2906;0,2021;0,0628
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;44166;1149386;0;1149386;0;1149386;2357945;73884;0;3194269;0;3268153;405604;6031702;9812204;0,1906;0,1906;0,1906;0,1171;0,006
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;44166;NA;NA;NA;NA;1755982;5612545;0;NA;NA;NA;0;357535;5970081;NA;NA%;NA%;0,2941;NA%;0,0232
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;44166;1217694;0;1217694;0;1217694;5326813;0;0;0;0;0;589415;5916228;6202421;0,2058;0,2058;0,2058;0,1963;0,0165
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44166;1034784;0;1034784;0;1034784;5452768;0;0;0;0;0;142377;5595145;8567300;0,1849;0,1849;0,1849;0,1208;0,0133
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;44166;1410442;0;1410442;0;1410442;5091697;0;0;0;0;0;282340;5374037;6997567;0,2625;0,2625;0,2625;0,2016;0,0019
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44166;1263344;0;1263344;0;1263344;3544390;99610;0;834890;0;934500;541475;5020366;14867233;0,2516;0,2516;0,2516;0,085;0,0096
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;44166;585370;0;585370;19700;605070;4398909;0;0;0;0;0;370374;4769283;4903085;0,1227;0,1227;0,1269;0,1194;0,0151
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;44166;592855;0;592855;0;592855;4222608;8191;0;89985;0;98177;352947;4673732;5207537;0,1268;0,1268;0,1268;0,1138;0,0938
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;44166;780002;0;780002;0;780002;4225953;15130;0;1777;0;16907;398989;4641848;8157645;0,168;0,168;0,168;0,0956;0,1013
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44166;820553;0;820553;0;820553;3273115;1124;0;920399;0;921523;355497;4550135;31570379;0,1803;0,1803;0,1803;0,026;0,0057
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;44166;748509;0;748509;0;748509;3767753;5170;0;466885;0;472056;292657;4532466;6725071;0,1651;0,1651;0,1651;0,1113;0,0073
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;44166;794553;0;794553;0;794553;3948146;0;0;0;38000;38000;492091;4478237;5902244;0,1774;0,1774;0,1774;0,1346;0,0702
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44166;813916;0;813916;0;813916;3556409;1464;0;0;0;1464;920042;4477915;NA;0,1818;0,1818;0,1818;NA%;0,0232
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;44166;381133;0;381133;129363;510496;3731254;69715;245;166410;77830;314200;430587;4476041;11976044;0,0851;0,0851;0,1141;0,0318;0,1827
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;44166;501940;0;501940;50042;551982;1684565;22;14;26770;13;26819;2696710;4408095;3864458;0,1139;0,1139;0,1252;0,1299;0,1046
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;44166;419053;228250;647303;87603;734906;2909554;1014;0;0;0;1014;1464837;4375406;4859420;0,0958;0,1479;0,168;0,1332;0,0434
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44166;1527794;0;1527794;0;1527794;3263585;120082;0;434170;0;554252;479452;4297288;10171777;0,3555;0,3555;0,3555;0,1502;0,0032
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44166;1042150;0;1042150;0;1042150;2145448;24906;0;1508546;0;1533452;571268;4250168;7706898;0,2452;0,2452;0,2452;0,1352;0,0098
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;44166;959189;40086;999275;52738;1052012;3680653;0;0;1323;0;1323;465352;4147329;8889751;0,2313;0,2409;0,2537;0,1124;0,0864
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;44166;399554;0;399554;43366;442920;3517817;0;0;13081;18;13099;439701;3970617;7258097;0,1006;0,1006;0,1115;0,055;0,1944
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;44166;901624;0;901624;0;901624;3205446;0;0;0;0;0;561588;3767033;5113403;0,2393;0,2393;0,2393;0,1763;0,0008
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;44166;497610;0;497610;0;497610;3496240;0;0;0;0;0;124808;3621048;5571759;0,1374;0,1374;0,1374;0,0893;0,2281
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;44166;485875;0;485875;0;485875;3402927;3577;0;0;0;3577;149633;3556137;NA;0,1366;0,1366;0,1366;NA%;0,008
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;44166;787758;0;787758;0;787758;3459780;22465;0;1943;0;24408;66427;3550615;5245936;0,2219;0,2219;0,2219;0,1502;0,0497
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;44166;549864;0;549864;0;549864;3391582;0;0;0;0;0;140211;3531792;5953826;0,1557;0,1557;0,1557;0,0924;0,2896
RODOBENS - PRUDENCIAL;1000080855;b1;S4;C;2;SAO PAULO;SP;44166;850078;0;850078;0;850078;2603098;0;0;0;0;0;844852;3447951;4096720;0,2465;0,2465;0,2465;0,2075;0,4293
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;44166;374390;0;374390;80000;454390;2796068;0;0;0;0;0;587552;3383619;4585210;0,1106;0,1106;0,1343;0,0817;0,14
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;44166;434858;0;434858;30302;465160;3156399;0;0;0;0;0;109368;3265767;5089779;0,1332;0,1332;0,1424;0,0854;0,1218
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44166;949032;0;949032;0;949032;2732866;0;0;0;0;0;449141;3182007;NA;0,2982;0,2982;0,2982;NA%;0,0192
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;44166;NA;NA;NA;NA;475913;2709101;0;NA;NA;NA;0;139462;2848563;NA;NA%;NA%;0,1671;NA%;0,1256
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;44166;412859;0;412859;0;412859;2704583;0;0;2789;0;2789;116816;2824188;4234171;0,1462;0,1462;0,1462;0,0975;0,0609
PEFISA S.A. - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;44166;474543;0;474543;0;474543;2368590;2201;0;0;0;2201;237584;2608375;NA;0,1819;0,1819;0,1819;NA%;0,0783
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;44166;426249;0;426249;0;426249;1642711;85764;0;679655;6707;772126;182767;2597603;9072425;0,1641;0,1641;0,1641;0,047;0,0206
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;C;3;SAO PAULO;SP;44166;938551;0;938551;0;938551;2307779;33831;0;0;0;33831;249608;2591218;2332929;0,3622;0,3622;0,3622;0,4023;0,0085
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;S4;I;2;LONDRINA;PR;44166;564857;0;564857;0;564857;2067485;100626;69167;0;0;169793;298136;2535414;3376843;0,2228;0,2228;0,2228;0,1673;0,0283
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;44166;215741;26671;242413;26696;269109;2186481;8017;0;0;32395;40412;306768;2533660;5920561;0,0852;0,0957;0,1062;0,0409;0,3147
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;S4;I;2;ERECHIM;RS;44166;328689;0;328689;15031;343721;2446995;62;0;2248;0;2311;70651;2519956;3825558;0,1304;0,1304;0,1364;0,0859;0,1662
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;44166;354287;0;354287;0;354287;2328826;0;0;38262;0;38262;114126;2481215;9919619;0,1428;0,1428;0,1428;0,0357;0,1688
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;S4;I;1;PORTO ALEGRE;RS;44166;582007;0;582007;0;582007;2235677;4140;0;0;0;4140;231245;2471062;NA;0,2355;0,2355;0,2355;NA%;0,0443
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;44166;356315;0;356315;0;356315;2362765;0;0;0;0;0;69786;2432550;3850410;0,1465;0,1465;0,1465;0,0925;0,1969
INDUSVAL - PRUDENCIAL;1000080415;b1;S4;C;2;SAO PAULO;SP;44166;122690;0;122690;0;122690;1681687;58929;460575;108487;900;628891;109038;2419616;4360745;0,0507;0,0507;0,0507;0,0281;0,534
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;44166;458460;0;458460;0;458460;2206175;0;0;4527;0;4527;140954;2351656;4080702;0,195;0,195;0,195;0,1123;0,0922
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SERRO AZUL – SICREDI UNIÃO RS;88894548;b3S;S4;I;2;CERRO LARGO;RS;44166;492682;0;492682;0;492682;2206848;0;0;1500;0;1500;129396;2337744;3996834;0,2108;0,2108;0,2108;0,1233;0,0574
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO – SICREDI PLANALTO RS/MG;88038260;b3S;S4;I;2;CRUZ ALTA;RS;44166;526556;0;526556;0;526556;2250691;0;0;1108;0;1108;61686;2313485;3403437;0,2276;0,2276;0,2276;0,1547;0,0164
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;S5;I;2;BELO HORIZONTE;MG;44166;NA;NA;NA;NA;475704;2214793;0;NA;NA;NA;0;79943;2294736;NA;NA%;NA%;0,2073;NA%;0,0332
RENDIMENTO - PRUDENCIAL;1000080659;b1;S4;C;2;SAO PAULO;SP;44166;342804;0;342804;0;342804;1725491;26462;0;37253;0;63715;493974;2283180;3425793;0,1501;0,1501;0,1501;0,1001;0,0383
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;S5;I;2;VILHENA;RO;44166;NA;NA;NA;NA;406211;2197346;0;NA;NA;NA;0;73825;2271172;NA;NA%;NA%;0,1789;NA%;0,0626
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;44166;NA;NA;NA;NA;598563;2099089;0;NA;NA;NA;0;123391;2222480;NA;NA%;NA%;0,2693;NA%;0,0585
AF DESENVOLVE SP S.A. - PRUDENCIAL;1000081153;n1;S4;I;1;SAO PAULO;SP;44166;805778;0;805778;0;805778;1941537;108;0;0;0;108;257136;2198782;NA;0,3665;0,3665;0,3665;NA%;0,0366
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;S5;I;2;BRASILIA;DF;44166;NA;NA;NA;NA;637657;2109372;0;NA;NA;NA;0;79965;2189337;NA;NA%;NA%;0,2913;NA%;0,0128
