Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;42979;18824;0;0;129415;0;148239;1696171;0;243026;4249947;0;1755848;6248821;1758603;9851833;224306;623777;10699916;24166;2332059;13056141
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;42979;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12233487;12233487;0;361526;12595013
GMAC - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;42979;0;0;1720375;1875231;0;3595606;0;0;0;1891763;0;0;1891763;0;5487369;0;3722131;9209499;244263;1936941;11390703
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;42979;251309;177659;72103;6315504;0;6816575;265790;46766;324460;212571;0;0;583796;1861;7668021;5617;1646095;9319734;604;806290;10126628
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;C;2;RIO DE JANEIRO;RJ;42979;0;0;0;0;0;0;1144095;0;0;0;0;0;0;228728;1372824;643795;6840482;8857101;154;1064695;9921950
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;42979;260942;0;126929;2646586;0;3034457;0;0;0;220735;0;0;220735;2089833;5345025;149454;2826585;8321065;5496;1579475;9906035
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;42979;19289;0;116147;3683099;0;3818535;561142;640395;474880;113116;90692;0;1319083;807412;6506172;1294713;203214;8004100;97203;915345;9016648
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;42979;0;0;497852;135217;0;633069;0;0;0;252271;0;0;252271;5121762;6007102;0;657106;6664208;23240;1557745;8245193
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;I;2;RIO DE JANEIRO;RJ;42979;26;0;0;0;0;26;0;0;0;0;0;0;0;0;26;0;2396880;2396906;0;5794587;8191493
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;42979;131735;0;93958;2671657;0;2897349;374411;726638;857926;113414;0;0;1697978;64826;5034564;9900;416976;5461440;6896;2254754;7723090
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;42979;0;0;0;737517;0;737517;0;0;42435;141341;0;0;183776;4842916;5764209;5895;177049;5947153;181458;1341352;7469963
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;42979;395;0;33723;767;0;34885;0;0;202458;350752;0;0;553211;4445001;5033096;24893;653866;5711855;11763;1725734;7449352
