Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/09/2013;1262554;912066;296331;0;0;2114;0;52043;0;0;0;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/09/2013;1223791;0;824350;59975;50963;33147;29086;24526;23851;177893;0;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/09/2013;1222260;688334;262363;149290;67291;26273;4180;1551;11615;11363;0;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/09/2013;1212199;657857;56372;461718;23089;13163;0;0;0;0;0;
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/09/2013;1159048;133921;448972;241533;205474;33575;8655;14687;11525;60707;0;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/09/2013;1119183;0;924018;126586;31285;13571;6686;3634;2669;10734;0;
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/09/2013;1103510;1063768;39742;0;0;0;0;0;0;0;0;
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/09/2013;1098420;110306;351269;345648;206483;61;38219;40;5301;24982;16112;
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/09/2013;1062411;270;224609;82656;65851;42648;162668;121606;14508;347594;0;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;01/09/2013;1057105;364236;504768;14465;9935;7205;145074;2506;2443;6474;0;
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/09/2013;1033459;0;185952;408113;331464;46883;4087;4159;11276;41525;0;
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;;9;BRASILIA;DF;01/09/2013;984121;807455;128480;13554;7480;6551;3381;5767;1959;9493;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;01/09/2013;938401;0;69589;413628;366842;39246;12529;10143;4329;22095;0;
