Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;;C;3;SAO PAULO;SP;42522;1474475;0;1474475;87202;1561677;8645598;0;0;0;0;0;935695;9581293;9232427;0,1539;0,1539;0,163;0,1597;0,0013
BMG - PRUDENCIAL;1000080178;b1;;C;2;SAO PAULO;SP;42522;629338;0;629338;710929;1340267;9223667;62036;0;0;0;62036;38424;9324127;14667444;0,0675;0,0675;0,1437;0,0429;0,3911
CCB - PRUDENCIAL;1000080295;b1;;C;3;SAO PAULO;SP;42522;612350;0;612350;900311;1512662;7994202;133104;0;9935;0;143039;717699;8854941;13109667;0,0692;0,0692;0,1708;0,0467;0,0962
ALFA - PRUDENCIAL;1000080570;b1;;C;2;SAO PAULO;SP;42522;2196630;0;2196630;0;2196630;7426088;86181;0;330817;23501;440499;986399;8852985;13798125;0,2481;0,2481;0,2481;0,1592;0,1338
ORIGINAL - PRUDENCIAL;1000080903;b1;;C;2;SAO PAULO;SP;42522;2069922;0;2069922;0;2069922;5933354;48244;0;2133164;87719;2269126;551158;8753638;7583919;0,2365;0,2365;0,2365;0,2729;0,3588
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;;C;3;SAO PAULO;SP;42522;2409570;0;2409570;0;2409570;3224735;432028;44000;2079848;1252891;3808768;971388;8004890;13093666;0,301;0,301;0,301;0,184;0,005
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;;C;2;BELO HORIZONTE;MG;42522;651798;933;652732;347862;1000593;6666328;1363;0;636;0;1999;711591;7379918;11475987;0,0883;0,0884;0,1356;0,0569;0,2155
BANCOOB - PRUDENCIAL;1000080879;b1;;C;2;BRASILIA;DF;42522;1087279;0;1087279;0;1087279;6241452;11631;0;101393;0;113025;843097;7197574;31653312;0,1511;0,1511;0,1511;0,0343;0,0887
PINE - PRUDENCIAL;1000080374;b1;;C;2;SAO PAULO;SP;42522;1072790;0;1072790;33013;1105803;6102840;10868;128486;387291;0;526645;317340;6946825;9780692;0,1544;0,1544;0,1592;0,1097;0,191
SICREDI - PRUDENCIAL;1000080745;b1;;C;2;PORTO ALEGRE;RS;42522;1251329;136800;1388129;0;1388129;5663064;3681;0;39389;279;43348;969755;6676167;39294532;0,1874;0,2079;0,2079;0,0353;0,0797
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;;I;1;BELO HORIZONTE;MG;42522;910025;0;910025;0;910025;5609009;46205;0;460917;0;507122;485460;6601590;7335606;0,1378;0,1378;0,1378;0,1241;0,1105
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;;I;3;CURITIBA;PR;42522;1198786;0;1198786;0;1198786;5930858;0;0;0;0;0;657525;6588383;6858675;0,182;0,182;0,182;0,1748;0,008
