Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44348;9721820;1507699;11229519;423504;11653023;66693979;549531;0;2573507;41586;3164624;6578968;76437572;146495246;0,1272;0,1469;0,1525;0,0767;0,1789
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44348;6737763;795889;7533652;1826084;9359736;56934727;83168;641;4553;0;88361;11822655;68845743;108366850;0,0979;0,1094;0,136;0,0695;0,0268
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44348;10376755;0;10376755;0;10376755;42531658;926598;0;8769071;4018;9699687;10972837;63204182;103366427;0,1642;0,1642;0,1642;0,1004;0,023
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44348;6361036;0;6361036;0;6361036;14798120;862039;0;24504627;2333004;27699670;3741478;46239267;72638924;0,1376;0,1376;0,1376;0,0876;0,0126
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44348;6697102;0;6697102;0;6697102;32192914;3286127;0;6993;38834;3331954;9826600;45351468;99938178;0,1477;0,1477;0,1477;0,067;0,1089
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44348;5140698;459595;5600293;0;5600293;32920940;571925;0;3920573;77376;4569874;2802574;40293388;54874601;0,1276;0,139;0,139;0,1021;0,1843
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44348;4249663;0;4249663;814003;5063666;28795318;341941;1418;4738948;14004;5096311;4891457;38783087;46289506;0,1096;0,1096;0,1306;0,0918;0,018
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44348;4472555;0;4472555;1505571;5978126;31611445;232677;201355;2046179;0;2480211;1895722;35987378;52351963;0,1243;0,1243;0,1661;0,0854;0,0032
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44348;4661491;0;4661491;0;4661491;23503053;1062330;0;6672459;665254;8400043;2730893;34633989;52204407;0,1346;0,1346;0,1346;0,0893;0,043
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44348;4362086;488082;4850168;631703;5481870;30550477;163088;729313;1077575;4538;1974513;1983809;34508798;58199788;0,1264;0,1405;0,1589;0,0833;0,005
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44348;3247279;0;3247279;0;3247279;23029293;635;0;616;0;1250;3937559;26968103;36977799;0,1204;0,1204;0,1204;0,0878;0,0412
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;44348;8962141;0;8962141;0;8962141;845421;0;0;210;21456847;21457057;209195;22511673;13189469;0,3981;0,3981;0,3981;0,6795;0,038
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44348;2542779;0;2542779;667625;3210404;19975033;0;0;0;0;0;1241799;21216832;25907276;0,1198;0,1198;0,1513;0,0981;0,0024
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44348;2898900;0;2898900;0;2898900;10234152;51562;21886;1854520;19229;1947196;7624135;19805483;80152185;0,1464;0,1464;0,1464;0,0362;0,0429
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44348;2583636;0;2583636;0;2583636;16224467;16937;0;1506365;103294;1626595;1284596;19135658;23391590;0,135;0,135;0,135;0,1105;0,145
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44348;2802041;107497;2909538;19625;2929164;16635297;3147;0;144462;0;147609;953537;17736443;29698902;0,158;0,164;0,1651;0,098;0,4948
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44348;3483714;0;3483714;0;3483714;6197178;766470;0;6725996;0;7492466;2665323;16354967;38649673;0,213;0,213;0,213;0,0901;0,0112
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44348;4186769;0;4186769;0;4186769;8550659;405801;1498491;1749010;1294071;4947373;2708550;16206581;29133745;0,2583;0,2583;0,2583;0,1437;0,0131
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44348;3214783;0;3214783;0;3214783;14211815;101901;0;0;11309;113209;1197025;15522049;17510633;0,2071;0,2071;0,2071;0,1836;0,0125
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44348;1969439;93573;2063012;207067;2270079;14479943;10021;1080;0;0;11102;956177;15447222;28990895;0,1275;0,1336;0,147;0,0712;0,0711
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44348;2108180;0;2108180;0;2108180;12317601;43579;0;69726;0;113305;2982229;15413136;73999557;0,1368;0,1368;0,1368;0,0285;0,1244
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44348;2118108;0;2118108;0;2118108;13741872;0;0;0;0;0;1108489;14850362;14338925;0,1426;0,1426;0,1426;0,1477;0,0054
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;44348;2682250;0;2682250;0;2682250;11657733;6216;103;747103;112871;866292;1140877;13664902;21435042;0,1963;0,1963;0,1963;0,1251;0,0631
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44348;1542699;224709;1767408;0;1767408;11270330;17830;0;32363;0;50193;2133385;13453908;74418102;0,1147;0,1314;0,1314;0,0238;0,0557
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44348;1053754;350154;1403908;406866;1810774;11144307;243849;0;35149;0;278998;1438738;12862043;16403334;0,0819;0,1092;0,1408;0,0856;0,0108
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44348;1248136;0;1248136;0;1248136;10869214;28424;0;108246;81;136751;1671707;12677672;21067360;0,0985;0,0985;0,0985;0,0592;0,1181
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44348;1264454;0;1264454;90022;1354476;11483822;24996;0;193707;0;218703;611846;12314371;NA;0,1027;0,1027;0,11;NA%;0,0008
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44348;2235786;0;2235786;0;2235786;10661028;7567;0;0;0;7567;1057692;11726287;14746662;0,1907;0,1907;0,1907;0,1516;0,0289
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44348;1560265;0;1560265;0;1560265;10215080;0;0;0;0;0;753043;10968123;12596098;0,1423;0,1423;0,1423;0,1239;0,0029
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44348;2345807;0;2345807;0;2345807;8812954;109039;0;1248311;0;1357350;479046;10649349;53651349;0,2203;0,2203;0,2203;0,0437;0,0062
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44348;1651192;0;1651192;0;1651192;8887599;21421;0;241457;20664;283542;1474565;10645706;32974765;0,1551;0,1551;0,1551;0,0501;0,1152
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;44348;2214378;0;2214378;0;2214378;5491153;154849;1206;2380864;220884;2757803;1518505;9767461;21663989;0,2267;0,2267;0,2267;0,1022;0,0057
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;44348;5948586;0;5948586;0;5948586;3770686;1822;558;8116;496;10991;5888674;9670352;6575316;0,6151;0,6151;0,6151;0,9047;0,0035
BANCO C6;1000084844;b1;S4;C;2;SAO PAULO;SP;44348;707468;0;707468;120635;828103;8055297;6205;1222;15920;0;23347;354473;8433118;15721655;0,0839;0,0839;0,0982;0,045;0,3162
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;44348;1479229;0;1479229;0;1479229;5808527;16846;2316;2020831;0;2039993;570895;8419415;12142448;0,1757;0,1757;0,1757;0,1218;0,0086
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;C;3;SAO PAULO;SP;44348;1214068;0;1214068;0;1214068;4134551;84423;0;3682230;0;3766653;385630;8286834;10229066;0,1465;0,1465;0,1465;0,1187;0,0076
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S4;I;2;BLUMENAU;SC;44348;1854322;0;1854322;0;1854322;6782728;0;0;0;0;0;1334856;8117584;10722735;0,2284;0,2284;0,2284;0,1729;0,0223
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;44348;777605;202444;980049;0;980049;6341780;203964;0;77211;0;281175;819051;7442006;13892771;0,1045;0,1317;0,1317;0,0705;0,0113
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44348;2704265;0;2704265;0;2704265;6710240;0;0;0;0;0;645789;7356029;10278102;0,3676;0,3676;0,3676;0,2631;0,0816
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44348;1658959;0;1658959;0;1658959;6785398;3625;0;0;0;3625;507973;7296996;8619522;0,2273;0,2273;0,2273;0,1925;0,0025
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44348;1448300;0;1448300;0;1448300;6423381;39808;0;4825;1237;45871;694531;7163782;12527843;0,2022;0,2022;0,2022;0,1156;0,0396
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;44348;1877908;0;1877908;0;1877908;6215040;261854;0;141580;0;403434;371647;6990121;10885426;0,2687;0,2687;0,2687;0,1725;0,002
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44348;1187399;0;1187399;0;1187399;6631111;29940;0;0;0;29940;323985;6985036;7867245;0,17;0,17;0,17;0,1509;0,0183
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44348;835983;47361;883344;236033;1119377;5925333;6268;0;667;0;6935;880244;6812512;11756211;0,1227;0,1297;0,1643;0,0751;0,2928
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;44348;1266285;0;1266285;0;1266285;6148968;0;0;0;0;0;627794;6776761;7138143;0,1869;0,1869;0,1869;0,1774;0,0167
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44348;625400;0;625400;107447;732847;6177202;15512;2338;381925;750;400525;197173;6774899;14993155;0,0923;0,0923;0,1082;0,0417;0,1983
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;44348;700126;0;700126;115051;815177;6014639;4588;0;285572;0;290161;432603;6737402;10921112;0,1039;0,1039;0,121;0,0641;0,0199
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44348;1864351;0;1864351;0;1864351;5297268;0;0;0;0;0;844989;6142257;9353566;0,3035;0,3035;0,3035;0,1993;0,0558
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44348;1501476;0;1501476;0;1501476;5378852;37715;0;1995;0;39710;670863;6089424;8392949;0,2466;0,2466;0,2466;0,1789;0,0113
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;44348;732663;0;732663;8050;740712;5340109;0;0;0;0;0;362197;5702306;5878003;0,1285;0,1285;0,1299;0,1246;0,0146
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44348;1140986;0;1140986;0;1140986;5452896;0;0;0;0;0;61554;5514449;8085101;0,2069;0,2069;0,2069;0,1411;0,0108
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;44348;824808;0;824808;0;824808;4904281;38539;0;2011;0;40550;436552;5381383;8012126;0,1533;0,1533;0,1533;0,1029;0,0994
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;44348;957882;0;957882;0;957882;4799658;0;0;0;0;0;565876;5365535;7098544;0,1785;0,1785;0,1785;0,1349;0,0006
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;44348;1406801;0;1406801;0;1406801;4985277;0;0;0;0;0;284703;5269980;6436733;0,2669;0,2669;0,2669;0,2186;0,0024
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;CAMPINAS;SP;44348;667130;0;667130;40673;707802;2510497;104;43;9456;38;9641;2741191;5261329;4512270;0,1268;0,1268;0,1345;0,1478;0,0938
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;44348;761059;0;761059;0;761059;4558700;6314;0;305954;0;312268;288007;5158975;9113917;0,1475;0,1475;0,1475;0,0835;0,0287
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;44348;486872;234205;721077;89776;810853;3583558;308;0;0;0;308;1521354;5105220;5978096;0,0954;0,1412;0,1588;0,1206;0,0415
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44348;1042945;0;1042945;0;1042945;2405695;303380;0;1576616;0;1879997;687447;4973138;8405305;0,2087;0,2087;0,2087;0,1241;0,0086
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44348;893632;0;893632;0;893632;3870831;2534;0;0;0;2534;952239;4825604;NA;0,1852;0,1852;0,1852;NA%;0,0197
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;44348;847509;0;847509;0;847509;4266719;0;0;0;39001;39001;503926;4809645;6841541;0,1762;0,1762;0,1762;0,1239;0,093
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;44348;624349;0;624349;0;624349;4265933;35351;0;95915;0;131265;390274;4787472;5651274;0,1304;0,1304;0,1304;0,1105;0,0896
BS2 - PRUDENCIAL;1000080422;b1;S3;C;2;BELO HORIZONTE;MG;44348;448654;0;448654;105122;553777;3957906;27773;262;183944;64019;275998;526354;4760259;13659224;0,0943;0,0943;0,1163;0,0328;0,1968
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;n1;S4;I;2;SAO PAULO;SP;44348;1648693;0;1648693;95840;1744533;4412880;380;0;0;0;380;235773;4649033;NA;0,3546;0,3546;0,3752;NA%;0,0501
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44348;1293965;0;1293965;0;1293965;3392170;71201;0;653608;0;724809;531551;4648529;10265252;0,2784;0,2784;0,2784;0,1261;0,008
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;44348;474280;0;474280;107129;581408;3943527;1;0;13507;61;13569;442150;4399246;7810500;0,1078;0,1078;0,1322;0,0607;0,152
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44348;1569153;0;1569153;0;1569153;3198497;179702;0;311753;0;491454;496688;4186640;7781687;0,3748;0,3748;0,3748;0,2016;0,0027
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;44348;1067549;40175;1107724;52902;1160627;3665172;0;0;1508;0;1508;489681;4156361;8532378;0,2568;0,2665;0,2792;0,1298;0,0931
RODOBENS - PRUDENCIAL;1000080855;b1;S4;C;2;SAO PAULO;SP;44348;886771;0;886771;0;886771;3245208;0;0;0;0;0;893802;4139010;4511356;0,2132;0,2132;0,2132;0,1957;0,4886
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;44348;581831;0;581831;0;581831;3853899;10;0;1217;0;1228;157125;4012251;5935195;0,145;0,145;0,145;0,098;0,2003
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;44348;882060;0;882060;0;882060;3872907;19375;0;2300;0;21675;64450;3959032;6226160;0,2228;0,2228;0,2228;0,1417;0,0598
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;44348;410582;0;410582;80000;490582;3125799;0;0;0;0;0;625582;3751381;4872692;0,1094;0,1094;0,1308;0,0843;0,125
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;44348;600075;0;600075;0;600075;3538255;0;0;2277;0;2277;171316;3711847;6231601;0,1617;0,1617;0,1617;0,0963;0,3085
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;44348;491392;0;491392;30424;521816;3571744;0;0;1243;0;1243;137355;3710342;5719218;0,1324;0,1324;0,1406;0,0859;0,1026
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;44348;486313;0;486313;0;486313;3220214;5973;0;0;0;5973;181521;3407708;NA;0,1427;0,1427;0,1427;NA%;0,0083
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;44348;NA;NA;NA;NA;536585;3151722;0;NA;NA;NA;0;143902;3295624;NA;NA%;NA%;0,1628;NA%;0,1168
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44348;803527;0;803527;0;803527;2416635;2046;0;449277;0;451323;413462;3281419;9681868;0,2449;0,2449;0,2449;0,083;0,0042
BANCO MASTER - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;44348;407326;27835;435161;21628;456788;2809174;10451;0;0;32395;42846;396699;3248718;6913493;0,1254;0,1339;0,1406;0,0629;0,1939
COOPERATIVA DE CRÉDITO SICREDI SERRANA RS/ES;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;44348;463116;0;463116;0;463116;3013300;9;0;2459;0;2469;136043;3151812;4624278;0,1469;0,1469;0,1469;0,1001;0,0623
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44348;1102358;0;1102358;0;1102358;2635668;0;0;0;0;0;444751;3080419;NA;0,3579;0,3579;0,3579;NA%;0,0183
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;S4;I;2;LONDRINA;PR;44348;603250;0;603250;0;603250;2469513;142660;94348;0;0;237008;305885;3012406;3790071;0,2003;0,2003;0,2003;0,1592;0,0275
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;C;3;SAO PAULO;SP;44348;967580;0;967580;0;967580;2705037;299;0;0;0;299;245616;2950952;2721731;0,3279;0,3279;0,3279;0,3555;0,0074
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;44348;1083161;0;1083161;0;1083161;2035718;13665;5463;340700;13713;373540;515691;2924949;6291388;0,3703;0,3703;0,3703;0,1722;0,0429
BANCO VOITER - PRUDENCIAL;1000080415;b1;S4;C;2;SAO PAULO;SP;44348;257257;0;257257;0;257257;2296099;95130;266231;60583;3651;425596;109607;2831302;4932022;0,0909;0,0909;0,0909;0,0522;0,4453
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;S5;I;2;VILHENA;RO;44348;NA;NA;NA;NA;454114;2714168;0;NA;NA;NA;0;83501;2797668;NA;NA%;NA%;0,1623;NA%;0,0844
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;S4;I;2;ERECHIM;RS;44348;382340;0;382340;15058;397398;2667285;8;0;1748;0;1757;85465;2754507;4161820;0,1388;0,1388;0,1443;0,0919;0,1483
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;44348;477972;0;477972;0;477972;2490551;14;0;3889;0;3904;157007;2651461;4363777;0,1803;0,1803;0,1803;0,1095;0,0886
COOPERATIVA DE CRéDITO, POUPANçA E INVESTIMENTO UNIãO - SICREDI UNIAO RS/ES;88894548;b3S;S4;I;2;CERRO LARGO;RS;44348;529332;0;529332;0;529332;2431445;13;0;1283;0;1297;143020;2575762;4120385;0,2055;0,2055;0,2055;0,1285;0,0601
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;S4;I;2;TANGARA DA SERRA;MT;44348;521121;0;521121;0;521121;2441166;2240;0;1417;0;3657;109584;2554407;4133543;0,204;0,204;0,204;0,1261;0,0784
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;44348;NA;NA;NA;NA;648974;2413550;0;NA;NA;NA;0;126083;2539633;NA;NA%;NA%;0,2555;NA%;0,0621
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;44348;395945;0;395945;0;395945;2419311;18;0;1346;0;1364;91629;2512304;4597137;0,1576;0,1576;0,1576;0,0861;0,187
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;S4;I;2;CANARANA;MT;44348;481647;0;481647;0;481647;2463148;1003;0;777;0;1780;44322;2509250;3457377;0,1919;0,1919;0,1919;0,1393;0,0726
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;S4;I;2;CAMPO VERDE;MT;44348;359852;0;359852;0;359852;2469895;13604;0;843;0;14447;3100;2487442;3525821;0,1447;0,1447;0,1447;0,1021;0,0753
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;S4;I;2;DOURADOS;MS;44348;604473;0;604473;0;604473;2361122;16;0;1441;0;1457;107758;2470337;3962761;0,2447;0,2447;0,2447;0,1525;0,0549
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;S4;I;1;PORTO ALEGRE;RS;44348;636793;0;636793;0;636793;2168540;3058;0;0;0;3058;215419;2387017;NA;0,2668;0,2668;0,2668;NA%;0,0396
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO – SICREDI PLANALTO RS/MG;88038260;b3S;S4;I;2;CRUZ ALTA;RS;44348;616246;0;616246;0;616246;2304877;10;0;998;0;1008;73513;2379398;3576942;0,259;0,259;0,259;0,1723;0,0146
BANCO DIGIO - PRUDENCIAL;1000084655;b2;S4;I;3;BARUERI;SP;44348;440216;0;440216;0;440216;2264943;2478;0;0;0;2478;111707;2379128;3542070;0,185;0,185;0,185;0,1243;0,0025
