Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j)
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;44348;588249;0;2023105;21065726;0;0;23677080;20833412;392213;1417435;25256283;7982076;5605;35053611;4197928;83762031;3937732;19518419;107218182;108108;11520559;118846848
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;44348;6676411;0;73444;32658818;0;220655;39629327;2908512;0;0;1093342;0;291116;1384458;11659053;55581351;9690891;39979273;105251515;47334;10592575;115891424
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;44348;3769750;11416564;123404;45898632;4931;11375;61224657;8679331;825880;0;916665;0;0;1742545;3318305;74964837;174239;14150756;89289833;158703;8654101;98102637
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;44348;1215013;0;173284;12703945;0;2647855;16740096;6370812;0;0;0;0;326200;326200;29674493;53111602;14113640;22501266;89726507;1760;6417886;96146154
CIELO - PRUDENCIAL;1000084710;n4;;C;2;BARUERI;SP;44348;0;0;0;0;29599;0;29599;0;0;0;0;0;0;0;6833240;6862839;7138;71856151;78726129;0;12961558;91687687
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;44348;54335;0;6058;7556939;0;1100242;8717575;18676343;0;304;2160069;0;4198001;6358375;1487048;35239341;11346544;27091184;73677068;4014;4302954;77984036
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;44348;84857;24954822;7570283;4673956;0;0;37283919;7524878;0;3998843;1762190;0;0;5761034;15682575;66252406;126776;6221041;72600223;0;1833047;74433270
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;44348;156367;10697021;38033254;1645689;0;0;50532331;3628329;0;36540;0;0;0;36540;3528130;57725330;89;11205884;68931303;252;2124221;71055776
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;44348;1210484;3451413;2733177;5817946;0;2180503;15393523;4785799;0;0;2514;0;0;2514;2728289;22910126;0;32768998;55679124;188602;6939950;62807676
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S4;C;2;SAO PAULO;SP;44348;0;0;0;29724113;6922696;0;36646809;0;0;0;0;0;57989;57989;250901;36955700;542;21381820;58338062;0;3239942;61578004
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;44348;1441848;0;218660;12921467;0;23259;14605234;2704850;1452454;1901523;12299421;2335328;0;17988726;6629258;41928069;383098;6684183;48995350;106826;5153634;54255811
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;44348;1329035;0;169867;9391198;0;261733;11151833;1618343;0;13306;1827560;0;1042062;2882927;7411822;23064925;5129416;21037348;49231689;14050;4490279;53736018
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;44348;21739;0;0;656758;0;0;678497;132776;0;0;4098;0;0;4098;10297506;11112878;1053075;38262010;50427963;362;2352476;52780800
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;44348;64846;0;0;2518175;0;0;2583020;1011406;365647;974370;1548936;0;0;2888953;22969444;29452824;1676858;12636817;43766499;0;4500080;48266579
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;44348;257359;0;561743;7767964;0;0;8587066;970188;1193876;2907052;6544884;0;8687;10654499;10182494;30394247;2559477;5988923;38942648;20326;4459170;43422143
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;44348;36007;0;0;3319164;0;271545;3626715;6372891;0;0;208081;0;1884941;2093022;10138702;22231330;2857085;11566807;36655221;78105;5985251;42718577
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;44348;1112070;0;290742;11239362;0;0;12642175;2525832;0;0;0;0;0;0;0;15168007;10061553;6785569;32015129;2169;3483714;35501012
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;44348;1588005;4056920;500;11175451;0;7599;16828474;12311115;152898;271;0;0;0;153168;54906;29347664;0;1173995;30521659;4705;1784822;32311186
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;44348;102880;0;38736;15223754;84518;0;15449888;5235039;39798;74474;1987116;0;0;2101388;761297;23547613;131725;2506547;26185885;0;4192200;30378085
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;44348;8385427;1049178;175812;6119961;0;0;15730378;189929;2112175;0;50;0;0;2112225;26202;18058734;78887;3248666;21386286;54;8638978;30025319
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;44348;1160553;2633196;698801;14130856;18986;3118;18645512;1058986;297137;15575;1439663;0;0;1752374;777439;22234310;0;3144881;25379191;29260;2334463;27742914
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;44348;0;0;0;976971;0;0;976971;419063;0;0;0;0;3800256;3800256;276934;5473223;6256183;10858792;22588198;0;4230458;26818657
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;44348;161128;0;0;2724023;0;0;2885151;87668;0;0;0;0;0;0;3883359;6856178;924218;17158407;24938803;704;1313617;26253125
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;44348;0;0;1560232;7869704;0;0;9429937;0;0;0;7145251;0;0;7145251;1083594;17658782;2946;4557617;22219345;92906;2701744;25013995
PAGSEGURO;1000084813;b1;S4;C;2;SAO PAULO;SP;44348;0;0;0;5542024;484594;0;6026618;0;0;0;0;0;0;0;0;6026618;0;8903169;14929787;219798;9411503;24561088
STONE PAGAMENTOS - PRUDENCIAL;1000084686;n1;S5;C;2;SAO PAULO;SP;44348;0;0;0;0;783311;0;783311;0;0;0;0;0;0;0;2096237;2879548;744;14936048;17816339;0;5798779;23615119
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;44348;0;0;220032;3930273;0;0;4150305;2449797;0;0;0;0;198106;198106;800574;7598783;6875638;6338139;20812560;0;2214378;23026938
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;44348;2463834;801754;47937;1390087;0;1481869;6185481;199982;0;220917;0;0;0;220917;748656;7355035;0;12865404;20220439;0;2723041;22943480
ORIGINAL;1000080903;b1;S3;C;2;SAO PAULO;SP;44348;642868;0;1093780;6465349;4035232;0;12237229;154909;2013272;2522344;515841;0;61520;5112977;0;17505115;6262;1481591;18992969;2766;2350891;21346626
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;44348;67483;0;799367;3859937;0;0;4726787;1849803;14915;780351;6944208;0;50250;7789724;1956672;16322987;430111;587550;17340648;16508;2618509;19975666
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;44348;102252;2931;174089;5534441;0;0;5813712;3660951;2249;251268;280695;0;0;534212;4597688;14606564;69028;3133571;17809163;11462;1096641;18917266
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;44348;11749;0;0;64439;0;0;76189;91977;0;0;0;0;0;0;4318804;4486969;743939;11707489;16938398;4369;1569223;18511989
HSBC BI - PRUDENCIAL;1000084741;b1;S4;I;3;SAO PAULO;SP;44348;26153;0;307163;3084871;0;0;3418187;1732894;0;0;0;0;0;0;591890;5742970;2405352;7432007;15580329;2555;1066563;16649447
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;44348;0;0;0;10123;0;0;10123;0;0;0;0;0;0;0;11846015;11856137;11022;1006888;12874048;2425;3232806;16109279
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;44348;604856;0;161658;3182746;0;0;3949261;0;0;0;0;0;0;0;2274867;6224127;814701;7013874;14052703;6963;1590165;15649831
BANCO C6;1000084844;b1;S4;C;2;SAO PAULO;SP;44348;1500171;0;0;7711038;149365;0;9360574;1499998;10161;0;287149;0;0;297310;0;11157882;6;2697680;13855568;21521;1509390;15386480
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;44348;191474;0;557634;6616723;0;0;7365831;3054036;224175;403106;61215;0;0;688497;47964;11156327;2110878;684735;13951941;15987;775077;14743005
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;44348;0;0;4105048;3049253;0;0;7154302;0;0;0;2129157;0;0;2129157;2315843;11599302;149;544704;12144154;5727;2125073;14274954
BS2 - PRUDENCIAL;1000080422;b1;S3;C;2;BELO HORIZONTE;MG;44348;563788;0;196442;4131840;9702;11688;4913461;0;53981;0;6829;0;0;60810;0;4974270;0;7772726;12746996;29761;610601;13387359
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;44348;0;0;32000;562399;0;0;594399;0;0;0;0;0;0;0;2845478;3439877;208124;8834295;12482296;664;806068;13289028
BOCOM - PRUDENCIAL;1000084624;b1;S3;C;3;SALVADOR;BA;44348;317050;0;863659;1290700;0;0;2471409;1309260;53639;1338085;1540043;0;0;2931768;4324709;11037147;439111;915250;12391508;18604;807637;13217749
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;44348;169;0;0;0;0;0;169;0;0;0;0;0;0;0;0;169;0;4109740;4109908;0;9079561;13189469
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;44348;10610;0;201353;13430;0;0;225392;113151;0;0;1185483;0;0;1185483;0;1524025;0;8367849;9891874;0;2980226;12872101
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;44348;1261085;1390357;190682;7517509;0;0;10359634;74480;0;0;44851;0;0;44851;25994;10504958;0;408496;10913454;0;1577462;12490916
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;44348;0;0;754447;1824061;0;0;2578508;0;0;901643;1074085;0;0;1975728;5375232;9929468;56882;187600;10173950;181884;1564316;11920150
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;44348;0;0;716774;216357;0;0;933131;0;0;0;1864553;0;0;1864553;0;2797684;0;7621052;10418736;0;1264767;11683503
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;44348;494638;238444;198627;7867748;0;5367;8804825;74108;15197;58480;4183;0;0;77860;0;8956793;0;1557766;10514558;250;1113008;11627817
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;44348;360899;0;291765;5982591;0;0;6635255;535657;4295;130581;715819;0;0;850695;166945;8188552;222373;1230149;9641074;6174;1202163;10849411
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;44348;0;0;0;2089437;0;0;2089437;0;0;0;3609411;0;0;3609411;0;5698848;0;2252804;7951652;59770;2769089;10780512
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;44348;59757;0;113815;3323028;0;0;3496599;1032490;0;862;37912;0;0;38774;2735993;7303856;189268;2338427;9831551;462;782845;10614858
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;C;3;SAO PAULO;SP;44348;116;0;19063;573243;0;0;592423;757381;0;0;0;0;0;0;4724077;6073881;2516261;684770;9274912;0;1217512;10492424
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;44348;0;0;0;23258;0;0;23258;0;0;0;0;0;0;0;118359;141617;0;9407442;9549059;0;645739;10194797
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;44348;0;0;85398;0;0;1479036;1564434;0;41044;0;0;0;0;41044;0;1605478;0;133929;1739406;0;8373236;10112642
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;44348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9225240;9225240;0;452145;9677385
COOPERATIVA CENTRAL DE CRÉDITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CENTRAL SC/RS;80160260;b3C;S3;I;2;FLORIANOPOLIS;SC;44348;75769;0;0;1730895;0;765;1807429;0;0;0;0;0;0;0;4580;1812008;0;6816954;8628963;0;569381;9198343
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;44348;160564;0;31206;2021479;0;0;2213248;0;0;0;0;0;0;0;3108885;5322134;148547;1789244;7259925;1589;1875505;9137019
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;S4;I;2;RIBEIRAO PRETO;SP;44348;0;0;0;493018;0;0;493018;0;0;0;0;0;0;0;0;493018;0;8117067;8610085;0;272292;8882377
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;44348;5767;0;55211;4347104;0;0;4408081;124045;9228;0;2725712;0;0;2734939;0;7267066;0;279771;7546838;0;1332138;8878976
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;44348;1578294;0;0;2920174;0;4494;4502962;0;14985;1524582;0;0;0;1539567;1074;6043603;0;810357;6853960;0;1868580;8722540
MERCADOPAGO PRUDENCIAL;1000084820;n1;S4;C;2;OSASCO;SP;44348;0;0;160411;712217;3413031;0;4285660;0;0;0;0;0;0;0;351392;4637052;92273;3625405;8354730;0;347615;8702345
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;44348;0;0;563324;229857;0;0;793181;0;0;556693;0;0;0;556693;4092895;5442769;122680;756435;6321884;17195;2031760;8370839
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;I;3;INDAIATUBA;SP;44348;95848;0;30841;517024;0;0;643713;0;0;0;302514;0;0;302514;5621671;6567898;0;118386;6686284;5281;1665190;8356756
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S4;I;2;BLUMENAU;SC;44348;1463168;1;131493;4477601;0;25529;6097791;0;0;0;0;0;0;0;2365;6100156;0;374167;6474323;0;1854375;8328698
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;44348;267578;0;41223;4255297;0;0;4564098;98736;289636;449732;1278770;60287;0;2078425;10497;6751756;984;495994;7248734;421;897413;8146568
CENTRAL DAS COOPERATIVAS DE ECONOMIA E CREDITO DO ESTADO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CECREMGE;309024;b3C;S4;I;2;BELO HORIZONTE;MG;44348;0;0;0;407;0;0;407;0;0;0;0;0;0;0;0;407;0;7770453;7770860;0;307404;8078264
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;44348;0;0;0;128328;0;0;128328;0;0;0;0;0;0;0;5936045;6064372;112156;506943;6683471;138960;1187488;8009919
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S3;I;3;SAO PAULO;SP;44348;0;0;611433;343326;0;0;954758;3599;0;0;3030399;0;0;3030399;1832918;5821674;146360;718866;6686900;23596;1182851;7893347
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;44348;1065266;1902120;147423;2798303;2893;506;5916512;3198;32726;0;30507;0;0;63233;141326;6124268;0;908823;7033092;10136;582156;7625384
BANCO MASTER - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;44348;140734;0;0;5321063;233;0;5462030;435665;255830;0;48083;0;0;303913;0;6201607;5224;717303;6924134;0;456205;7380339
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;44348;0;0;680158;12522;0;0;692680;0;0;0;143119;0;0;143119;4809128;5644927;0;192257;5837184;4198;1270815;7112197
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;S3;I;2;CURITIBA;PR;44348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6758377;6758377;0;329349;7087725
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;44348;0;0;970685;2834074;0;0;3804759;0;1199202;0;299156;0;0;1498358;0;5303117;43;490522;5793682;3323;963322;6760328
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;44348;122940;0;0;2729724;0;31106;2883770;1300554;823;0;0;0;0;823;5701;4190848;50480;1035321;5276650;1222;1408374;6686245
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;44348;132841;0;0;0;15076;0;147917;0;0;0;0;0;0;0;0;147917;0;470433;618350;38;5972877;6591265
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;44348;0;0;1652313;126613;0;0;1778926;0;0;0;106677;0;0;106677;956723;2842325;80157;1409794;4332276;1275;2053415;6386966
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;44348;566285;0;0;2701659;0;0;3267944;0;181968;642403;0;0;0;824371;1970;4094285;0;1434452;5528737;0;855955;6384691
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;44348;48361;0;20041;3195820;68976;0;3333197;8216;0;0;774860;0;63879;838739;50126;4230278;0;1189180;5419457;7427;569047;5995931
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;44348;0;0;525526;240763;6;0;766295;0;0;0;303920;0;1093966;1397885;0;2164181;0;2646410;4810591;0;1139468;5950059
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;44348;0;0;0;1563135;0;0;1563135;0;0;0;0;0;0;0;3250154;4813289;0;361598;5174887;99;743304;5918289
CENTRAL SICOOB UNI DE COOPERATIVAS DE CRÉDITO;4243780;b3C;S4;I;2;GOIANIA;GO;44348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5589508;5589508;0;176357;5765865
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;44348;868383;0;170910;2340715;0;8300;3388308;0;0;0;0;0;0;0;18271;3406579;0;1694433;5101012;0;615682;5716694
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;44348;0;0;51391;2279390;0;0;2330780;1593765;0;0;381980;0;0;381980;196300;4502825;78530;455576;5036932;252;561359;5598542
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;44348;888392;0;108051;1687971;0;5382;2689795;0;0;0;0;0;0;0;21717;2711513;0;1960546;4672059;0;890440;5562500
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;44348;127120;0;444669;1665870;0;0;2237659;48179;67903;371671;808187;0;0;1247761;990427;4524025;306;300920;4825251;904;624349;5450503
BANCO VOITER - PRUDENCIAL;1000080415;b1;S4;C;2;SAO PAULO;SP;44348;90659;0;20577;3386573;0;0;3497810;141566;0;705080;0;0;0;705080;4349;4348805;49579;400621;4799005;1402;351884;5152291
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;44348;748184;0;123675;2230947;0;2778;3105584;0;0;0;0;0;0;0;7630;3113214;0;1288144;4401358;0;595879;4997238
COOPERATIVA CENTRAL DE CRÉDITO COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;S4;I;2;FRANCISCO BELTRAO;PR;44348;0;0;526700;0;0;0;526700;0;0;0;0;0;0;0;2889472;3416172;0;1322218;4738390;0;210256;4948646
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;CAMPINAS;SP;44348;126599;0;567877;2478328;0;0;3172805;187001;0;0;331089;0;0;331089;0;3690894;0;407800;4098694;0;830807;4929501
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;44348;589005;0;255811;2027385;0;1973;2874173;0;0;0;0;0;0;0;24123;2898296;0;1398191;4296487;0;502032;4798519
COOPERATIVA CENTRAL DE CRÉDITO - AILOS;5463212;b3C;S4;I;2;BLUMENAU;SC;44348;0;0;0;0;0;0;0;0;0;0;0;0;0;0;237853;237853;0;3964509;4202362;0;457132;4659494
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;44348;716553;0;0;2489949;0;3471;3209974;0;165525;156148;0;0;0;321673;18122;3549768;0;509122;4058890;22;573066;4631979
RODOBENS - PRUDENCIAL;1000080855;b1;S4;C;2;SAO PAULO;SP;44348;1404;0;203304;560680;7291;0;772679;0;136303;91564;934774;0;0;1162640;295077;2230396;25015;1014599;3270010;1039;1309014;4580063
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;44348;0;0;0;576736;0;0;576736;0;0;0;0;0;0;0;676424;1253160;5913;2593881;3852954;2192;594181;4449327
BCO A.J. RENNER S.A. - PRUDENCIAL;1000081799;b1;S4;C;3;SAO PAULO;SP;44348;35034;0;0;3086816;0;0;3121850;0;0;0;0;0;0;0;0;3121850;0;939149;4060998;0;335683;4396681
COOPERATIVA CENTRAL DE CREDITO DO ESPIRITO SANTO - SICOOB CENTRAL ES;32428294;b3C;S4;I;2;VITORIA;ES;44348;0;0;0;867;0;0;867;0;0;0;0;0;0;0;117377;118244;0;4044430;4162674;0;232372;4395046
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;44348;755069;0;78743;2193369;0;962;3028143;0;0;0;0;0;0;0;7778;3035921;0;688811;3724733;0;402186;4126919
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;44348;902770;0;0;2397997;0;1734;3302501;0;8503;49588;0;0;0;58091;0;3360592;0;99113;3459705;0;658842;4118547
GENIAL - PRUDENCIAL;1000080941;b1;S4;C;2;RIO DE JANEIRO;RJ;44348;556812;0;0;975799;0;0;1532611;704277;621267;0;0;0;0;621267;0;2858154;13489;1010541;3882184;0;140244;4022428
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;44348;0;0;250839;197209;4;0;448052;0;0;0;319367;0;0;319367;50871;818290;0;2442034;3260325;26323;686058;3972706
