Instituição financeira;Código;TCB;TD;TC;Cidade;UF;Data;Instituição Sujeita à Apuração da Exposição Total;Instituição Sujeita à Apuração do Patrimônio de Referência;Instituição Utiliza Metodologia Simplificada;Exposição Total ou Ativo Total (R$ mil);Total de Ativos Consolidados no Exterior (US$ mil);Data da Última Alteração de Segmento;SR
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;SANTA MARIA;RS;43252;Sim;Sim;Não;1379521;NI;42736;S4
H.H.PICCHIONI - PRUDENCIAL;1000080226;n2;C;2;BELO HORIZONTE;MG;43252;Não;Sim;Não;79437;NI;42736;S4
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;C;2;CURITIBA;PR;43252;Sim;Sim;Não;5148455;NI;42736;S4
SOFISA - PRUDENCIAL;1000080271;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;4970987;12238;42736;S4
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;I;2;SAO PAULO;SP;43252;Não;Sim;Não;2553747;NI;42736;S4
JOHN DEERE - PRUDENCIAL;1000080343;b1;C;3;INDAIATUBA;SP;43252;Sim;Sim;Não;6773796;NI;42736;S4
FATOR - PRUDENCIAL;1000080350;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;509958;NI;42736;S4
MÁXIMA - PRUDENCIAL;1000080367;b1;C;2;RIO DE JANEIRO;RJ;43252;Sim;Sim;Não;1732668;NI;42736;S4
SOCOPA - PRUDENCIAL;1000080381;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;2493073;NI;42736;S4
PROSPER - PRUDENCIAL;1000080398;n2;I;2;RIO DE JANEIRO;RJ;43252;Não;Sim;Não;3893;NI;42736;S4
VR - PRUDENCIAL;1000080408;b1;C;2;BARUERI;SP;43252;Sim;Sim;Não;349554;NI;42736;S4
INDUSVAL - PRUDENCIAL;1000080415;b1;C;2;SAO PAULO;SP;43252;Sim;Sim;Não;2552001;21146;42736;S4
