Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;41334;13229;266684;25934;0;0;0;305847;-53815;-3384;-238949;0;-22864;-319012;-13166;0;0;0;-7000;-1165;0;9501;-298;1038;-12128;0;-12128;-5159;0;-17287;0
BANCOOB;51750;b1;;C;2;BRASILIA;DF;41334;102385;0;160305;0;0;3360;266050;-198570;-8953;0;0;-3787;-211309;54741;43776;19;-13687;-31599;-4643;899;847;-26601;-30990;23752;24;23776;-8633;-1340;13803;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;41334;46038;0;158070;58381;0;0;262489;-59110;-45715;0;-96901;-1919;-203646;58843;55510;124;-74830;-26724;-8251;0;77801;-43223;-19593;39250;-513;38737;-23054;0;15683;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;41334;195554;78411;51572;-93191;26075;0;258420;-28409;-16206;-71521;0;-74349;-190485;67935;7686;6564;-37988;-76943;-5694;-6770;58776;-35809;-90179;-22244;-43;-22287;-9141;0;-31428;0
BANCO CSF S.A.;8357240;b2;;I;3;SAO PAULO;SP;41334;235515;0;2380;0;0;0;237894;-5273;0;0;0;-130091;-135364;102530;54330;35786;-12082;-82091;-23562;0;4793;-22602;-45429;57101;113;57214;-22627;0;34588;0
PERNAMBUCANAS;40699;n1;;C;2;SAO PAULO;SP;41334;229789;0;2707;0;0;0;232496;-5340;0;0;1;-91776;-97117;135379;1733;12319;-15637;-36488;-653;0;15371;-29191;-52546;82833;1;82832;-33195;0;49637;0
PINE;50304;b1;;C;2;SAO PAULO;SP;41334;100691;0;58044;63551;2275;0;224561;-121136;-15134;0;0;-11527;-147797;76764;19536;604;-21735;-22633;-2439;7767;14571;-3927;-8257;68507;2292;70800;-17250;-7995;45555;-14977
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;41334;172534;0;20690;0;0;2513;195737;-42713;0;0;-4;-16217;-58934;136804;2102;10371;-36768;-34648;-8351;0;1241;-3362;-69415;67389;5284;72673;-35040;-3105;34528;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;41334;61697;0;126760;0;0;0;188457;-32029;-67270;0;-2580;-27634;-129514;58943;110085;23958;-105860;-57766;-15306;0;104536;-96219;-36571;22372;442;22814;-38914;0;-16100;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;41334;161498;0;19007;0;0;0;180505;0;-80561;0;0;-49746;-130306;50198;6119;0;-28474;-5864;-4654;0;2452;-2801;-33222;16976;178;17154;-8053;0;9101;0
