Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j)
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;41334;16627;245284;116298;5003001;-132743;4870258;398;17002;3303;-2852;17851;215209;20771;7062;5509361;3303;5506058
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;41334;5;1235428;3841011;178857;-8;178850;0;0;0;0;0;122682;120;75065;5453160;0;5453160
BANCO CNH CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;41334;26624;441735;0;4185292;-279271;3906021;1218;124666;50559;-3758;172685;335856;21012;7513;4911446;50559;4860887
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;41334;671;1539847;606288;1093278;-37294;1055983;0;0;0;0;0;46578;1345652;26991;4622012;0;4622012
BANCO IBM S.A.;34270520;b2;;I;3;RIO DE JANEIRO;RJ;41334;12292;1856546;1;693532;-21845;671687;15761;1756232;14249;-32978;1753263;83210;152272;58417;4587687;14249;4573439
SOFISA;31873;b1;;C;2;SAO PAULO;SP;41334;29861;742482;736195;1521245;-96101;1425144;1787;132133;96209;-4431;225698;398137;590063;307986;4455566;96209;4359356
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;41334;64514;546759;763944;2189051;-209367;1979684;0;0;0;0;0;756526;97427;61297;4270151;0;4270151
RURAL;31244;b1;;C;2;BELO HORIZONTE;MG;41334;67765;188498;484694;2015133;-177086;1838047;0;446;88;0;533;1410689;84567;105248;4180040;88;4179953
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;41334;123044;743133;512083;2292919;-63590;2229329;0;0;0;0;0;152469;242907;58888;4061854;0;4061854
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;41334;678;275383;440339;2987973;-150892;2837082;0;0;0;0;0;291704;45740;26208;3917133;0;3917133
