Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF
PANAMERICANO;31323;b1;C;2;;199;SAO PAULO;SP;01/03/2014;12486256;34918;206729;550554;969030;451842;89407;0;2302481;8315;14430;30743;17464;89;4;0;71045;238312;744244;1960584;4359472;922153;974;0;8225739;2078;12032;30034;67184;51336;122649;29562;314875;179585;776967;120704;22160;922;99;0;1100437;0;0;0;0;0;0;0;0;6193;35484;126860;144124;55275;93507;10237;471679;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/03/2014;8889695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;57923;1140479;2955799;4131123;603649;722;0;8889695;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;;8;SAO PAULO;SP;01/03/2014;7884366;251;7692;19977;21749;1934;0;0;51604;280;413;990;909;44;0;0;2636;70843;1037678;2723019;3487496;510106;919;0;7830062;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;18;19;6;0;0;0;65;0
SAFRA;10083;b1;C;2;;199;SAO PAULO;SP;01/03/2014;7367748;6514;74584;217341;322880;85053;2794;0;709166;4926;45231;103282;119750;46602;1094;0;320886;41206;522370;1229858;1226367;70517;50;0;3090368;75;209;968;1656;929;1014;0;4850;2614;71705;16314;8;0;0;0;90641;2673;11572;54015;36098;15596;5187;0;125140;2650;2027620;875887;50481;18492;898;0;2976027;50669
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/03/2014;6441602;9221;283261;710844;1609217;872397;98618;0;3583558;15783;220076;441365;590406;203685;29835;0;1501149;2446;17293;46577;82789;20224;14;0;169342;1141;19004;34987;89543;80858;100022;0;325556;17;1638;133;0;0;0;0;1788;4301;60251;140512;68824;40567;41875;0;356329;14922;78441;137851;75514;51971;20387;124794;503881;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/03/2014;5406113;33525;309908;912905;1768803;723926;16464;0;3765531;16519;28425;33634;8644;55;0;0;87277;1368;4239;6688;2168;0;0;0;14463;0;0;0;0;0;0;0;0;129368;991560;390355;27058;0;0;0;1538340;0;0;0;0;0;0;0;0;177;0;326;0;0;0;0;503;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/03/2014;5120481;51750;411195;1061101;1638139;445160;1894;0;3609239;36551;139391;269625;345723;87088;582;0;878960;2535;22264;53133;63379;4141;0;0;145452;14;339;946;1899;1421;1089;0;5708;27241;117409;0;0;0;0;0;144649;0;215;31004;1761;10622;14178;0;57780;37605;104785;93940;33583;7331;1450;0;278693;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/03/2014;4868143;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;32067;363688;1557458;721803;437224;265578;0;3377818;12866;206829;419840;452234;305457;93099;0;1490325;0
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/03/2014;4764684;27498;316597;890090;1721423;770698;131804;0;3858111;10630;30182;58277;37313;11266;146;0;147814;25542;102074;244245;320073;26995;10;0;718939;0;0;0;0;0;0;0;0;9;525;111;2;0;0;0;647;0;0;0;0;0;0;0;0;2055;9917;23187;3669;344;0;0;39173;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/03/2014;4095033;0;0;0;0;0;0;0;0;278;990;3492;4231;1742;2385;0;13117;199;1585;2493;820;0;0;0;5097;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;41370;338997;851554;1739254;885774;212282;4620;4073852;140;1795;230;641;161;0;0;2967;0
