Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;a1;a2;a3;a4;a5;a6;a;b1;b2;b3;b4;b5;b;c;d1;d2;d3;d4;d5;d6;d7;d8;d;e;f;g;h;i;j;k
PINE;50304;b1;;C;2;SAO PAULO;SP;01/03/2014;166256;0;102969;11503;0;0;280728;-177152;-18262;0;-3817;-19560;-218791;61937;20153;298;-22929;-25499;-2598;58;24189;-2885;-9214;52723;6836;59559;-11711;-12840;35007;-16530
BOFA MERRILL LYNCH;51255;b1;;C;3;SAO PAULO;SP;01/03/2014;7301;0;105889;-143634;302279;0;271836;-35071;-9058;0;0;3079;-41050;230785;135218;458;-123840;-26657;-10105;0;6135;-206596;-225386;5399;0;5399;-2171;0;3228;0
BANCO DA AMAZONIA S.A.;4902979;b1;;I;1;BELEM;PA;01/03/2014;83255;0;182188;0;146;291;265879;-52226;-88458;0;0;-14075;-154759;111120;126956;29600;-101848;-56709;-18970;0;122246;-144062;-42786;68334;680;69014;-59701;0;9313;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;;I;1;BELEM;PA;01/03/2014;216038;0;36544;0;0;4159;256742;-78441;-1;0;-352;-34421;-113216;143526;2245;10962;-44166;-42799;-9622;0;1904;-973;-82450;61076;-430;60646;-34864;-3014;22768;-6212
MERCEDES-BENZ;51262;b2;;C;3;SAO PAULO;SP;01/03/2014;193048;21986;1996;0;0;0;217030;-30819;-57286;-20617;0;-32613;-141334;75696;3;3934;-16399;-18369;-8278;0;29424;-8769;-18455;57241;-2308;54932;-17753;0;37180;0
MORGAN STANLEY;51413;b1;;C;3;SAO PAULO;SP;01/03/2014;0;0;175908;-11339;51699;0;216268;-100731;0;0;0;0;-100731;115536;46752;0;-52348;-14265;-9088;-3333;14990;-22363;-39654;75882;0;75882;-30375;0;45507;0
BONSUCESSO;50706;b1;;C;2;BELO HORIZONTE;MG;01/03/2014;190938;0;23719;-4159;1131;0;211629;-59922;-29;0;0;-33783;-93733;117897;1959;1343;-12299;-58578;-7963;2166;22173;-39777;-90975;26922;-229;26692;-9995;0;16697;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;;I;1;PORTO ALEGRE;RS;01/03/2014;169679;0;38414;0;0;322;208415;0;-85497;0;0;5648;-79849;128566;9970;0;-34968;-8282;-6107;0;3323;-4481;-40544;88022;220;88242;-35397;0;52845;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;;I;2;SAO PAULO;SP;01/03/2014;192093;0;9386;0;0;0;201478;-9878;0;0;-7;11081;1196;202674;25382;3929;-4967;-43699;-11623;0;1162;-88185;-118001;84673;-126;84546;-33696;-434;50417;0
PORTO SEGURO;51444;n1;;C;2;SAO PAULO;SP;01/03/2014;185656;0;3269;0;0;0;188925;-21645;0;0;0;-87462;-109107;79818;45769;26553;-6259;-48022;-11684;0;9625;-58749;-42767;37052;0;37052;-14270;-1046;21736;0
J.MALUCELLI;30881;b1;;C;2;CURITIBA;PR;01/03/2014;166907;0;18831;-89;6;0;185655;-80044;-1049;0;0;-17897;-98990;86665;2955;704;-8433;-46164;-5085;12476;741;-1938;-44744;41921;0;41921;-7904;0;34017;-10475
OMNI;50940;n1;;C;2;SAO PAULO;SP;01/03/2014;155383;7;31429;-4193;0;0;182625;-74067;-1379;-4;0;-44865;-120315;62310;2176;16551;-3598;-69513;-7003;10509;4967;-8324;-54234;8076;-1010;7067;2609;0;9676;0
BES;51482;b2;;C;3;SAO PAULO;SP;01/03/2014;58947;0;153426;-39622;2162;0;174913;-146288;-7358;0;0;-30;-153677;21236;15116;1581;-22946;-13177;-2432;163;35994;-12894;1405;22640;33;22673;-6489;-6132;10052;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;;I;3;SAO PAULO;SP;01/03/2014;40939;0;101910;28305;0;0;171154;-53576;-9283;0;-110850;-17556;-191264;-20110;10683;1537;-34110;-17254;-7770;-1914;206558;-65754;91976;71866;-153;71714;-27747;-3866;40100;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;;I;3;PORTO ALEGRE;RS;01/03/2014;74027;93109;7628;-6765;0;0;167999;0;-23374;-82669;0;-14482;-120526;47473;19896;36;-12997;-16697;-5244;0;8830;-5860;-12037;35436;243;35679;-14116;0;21562;0
DEUTSCHE;51183;b1;;C;3;SAO PAULO;SP;01/03/2014;27187;0;136684;-36209;36467;0;164129;-98088;-14572;0;0;3657;-109003;55126;71651;131;-64160;-27907;-6292;0;22320;-18164;-22422;32704;-27;32676;-15366;0;17310;0
HONDA;51396;b2;;C;3;SAO PAULO;SP;01/03/2014;160060;128;2648;0;0;0;162836;-64975;0;-27;0;-31749;-96751;66085;5093;18376;-3840;-29676;-6676;0;10323;-4720;-11120;54965;1;54965;-21963;0;33002;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;;I;3;BARUERI;SP;01/03/2014;54;160465;0;0;0;0;160519;0;-16993;-125873;0;-4381;-147247;13272;0;0;0;-4582;-1387;0;3073;-671;-3567;9705;218;9923;-3831;0;6092;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;;I;3;CURITIBA;PR;01/03/2014;121002;14043;14338;-2049;0;0;147334;-39419;-12282;-11485;0;8624;-54563;92771;2325;2;-10284;-10680;-3480;2;5445;-23340;-40010;52760;239;52999;-21820;-951;30228;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;;I;2;PORTO ALEGRE;RS;01/03/2014;4956;0;140454;0;0;0;145409;-140632;0;0;0;80;-140552;4858;0;0;-9162;41906;0;707;901;-39211;-4859;-1;0;-1;0;0;-1;0
BANCO FIDIS S/A;62237425;b2;;I;3;BETIM;MG;01/03/2014;125449;510;19710;-1159;0;0;144509;-85032;-8191;-359;0;-22266;-115848;28662;308;666;-4847;-10181;-2572;0;4493;-3398;-15532;13130;22361;35491;-14338;-424;20729;0
BARCLAYS;51705;b1;;C;3;SAO PAULO;SP;01/03/2014;593;0;147957;-10572;4352;0;142331;-96370;-199;0;0;117;-96453;45878;47159;0;-30824;-13145;-1129;62;11072;-11216;1979;47857;-3;47854;-18598;-53;29203;0
SOCIETE GENERALE;31859;b1;;C;3;SAO PAULO;SP;01/03/2014;163177;71503;81032;-205663;28025;0;138073;-19222;-11846;-61533;0;-38604;-131204;6869;4167;4406;-34652;-71624;-6813;-110;144035;-17333;22076;28945;734;29679;-5061;0;24618;0
GOLDMAN SACHS;51585;b2;;C;3;SAO PAULO;SP;01/03/2014;3788;0;122212;11674;0;0;137674;-67277;0;0;-1346;-19;-68642;69032;70279;0;-76510;-22174;-6649;0;20775;-11011;-25291;43741;510;44251;-17033;0;27218;0
SOFISA;31873;b1;;C;2;SAO PAULO;SP;01/03/2014;77905;13138;33608;2792;3349;0;130791;-64247;-3438;-12109;0;-8570;-88364;42427;191;2571;-11147;-11856;-3091;-6498;12037;-5860;-23652;18775;-915;17860;-5122;-6092;6645;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;;I;2;BRASILIA;DF;01/03/2014;46591;0;66687;0;0;17139;130417;-79983;0;0;0;607;-79376;51041;0;818;-16381;-7653;-3080;0;689;-7041;-32648;18392;1058;19451;0;0;19451;0
INDUSVAL;50531;b1;;C;2;SAO PAULO;SP;01/03/2014;78161;0;47718;-1499;0;0;124380;-90404;-15759;0;-5145;-13381;-124689;-309;8604;1363;-26270;-21296;-2945;2603;36007;-8261;-10195;-10504;-1681;-12185;4724;-2412;-9873;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;;I;1;ARACAJU;SE;01/03/2014;87581;0;31744;0;0;4390;123715;-52427;-1246;0;0;-5237;-58910;64806;12715;3450;-32487;-21644;-5199;269;951;-308;-42253;22553;-1135;21418;-8219;-1785;11415;-3382
PSA FINANCE;51365;b2;;C;3;SAO PAULO;SP;01/03/2014;74437;26322;25561;-5971;0;0;120348;-37863;-1060;-25325;0;-2977;-67226;53122;1398;5948;-9762;-11505;-3666;0;4013;-4295;-17870;35252;-87;35164;-12245;-685;22235;-7437
DACASA FINANCEIRA;51891;n1;;C;2;VITORIA;ES;01/03/2014;78032;0;40241;0;0;0;118273;-53660;0;0;0;-38750;-92411;25863;7993;5651;-3578;-36105;-5043;0;19589;-4028;-15522;10341;294;10634;-5171;0;5464;0
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;;I;2;BEBEDOURO;SP;01/03/2014;82974;0;25993;0;0;0;108967;-27849;-14019;0;0;-18033;-59902;49065;1207;772;-13934;-12666;-209;0;718;-2559;-26671;22394;200;22594;-313;-1179;21102;0
RENDIMENTO;51468;b1;;C;2;SAO PAULO;SP;01/03/2014;16978;0;6225;-374;85117;0;107946;-9970;-608;0;0;-10327;-20905;87041;7770;488;-27874;-34305;-4207;-161;1097;-25370;-82563;4478;967;5445;-1080;-1220;3145;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;;I;1;BELO HORIZONTE;MG;01/03/2014;99302;0;13280;-14624;0;0;97958;-16942;-27336;0;-2390;-15609;-62277;35681;9214;1357;-20377;-10663;-4172;0;21876;-10772;-13536;22145;-578;21567;-8522;-621;12425;0
BANCO TRIANGULO S.A.;17351180;b1;;I;2;UBERLANDIA;MG;01/03/2014;85579;0;10176;-557;0;0;95198;-25784;-1292;0;0;-20863;-47940;47258;6895;20767;-20285;-32307;-5032;1541;3029;-3969;-29362;17896;-95;17801;-4324;-1730;11747;-3900
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;;I;3;SAO PAULO;SP;01/03/2014;128517;25794;21069;-80911;0;0;94468;-32713;-36743;-21286;0;-19285;-110027;-15559;0;8555;-10224;-29021;-6044;0;87719;-4732;46253;30694;-2413;28281;-11744;0;16537;0
ORIGINAL;51781;b1;;C;2;SAO PAULO;SP;01/03/2014;52524;0;23898;13299;210;0;89930;-24905;-181;0;0;-16347;-41433;48498;1991;0;-24805;-15322;-2582;-65;28871;-12968;-24879;23618;2;23620;3840;-36595;-9135;0
INTERMEDIUM;51884;b1;;C;2;BELO HORIZONTE;MG;01/03/2014;72052;0;14423;0;0;0;86475;-31020;-105;0;0;-12593;-43718;42758;1511;1310;-7365;-28730;-2686;-253;613;-1226;-36826;5932;-360;5572;-2596;0;2975;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;;I;2;BLUMENAU;SC;01/03/2014;71151;0;13142;0;0;0;84294;-25404;-1006;0;0;-7451;-33861;50433;3567;2625;-13230;-21891;-70;0;168;-1035;-29866;20567;-24;20544;0;-1047;19497;0
BANCO CATERPILLAR S.A.;2658435;b2;;I;3;SAO PAULO;SP;01/03/2014;64593;3053;13584;44;0;0;81275;-16166;-11244;-3024;0;-30799;-61232;20042;902;1150;-7627;-4325;-2261;0;6917;-335;-5579;14463;-1028;13435;-5788;0;7647;0
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;;I;3;BARUERI;SP;01/03/2014;839;75397;3293;219;0;0;79748;-9402;-550;-57405;0;-875;-68231;11517;9;0;-4027;-3194;-804;0;1929;-103;-6192;5324;1407;6731;-2405;-94;4232;0
BANCO VOLVO BRASIL S.A.;58017179;b2;;I;3;CURITIBA;PR;01/03/2014;60812;17122;1731;0;0;0;79665;-6075;-11726;-14880;0;-5025;-37706;41959;81;2601;-7431;-7982;-2567;753;2193;-1903;-14256;27703;-213;27490;-10893;0;16597;0
INDUSTRIAL DO BRASIL;50988;b1;;C;2;SAO PAULO;SP;01/03/2014;54740;4908;12675;-3710;8515;0;77127;-33816;-7676;-4905;0;-4989;-51386;25741;1396;751;-11721;-5235;-2943;-476;11765;-55;-6517;19224;389;19613;-8181;0;11432;0
BBM;30207;b1;;C;2;SALVADOR;BA;01/03/2014;35657;0;24856;-2371;12415;0;70556;-44887;-9672;0;0;7027;-47532;23024;5958;9;-7804;-8687;-1818;4622;33132;-24581;831;23855;0;23855;-9615;0;14240;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;;I;1;PORTO ALEGRE;RS;01/03/2014;56133;0;14337;0;0;0;70471;0;-26648;0;0;-36926;-63574;6896;2053;201;-8676;-3297;-2188;0;123;-340;-12125;-5229;35073;29845;2179;0;32024;0
COOPERATIVA CENTRAL DE CRÉDITO DO ESTADO DE SÃO PAULO - SICOOB SÃO PAULO;63917579;b3C;;I;2;RIBEIRAO PRETO;SP;01/03/2014;0;0;67862;0;0;0;67862;-64494;0;0;0;0;-64494;3369;0;0;-654;-621;-4;2639;724;-65;2019;5387;0;5387;0;0;5387;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;;I;3;SAO PAULO;SP;01/03/2014;23238;0;84957;-42469;0;0;65725;-43374;-20761;0;-17738;-2513;-84387;-18662;904;224;-24346;-16053;-404;0;94562;-9615;45273;26611;-15;26596;-11313;0;15284;0
RODOBENS;51736;b1;;C;2;SAO PAULO;SP;01/03/2014;41059;17867;5849;839;0;0;65615;-18097;-3852;-13413;0;-8416;-43778;21837;5671;605;-2211;-5528;-2111;8567;4237;-7473;1757;23594;54;23648;-4711;-2306;16631;0
COOPERATIVA CENTRAL DE CRÉDITO E INVESTIMENTO DOS ESTADOS DO PARANÁ, SÃO PAULO E RIO DE JANEIRO - CENTRAL SICREDI PR/SP/RJ;80230774;b3C;;I;2;CURITIBA;PR;01/03/2014;2204;0;62918;0;0;0;65122;-62918;-4;0;0;0;-62921;2201;0;0;-7235;15433;0;308;623;-11329;-2200;1;1;0;0;0;0;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;;I;2;BRASILIA;DF;01/03/2014;51330;0;9196;0;0;0;60527;-25170;-213;0;0;-4005;-29389;31138;0;0;-6935;-5422;-38;0;230;-1423;-13588;17550;0;17550;0;0;17550;-3622
SOCOPA;50328;b1;;C;2;SAO PAULO;SP;01/03/2014;12595;0;16371;8518;22866;0;60350;-22116;-1894;0;0;-2385;-26395;33955;15628;3728;-14185;-21763;-3935;241;1304;-2836;-21817;12137;-12;12126;-4258;-408;7459;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;;I;2;BELO HORIZONTE;MG;01/03/2014;396;0;56522;26;0;2858;59802;-52516;-3733;0;0;184;-56064;3738;47;0;-5304;-2251;-5;4246;9485;-2051;4168;7906;0;7906;-8;0;7898;0
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;;I;2;FLORIANOPOLIS;SC;01/03/2014;1407;0;52988;0;0;20;54415;-55984;-230;0;0;14;-56199;-1785;10;0;-2342;-2333;-13;1915;5765;-158;2844;1059;0;1060;0;0;1060;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;;I;2;LUCAS DO RIO VERDE;MT;01/03/2014;46506;0;7505;0;0;0;54011;-5212;-21748;0;0;-12849;-39810;14201;6262;2110;-9343;-6232;-154;0;25193;-19990;-2155;12046;-5;12041;-951;0;11090;0
AGIPLAN FINANCEIRA S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO;13660104;n1;;I;2;PORTO ALEGRE;RS;01/03/2014;52255;0;1372;0;0;0;53627;-2637;0;0;0;-10894;-13532;40095;2;518;-1943;-15883;-2359;0;0;-8;-19673;20423;-278;20145;-8906;0;11238;0
JOHN DEERE;50071;b1;;C;3;INDAIATUBA;SP;01/03/2014;51878;0;1149;-198;0;0;52829;-6139;-16617;0;0;-11970;-34726;18103;9963;0;-6134;-4225;-3077;0;23801;-2;20327;38430;-72;38358;-15089;-527;22742;0
BANCO FORD S.A.;90731688;b2;;I;3;SAO PAULO;SP;01/03/2014;48642;0;3773;0;0;0;52415;-29090;0;0;0;6333;-22757;29658;0;0;-362;-4644;-1090;0;786;-606;-5916;23742;0;23742;-9485;0;14258;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;;I;2;MARINGA;PR;01/03/2014;40437;0;9532;0;0;4;49973;-11664;-4290;0;0;-9660;-25615;24358;9307;2986;-12616;-13678;-202;0;2920;-6231;-17514;6844;-50;6794;-916;0;5878;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;;I;2;NOVA PETROPOLIS;RS;01/03/2014;36365;0;12263;0;0;0;48628;-16731;-905;0;0;-8522;-26159;22470;5455;2940;-10726;-7585;-121;0;1467;-5722;-14292;8178;-183;7995;-441;0;7554;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;;I;2;SERTAOZINHO;SP;01/03/2014;33732;0;12573;-195;0;0;46111;-17144;-9303;0;0;-9839;-36287;9824;428;600;-4881;-7341;-34;0;6673;-7728;-12283;-2459;-11;-2470;-28;0;-2498;0
RENASCENCA DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA;62287735;n2;;I;2;SAO PAULO;SP;01/03/2014;0;0;45201;11;0;0;45212;-39415;0;0;0;0;-39415;5797;3626;0;-1325;-4192;-616;0;105;-114;-2517;3281;2;3283;-1336;0;1946;0
