Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k)
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;42795;324578;0;383591;-102316;0;0;605853;-409206;-48179;0;-21209;-57875;-536470;69383;72937;3396;-50996;-26393;-18488;-29892;151792;-4943;97412;166795;-7694;159101;-32136;-30110;96855;-52593
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;42795;640248;30113;33008;-106559;0;0;596810;-150956;-82788;-22776;0;-93315;-349835;246974;59180;13492;-454;-68707;-36727;0;125755;-150464;-57926;189048;-5344;183705;-73488;0;110217;0
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;42795;642887;144;88747;-151766;7818;0;587830;-379366;-21423;-138;0;-20538;-421465;166366;6106;3524;-56916;-224231;-12561;-7114;227182;-87127;-151136;15229;36278;51507;-17847;-26635;7025;0
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;42795;78314;0;864754;-393045;0;0;550023;-419386;-24110;0;-18691;-317;-462504;87519;102150;142;-151939;-45462;-29108;0;240347;-82828;33302;120821;-136;120684;-58515;-5278;56891;0
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;42795;357955;0;118519;62057;0;0;538530;-114661;-273596;0;-55029;38065;-405222;133308;18792;2189;-43664;-21408;-12832;0;543249;-380183;106142;239451;-29;239422;-106112;-1234;132076;0
BANCO IBM S.A. - PRUDENCIAL;1000081689;b2;S4;I;3;RIO DE JANEIRO;RJ;42795;38868;418016;32612;0;0;0;489496;-106956;0;-346310;0;-2957;-456222;33274;0;0;0;-9263;-1759;0;1607;-963;-10379;22895;0;22895;-32590;0;-9695;0
GMAC - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;42795;463107;1255;19932;0;0;0;484294;-254748;0;-921;0;-46570;-302240;182054;48991;19346;-28860;-106329;-18730;6387;29769;-28250;-77675;104378;820;105198;-41158;-7421;56619;0
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;42795;471897;0;9788;0;0;0;481686;-15158;0;0;0;-191604;-206762;274924;84951;75691;-31956;-165539;-43229;0;16372;-73354;-137063;137861;4;137865;-59891;0;77973;0
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;42795;311852;46396;169738;-63991;5760;0;469755;-241903;-39948;-35262;0;-24055;-341169;128587;10549;7064;-43403;-27079;-9610;5749;27026;-52569;-82272;46315;225;46540;-14128;-2188;30225;0
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;42795;33495;0;257490;22930;87140;0;401055;-200586;-76;0;0;39;-200623;200432;140257;1282;-126472;-36409;-14558;0;23241;-77215;-89875;110557;-697;109860;-50336;0;59524;0
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;42795;123780;0;269456;-1346;3042;0;394932;-80466;-127051;0;0;-80137;-287654;107278;158611;22028;-126946;-67807;-25389;0;184742;-217304;-72067;35210;502;35713;-91271;0;-55558;0
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S4;I;1;BELEM;PA;42795;328430;0;43233;0;546;2515;374724;-112774;-28;0;0;-12060;-124861;249863;2756;18112;-80295;-79948;-14147;0;3250;-11289;-161561;88302;412;88714;-46856;-7240;34618;0
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;42795;346275;0;28487;-5443;0;0;369319;-41970;-3246;0;-7;-87136;-132359;236960;55113;9347;-4838;-71585;-21274;0;9188;-73655;-97705;139256;644;139900;-62638;-705;76556;0
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;42795;270384;0;90794;-1469;0;0;359708;0;-149375;0;0;-52501;-201876;157832;7700;0;-46137;-10545;-9301;0;7780;-32258;-82762;75070;-89;74981;-33112;0;41868;0
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;42795;14916;0;202361;133313;1628;0;352218;-285377;-4945;0;0;-4167;-294489;57729;4620;0;-23642;-8885;-2368;-8819;318;-7373;-46150;11579;10;11589;-7408;-1579;2602;0
OMNI - PRUDENCIAL;1000080460;n1;S4;C;2;SAO PAULO;SP;42795;339228;2755;9844;20;0;0;351846;-80134;0;-1382;0;-79437;-160954;190893;9774;13959;-17213;-90377;-9882;82;20383;-106169;-179443;11450;-188;11262;4133;0;15394;0
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;42795;184390;0;89644;57965;565;0;332563;-170357;-4020;0;0;-204919;-379295;-46732;7256;1017;-83273;-90104;-6259;57;66031;-48949;-154225;-200957;12017;-188939;118304;-73975;-144610;0
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;S4;C;2;SAO PAULO;SP;42795;313332;0;8123;0;3;0;321458;-13264;0;0;0;-156316;-169580;151877;23526;28835;-46899;-57349;-13508;0;32248;-69861;-103007;48870;-6517;42353;-19186;-545;22622;0
COOPERATIVA CENTRAL DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUL E SUDESTE - CENTRAL SICREDI SUL/SUDESTE;87437687;b3C;S3;I;2;PORTO ALEGRE;RS;42795;7360;0;313154;0;0;0;320514;-313085;0;0;0;-8;-313093;7421;0;0;-4903;57891;0;0;421;-60830;-7421;0;0;0;0;0;0;0
