Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/09/2014;7931678;499358;526299;3556422;3349582;18;0;
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/09/2014;6399864;213452;325231;4608986;1246501;5695;0;
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/09/2014;5810515;507539;153546;1492125;2850855;0;806450;
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/09/2014;5782402;140458;30323;712176;1406757;0;3492688;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/09/2014;4802949;109862;445968;2269362;1977752;6;0;
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/09/2014;4760364;128361;651664;1385410;2594861;67;0;
BANCO DAYCOVAL S.A.;62232889;b1;I;2;;8;SAO PAULO;SP;01/09/2014;4735138;135858;122332;2433882;2030557;104;12404;
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/09/2014;4386239;665668;1523114;1938445;259007;5;0;
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/09/2014;4257242;43067;434291;599039;3011591;0;169254;
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/09/2014;3945729;780674;587725;1491096;1086228;5;0;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/09/2014;3859786;52826;909170;2358953;538835;2;0;
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/09/2014;3784040;4176;25481;296867;3457516;1;0;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/09/2014;3743743;905240;489850;1875167;473486;0;0;
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2014;3448505;179579;442534;2404359;421627;407;0;
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/09/2014;3312220;117394;69519;1748315;997987;39;378967;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/09/2014;3304870;970033;447874;1590930;296033;1;0;
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/09/2014;2864942;13071;342034;1116546;1237813;0;155477;
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/09/2014;2699842;0;8009;849344;1842487;1;0;
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/09/2014;2547682;12406;67503;423721;1201053;0;842999;
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/09/2014;2541223;0;0;0;2541223;0;0;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/09/2014;2511792;1012;16129;459663;861894;0;1173093;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/09/2014;2417343;96782;129900;1148045;1042615;0;0;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/09/2014;2104302;23979;120430;682126;1277644;124;0;
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/09/2014;2098414;332490;445747;1095046;225130;0;0;
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/09/2014;2092705;127425;351452;1378178;235313;338;0;
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/09/2014;1895649;474035;115339;223090;1083138;46;0;
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/09/2014;1895572;294397;424351;1130871;45706;247;0;
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/09/2014;1859296;102480;73785;1339952;343068;11;0;
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/09/2014;1762453;190843;121271;1064190;386149;0;0;
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/09/2014;1719314;191378;180906;933643;413086;301;0;
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/09/2014;1610735;40987;233665;490383;576728;0;268972;
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/09/2014;1498910;68663;33462;455146;941637;0;0;
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/09/2014;1442927;160920;111902;1062839;107189;77;0;
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/09/2014;1407294;228;95957;473103;820298;0;17709;
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/09/2014;1364117;905;11536;1041803;309874;0;0;
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/09/2014;1337031;7489;17239;315957;996346;0;0;
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/09/2014;1270218;20759;3806;139017;1106636;0;0;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/09/2014;1215201;0;38989;558300;617912;0;0;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/09/2014;1185940;2002;22508;251960;909469;1;0;
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/09/2014;1127295;2575;22411;660039;442267;2;0;
RODOBENS;51736;b1;I;2;;199;SAO PAULO;SP;01/09/2014;1125563;57179;292493;734012;41876;2;0;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/09/2014;1100158;46791;219379;589998;243990;0;0;
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/09/2014;1060198;7096;178377;723146;148090;3489;0;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/09/2014;977014;29452;190712;594655;162185;10;0;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/09/2014;939345;145955;73436;591878;128076;0;0;
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/09/2014;876110;40495;137256;686152;12207;0;0;
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/09/2014;774020;0;734;34097;739189;0;0;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/09/2014;754438;21623;83507;539092;110215;1;0;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/09/2014;738894;41919;31511;470169;195168;126;0;
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/09/2014;693877;69119;108850;305681;210227;0;0;
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/09/2014;630967;0;505283;97561;28120;4;0;
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/09/2014;625390;4562;65931;316930;237615;352;0;
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;I;3;;8;BARUERI;SP;01/09/2014;457673;9325;66900;280563;100869;16;0;
BANCO MODAL S.A.;30723886;b1;I;2;;8;RIO DE JANEIRO;RJ;01/09/2014;453847;16379;19468;124057;293943;0;0;
BANCO RANDON S.A.;11476673;b1;I;2;;8;CAXIAS DO SUL;RS;01/09/2014;448396;5846;65167;341766;35611;6;0;
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/09/2014;443517;10494;57036;219379;156606;3;0;
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;01/09/2014;430159;106360;12690;102754;208354;0;0;
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/09/2014;399285;23261;75567;241236;59186;35;0;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/09/2014;398746;36409;57019;305041;0;277;0;
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/09/2014;396544;81360;61048;190154;63924;58;0;
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/09/2014;376492;0;0;257399;119091;1;0;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/09/2014;374570;37399;33575;271366;32231;0;0;
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/09/2014;371422;40727;31844;253679;45154;18;0;
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/09/2014;362288;6783;21790;250921;82787;7;0;
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;01/09/2014;358410;0;0;105050;253360;0;0;
BANCO ABN AMRO S.A.;3532415;b1;I;3;;8;SAO PAULO;SP;01/09/2014;345773;0;0;4581;341192;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/09/2014;343883;58457;105505;137536;42100;286;0;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;01/09/2014;333545;0;0;49782;283763;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;01/09/2014;332618;36936;49369;107756;138458;100;0;
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/09/2014;332517;124226;95240;110783;2268;0;0;
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2014;330617;18941;31966;253940;25768;1;0;
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;;9;MARINGA;PR;01/09/2014;321761;109224;39373;114028;58971;165;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;01/09/2014;312427;31312;90711;190091;253;61;0;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;;9;FLORIANOPOLIS;SC;01/09/2014;305672;11974;42817;238705;12143;32;0;
BANCO TRICURY S.A.;57839805;b2;I;2;;8;SAO PAULO;SP;01/09/2014;305631;40145;59296;161124;45066;0;0;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/09/2014;293478;12387;63981;204231;12877;2;0;
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;I;3;;8;SAO PAULO;SP;01/09/2014;282339;0;47245;74480;160614;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;;9;GOIANIA;GO;01/09/2014;277962;5920;142036;126665;3331;11;0;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;01/09/2014;266406;34074;55546;79083;97498;205;0;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/09/2014;265570;106477;123866;34900;0;327;0;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/09/2014;258658;84154;65275;66877;42190;162;0;
SOCOPA;50328;b1;C;2;;199;SAO PAULO;SP;01/09/2014;257369;14045;13520;140229;89573;2;0;
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;I;2;;9;PORTO ALEGRE;RS;01/09/2014;257136;8383;247;37649;210857;0;0;
BRICKELL S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12865507;n1;I;2;;14;SAO PAULO;SP;01/09/2014;254489;0;7808;115031;131649;0;0;
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35571249;b3S;I;2;;9;JOAO PESSOA;PB;01/09/2014;251292;16883;46135;179516;8740;17;0;
SANTINVEST;50816;n1;C;2;;197;FLORIANOPOLIS;SC;01/09/2014;251194;38348;51781;152478;8579;8;0;
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;;14;SAO PAULO;SP;01/09/2014;247133;12633;102867;127916;3717;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;01/09/2014;241927;27286;57958;138311;18287;86;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5582619;b3S;I;2;;9;LONDRINA;PR;01/09/2014;238222;57888;30806;39367;110112;49;0;
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;I;2;;9;LONDRINA;PR;01/09/2014;234709;29606;66806;137724;546;28;0;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;;9;CHAPECO;SC;01/09/2014;233877;91243;42000;24621;75960;53;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;;9;CARLOS BARBOSA;RS;01/09/2014;226151;54056;68580;71464;31965;85;0;
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2014;224708;29524;17959;120539;56526;160;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/09/2014;224647;26105;60952;135685;1845;60;0;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DO LITORAL E NORTE CATARINENSE LTDA;74114042;b3S;I;2;;9;ITAJAI;SC;01/09/2014;201529;14160;53090;134232;0;47;0;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;I;2;;9;BELO HORIZONTE;MG;01/09/2014;200657;20031;29052;141292;10264;18;0;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;;5;VITORIA;ES;01/09/2014;193440;40612;54507;58460;39838;23;0;
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5883884;n1;I;3;;19;BARUERI;SP;01/09/2014;193121;3055;3742;98079;88245;1;0;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DO RIO DE JANEIRO - SICREDI RIO;72128440;b3S;I;2;;9;RIO DE JANEIRO;RJ;01/09/2014;192159;18505;42566;76349;54736;3;0;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, OUTROS PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO.;36900256;b3S;I;2;;9;CUIABA;MT;01/09/2014;190471;14449;41468;128240;6296;19;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/09/2014;184841;40516;44701;62384;37137;104;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;01/09/2014;182564;27715;56945;91471;6407;27;0;
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/09/2014;180273;11716;22648;121884;24003;22;0;
NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;74828799;b1;I;3;;8;PORTO ALEGRE;RS;01/09/2014;178315;105414;33572;39201;127;0;0;
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/09/2014;170538;151918;18098;500;0;23;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DOS VALES DO ITAJAÍ E ITAPOCÚ, DO LITORAL DE SANTA CATARINA E LITORAL SUL DO PARANÁ - SICOOB BLUCREDI SUL;3960819;b3S;I;2;;9;GUARATUBA;PR;01/09/2014;163021;68083;23378;31220;40296;44;0;
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3358914;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/09/2014;156074;13452;77803;63054;1739;26;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;;9;SANTA MARIA;RS;01/09/2014;154076;19839;24084;53893;56188;71;0;
FATOR;50122;b1;C;2;;199;SAO PAULO;SP;01/09/2014;151362;41344;0;25220;84797;1;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO BRANCO - SICREDI OURO BRANCO RS;87853206;b3S;I;2;;9;TEUTONIA;RS;01/09/2014;147486;35328;33286;34604;44213;55;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;;9;ERECHIM;RS;01/09/2014;145725;25159;38182;49237;33059;88;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E REGIÃO LTDA;4388688;b3S;I;2;;9;GOIANIA;GO;01/09/2014;144528;2084;27241;114000;1196;7;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUDOESTE DE MATO GROSSO - SICREDI SUDOESTE MT;32995755;b3S;I;2;;9;TANGARA DA SERRA;MT;01/09/2014;141954;10178;28956;50845;51899;75;0;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;01/09/2014;138461;6656;4291;127515;0;0;0;
GOLDMAN SACHS;51585;b2;C;3;;198;SAO PAULO;SP;01/09/2014;138113;0;0;0;138113;0;0;
BANCO RIBEIRAO PRETO S.A.;517645;b1;I;2;;8;RIBEIRAO PRETO;SP;01/09/2014;137520;2460;21088;52831;61140;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT/RO;70431630;b3S;I;2;;9;JUINA;MT;01/09/2014;136363;21717;47833;59654;7093;67;0;
COOPERATIVA DE CRÉDITO E DE INVESTIMENTO DE LIVRE ADMISSÃO FRONTEIRAS DO IGUAÇU E SUDESTE PAULISTA - SICREDI FRONTEIRAS PR/SC/SP;82527557;b3S;I;2;;9;CAPANEMA;PR;01/09/2014;135033;27296;36487;45640;25540;70;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;I;2;;9;ENCANTADO;RS;01/09/2014;134779;24657;31437;42090;36530;65;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;;9;RODEIO BONITO;RS;01/09/2014;133095;20953;37057;44732;30303;49;0;
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DA GRANDE CURITIBA E CAMPOS GERAIS - SICOOB SUL;5888589;b3S;I;2;;9;CURITIBA;PR;01/09/2014;131101;55953;22136;36652;16305;55;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;;9;SAO GABRIEL DA PALHA;ES;01/09/2014;130756;29100;48045;53479;82;50;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26408161;b3S;I;2;;9;DOURADOS;MS;01/09/2014;127732;19510;25945;47142;35021;115;0;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPRESÁRIOS DO VALE DO PARANHANA - ECOCREDI;11565109;b3S;I;2;;9;TRES COROAS;RS;01/09/2014;127056;4436;10383;3149;109074;14;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;;9;PALOTINA;PR;01/09/2014;122066;26402;45925;43755;5876;107;0;
BPN BRASIL BANCO MÚLTIPLO S.A.;61033106;b1;I;3;;8;SAO PAULO;SP;01/09/2014;121320;0;32610;64161;24550;0;0;
COOPERATIVA DE CRÉDITO DE LAJEADO - SICREDI VALE DO TAQUARI RS;91159764;b3S;I;2;;9;LAJEADO;RS;01/09/2014;120454;14067;32713;44876;28753;45;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;;9;VILHENA;RO;01/09/2014;119476;59224;9422;17057;33757;17;0;
MÁXIMA;50201;b1;C;2;;199;RIO DE JANEIRO;RJ;01/09/2014;117963;24074;26106;61039;6743;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTOS DA SERRA - SICREDI ALTOS DA SERRA RS/SC;92555150;b3S;I;2;;9;TAPEJARA;RS;01/09/2014;117858;29039;24962;36525;27286;45;0;
COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DE BLUMENAU E VALE DO ITAJAÍ LTDA – UNICRED BLUMENAU;73443863;b3S;I;2;;9;BLUMENAU;SC;01/09/2014;116170;7096;39969;63688;5399;18;0;
BANCO KEB DO BRASIL S.A.;2318507;b1;I;3;;2;SAO PAULO;SP;01/09/2014;114886;17055;2811;86339;8680;0;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO-SERRANA DO ESPÍRITO SANTO - SICOOB CENTRO-SERRANO;31804966;b3S;I;2;;9;SANTA MARIA DE JETIBA;ES;01/09/2014;114592;24128;37211;53162;36;55;0;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE;94433109;b3S;I;2;;9;PORTO ALEGRE;RS;01/09/2014;112918;7618;30516;74777;0;7;0;
AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S.A.;5940203;n1;I;1;;30;RIO DE JANEIRO;RJ;01/09/2014;109438;1154;16914;65704;25663;3;0;
