Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/09/2014;6156653;723572;1760592;1686864;897418;147267;68823;36700;12505;5092;817819;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/09/2014;6066213;542348;2347390;1576305;975250;494460;14289;19705;7008;89458;0;
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/09/2014;5264808;112363;3127105;1481720;452502;26947;16388;14388;11058;22337;0;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/09/2014;5104928;0;2579780;1448087;612576;243760;20583;25534;12917;161692;0;
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/09/2014;4979492;1603765;977557;1154138;1014897;86170;33072;21341;4825;83727;0;
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/09/2014;4580280;81030;1809303;1504290;197878;143509;96520;49698;58786;260300;378967;
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/09/2014;4495685;1358768;1656435;1031084;233053;81263;25178;13207;10386;86312;0;
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/09/2014;4399287;2210626;1177490;400011;221939;99234;60450;76242;29135;124159;0;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/09/2014;4050303;715196;1228103;1447564;462209;61254;32849;18101;17850;67178;0;
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/09/2014;3884954;25986;3425402;71944;53133;36175;37481;31934;58005;144894;0;
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/09/2014;3784040;1999509;642894;606972;123487;356119;31676;599;6891;15893;0;
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/09/2014;3766344;757036;1208119;930305;635670;56685;24065;19370;15848;119246;0;
BANCO CSF S.A.;8357240;b2;I;3;;8;SAO PAULO;SP;01/09/2014;3746735;0;2946299;105285;83295;102066;91551;72277;67733;278228;0;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/09/2014;3526852;857523;1270734;885275;290741;79699;3464;66486;53221;19709;0;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/09/2014;3465599;332382;2301828;430221;276319;75972;12258;6272;5419;24929;0;
J.MALUCELLI;30881;b1;C;2;;199;CURITIBA;PR;01/09/2014;3345146;0;2601772;572311;60206;32174;14840;10078;9570;44196;0;
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/09/2014;3290296;9662;1689120;521655;773516;88000;46995;38267;23433;99649;0;
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/09/2014;3197971;1034337;1635987;247696;67498;32115;20932;27636;15382;116389;0;
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;;8;BELEM;PA;01/09/2014;3018038;0;2704668;29925;84216;20911;23369;18692;19330;116927;0;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/09/2014;2971899;740607;1609965;472708;26945;60070;10612;5084;6976;38931;0;
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/09/2014;2948966;69383;1375931;992743;155037;111009;50606;21449;4792;12538;155477;
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/09/2014;2547752;1340284;156873;168382;39188;0;25;0;0;0;842999;
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/09/2014;2541264;2429291;111973;0;0;0;0;0;0;0;0;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/09/2014;2511846;1179143;159170;440;0;0;0;0;0;0;1173093;
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/09/2014;2291951;0;710279;1160844;329728;36483;10624;13086;13237;17670;0;
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/09/2014;2183594;142164;1758725;93047;58378;14186;11724;10193;9802;85374;0;
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/09/2014;2131278;334967;698758;982213;55205;18171;8346;14324;1623;17669;0;
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;01/09/2014;1982516;0;1360829;99814;60989;70618;63124;49321;47177;230642;0;
BONSUCESSO;50706;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2014;1939867;242;1412415;224172;131494;57420;11275;10232;9437;83180;0;
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/09/2014;1915568;0;450982;545701;859251;11515;3878;13844;12371;18026;0;
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/09/2014;1892001;0;1460978;348169;37937;14999;4651;3364;2481;19421;0;
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/09/2014;1727693;740944;904476;58045;6068;3957;0;11248;540;2416;0;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/09/2014;1684879;645663;545071;313212;82018;27446;20084;2241;23106;26038;0;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/09/2014;1654820;0;1138174;81855;69458;43174;38307;31707;31911;220234;0;
RODOBENS;51736;b1;I;2;;199;SAO PAULO;SP;01/09/2014;1633478;690184;761151;70306;49826;19737;10914;7571;4801;18987;0;
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/09/2014;1616829;1290358;0;493;37322;19684;0;0;0;0;268972;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/09/2014;1530613;0;1227685;186881;54599;20601;8992;6153;4059;21643;0;
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/09/2014;1530487;1234899;245793;0;10136;39658;0;0;0;0;0;
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/09/2014;1527228;229887;701116;365939;145007;10924;1;34221;7627;14796;17709;
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/09/2014;1427843;230556;818023;191453;73463;21724;9389;22651;23643;36942;0;
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/09/2014;1402555;544333;656821;141082;24004;13323;12683;2246;913;7150;0;
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/09/2014;1364117;0;766989;328186;163585;104786;357;149;0;66;0;
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/09/2014;1320120;124326;552458;271010;244812;30870;13239;15631;12237;55536;0;
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;01/09/2014;1295630;120985;1012278;47365;44000;22202;10013;7037;3710;28042;0;
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;01/09/2014;1275430;0;817964;39951;68331;42497;59146;29681;32677;185183;0;
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/09/2014;1275390;1217802;57588;0;0;0;0;0;0;0;0;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/09/2014;1215222;783888;0;375576;12007;43751;0;0;0;0;0;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/09/2014;1185940;600612;299095;140732;88453;7040;7889;10696;132;31291;0;
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;;9;BRASILIA;DF;01/09/2014;1117915;915179;144320;16844;12921;6910;2378;5073;3469;10821;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;01/09/2014;1111182;0;103772;379754;486927;59035;22873;9768;3773;45280;0;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;01/09/2014;1049484;331210;505331;35387;15044;7300;142169;3593;2607;6844;0;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;;5;VITORIA;ES;01/09/2014;1013056;37808;654697;194483;59915;13687;10228;12772;3990;25476;0;
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/09/2014;1001620;236908;299943;216902;208692;34022;2214;534;499;1907;0;
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;01/09/2014;997547;0;147939;374990;215726;89828;35331;25102;24133;84498;0;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/09/2014;956674;461527;149745;163320;129303;16015;7826;1773;1822;25345;0;
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/09/2014;881661;4186;239778;457543;57359;69073;30027;3436;219;20040;0;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;01/09/2014;866924;0;262540;475392;55444;32516;5823;5408;4223;25578;0;
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;;9;CAMPO MOURAO;PR;01/09/2014;808101;52443;461867;250262;24677;7870;5694;2491;832;1964;0;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/09/2014;773901;61379;575146;124712;7626;1496;572;495;412;2062;0;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/09/2014;769719;0;293051;375105;48217;25931;8911;3952;1621;12931;0;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/09/2014;761969;267486;125267;199319;97735;2646;6585;5777;8047;49108;0;
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/09/2014;693941;66537;109671;385228;132504;0;0;0;0;1;0;
BANCO A.J. RENNER S.A.;92874270;b1;I;2;;8;PORTO ALEGRE;RS;01/09/2014;664513;0;570146;43018;16509;8223;4786;3928;3152;14750;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/09/2014;654217;0;130329;181586;260446;44133;13093;6626;1894;16111;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/09/2014;649898;0;167825;145989;251173;46187;9587;9087;3147;16903;0;
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/09/2014;649265;10490;119415;67050;45349;31159;122351;120729;11757;120965;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PLANALTO   SICREDI PLANALTO RS/SC;88038260;b3S;I;2;;9;CRUZ ALTA;RS;01/09/2014;606864;0;45697;241275;286440;18216;2971;1511;498;10256;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;01/09/2014;587261;226;129229;289242;104126;15164;6048;9868;3356;30003;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;;9;GOIANIA;GO;01/09/2014;561652;3;245055;241124;55865;4356;3660;1022;928;9639;0;
DACASA FINANCEIRA;51891;n1;C;2;;197;VITORIA;ES;01/09/2014;552210;0;365948;28180;18313;14496;15305;14535;13995;81438;0;
COOPERATIVA DE CRÉDITO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES - SICOOB CREDICOONAI.;53923116;b3S;I;2;;9;RIBEIRAO PRETO;SP;01/09/2014;550019;87;486364;20760;9384;5056;16490;2136;84;9660;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;I;2;;9;SORRISO;MT;01/09/2014;534947;0;41677;122063;310718;29382;2369;6726;3928;18083;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26408161;b3S;I;2;;9;DOURADOS;MS;01/09/2014;530662;0;100122;193107;191102;22780;4704;8466;1747;8634;0;
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;;8;GUARULHOS;SP;01/09/2014;521531;226;1890;219756;239593;15376;7754;5690;5502;25745;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;;9;PALOTINA;PR;01/09/2014;516288;0;119641;316915;46629;15606;4653;2092;2076;8677;0;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;;9;CHAPECO;SC;01/09/2014;516042;12887;271926;158201;40309;18383;2828;855;1281;9372;0;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/09/2014;499919;105718;140995;152084;71881;5831;1004;1681;1495;19230;0;
BANCO MODAL S.A.;30723886;b1;I;2;;8;RIO DE JANEIRO;RJ;01/09/2014;490633;0;199004;196620;93916;1094;0;0;0;0;0;
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35571249;b3S;I;2;;9;JOAO PESSOA;PB;01/09/2014;477571;29210;404575;10726;15998;2931;2145;1984;892;9111;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;;9;ERECHIM;RS;01/09/2014;464938;0;102892;208714;130758;9600;2517;2322;944;7192;0;
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;I;3;;8;BARUERI;SP;01/09/2014;457673;130379;117399;173979;28689;3213;598;1032;207;2177;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;;9;SAO GABRIEL DA PALHA;ES;01/09/2014;455366;8;240781;148800;41901;7547;1364;1799;970;12196;0;
BANCO RANDON S.A.;11476673;b1;I;2;;8;CAXIAS DO SUL;RS;01/09/2014;449502;38887;346764;46046;15479;348;146;1658;94;80;0;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;;9;FLORIANOPOLIS;SC;01/09/2014;442596;0;240620;153729;19755;3620;16835;3744;1057;3237;0;
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;01/09/2014;437588;357478;29158;50707;31;24;15;13;24;137;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;01/09/2014;436095;2;232663;149649;17304;16860;3283;1136;6251;8946;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;;9;CARLOS BARBOSA;RS;01/09/2014;424161;0;95266;102916;182565;24258;8218;4898;928;5112;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;I;2;;9;CANARANA;MT;01/09/2014;419649;0;26850;142738;207597;22354;2931;3619;967;12593;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;01/09/2014;407408;0;348496;35672;16064;2089;1084;418;618;2968;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;I;2;;9;ITAQUI;RS;01/09/2014;405459;0;44889;58873;198489;85751;5735;2293;1227;8202;0;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/09/2014;401166;147;108620;247584;33654;2536;1527;612;1217;5269;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;;9;SANTA MARIA;RS;01/09/2014;400719;0;75076;128980;163658;13420;7510;3159;1567;7348;0;
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;I;2;;9;LONDRINA;PR;01/09/2014;396887;0;185980;172698;25508;4652;3773;1521;262;2493;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUARIBA;44469161;b3S;I;2;;9;GUARIBA;SP;01/09/2014;396636;1375;385750;6631;274;114;100;288;627;1477;0;
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/09/2014;391308;0;298380;49337;17699;3412;7707;4451;1726;8595;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO JURUENA - SICREDI UNIVALES MT/RO;70431630;b3S;I;2;;9;JUINA;MT;01/09/2014;383525;0;51756;237057;70089;13343;2289;2493;632;5866;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/09/2014;381568;21;236591;104816;15134;11407;1273;852;5430;6044;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUDOESTE DE MATO GROSSO - SICREDI SUDOESTE MT;32995755;b3S;I;2;;9;TANGARA DA SERRA;MT;01/09/2014;378946;0;63400;207805;68142;17783;4488;2528;4357;10442;0;
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/09/2014;376492;368855;0;4890;2746;0;0;0;0;0;0;
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;;9;MARINGA;PR;01/09/2014;376300;4866;68177;251681;25907;14331;2119;949;428;7842;0;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DO LITORAL E NORTE CATARINENSE LTDA;74114042;b3S;I;2;;9;ITAJAI;SC;01/09/2014;372266;0;215557;122815;18025;4997;2329;2886;664;4995;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24795049;b3S;I;2;;9;RIO VERDE;GO;01/09/2014;368836;0;0;267562;91198;7463;463;687;60;1403;0;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, OUTROS PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO.;36900256;b3S;I;2;;9;CUIABA;MT;01/09/2014;367580;0;258178;70283;25594;3868;515;790;167;8186;0;
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/09/2014;366892;2034;158117;122023;61966;3316;3673;7142;4396;4226;0;
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;01/09/2014;358611;0;271131;46289;1670;18301;0;0;0;21220;0;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;;9;PONTA GROSSA;PR;01/09/2014;357706;50;62793;225375;42942;12051;3252;2604;1754;6885;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;;9;RODEIO BONITO;RS;01/09/2014;353708;0;89451;95345;136216;15075;7442;3157;917;6104;0;
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE BELO HORIZONTE E CIDADES PÓLO DE MINAS GERAIS LTDA.;42898825;b3S;I;2;;9;BELO HORIZONTE;MG;01/09/2014;350364;1085;109776;110126;90295;34999;1815;409;769;1089;0;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS NOROESTE DO RIO GRANDE DO SUL - SICREDI NOROESTE RS;89049738;b3S;I;2;;9;TRES DE MAIO;RS;01/09/2014;350350;0;64881;70834;121108;72142;12139;3767;966;4513;0;
