Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO VALE DO VINHO - SICOOB VIDEIRA/SC;81016131;b3S;I;2;;9;VIDEIRA;SC;01/09/2014;77846;523;6325;11600;6254;2254;1414;0;28369;58;2930;10113;10018;4599;2910;0;30628;0;0;0;0;0;0;4364;4364;23;11364;508;0;0;0;0;11895;0;0;0;0;0;0;0;0;92;12;0;0;0;209;0;313;0;1;3;3;0;0;0;7;0;417;1852;0;0;0;0;2269;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUL DE MATO GROSSO - SICREDI SUL MT;26549311;b3S;I;2;;9;RONDONOPOLIS;MT;01/09/2014;76928;583;3299;8138;10614;417;0;0;23051;47;811;2209;3407;459;0;0;6932;722;13402;24208;0;0;0;0;38333;194;5940;523;0;0;0;0;6657;0;0;0;0;0;0;0;0;0;65;0;0;0;0;120;185;0;7;21;29;0;0;0;57;0;0;1714;0;0;0;0;1714;0;0;0;0;0;0;0;0;0
COOPERATIVA CENTRAL DE CREDITO DE SANTA CATARINA-SICOOB CENTRAL SC;80160260;b3C;I;2;;9;FLORIANOPOLIS;SC;01/09/2014;76131;0;30688;36746;830;5;0;0;68269;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;5;0;0;0;0;688;1704;0;2392;0;379;970;2449;1625;0;0;5424;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ITAIPU SICOOB CREDITAIPU;81014060;b3S;I;2;;9;PINHALZINHO;SC;01/09/2014;75798;82;1501;4981;15545;2200;148;0;24457;54;2749;8568;13258;5132;277;0;30038;0;0;0;0;0;0;1352;1352;84;9633;1139;2;0;0;0;10858;0;0;0;0;0;0;0;0;33;101;2187;251;13;0;0;2586;0;0;0;0;0;0;0;0;0;0;6447;61;0;0;0;6508;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO NORTE DO PARANÁ - SICOOB ALIANÇA;6174009;b3S;I;2;;9;APUCARANA;PR;01/09/2014;75301;509;3751;18695;16307;516;54;0;39832;38;554;1266;1368;4;0;0;3230;0;0;0;0;0;0;2706;2706;379;25214;892;0;0;0;0;26485;0;0;0;0;0;0;0;0;174;628;652;448;0;0;0;1902;0;0;0;0;0;0;0;0;0;1019;27;50;50;0;0;1146;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS LITORÂNEA;85291086;b3S;I;2;;9;JACINTO MACHADO;SC;01/09/2014;75131;161;2077;4181;4782;609;50;0;11861;102;4652;8717;11348;2783;322;0;27925;0;0;0;0;0;0;1485;1485;340;24045;1754;0;0;0;0;26138;0;0;0;0;0;0;0;0;29;190;93;104;32;0;0;448;0;0;0;0;0;0;0;0;0;2238;5037;0;0;0;0;7275;0;0;0;0;0;0;0;0;0
OURINVEST;51901;b2;C;2;;198;SAO PAULO;SP;01/09/2014;74907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3403;71170;335;0;0;0;0;74907;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO ALTO URUGUAI CATARINENSE - SICOOB - CREDIAUC/SC;78840071;b3S;I;2;;9;CONCORDIA;SC;01/09/2014;74880;376;4922;18177;14411;22;0;0;37908;100;4000;5070;6143;1762;285;0;17359;0;0;0;0;0;0;3009;3009;80;9124;617;0;0;0;0;9821;0;0;0;0;0;0;0;0;16;237;361;644;157;6;0;1422;0;0;0;0;0;0;0;0;0;85;4963;227;86;0;0;5360;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO PARQUE DAS ARAUCÁRIAS PR/SC - SICREDI PARQUE DAS ARAUCÁRIAS PR/SC;82065285;b3S;I;2;;9;MARIOPOLIS;PR;01/09/2014;72952;563;4266;9532;10529;1241;225;0;26357;67;633;1563;2289;436;2;0;4991;3631;12367;10047;118;0;0;0;26162;238;11251;832;0;0;0;0;12321;0;0;0;0;0;0;0;0;0;1;0;0;0;0;181;182;0;0;0;0;0;0;0;0;0;1443;1497;0;0;0;0;2940;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA E DO CIRCUITO DO OURO LTDA. - SICOOB CREDIMEPI;1644264;b3S;I;2;;9;JOAO MONLEVADE;MG;01/09/2014;72835;497;10012;13996;15068;4691;1355;0;45619;54;1424;3342;4181;512;0;0;9514;0;0;0;0;0;0;3107;3107;101;10975;704;0;0;0;0;11781;0;0;0;0;0;0;0;0;107;318;453;368;193;544;0;1983;15;133;350;333;0;0;0;831;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
