Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;TCR pré;TCR pós;TRFC pré;TRFC pós;Total não Individualizado;Total Exterior
DAYCOVAL;51987;b1;C;2;S3;199;SAO PAULO;SP;dez/19;24.596.323;20.005.391;2.984;0;139.601;0;64.592;2.086.420;332.412;224.994;46;0;0;0;715.855;0;0;0;0;1.744;1.022.284
PAN;31323;b1;C;2;S3;199;SAO PAULO;SP;dez/19;23.471.031;22.737.560;119.163;0;0;0;0;265.029;0;0;242.987;48.741;0;0;49.148;0;0;0;0;8.404;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;S3;8;SAO PAULO;SP;dez/19;22.062.929;17.866.338;0;161.989;65.736;0;0;3.967.873;0;0;0;0;0;0;994;0;0;0;0;0;0
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;dez/19;17.654.563;11.952.425;0;505;0;0;4.556.936;1.134.594;0;0;0;0;0;0;0;0;0;0;0;10.104;0
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;dez/19;17.551.442;13.089.079;0;668.613;1.138.614;0;0;2.480.468;13.254;0;0;0;0;0;161.388;0;0;0;0;27;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;dez/19;17.199.619;5.567.250;115.654;119.407;201.803;0;0;7.473.607;12.547;0;0;470.837;0;6.555;939.551;0;0;0;0;2;2.292.405
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;dez/19;13.654.913;10.024.750;0;1.604;0;0;0;3.628.476;82;0;0;0;0;0;0;0;0;0;0;0;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;dez/19;13.529.648;8.263.845;56.093;2.885.804;517.457;0;0;0;775.295;0;504.786;42.823;0;72.516;408.484;0;2.538;0;0;7;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;dez/19;12.571.319;10.106.536;231.682;871.319;1.089.769;0;0;34.153;237.860;0;0;0;0;0;0;0;0;0;0;0;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;dez/19;11.913.943;10.157.935;469;208.922;471.689;0;345.429;687.524;0;0;0;0;0;0;0;0;41.926;0;0;48;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;dez/19;10.938.682;7.659.959;26.301;283.779;70;0;1.287.144;505.862;0;23;1.133.153;0;0;42.014;0;0;0;0;0;377;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;dez/19;10.709.353;9.696.460;0;0;0;0;15.632;333.537;0;0;0;0;0;0;66.321;0;0;0;0;2.097;595.306
NU PAGAMENTOS S.A.;18236120;n4;I;2;S4;41;SAO PAULO;SP;dez/19;10.570.007;10.420.725;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149.282;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;dez/19;10.478.803;3.106.305;8.006;0;0;0;0;2.016.296;0;1.889.852;9.055;0;0;0;0;0;0;0;0;292;3.448.996
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;dez/19;10.376.763;9.289.342;143;30.049;0;0;1.057.100;0;0;0;0;0;0;0;0;0;0;0;0;129;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;dez/19;10.291.401;10.291.400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;dez/19;10.101.945;9.889.870;0;209.793;0;0;0;0;2.283;0;0;0;0;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;dez/19;10.098.284;10.091.828;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.457;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;dez/19;9.600.758;8.580.364;0;101.705;0;0;0;737.558;10.468;0;0;170.159;0;0;0;0;0;0;0;504;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;dez/19;8.172.572;6.240.430;0;191.452;214.569;0;2.290;1.451.514;72.255;0;0;0;0;0;0;0;0;0;0;60;0
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;dez/19;8.028.625;8.027.561;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.064;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;dez/19;7.353.536;7.353.536;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;dez/19;7.209.762;3.957.133;0;0;0;0;0;1.187.887;0;0;5.822;0;0;0;1.949.789;0;0;0;0;773;108.359
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;dez/19;5.990.171;5.990.170;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;dez/19;5.915.097;5.789.395;0;27.579;32.007;0;0;62.368;3.747;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;dez/19;5.383.481;5.378.612;0;0;334;0;90;0;0;0;4.390;0;0;0;0;0;0;0;0;54;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;dez/19;4.940.422;4.321.752;0;524.515;0;0;0;0;83.184;0;10.970;0;0;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;dez/19;4.869.218;3.928.671;111.989;0;0;0;204.695;598.677;5.091;0;0;237;0;0;0;0;0;0;0;1.202;18.656
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;dez/19;4.853.537;4.808.946;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;44.591;0
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;dez/19;4.756.329;2.211.093;259.878;0;0;0;2.278.886;5.875;0;0;0;0;0;0;0;0;0;0;0;597;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;dez/19;4.552.636;74.070;0;0;0;890.992;0;2.011.035;0;0;0;1.185.969;0;0;0;0;0;0;0;0;390.571
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;dez/19;4.504.660;1.433.489;104.076;1.114.698;0;0;73;4.880;671.948;5.313;220.720;113.751;0;9.904;825.808;0;0;0;0;0;0
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;dez/19;4.240.125;2.623.821;545.398;23.627;4.918;0;1.916;930.119;0;0;1.107;0;0;0;55.216;53.797;0;0;0;205;0
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;dez/19;4.166.459;445.302;0;0;0;0;3.000;2.132.908;0;0;0;9.072;0;30.446;324.289;0;0;0;0;0;1.221.442
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;dez/19;4.150.342;4.150.325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;dez/19;4.027.418;1.220.044;0;0;0;0;0;2.536.358;0;0;0;29.953;0;0;178.030;0;0;0;0;16;63.017
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;dez/19;3.985.061;193.448;0;0;0;0;0;156.219;0;3.635.394;0;0;0;0;0;0;0;0;0;0;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;dez/19;3.917.255;3.917.255;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;dez/19;3.603.394;1.917.476;344.107;74.549;0;0;436.009;636.446;95.746;309;17.353;0;0;0;81.380;0;0;0;0;20;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;dez/19;3.551.762;1.695.964;13.642;23.236;0;0;10.783;1.357.813;13.574;0;10.445;85.180;0;0;288.016;0;0;0;0;2;53.105
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;dez/19;3.537.890;3.495.164;0;0;0;0;1.506;19.485;0;0;21.026;0;0;0;0;0;0;0;0;709;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;dez/19;3.442.723;3.419.224;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.498;0
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;dez/19;3.434.072;1.812.339;0;0;0;0;220.490;1.065.184;0;0;0;0;0;0;135.543;0;0;0;0;10;200.507
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;dez/19;3.284.196;2.348.586;6.586;1.122;0;0;0;927.747;151;0;0;0;0;0;0;0;0;0;0;4;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;dez/19;3.234.910;2.726.549;161.100;1.424;0;0;0;345.485;0;0;0;0;0;0;0;0;0;0;0;351;0
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;dez/19;3.147.086;3.142.721;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.364;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;dez/19;2.844.441;2.785.640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58.801;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;dez/19;2.783.836;2.248.239;381.788;334;0;0;0;98.712;0;0;1.051;0;0;0;53.482;0;0;0;0;230;0
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;dez/19;2.736.147;1.634.896;0;0;0;0;0;1.101.250;0;0;0;0;0;0;0;0;0;0;0;0;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;dez/19;2.720.251;1.363.382;2.183;0;0;0;2.296;1.322.420;104;0;0;0;0;0;29.863;0;0;0;0;3;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;dez/19;2.619.191;1.668.341;0;684;0;0;39.412;13.159;547.901;0;4.242;21;0;0;202.379;0;0;0;0;84;142.968
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;dez/19;2.447.574;1.910.279;268.788;0;0;0;0;267.645;0;0;0;0;0;825;0;0;0;0;0;38;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;dez/19;2.344.051;1.739.591;42.499;164;0;0;200.408;361.377;0;0;0;0;0;0;0;0;0;0;0;13;0
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;dez/19;2.333.778;2.314.285;0;0;0;0;0;18.776;0;0;0;0;0;0;0;0;0;0;0;717;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;dez/19;2.264.099;504.904;0;0;0;0;1.623.753;135.442;0;0;0;0;0;0;0;0;0;0;0;0;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;S3;25;BRASILIA;DF;dez/19;2.149.635;309.640;1.812.147;0;0;0;0;0;0;0;0;27.845;0;0;0;0;0;0;0;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;dez/19;2.135.641;1.433.861;155.851;0;0;0;0;545.909;0;0;0;0;0;0;0;0;0;0;0;19;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;dez/19;2.075.744;500.629;0;0;0;0;0;1.575.115;0;0;0;0;0;0;0;0;0;0;0;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;dez/19;2.039.583;57.764;0;0;0;0;0;201.886;0;0;0;0;0;0;1.779.932;0;0;0;0;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;dez/19;2.026.118;1.142.525;0;0;0;0;0;389.515;0;494.078;0;0;0;0;0;0;0;0;0;0;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;dez/19;1.998.643;1.173.905;45.251;287.588;74.196;0;0;0;350.060;0;18.850;975;0;34.957;12.862;0;0;0;0;0;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;dez/19;1.970.684;1.584.864;0;33.536;10.374;0;0;334.365;2.813;0;0;0;0;0;0;0;0;0;0;4.732;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;dez/19;1.942.410;1.620.931;55.943;0;0;0;0;265.519;0;0;0;0;0;0;0;0;0;0;0;17;0
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;dez/19;1.876.022;1.876.022;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;dez/19;1.809.979;917.783;0;0;0;0;0;207.260;0;0;0;0;0;0;0;0;0;0;0;0;684.936
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;dez/19;1.763.988;1.489.137;0;112.529;0;0;4.685;132.374;0;0;0;0;0;0;25.262;0;0;0;0;0;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DE FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;S5;9;BRASILIA;DF;dez/19;1.749.685;100.642;1.649.036;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;0
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;dez/19;1.665.390;1.663.546;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.843;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;dez/19;1.637.728;1.169.440;7.534;271;0;0;0;460.238;228;0;0;0;0;0;0;0;0;0;0;17;0
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;dez/19;1.634.736;548.777;0;0;0;0;0;0;0;0;0;0;0;0;1.085.959;0;0;0;0;0;0
BANCO DIGIO S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;dez/19;1.613.769;1.609.454;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.314;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;dez/19;1.597.895;728.330;0;0;0;0;0;838.104;0;0;31.455;0;0;0;0;0;0;0;0;6;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;dez/19;1.596.874;1.120.491;0;0;0;0;39.965;436.418;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SERRO AZUL – SICREDI UNIÃO RS;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;dez/19;1.589.594;1.041.005;69.461;1.605;0;0;0;477.510;0;0;0;0;0;0;0;0;0;0;0;14;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;dez/19;1.537.427;515.042;0;0;0;121.641;0;853.605;0;0;0;0;0;0;0;0;0;0;0;0;47.139
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;dez/19;1.530.013;544.919;0;7.843;23.610;0;481;514.291;0;0;0;0;0;0;438.869;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;dez/19;1.509.860;1.217.944;0;0;0;0;0;291.897;0;0;0;0;0;0;0;0;0;0;0;19;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;I;2;S4;9;ERECHIM;RS;dez/19;1.481.429;830.010;85.344;0;0;0;0;566.067;0;0;0;0;0;0;0;0;0;0;0;9;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;dez/19;1.472.108;1.084.090;26.896;0;0;0;0;361.107;0;0;0;0;0;0;0;0;0;0;0;16;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;dez/19;1.471.592;437.616;116.023;0;0;0;0;917.939;0;0;0;0;0;0;0;0;0;0;0;14;0
BANCO A.J. RENNER S.A.;92874270;b1;I;3;S4;8;PORTO ALEGRE;RS;dez/19;1.438.920;1.408.198;0;0;0;0;0;30.706;0;0;0;0;0;0;0;0;0;0;0;16;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;S4;9;CAMPO MOURAO;PR;dez/19;1.408.242;1.403.673;0;0;0;0;0;0;0;0;0;0;0;4.569;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO – SICREDI PLANALTO RS/MG;88038260;b3S;I;2;S4;9;CRUZ ALTA;RS;dez/19;1.390.657;827.947;19.730;0;0;0;0;536.551;0;0;0;0;0;6.421;2;0;0;0;0;5;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;dez/19;1.376.371;1.293.201;30.881;0;0;0;0;52.287;0;0;0;0;0;0;0;0;0;0;0;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;dez/19;1.371.133;536.873;76.074;0;0;0;0;757.656;0;0;0;0;0;511;0;0;0;0;0;19;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;dez/19;1.343.663;1.143.730;0;0;0;0;76.452;123.481;0;0;0;0;0;0;0;0;0;0;0;0;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;I;2;S5;9;BELO HORIZONTE;MG;dez/19;1.316.737;388.997;0;0;0;0;0;927.737;0;0;0;0;0;0;0;0;0;0;0;3;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;dez/19;1.311.828;1.034.202;26.372;0;0;0;13.876;237.365;0;0;0;0;0;0;0;0;0;0;0;13;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;dez/19;1.294.202;731.619;377;0;0;0;0;562.193;0;0;0;0;0;0;0;0;0;0;0;13;0
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;dez/19;1.279.015;946.699;71.173;45.874;0;0;3.753;112.486;8.150;703;35.460;40.418;0;14.279;21;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;I;2;S4;9;CANARANA;MT;dez/19;1.275.129;620.199;124.710;0;0;0;15.039;515.176;0;0;0;0;0;0;0;0;0;0;0;4;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;dez/19;1.268.754;101.867;0;321.093;180.871;0;0;0;191.976;0;0;256.402;0;216.545;0;0;0;0;0;0;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;dez/19;1.248.004;1.247.998;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;I;2;S4;9;CAMPO VERDE;MT;dez/19;1.201.971;810.041;0;0;0;0;134.677;257.245;0;0;0;0;0;0;0;0;0;0;0;8;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;dez/19;1.191.400;609.651;0;18;0;0;0;581.513;0;0;0;0;0;217;0;0;0;0;0;0;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;dez/19;1.158.141;867.207;0;0;0;0;0;275.520;0;0;0;0;0;0;15.413;0;0;0;0;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;dez/19;1.147.246;124.363;0;633.672;53.003;0;8.460;0;32.631;0;0;295.114;0;0;0;0;0;0;0;2;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;dez/19;1.124.697;374.706;859;0;0;0;0;639.456;0;0;15.101;0;0;79;94.497;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;I;2;S4;9;SORRISO;MT;dez/19;1.120.835;970.434;0;0;0;0;5.127;145.268;0;0;0;0;0;0;0;0;0;0;0;6;0
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;dez/19;1.106.456;3.794;0;0;0;0;0;1.102.662;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24795049;b3S;I;2;S5;9;RIO VERDE;GO;dez/19;1.089.735;821.981;7.283;40.132;0;0;0;220.338;0;0;0;0;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;I;2;S4;9;CAMPO GRANDE;MS;dez/19;1.066.749;930.709;15.453;0;0;0;79.889;40.684;0;0;0;0;0;0;0;0;0;0;0;13;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE – SICREDI GRANDES RIOS MT/PA;37442605;b3S;I;2;S4;9;COLIDER;MT;dez/19;1.065.531;896.031;9.767;0;0;0;0;159.721;0;0;0;0;0;0;0;0;0;0;0;12;0
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;dez/19;1.054.754;357.594;0;35.002;0;0;0;561.145;3.222;0;0;0;0;0;97.786;0;0;0;0;4;0
