Instituição financeira;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o)
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;43709;8040329;1281268;9321597;1061659;10383256;55841031;2036715;0;2086425;49113;4172253;6303616;66316899;117557546;0,1212;0,1406;0,1566;0,0793;0,1729
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;I;1;FORTALEZA;CE;43709;5634370;801040;6435410;2282604;8718015;44170823;208605;4125;86413;0;299143;10673448;55143414;95875995;0,1022;0,1167;0,1581;0,0671;0,0265
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;43709;9107829;0;9107829;0;9107829;29014930;908476;191464;16716207;149383;17965531;7258725;54239186;86010774;0,1679;0,1679;0,1679;0,1059;0,0144
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;43709;6207761;0;6207761;532973;6740734;30675457;997400;0;21930;28010;1047340;9962740;41685537;83394285;0,1489;0,1489;0,1617;0,0744;0,0653
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;43709;5085923;0;5085923;0;5085923;10549663;1193097;110733;18633527;1648639;21585994;2977509;35113166;46999139;0,1448;0,1448;0,1448;0,1082;0,0181
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;43709;4203358;0;4203358;782835;4986193;21110997;264252;0;4880331;23755;5168338;4549457;30828793;43540818;0,1363;0,1363;0,1617;0,0965;0,0164
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;43709;3886328;472820;4359148;940354;5299502;25941906;283260;1023588;1078425;16913;2402185;2098979;30443070;43256429;0,1277;0,1432;0,1741;0,1008;0,0053
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;43709;3460542;0;3460542;1838688;5299230;25112466;534397;1164620;1981370;0;3680387;1582092;30374945;39311309;0,1139;0,1139;0,1745;0,088;0,0032
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;43709;4180256;0;4180256;1249320;5429576;8996504;1119919;0;10721064;834759;12675741;3137448;24809693;43837739;0,1685;0,1685;0,2188;0,0954;0,0162
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;43709;3736067;0;3736067;155733;3891799;21542850;910068;0;548559;101581;1560208;1570878;24673937;30855136;0,1514;0,1514;0,1577;0,1211;0,2419
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;43709;2411631;0;2411631;0;2411631;15643394;405;0;34250;0;34655;4011723;19689772;30528817;0,1225;0,1225;0,1225;0,079;0,0574
PAN - PRUDENCIAL;1000080257;b1;S3;C;2;SAO PAULO;SP;43709;2465269;0;2465269;0;2465269;16865248;1090;0;4;0;1094;2309501;19175843;30170011;0,1286;0,1286;0,1286;0,0817;0,1793
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;43709;7482657;0;7482657;0;7482657;540917;0;0;674579;15901232;16575811;304725;17421452;10611334;0,4295;0,4295;0,4295;0,7052;0,0456
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;43709;2956099;0;2956099;864914;3821012;16026561;0;0;0;0;0;1157766;17184327;19835106;0,172;0,172;0,2224;0,149;0,0023
MORGAN STANLEY - PRUDENCIAL;1000080628;b1;S3;C;3;SAO PAULO;SP;43709;3505957;0;3505957;0;3505957;5904731;697190;313988;1648250;6052188;8711615;2187942;16804288;31871175;0,2086;0,2086;0,2086;0,11;0,0051
BD REGIONAL DO EXTREMO SUL - PRUDENCIAL;1000081311;b4;S3;C;1;PORTO ALEGRE;RS;43709;2830802;0;2830802;0;2830802;14292146;9014;0;0;2855;11869;1255538;15559554;14814775;0,1819;0,1819;0,1819;0,1911;0,014
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;43709;2840902;0;2840902;0;2840902;3927651;668898;87591;6359173;0;7115662;2148851;13192164;18316615;0,2153;0,2153;0,2153;0,1551;0,0222
MERCEDES-BENZ - PRUDENCIAL;1000080563;b2;S3;C;3;SAO PAULO;SP;43709;1848665;0;1848665;0;1848665;11425187;0;0;0;0;0;1238528;12663715;11812728;0,146;0,146;0,146;0,1565;0,0035
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;43709;1597172;82166;1679339;5212;1684551;11452348;26008;0;2337;0;28344;729134;12209827;17544882;0,1308;0,1375;0,138;0,0957;0,1906
ALFA - PRUDENCIAL;1000080570;b1;S3;C;2;SAO PAULO;SP;43709;2488270;0;2488270;0;2488270;10144700;219500;79511;207537;66332;572880;1215508;11933088;16709581;0,2085;0,2085;0,2085;0,1489;0,144
CCB - PRUDENCIAL;1000080295;b1;S3;C;3;SAO PAULO;SP;43709;1275906;308998;1584905;416523;2001428;9818335;312470;0;43863;0;356333;1292803;11467470;15436420;0,1113;0,1382;0,1745;0,1027;0,0192
BCO CSF S.A. - PRUDENCIAL;1000081610;b2;S3;I;3;SAO PAULO;SP;43709;1764564;0;1764564;0;1764564;10390360;14746;0;0;0;14746;810914;11216020;14023077;0,1573;0,1573;0,1573;0,1258;0,0247
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;43709;1497005;0;1497005;0;1497005;8528979;1305;3819;270564;961166;1236853;1209870;10975703;12803460;0,1364;0,1364;0,1364;0,1169;0,0418
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;43709;1900463;0;1900463;0;1900463;8393713;55902;2919;149827;4200;212848;2314468;10921029;56735848;0,174;0,174;0,174;0,0335;0,0965
GM - PRUDENCIAL;1000080848;b2;S3;C;3;SAO PAULO;SP;43709;2408128;0;2408128;0;2408128;9230957;83;0;0;0;83;633955;9864995;12903348;0,2441;0,2441;0,2441;0,1866;0,0638
CREFISA S.A. CFI - PRUDENCIAL;1000083632;b1;S4;C;2;SAO PAULO;SP;43709;5555763;0;5555763;0;5555763;3642019;894;0;0;0;894;6199165;9842078;6134745;0,5645;0,5645;0,5645;0,9056;0,0049
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;43709;1291140;0;1291140;177056;1468196;8583242;31406;1156;0;99;32661;864184;9480086;17682956;0,1362;0,1362;0,1549;0,073;0,1148
BANCO CNH INDUSTRIAL CAPITAL S.A - PRUDENCIAL;1000081407;b2;S3;I;3;CURITIBA;PR;43709;1212258;0;1212258;0;1212258;8319474;0;0;0;0;0;915940;9235415;9352819;0,1313;0,1313;0,1313;0,1296;0,019
BANESTES - PRUDENCIAL;1000080147;b1;S3;C;1;VITORIA;ES;43709;1506384;0;1506384;0;1506384;6753882;9899;0;104577;0;114476;1717898;8586256;21093690;0,1754;0,1754;0,1754;0,0714;0,1721
SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;43709;1263894;157883;1421777;0;1421777;6734591;38214;0;70737;0;108951;1670305;8513848;53613724;0,1485;0,167;0,167;0,0265;0,0923
JOHN DEERE - PRUDENCIAL;1000080343;b1;S3;C;3;INDAIATUBA;SP;43709;1301168;0;1301168;0;1301168;7843710;111767;0;0;0;111767;456235;8411712;8697579;0,1547;0,1547;0,1547;0,1496;0,0015
PORTO SEGURO - PRUDENCIAL;1000080642;n1;S4;C;2;SAO PAULO;SP;43709;926328;0;926328;0;926328;7358357;27658;0;749;0;28407;522280;7909045;NA;0,1171;0,1171;0,1171;NA%;0,0009
ING - PRUDENCIAL;1000080501;b1;S3;C;3;SAO PAULO;SP;43709;959936;0;959936;0;959936;4218236;7753;0;2366776;0;2374528;352515;6945279;14392513;0,1382;0,1382;0,1382;0,0667;0,0083
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;n2;S4;I;2;RIO DE JANEIRO;RJ;43709;1177625;0;1177625;0;1177625;1883985;120859;11026;1076402;54795;1263083;3711316;6858383;NA;0,1717;0,1717;0,1717;NA%;0,1003
GOLDMAN SACHS - PRUDENCIAL;1000080714;b2;S3;C;3;SAO PAULO;SP;43709;1824258;0;1824258;0;1824258;2410573;37451;67650;2787423;121067;3013591;1199309;6623472;12435204;0,2754;0,2754;0,2754;0,1467;0,0096
DEUTSCHE - PRUDENCIAL;1000080532;b1;S3;C;3;SAO PAULO;SP;43709;1528042;0;1528042;0;1528042;4052805;66645;0;1453450;0;1520095;637609;6210510;9419864;0,246;0,246;0,246;0,1622;0,0069
BCO TOYOTA DO BRASIL S.A. - PRUDENCIAL;1000081562;b2;S4;I;3;SAO PAULO;SP;43709;778125;0;778125;0;778125;5979501;0;0;0;0;0;211175;6190676;8955663;0,1257;0,1257;0,1257;0,0869;0,0106
CREDIT AGRICOLE - PRUDENCIAL;1000080491;b1;S3;C;3;SAO PAULO;SP;43709;1565362;0;1565362;0;1565362;4460785;22215;0;996315;0;1018530;430014;5909329;43291274;0,2649;0,2649;0,2649;0,0362;0,0203
MERCANTIL DO BRASIL - PRUDENCIAL;1000080123;b1;S3;C;2;BELO HORIZONTE;MG;43709;713013;25503;738516;261961;1000476;4672936;1029;0;15218;0;16247;1130048;5819231;10084927;0,1225;0,1269;0,1719;0,0732;0,229
BCO DES. DE MG S.A. - PRUDENCIAL;1000081328;b4;S3;I;1;BELO HORIZONTE;MG;43709;1144902;0;1144902;0;1144902;4789508;112505;0;94;0;112599;719244;5621351;6292517;0,2037;0,2037;0,2037;0,1819;0,0156
HONDA - PRUDENCIAL;1000080611;b2;S4;C;3;SAO PAULO;SP;43709;1513204;0;1513204;0;1513204;5293315;0;0;0;0;0;256932;5550247;6788139;0,2726;0,2726;0,2726;0,2229;0,0068
BCO FIBRA S.A. - PRUDENCIAL;1000081483;b1;S3;C;2;SAO PAULO;SP;43709;563265;0;563265;95781;659046;4337652;25970;271575;257788;0;555333;590814;5483798;6823169;0,1027;0,1027;0,1202;0,0826;0,0211
BANCO FIDIS - PRUDENCIAL;1000081751;b2;S4;I;3;BETIM;MG;43709;765136;0;765136;0;765136;4985713;0;0;0;0;0;487987;5473700;6716592;0,1398;0,1398;0,1398;0,1139;0,0015
PINE - PRUDENCIAL;1000080374;b1;S3;C;2;SAO PAULO;SP;43709;570611;0;570611;97731;668343;5034107;3990;0;311525;2100;317615;74774;5426496;10094088;0,1052;0,1052;0,1232;0,0565;0,2278
BOCOM - PRUDENCIAL;1000084624;b1;S4;C;3;SALVADOR;BA;43709;621009;202193;823202;0;823202;4508274;187035;0;11175;0;198210;501984;5208469;7952599;0,1192;0,1581;0,1581;0,1035;0,0134
RODOBENS - PRUDENCIAL;1000080855;b1;S4;C;2;SAO PAULO;SP;43709;817549;0;817549;0;817549;4253490;0;0;0;0;0;898253;5151743;2870953;0,1587;0,1587;0,1587;0,2848;0,3428
BCO DE LAGE LANDEN BRASIL S.A. - PRUDENCIAL;1000081421;b2;S4;I;3;PORTO ALEGRE;RS;43709;969356;0;969356;0;969356;4814432;4615;0;0;0;4615;278328;5097375;5690873;0,1902;0,1902;0,1902;0,1703;0,0144
BCO MUFG BRASIL S.A. - PRUDENCIAL;1000081713;b1;S3;I;3;SAO PAULO;SP;43709;1487264;0;1487264;0;1487264;2966835;141996;0;1381042;0;1523037;595559;5085432;13172468;0,2925;0,2925;0,2925;0,1129;0,0136
SCOTIABANK BRASIL - PRUDENCIAL;1000081452;b1;S4;I;3;SAO PAULO;SP;43709;1108034;0;1108034;0;1108034;1238687;56640;0;3326654;0;3383294;305772;4927753;5147469;0,2249;0,2249;0,2249;0,2153;0,0053
BCO DO EST. DO PA S.A. - PRUDENCIAL;1000081586;b1;S3;I;1;BELEM;PA;43709;1324926;0;1324926;0;1324926;4284238;30139;0;12864;1125;44129;589684;4918051;8138364;0,2694;0,2694;0,2694;0,1628;0,0612
INTER - PRUDENCIAL;1000080996;b1;S4;C;2;BELO HORIZONTE;MG;43709;2126633;0;2126633;0;2126633;3638002;153403;2377;373087;11744;540611;720179;4898791;10277042;0,4341;0,4341;0,4341;0,2069;0,0135
SOFISA - PRUDENCIAL;1000080271;b1;S4;C;2;SAO PAULO;SP;43709;644829;0;644829;0;644829;3821849;361606;8501;95126;13392;478624;375109;4675582;5840263;0,1379;0,1379;0,1379;0,1104;0,1232
MIDWAY S.A. - SCFI - PRUDENCIAL;1000083553;n1;S4;I;2;SAO PAULO;SP;43709;877755;0;877755;0;877755;3837386;419;0;0;0;419;779099;4616904;NA;0,1901;0,1901;0,1901;NA%;0,0006
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;S4;I;2;BEBEDOURO;SP;43709;1620406;0;1620406;0;1620406;3785989;0;0;0;0;0;767907;4553896;6555038;0,3558;0,3558;0,3558;0,2472;0,0552
VOLVO - PRUDENCIAL;1000080769;b2;S4;C;3;CURITIBA;PR;43709;1050941;0;1050941;0;1050941;3819694;0;0;0;0;0;537475;4357169;4402451;0,2412;0,2412;0,2412;0,2387;0,0092
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;S5;I;2;BLUMENAU;SC;43709;NA;NA;NA;NA;1492998;4044843;0;NA;NA;NA;0;272435;4317278;NA;NA%;NA%;0,3458;NA%;0,0202
SOCIETE GENERALE - PRUDENCIAL;1000080264;b1;S3;C;3;SAO PAULO;SP;43709;1469052;0;1469052;0;1469052;1841813;685800;0;1275713;0;1961513;489999;4293324;7330399;0,3422;0,3422;0,3422;0,2004;0,0037
BCO SUMITOMO MITSUI BRASIL S.A. - PRUDENCIAL;1000081720;b1;S3;C;3;SAO PAULO;SP;43709;1754851;0;1754851;0;1754851;3074642;240480;0;638800;0;879280;338982;4292904;11886487;0,4088;0,4088;0,4088;0,1476;0,0013
SCANIA - PRUDENCIAL;1000080776;b2;S4;C;3;SAO BERNARDO DO CAMPO;SP;43709;473950;0;473950;34445;508395;3638571;0;0;0;0;0;407585;4046156;3975262;0,1171;0,1171;0,1256;0,1192;0,0064
OMNI - PRUDENCIAL;1000080460;b1;S4;C;2;SAO PAULO;SP;43709;287879;120211;408090;26018;434108;2454920;1632;0;0;0;1632;1205171;3661724;3640662;0,0786;0,1114;0,1186;0,1121;0,0296
PARANÁ BANCO - PRUDENCIAL;1000080233;b1;S4;C;2;CURITIBA;PR;43709;874365;0;874365;0;874365;2503231;0;0;6794;0;6794;1133891;3643915;4965454;0,24;0,24;0,24;0,1761;0,1179
PERNAMBUCANAS - PRUDENCIAL;1000080305;n1;S4;I;2;SAO PAULO;SP;43709;492678;0;492678;0;492678;2950770;711;0;68464;0;69175;518389;3538334;NA;0,1392;0,1392;0,1392;NA%;0,0406
BCO CATERPILLAR S.A. - PRUDENCIAL;1000081397;b2;S4;C;3;SAO PAULO;SP;43709;1023876;0;1023876;15902;1039778;3162384;25300;0;0;0;25300;274407;3462090;3170865;0,2957;0,2957;0,3003;0,3229;0,0083
AGIBANK - PRUDENCIAL;1000083694;b1;S4;C;2;PORTO ALEGRE;RS;43709;428070;0;428070;31190;459260;1196091;1835;781;8228;694;11537;2236443;3444071;2443589;0,1243;0,1243;0,1333;0,1752;0,051
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;S4;I;2;SERTAOZINHO;SP;43709;529970;0;529970;0;529970;2969176;0;0;12;27718;27730;413599;3410505;4041535;0,1554;0,1554;0,1554;0,1311;0,0467
MIZUHO - PRUDENCIAL;1000080697;b1;S4;C;3;SAO PAULO;SP;43709;705430;0;705430;0;705430;2521956;60352;0;466062;0;526415;293259;3341630;5642566;0,2111;0,2111;0,2111;0,125;0,0089
BS2 - PRUDENCIAL;1000080422;b1;S4;C;2;BELO HORIZONTE;MG;43709;297661;0;297661;68838;366499;2618779;61292;223;174941;65879;302335;316961;3238075;8643743;0,0919;0,0919;0,1132;0,0344;0,1739
BCO DO EST. DE SE S.A. - PRUDENCIAL;1000081634;b1;S4;C;1;ARACAJU;SE;43709;318341;0;318341;56964;375305;2742659;8;3;11240;23;11273;434482;3188414;5899826;0,0998;0,0998;0,1177;0,054;0,2281
INDUSTRIAL DO BRASIL - PRUDENCIAL;1000080477;b1;S4;C;2;SAO PAULO;SP;43709;525851;0;525851;0;525851;2823857;17231;0;628;0;17859;319743;3161459;3665694;0,1663;0,1663;0,1663;0,1435;0,0603
REALIZE CFI - PRUDENCIAL;1000084703;n1;S4;I;3;PORTO ALEGRE;RS;43709;469111;0;469111;0;469111;2822224;5493;0;0;0;5493;144037;2971754;NA;0,1579;0,1579;0,1579;NA%;0,0088
BCO TRIANGULO S.A. - PRUDENCIAL;1000081438;b1;S4;C;2;UBERLANDIA;MG;43709;355563;0;355563;80000;435563;2276134;0;0;0;0;0;491672;2767806;3802768;0,1285;0,1285;0,1574;0,0935;0,1451
APE POUPEX - PRUDENCIAL;1000081184;n1;S3;I;2;BRASILIA;DF;43709;813580;0;813580;0;813580;2237339;0;0;0;0;0;513411;2750749;NA;0,2958;0,2958;0,2958;NA%;0,0135
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;S4;I;2;LUCAS DO RIO VERDE;MT;43709;643326;0;643326;874;644200;2587427;36303;0;0;0;36303;99611;2723340;3437920;0,2362;0,2362;0,2365;0,1871;0,0498
HSBC BI - PRUDENCIAL;1000084741;b2;S4;I;3;SAO PAULO;SP;43709;1070785;0;1070785;0;1070785;946607;10583;0;1275949;0;1286532;478592;2711730;3077876;0,3949;0,3949;0,3949;0,3479;0,0121
BADESUL DESENVOLVIMENTO AF/RS - PRUDENCIAL;1000081029;n1;S4;I;1;PORTO ALEGRE;RS;43709;586112;0;586112;0;586112;2414358;9685;0;0;0;9685;277139;2701182;NA;0,217;0,217;0,217;NA%;0,0463
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;S4;I;2;MARINGA;PR;43709;424939;0;424939;0;424939;2473406;0;0;0;0;0;101909;2575315;3925226;0,165;0,165;0,165;0,1083;0,2767
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;S4;I;2;MEDIANEIRA;PR;43709;407039;0;407039;2185;409224;2477033;0;0;0;0;0;96556;2573589;3782701;0,1582;0,1582;0,159;0,1076;0,2396
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;S4;I;2;LONDRINA;PR;43709;538452;0;538452;0;538452;1753439;379799;102738;0;0;482536;306726;2542701;2741606;0,2118;0,2118;0,2118;0,1964;0,0272
HAITONG - PRUDENCIAL;1000080666;b2;S3;C;3;SAO PAULO;SP;43709;424034;0;424034;0;424034;1235537;242606;0;657745;65182;965533;213562;2414631;6931259;0,1756;0,1756;0,1756;0,0612;0,0308
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;S4;I;2;PALOTINA;PR;43709;317643;0;317643;35526;353169;2179254;0;0;0;0;0;89123;2268377;3289539;0,14;0,14;0,1557;0,0966;0,1677
RENDIMENTO - PRUDENCIAL;1000080659;b1;S4;C;2;SAO PAULO;SP;43709;321312;0;321312;0;321312;1631406;54403;0;52178;0;106581;400785;2138772;2954690;0,1502;0,1502;0,1502;0,1087;0,0796
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;S5;I;2;BRASILIA;DF;43709;NA;NA;NA;NA;579351;1957737;0;NA;NA;NA;0;65532;2023269;NA;NA%;NA%;0,2863;NA%;0,013
MÁXIMA - PRUDENCIAL;1000080367;b1;S4;C;2;RIO DE JANEIRO;RJ;43709;64897;0;64897;0;64897;1751594;9472;0;58;37267;46797;203202;2001593;2954802;0,0324;0,0324;0,0324;0,022;0,2625
BCO ABN AMRO S.A. - PRUDENCIAL;1000081579;b1;S4;I;3;SAO PAULO;SP;43709;616332;0;616332;0;616332;1573871;53625;0;33133;0;86758;263722;1924351;1830752;0,3203;0,3203;0,3203;0,3367;0,0051
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;S4;I;2;CARLOS BARBOSA;RS;43709;330899;0;330899;451;331350;1825354;0;0;4232;0;4232;92246;1921832;2849490;0,1722;0,1722;0,1724;0,1161;0,066
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SERRO AZUL – SICREDI UNIÃO RS;88894548;b3S;S4;I;2;CERRO LARGO;RS;43709;421032;0;421032;0;421032;1804186;0;0;0;0;0;110842;1915028;2835126;0,2199;0,2199;0,2199;0,1485;0,0625
SAX S.A. CFI - PRUDENCIAL;1000083515;n1;S4;C;2;BARUERI;SP;43709;315301;0;315301;0;315301;1255744;0;0;0;0;0;591827;1847571;NA;0,1707;0,1707;0,1707;NA%;0,0096
BMW - PRUDENCIAL;1000080635;n1;S4;C;3;SAO PAULO;SP;43709;400206;0;400206;0;400206;1609702;0;0;0;0;0;217351;1827053;NA;0,219;0,219;0,219;NA%;0,0011
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;S4;I;2;NOVA PETROPOLIS;RS;43709;406922;0;406922;0;406922;1683948;0;0;6020;0;6020;119011;1808979;2967503;0,2249;0,2249;0,2249;0,1371;0,0875
BCO CARGILL S.A. - PRUDENCIAL;1000081414;b1;S4;I;3;SAO PAULO;SP;43709;605566;0;605566;0;605566;1493861;125089;0;2083;0;127173;180440;1801474;4307428;0,3362;0,3362;0,3362;0,1406;0
COOPERATIVA CENTRAL DE CRÉDITO DE MINAS GERAIS LTDA. - SICOOB CENTRAL CREDIMINAS;25683434;b3C;S4;I;2;BELO HORIZONTE;MG;43709;328429;0;328429;0;328429;1664457;0;0;319;0;319;120284;1785060;6910576;0,184;0,184;0,184;0,0475;0,1572
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;S5;I;2;CHAPECO;SC;43709;NA;NA;NA;NA;314707;1657698;0;NA;NA;NA;0;106567;1764265;NA;NA%;NA%;0,1784;NA%;0,1543
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;S5;I;2;GOIANIA;GO;43709;NA;NA;NA;NA;460781;1637383;0;NA;NA;NA;0;91615;1728998;NA;NA%;NA%;0,2665;NA%;0,0693
BCO MODAL S.A. - PRUDENCIAL;1000081658;b1;S4;C;2;RIO DE JANEIRO;RJ;43709;202212;0;202212;0;202212;1174629;3855;7050;153625;388;164918;385369;1724915;3556359;0,1172;0,1172;0,1172;0,0569;0,1422
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;S4;I;2;PONTA GROSSA;PR;43709;274128;0;274128;0;274128;1660924;0;0;0;0;0;47071;1707995;2670149;0,1605;0,1605;0,1605;0,1027;0,2501
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;S4;I;2;ERECHIM;RS;43709;246276;0;246276;0;246276;1617355;0;0;1837;0;1837;56186;1675378;2303085;0,147;0,147;0,147;0,1069;0,1604
BANCO CBSS - PRUDENCIAL;1000084655;b2;S4;I;3;BARUERI;SP;43709;216999;0;216999;0;216999;1598891;3551;0;0;0;3551;63485;1665928;2232626;0,1303;0,1303;0,1303;0,0972;0,0078
