Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;;11;PORTO ALEGRE;RS;01/12/2015;9220710;203148;260998;882796;7872934;835;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;;8;FORTALEZA;CE;01/12/2015;9189087;729020;758665;3966295;3734967;139;0
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;;5;PORTO ALEGRE;RS;01/12/2015;8981887;639255;641861;3994969;3705801;1;0
BANCOOB;51750;b1;C;2;;199;BRASILIA;DF;01/12/2015;7505641;414991;520223;5780492;780913;9023;0
DAYCOVAL;51987;b1;C;2;;199;SAO PAULO;SP;01/12/2015;7479819;523893;278295;3214866;3321929;929;139906
CREDIT SUISSE;30771;b1;C;3;;199;SAO PAULO;SP;01/12/2015;7180287;33643;15246;360622;2776247;0;3994528
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1023570;b1;I;3;;8;SAO PAULO;SP;01/12/2015;6262735;583382;2997;866811;4809544;0;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;;5;BELO HORIZONTE;MG;01/12/2015;5701261;124952;421914;2882540;2271840;15;0
DEUTSCHE;51183;b1;C;3;;199;SAO PAULO;SP;01/12/2015;5122433;0;114517;619727;2942159;1;1446030
CCB;32119;b1;C;3;;199;SAO PAULO;SP;01/12/2015;4944322;255225;420395;2282539;1166738;0;819425
ALFA;51293;b1;C;2;;199;SAO PAULO;SP;01/12/2015;4685550;149606;506629;1359151;2670156;9;0
BNP PARIBAS;51516;b1;C;3;;199;SAO PAULO;SP;01/12/2015;4629308;152904;8573;814207;3653623;1;0
BANCO FIDIS S/A;62237425;b2;I;3;;8;BETIM;MG;01/12/2015;4512811;2846007;825809;728595;112396;4;0
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/12/2015;4216686;1250757;647228;543497;1775204;0;0
PAN;31323;b1;C;2;;199;SAO PAULO;SP;01/12/2015;4128016;877493;553137;1716462;980894;30;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;;8;CURITIBA;PR;01/12/2015;3899513;79073;892231;2549810;378399;0;0
PINE;50304;b1;C;2;;199;SAO PAULO;SP;01/12/2015;3687915;218299;75513;623974;2260617;0;509511
ORIGINAL;51781;b1;C;2;;199;SAO PAULO;SP;01/12/2015;3544646;1438633;318758;1161808;620216;5231;0
BANCO IBM S.A.;34270520;b2;I;3;;8;RIO DE JANEIRO;RJ;01/12/2015;3447894;2632;39070;429275;2976912;5;0
BANCO FIBRA S.A.;58616418;b1;I;2;;8;SAO PAULO;SP;01/12/2015;3317885;367494;60728;1304365;990544;11;594743
BANCO CATERPILLAR S.A.;2658435;b2;I;3;;8;SAO PAULO;SP;01/12/2015;3286111;165645;609308;1587848;923310;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2015;3273310;267286;382108;2309213;314457;246;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/12/2015;3247304;3028;1383;462513;1296913;0;1483467
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;;8;CURITIBA;PR;01/12/2015;3202776;325825;610516;2006551;259882;3;0
SOCIETE GENERALE;31859;b1;C;3;;199;SAO PAULO;SP;01/12/2015;2890028;417;38313;459728;2391568;0;0
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;;2;BELEM;PA;01/12/2015;2762004;19225;139025;204130;2399540;85;0
BMG;30290;b1;C;2;;199;SAO PAULO;SP;01/12/2015;2516078;524169;339274;266502;1386049;84;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/12/2015;2257281;88886;159442;1110107;898846;0;0
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/12/2015;2040803;NI;33229;281027;1726547;0;NI
SOFISA;31873;b1;C;2;;199;SAO PAULO;SP;01/12/2015;1880557;19695;30737;351031;1479092;2;0
BANCO GMAC S.A.;59274605;b2;I;3;;8;SAO PAULO;SP;01/12/2015;1779786;409275;73591;183212;1113607;101;0
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/12/2015;1729804;89973;32174;405582;1202074;0;0
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/12/2015;1717849;210133;403521;961260;142934;0;0
BRB;31976;b1;C;1;;199;BRASILIA;DF;01/12/2015;1703812;120791;505705;1001636;75396;283;0
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/12/2015;1661167;0;27267;460277;1173622;0;0
BANESTES;30159;b1;C;1;;199;VITORIA;ES;01/12/2015;1614218;77070;299987;981822;255128;211;0
JOHN DEERE;50071;b1;C;3;;199;INDAIATUBA;SP;01/12/2015;1562856;15340;96366;1170544;280606;0;0
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/12/2015;1401444;49762;0;105491;1246192;0;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/12/2015;1392136;2539;78736;612697;698164;1;0
INDUSVAL;50531;b1;C;2;;199;SAO PAULO;SP;01/12/2015;1387910;142420;94584;564824;535521;0;50561
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/12/2015;1306857;195;16500;288824;976601;0;24738
BANCO RODOBENS S.A.;33603457;b1;I;2;;8;SAO PAULO;SP;01/12/2015;1271639;66519;382863;771701;50555;2;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/12/2015;1218800;7861;162374;868126;177582;2857;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/12/2015;1180467;382;12865;298544;868673;3;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;;8;SAO PAULO;SP;01/12/2015;1122220;32394;185189;613466;291153;17;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/12/2015;1096002;173203;84433;634000;204366;0;0
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/12/2015;1048443;70896;335;570315;406897;0;0
MIZUHO;51554;b1;I;3;;199;SAO PAULO;SP;01/12/2015;940221;0;99244;293402;469422;0;78152
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;;8;SAO PAULO;SP;01/12/2015;927569;0;0;214486;713083;0;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/12/2015;895969;55530;29161;553771;257357;150;0
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/12/2015;864051;51272;155228;638287;19263;0;0
CAIXA GERAL;51815;b1;C;3;;199;SAO PAULO;SP;01/12/2015;798602;87691;45949;291832;373130;0;NI
HAITONG;51482;b2;C;3;;198;SAO PAULO;SP;01/12/2015;796957;16331;71537;173783;435657;0;99650
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;;8;PORTO ALEGRE;RS;01/12/2015;743036;22820;115201;383241;221775;0;0
BANCO ABN AMRO S.A.;3532415;b1;I;3;;8;SAO PAULO;SP;01/12/2015;722622;0;0;0;722622;0;0
PARANÁ BANCO;30881;b1;C;2;;199;CURITIBA;PR;01/12/2015;689967;7042;73882;399803;208869;371;0
BANCO DA CHINA BRASIL S.A.;10690848;b1;I;3;;8;SAO PAULO;SP;01/12/2015;668067;15177;40961;198990;412939;0;0
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/12/2015;662801;14945;56823;502793;88238;1;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;;8;SAO PAULO;SP;01/12/2015;654591;54234;66607;482417;51333;1;0
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/12/2015;653878;24135;87635;296968;245139;0;0
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/12/2015;645246;0;0;530971;114273;2;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/12/2015;526619;14995;78850;259004;173746;25;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/12/2015;521111;180965;248211;90598;924;413;0
MODAL;51963;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2015;507220;147007;39828;226697;93689;0;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/12/2015;496208;51303;70765;373857;0;283;0
CARUANA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9313766;n1;I;2;;14;SAO PAULO;SP;01/12/2015;473121;23805;84318;351000;13999;0;0
PSA FINANCE;51365;b2;C;3;;198;SAO PAULO;SP;01/12/2015;462956;0;386484;56473;19984;14;0
UNIPRIME NORTE DO PARANA - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS, PROFISSIONAIS DAS CIÊNCIAS E DAS ARTES E EMPRESÁRIOS LTDA.;2398976;b3S;I;2;;9;LONDRINA;PR;01/12/2015;451535;11884;74342;275087;90174;48;0
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/12/2015;436475;20459;54462;334472;27082;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;01/12/2015;430817;35006;119056;269874;6834;47;0
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/12/2015;427602;32811;64444;258345;71967;35;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;;9;GOIANIA;GO;01/12/2015;412223;12369;104483;285731;9624;15;0
BANCO RANDON S.A.;11476673;b1;I;2;;8;CAXIAS DO SUL;RS;01/12/2015;409893;4422;33268;311418;60780;5;0
INTERMEDIUM;51884;b1;C;2;;199;BELO HORIZONTE;MG;01/12/2015;382446;22333;47500;287039;25557;16;0
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/12/2015;364367;12652;20195;246834;84686;0;0
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35571249;b3S;I;2;;9;JOAO PESSOA;PB;01/12/2015;363114;32319;48700;261532;20537;26;0
SOCOPA;50328;b1;C;2;;199;SAO PAULO;SP;01/12/2015;362563;68983;11041;172355;110183;1;0
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/12/2015;356913;22118;33450;255068;46253;23;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;;9;VENDA NOVA DO IMIGRANTE;ES;01/12/2015;354464;37623;90061;208363;18350;66;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;;9;FLORIANOPOLIS;SC;01/12/2015;348006;8768;44713;263658;30849;18;0
COOPERATIVA DE POUPANÇA E CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE MARINGÁ - SICOOB METROPOLITANO;3459850;b3S;I;2;;9;MARINGA;PR;01/12/2015;342135;25744;98686;179792;37723;190;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/12/2015;336919;71793;82396;80810;101682;238;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/12/2015;330233;53194;98463;119477;58792;307;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;;9;CHAPECO;SC;01/12/2015;326752;92856;131442;90052;12358;45;0
COOPERATIVA DE CRÉDITO E INVESTIMENTO DE LIVRE ADMISSÃO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;;9;MARINGA;PR;01/12/2015;323236;32220;54503;98031;138075;407;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA ÁREA DE SAÚDE DE MINAS GERAIS LTDA.;42898825;b3S;I;2;;9;BELO HORIZONTE;MG;01/12/2015;293617;8179;42136;239245;4036;21;0
BANCO TRICURY S.A.;57839805;b2;I;2;;8;SAO PAULO;SP;01/12/2015;293606;45872;33183;120047;94504;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO SUL DO ESPÍRITO SANTO - SICOOB SUL;32467086;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/12/2015;291134;32276;80867;177947;0;44;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO NORTE DO PARANÁ - SICOOB NORTE DO PARANÁ;5582619;b3S;I;2;;9;LONDRINA;PR;01/12/2015;290182;15848;74122;171728;28421;64;0
ICBC DO BRASIL BANCO MÚLTIPLO S.A.;17453575;b1;I;3;;8;SAO PAULO;SP;01/12/2015;288903;0;0;4262;284640;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SÃO MIGUEL DO OESTE - SICOOB SÃO MIGUEL SC;81607046;b3S;I;2;;9;SAO MIGUEL D'OESTE;SC;01/12/2015;286646;31251;70805;150070;34491;29;0
COOPERATIVA CENTRAL DE CRÉDITO DO RIO GRANDE DO SUL E SANTA CATARINA - CENTRAL SICREDI SUL;87437687;b3C;I;2;;9;PORTO ALEGRE;RS;01/12/2015;280166;3599;845;5099;270623;0;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO LESTE DE SANTA CATARINA E DO PARANÁ LTDA. - UNICRED LESTE SC-PR;74114042;b3S;I;2;;9;ITAJAI;SC;01/12/2015;277983;21883;51687;204362;0;51;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;01/12/2015;272990;29317;46660;77133;119717;162;0
BRICKELL S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO;12865507;n1;I;2;;14;SAO PAULO;SP;01/12/2015;272813;7851;25875;137398;101689;0;0
MÁXIMA;50201;b1;C;2;;199;RIO DE JANEIRO;RJ;01/12/2015;271360;12100;91895;162048;5317;0;NI
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;;9;CARLOS BARBOSA;RS;01/12/2015;268308;59527;70337;92288;46040;115;0
BANCO BONSUCESSO S.A.;71027866;b1;I;2;;8;BELO HORIZONTE;MG;01/12/2015;247426;10802;15650;199754;20745;475;0
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;01/12/2015;230256;227820;1269;139;0;1028;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;;5;VITORIA;ES;01/12/2015;230111;37443;63455;71554;57635;24;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE DO ESPÍRITO SANTO - SICOOB NORTE;31815293;b3S;I;2;;9;SAO GABRIEL DA PALHA;ES;01/12/2015;216532;38180;70234;97346;10720;52;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO-SERRANA DO ESPÍRITO SANTO - SICOOB CENTRO-SERRANO;31804966;b3S;I;2;;9;SANTA MARIA DE JETIBA;ES;01/12/2015;209574;27729;67461;114344;0;40;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/12/2015;209498;43902;52738;67682;45068;109;0
BANCO RIBEIRAO PRETO S.A.;517645;b1;I;2;;8;RIBEIRAO PRETO;SP;01/12/2015;208827;3230;30551;103754;71293;0;0
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/12/2015;208245;126412;79126;2608;73;25;0
HONDA;51396;b2;C;3;;198;SAO PAULO;SP;01/12/2015;207441;15972;24697;149315;17421;35;0
BPN BRASIL BANCO MÚLTIPLO S.A.;61033106;b1;I;3;;8;SAO PAULO;SP;01/12/2015;203638;1843;19561;122797;59437;0;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA SAÚDE E EMPRESÁRIOS DE MATO GROSSO;36900256;b3S;I;2;;9;CUIABA;MT;01/12/2015;203136;6561;51340;143103;2114;18;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO CENTRO DO RGS - SICREDI REGIÃO CENTRO;95594941;b3S;I;2;;9;SANTA MARIA;RS;01/12/2015;197417;22231;22495;46735;105860;96;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SICOOB ECOCREDI;11565109;b3S;I;2;;9;TRES COROAS;RS;01/12/2015;195882;9102;53149;133123;490;18;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO NORTE DO RIO GRANDE DO SUL E OESTE DE SANTA CATARINA - SICREDI NORTE RS/SC;87780268;b3S;I;2;;9;ERECHIM;RS;01/12/2015;195539;33661;48596;62500;50704;77;0
FATOR;50122;b1;C;2;;199;SAO PAULO;SP;01/12/2015;191214;23858;58835;19819;88701;0;0
COOPERATIVA DE CRÉDITO DOS EMPRESÁRIOS DA GRANDE CURITIBA E CAMPOS GERAIS - SICOOB SUL;5888589;b3S;I;2;;9;CURITIBA;PR;01/12/2015;189177;10342;63209;114866;707;52;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DOS VALES DO ITAJAÍ E ITAPOCÚ, DO LITORAL DE SANTA CATARINA E LITORAL SUL DO PARANÁ - SICOOB BLUCREDI SUL;3960819;b3S;I;2;;9;GUARATUBA;PR;01/12/2015;188332;36933;68385;77112;5845;57;0
SANTINVEST;50816;n1;C;2;;197;FLORIANOPOLIS;SC;01/12/2015;186779;10652;43947;124695;7485;1;0
COOPERATIVA DE CRÉDITO DOS PROPRIETÁRIOS DA INDÚSTRIA DE ROCHAS ORNAMENTAIS, CAL E CALCÁRIOS DO ESTADO DO ESPÍRITO SANTO - SICOOB CREDIROCHAS;3358914;b3S;I;2;;9;CACHOEIRO DE ITAPEMIRIM;ES;01/12/2015;186446;11688;85822;88910;0;25;0
AGENCIA DE FOMENTO DO ESTADO DO RIO DE JANEIRO S.A.;5940203;n1;I;1;;30;RIO DE JANEIRO;RJ;01/12/2015;177538;2418;24539;93839;56734;8;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E REGIÃO LTDA;4388688;b3S;I;2;;9;GOIANIA;GO;01/12/2015;171299;3510;18598;148147;1037;8;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;;9;PALOTINA;PR;01/12/2015;171059;34071;49457;53919;33421;191;0
CSILATINA ARRENDAMENTO MERCANTIL S.A.;5883884;n1;I;3;;19;BARUERI;SP;01/12/2015;170461;3662;8066;68324;90407;2;0
COOPERATIVA DE CRÉDITO E DE INVESTIMENTO DE LIVRE ADMISSÃO FRONTEIRAS DO IGUAÇU E SUDESTE PAULISTA - SICREDI FRONTEIRAS PR/SC/SP;82527557;b3S;I;2;;9;CAPANEMA;PR;01/12/2015;168628;30874;43138;61148;33380;88;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;;9;VILHENA;RO;01/12/2015;167118;13214;60862;93030;0;13;0
COOPERATIVA DE CRÉDITO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA SAÚDE, CONTABILISTAS, PROFESSORES E EMPRESÁRIOS DE BLUMENAU E VALE DO ITAJAÍ LTDA – UNICRED BLUMENAU;73443863;b3S;I;2;;9;BLUMENAU;SC;01/12/2015;166227;6333;48926;99156;11800;12;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO BRANCO - SICREDI OURO BRANCO RS;87853206;b3S;I;2;;9;TEUTONIA;RS;01/12/2015;164450;38546;29088;39085;57665;66;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO CENTRO SUL DO MATO GROSSO DO SUL - SICREDI CENTRO-SUL MS;26408161;b3S;I;2;;9;DOURADOS;MS;01/12/2015;164145;25271;27068;59015;52639;152;0
COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA SAÚDE, CONTABILISTAS, EMPRESÁRIOS E PROFESSORES DO OESTE E SERRA LTDA - UNICRED OESTE E SERRA;1039011;b3S;I;2;;9;CHAPECO;SC;01/12/2015;163656;19856;69123;69579;5080;18;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DA ÁREA DE SAÚDE DE CAMPINAS E REGIÃO LTDA. - UNICRED CAMPINAS;71884498;b3S;I;2;;9;CAMPINAS;SP;01/12/2015;162972;7393;34415;119857;1305;2;0
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO UNICRED INTEGRAÇÃO LTDA.;73750424;b3S;I;2;;9;CAXIAS DO SUL;RS;01/12/2015;160078;4705;36202;116814;2350;7;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DA REGIÃO DOS VALES - SICREDI REGIÃO DOS VALES RS;89126130;b3S;I;2;;9;ENCANTADO;RS;01/12/2015;160053;26246;37539;41444;54775;49;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;;8;SAO PAULO;SP;01/12/2015;159311;867;64720;40817;52908;0;0
NOVO BANCO CONTINENTAL S.A. - BANCO MÚLTIPLO;74828799;b1;I;3;;8;PORTO ALEGRE;RS;01/12/2015;154607;105371;27771;20786;678;1;0
BANCO SEMEAR S.A.;795423;b1;I;2;;8;BELO HORIZONTE;MG;01/12/2015;154319;5353;17494;103104;28354;14;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC;87733770;b3S;I;2;;9;RODEIO BONITO;RS;01/12/2015;151089;39957;28048;38800;44241;43;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO SUDOESTE DE MATO GROSSO - SICREDI SUDOESTE MT;32995755;b3S;I;2;;9;TANGARA DA SERRA;MT;01/12/2015;143909;12444;27304;57072;47004;86;0
BANCO KEB HANA DO BRASIL S.A.;2318507;b1;I;3;;2;SAO PAULO;SP;01/12/2015;143398;35491;0;99198;8709;0;0
COOPERATIVA DE CRÉDITO DE LAJEADO - SICREDI VALE DO TAQUARI RS;91159764;b3S;I;2;;9;LAJEADO;RS;01/12/2015;139379;15050;30653;67164;26464;47;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CASCAVEL E REGIÃO - SICOOB CREDICAPITAL;4529074;b3S;I;2;;9;CASCAVEL;PR;01/12/2015;138254;19401;48195;63022;7613;24;0
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS DE PORTO ALEGRE LTDA-UNICRED PORTO ALEGRE;94433109;b3S;I;2;;9;PORTO ALEGRE;RS;01/12/2015;135673;7624;35130;88101;4811;7;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53923116;b3S;I;2;;9;RIBEIRAO PRETO;SP;01/12/2015;132257;41727;32183;58300;5;41;0
