Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;;;;;;;;
JP MORGAN CHASE;20107;b1;C;3;;199;SAO PAULO;SP;01/06/2012;1887036;1580062;273059;6760;0;0;0;27155;0;0;0;;;;;;;;
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;;30;PORTO ALEGRE;RS;01/06/2012;1844542;580077;781215;326660;43396;50248;23128;3517;11484;24817;0;;;;;;;;
PORTO SEGURO;51444;n1;C;2;;197;SAO PAULO;SP;01/06/2012;1793284;18365;1582437;60589;33955;18352;13758;12295;10583;42949;0;;;;;;;;
COOPERATIVA DE CRÉDITO CREDICITRUS;54037916;b3S;I;2;;9;BEBEDOURO;SP;01/06/2012;1776801;1295710;399595;15646;27377;3183;11821;5020;1690;16760;0;;;;;;;;
BES;51482;b2;C;3;;198;SAO PAULO;SP;01/06/2012;1628216;1483935;39243;1454;20373;29288;0;0;0;0;53923;;;;;;;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;;8;ARACAJU;SE;01/06/2012;1514164;372647;638073;383051;60198;22165;9914;2682;4164;21269;0;;;;;;;;
PERNAMBUCANAS;40699;n1;C;2;;197;SAO PAULO;SP;01/06/2012;1457421;0;925995;77714;50109;67064;53322;46075;41606;195536;0;;;;;;;;
ING;51073;b1;C;3;;199;SAO PAULO;SP;01/06/2012;1435731;1389963;14272;0;31496;0;0;0;0;0;0;;;;;;;;
INDUSTRIAL DO BRASIL;50988;b1;C;2;;199;SAO PAULO;SP;01/06/2012;1431351;561265;708496;123973;16993;7079;3923;2447;2226;4949;0;;;;;;;;
BANIF;20255;b1;C;3;;199;SAO PAULO;SP;01/06/2012;1318934;0;638172;271438;220238;50259;94858;19361;6276;18331;0;;;;;;;;
RODOBENS;51736;b1;C;2;;199;SAO PAULO;SP;01/06/2012;1274335;100802;979611;75074;56059;20740;7749;5161;5745;23392;0;;;;;;;;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;;19;BARUERI;SP;01/06/2012;1242936;756268;287374;109903;42442;24805;9728;4095;3611;4710;0;;;;;;;;
ORIGINAL;51781;b1;C;2;;199;PORTO ALEGRE;RS;01/06/2012;1237406;47;859538;91502;217351;16506;4505;4499;4090;39367;0;;;;;;;;
BANCO TRIANGULO S.A.;17351180;b1;I;2;;8;UBERLANDIA;MG;01/06/2012;1196342;303315;274194;249004;240129;22235;16770;14457;15528;60710;0;;;;;;;;
BBM;30207;b1;C;2;;199;SALVADOR;BA;01/06/2012;1195364;117127;196784;546139;299776;6372;83;9864;89;602;18529;;;;;;;;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;;25;BRASILIA;DF;01/06/2012;1187263;699436;327893;27206;23849;22280;15598;8604;8854;53542;0;;;;;;;;
SCANIA BANCO S.A.;11417016;b2;I;3;;8;SAO BERNARDO DO CAMPO;SP;01/06/2012;1168976;142348;251100;400355;282854;74193;4718;4200;3910;5296;0;;;;;;;;
BANCO DE TOKYO-MITSUBISHI UFJ BRASIL S.A.;60498557;b1;I;3;;8;SAO PAULO;SP;01/06/2012;1118492;666327;231986;168562;45095;6520;0;0;0;0;0;;;;;;;;
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;;8;SAO PAULO;SP;01/06/2012;1105435;742726;255259;107450;0;0;0;0;0;0;0;;;;;;;;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;;14;SAO PAULO;SP;01/06/2012;1054185;0;716516;53887;46532;32625;32704;24675;29155;118089;0;;;;;;;;
BANCO CARGILL S.A.;3609817;b1;I;3;;8;SAO PAULO;SP;01/06/2012;967496;219674;654250;46569;23733;933;0;1623;8571;12142;0;;;;;;;;
COOPERATIVA DE CRÉDITO DOS PRODUTORES RURAIS E EMPRESÁRIOS DO INTERIOR PAULISTA;71328769;b3S;I;2;;9;SERTAOZINHO;SP;01/06/2012;874913;269688;446315;52499;26537;9220;6106;12349;25837;26362;0;;;;;;;;
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;;9;BRASILIA;DF;01/06/2012;841828;691487;110948;13285;3009;5336;2601;2833;3109;9220;0;;;;;;;;
BANCO INTERMEDIUM S/A;416968;b1;I;2;;8;BELO HORIZONTE;MG;01/06/2012;834693;18008;701814;30919;18945;15237;6269;6367;14683;22451;0;;;;;;;;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;;9;BLUMENAU;SC;01/06/2012;828838;0;709828;78549;16863;8273;3620;2739;1536;7431;0;;;;;;;;
OMNI;50940;n1;C;2;;197;SAO PAULO;SP;01/06/2012;771561;0;107919;217093;263555;58117;30969;22465;16680;54763;0;;;;;;;;
BANCO FORD S.A.;90731688;b2;I;3;;8;SAO PAULO;SP;01/06/2012;740620;0;505836;139257;14458;77513;640;0;45;2871;0;;;;;;;;
CREFISA S.A.-CREDITO, FINANCIAMENTO E INVESTIMENTOS;60779196;n1;I;2;;14;SAO PAULO;SP;01/06/2012;734228;0;429192;42016;40410;40262;23342;36192;22907;99907;0;;;;;;;;
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;;5;VITORIA;ES;01/06/2012;727080;4349;502986;128428;45377;8327;7908;9574;2694;17437;0;;;;;;;;
BANCO MONEO S.A.;7441209;b2;I;2;;8;CAXIAS DO SUL;RS;01/06/2012;698202;47765;32156;449559;77644;63341;16021;2035;97;9585;0;;;;;;;;
BOFA MERRILL LYNCH;51255;b1;C;3;;199;SAO PAULO;SP;01/06/2012;669900;669900;0;0;0;0;0;0;0;0;0;;;;;;;;
WESTLB;51554;b1;I;3;;199;SAO PAULO;SP;01/06/2012;652392;510274;137891;1200;567;331;308;178;213;1432;0;;;;;;;;
AGENCIA DE FOMENTO DO PARANA S.A.;3584906;n1;I;1;;30;CURITIBA;PR;01/06/2012;632580;20129;425598;183115;1868;461;278;250;132;747;0;;;;;;;;
CREDIT AGRICOLE;51066;b1;C;3;;199;SAO PAULO;SP;01/06/2012;628432;572033;28002;28396;0;0;0;0;0;0;0;;;;;;;;
DACASA FINANCEIRA S.A.-SOC. DE CRED. FINANC. E INVESTIMENTO;27406222;n1;I;2;;14;VITORIA;ES;01/06/2012;587650;0;411724;39611;23953;16745;13795;14080;12314;55429;0;;;;;;;;
BMW;51420;n1;C;3;;197;SAO PAULO;SP;01/06/2012;567503;108652;152686;194869;101141;6866;1354;324;129;1481;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO UNIÃO PARANÁ - SICREDI UNIÃO PR;79342069;b3S;I;2;;9;MARINGA;PR;01/06/2012;523843;0;165797;280944;37876;12028;6370;2953;1700;16175;0;;;;;;;;
RENDIMENTO;51468;b1;C;2;;199;SAO PAULO;SP;01/06/2012;518789;0;392018;78959;12871;16717;2462;5687;6713;3363;0;;;;;;;;
BANCO GUANABARA S.A.;31880826;b1;I;2;;8;RIO DE JANEIRO;RJ;01/06/2012;518010;45;209451;187514;69336;7987;16355;238;16360;10726;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS PIONEIRA DA SERRA GAÚCHA   SICREDI PIONEIRA RS;91586982;b3S;I;2;;9;NOVA PETROPOLIS;RS;01/06/2012;472308;20;111425;110230;178998;46474;7902;3668;3048;10544;0;;;;;;;;
NOSSA CAIXA DESENVOLVIMENTO - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;;30;SAO PAULO;SP;01/06/2012;456599;258675;125980;35169;20841;914;5207;2492;0;7320;0;;;;;;;;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;;30;FLORIANOPOLIS;SC;01/06/2012;446222;162901;145824;59013;10016;2053;9684;18225;6328;32179;0;;;;;;;;
BANCO COMMERCIAL INVESTMENT TRUST DO BRASIL S.A. - BANCO MÚLTIPLO;43818780;b2;I;3;;8;BARUERI;SP;01/06/2012;445540;97944;290062;36105;10837;5582;0;2311;0;2699;0;;;;;;;;
BANCO FICSA S.A.;61348538;b1;I;2;;8;SAO PAULO;SP;01/06/2012;439252;0;327238;24205;21835;25882;7747;6423;4375;21546;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SERRO AZUL - SICREDI UNIÃO RS;88894548;b3S;I;2;;9;CERRO LARGO;RS;01/06/2012;433534;0;119881;116262;109481;37353;15476;9808;6008;19264;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CATARATAS DO IGUAÇU - SICREDI CATARATAS DO IGUAÇU;78414067;b3S;I;2;;9;MEDIANEIRA;PR;01/06/2012;418275;0;195748;178759;18320;8111;4632;3012;1183;8510;0;;;;;;;;
BANCO A.J. RENNER S.A.;92874270;b1;I;2;;8;PORTO ALEGRE;RS;01/06/2012;408322;0;356517;17507;10641;4876;5294;2086;1848;9553;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS OURO VERDE DE MATO GROSSO - SICREDI OURO VERDE MT;26565770;b3S;I;2;;9;LUCAS DO RIO VERDE;MT;01/06/2012;390828;52;25005;167765;173327;8229;6633;2914;502;6401;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS CENTRO NORTE DO MATO GROSSO - SICREDI CENTRO NORTE MT;26529420;b3S;I;2;;9;NOVA MUTUM;MT;01/06/2012;388801;0;39071;155482;166892;12221;3667;2266;2562;6641;0;;;;;;;;
INTERCAP;50476;b1;C;2;;199;SAO PAULO;SP;01/06/2012;384077;0;45162;290280;10973;10551;4472;2748;13252;6638;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUARIBA;44469161;b3S;I;2;;9;GUARIBA;SP;01/06/2012;369447;112050;247587;8873;239;298;0;0;0;400;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;I;2;;9;SORRISO;MT;01/06/2012;366293;0;16214;91799;220190;20597;5071;3707;1453;7262;0;;;;;;;;
COOPERATIVA DE CRÉDITO DOS PEQUENOS EMPRESÁRIOS, MICROEMPRESÁRIOS E MICROEMPREENDEDORES - SICOOB CREDICOONAI.;53923116;b3S;I;3;;9;RIBEIRAO PRETO;SP;01/06/2012;364728;567;324693;12781;4004;4733;2682;3168;2202;9899;0;;;;;;;;
BANCO MODAL S.A.;30723886;b1;I;2;;8;RIO DE JANEIRO;RJ;01/06/2012;337319;77309;120430;57396;58938;22645;0;0;0;602;0;;;;;;;;
BANCO SEMEAR S.A.;795423;b1;I;2;;8;BELO HORIZONTE;MG;01/06/2012;329430;0;200313;25882;15746;7032;7223;6639;7293;59303;0;;;;;;;;
DESENBAHIA - AGENCIA DE FOMENTO DO ESTADO DA BAHIA S.A.;15163587;n1;I;1;;30;SALVADOR;BA;01/06/2012;328418;60572;61359;136111;26750;6756;904;5684;310;29972;0;;;;;;;;
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;;8;GUARULHOS;SP;01/06/2012;327121;245;242354;24521;23112;8221;4927;3498;2982;17262;0;;;;;;;;
UNICRED JOÃO PESSOA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE JOÃO PESSOA LTDA.;35571249;b3S;I;2;;9;JOAO PESSOA;PB;01/06/2012;323472;0;256734;29009;22899;4416;3605;1913;513;4382;0;;;;;;;;
COOPERATIVA CENTRO BRASILEIRA DE ECONOMIA E CRÉDITO MÚTUO DOS PROFISSIONAIS DA SAÚDE LTDA.;37395399;b3S;I;2;;9;GOIANIA;GO;01/06/2012;322500;0;192180;88406;16984;11194;2797;392;704;9844;0;;;;;;;;
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;;9;CAMPO MOURAO;PR;01/06/2012;312859;9847;164782;104575;20876;9478;1612;775;104;811;0;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;;9;LINHARES;ES;01/06/2012;308060;12;104804;128161;47471;7728;2337;3456;2020;12072;0;;;;;;;;
BANCO TRICURY S.A.;57839805;b2;I;2;;8;SAO PAULO;SP;01/06/2012;300278;134;103957;121708;52839;16231;0;0;2499;2909;0;;;;;;;;
COOPERATIVA DE CRÉDITO DOS MÉDICOS, PROFISSIONAIS DA ÁREA DA SAÚDE, PROFESSORES, CONTABILISTAS E EMPRESÁRIOS DA GRANDE FLORIANÓPOLIS LTDA. - UNICRED FLORIANÓPOLIS;74064502;b3S;I;2;;9;FLORIANOPOLIS;SC;01/06/2012;293928;0;171930;104537;11260;2074;1035;301;341;2450;0;;;;;;;;
