cat;Categoria;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;mar/18;35.369.571;324.213;3.040.355;6.584.754;7.528.087;1.986.178;614.383;5.099;20.083.069;30.224;379.610;1.010.757;1.268.149;349.022;142.084;775;3.180.622;82.086;1.663.233;1.946.877;76.928;3.890;14.311;4.758;3.792.084;86.587;3.528.798;300.945;1.539;1;0;0;3.917.869;0;0;0;0;0;0;0;0;145.552;559.638;835.481;1.033.830;413.535;283.481;18.163;3.289.682;753;22.132;33.445;34.869;4.396;856;0;96.451;1.456;247.138;644.054;105.376;8.985;2.786;0;1.009.795;0;0;0;0;0;0;0;0
b3S%;b3S - Cooperativa de Crédito Singulares;mar/18;2,07%;2,83%;6,48%;7,97%;7,56%;8,95%;7,62%;0,32%;7,37%;2,72%;4,03%;5,37%;4,08%;2,33%;0,54%;0,04%;3,07%;3,48%;6,34%;20,69%;11,63%;3,36%;1,45%;1,84%;9,47%;12,50%;5,58%;1,53%;0,09%;0,00%;0,00%;0,00%;4,54%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;1,79%;3,88%;4,94%;5,08%;4,92%;4,62%;0,82%;4,30%;0,03%;0,07%;0,04%;0,03%;0,01%;0,00%;0,00%;0,02%;1,40%;2,86%;2,36%;1,02%;0,21%;0,07%;0,00%;1,86%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b3C;b3C - Central e Confederação de Cooperativas de Crédito;mar/18;1.141.052;23;204.185;706.471;133.014;25.281;5.892;0;1.074.865;0;862;2.564;4.243;332;641;0;8.641;0;0;2.906;989;0;0;0;3.895;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503;9.244;18.307;7.651;63;8;164;35.939;1.324;983;11.869;2.911;624;0;0;17.711;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;mar/18;0,07%;0,00%;0,44%;0,85%;0,13%;0,11%;0,07%;0,00%;0,39%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,03%;0,15%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,06%;0,11%;0,04%;0,00%;0,00%;0,01%;0,05%;0,05%;0,00%;0,02%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
b4;b4 - Banco de Desenvolvimento;mar/18;313.029.388;9.089;67.702;149.300;179.306;130.454;1.055;125.887;662.793;20.767;84.794;223.722;412.061;123.977;32.148;448;897.916;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;253;291;0;0;0;0;544;1.331;12.463;45.995;80.214;29.400;2.792;0;172.195;1.105.122;13.233.085;30.612.002;69.689.020;51.127.603;112.074.021;27.564.612;305.405.464;1.935;218.933;926.205;1.899.854;1.345.577;1.497.728;242;5.890.475;0;0;0;0;0;0;0;0
b4%;b4 - Banco de Desenvolvimento;mar/18;18,29%;0,08%;0,14%;0,18%;0,18%;0,59%;0,01%;7,86%;0,24%;1,87%;0,90%;1,19%;1,33%;0,83%;0,12%;0,03%;0,87%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,02%;0,09%;0,27%;0,39%;0,35%;0,05%;0,00%;0,22%;38,87%;39,93%;39,88%;51,06%;59,18%;62,95%;55,61%;54,22%;1,86%;2,54%;3,39%;18,42%;31,99%;39,17%;5,22%;10,83%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
n1;n1 - Não Bancário de Crédito;mar/18;9.368.670;34.263;226.349;366.922;367.302;81.402;3.270;0;1.079.508;45.237;620.297;1.359.179;2.074.449;617.508;224.562;3.003;4.944.236;0;5.067;4.361;1.890;0;0;0;11.319;9.077;184.313;204.865;3.868;1;0;0;402.124;0;0;0;0;0;0;0;0;2.078;6.233;20.625;32.616;8.477;1.145;0;71.174;35.590;140.683;420.035;980.331;597.032;447.429;1.962;2.623.063;2.613;10.342;25.837;88.275;71.060;29.421;0;227.547;0;9.159;33;83;77;346;0;9.699
n1%;n1 - Não Bancário de Crédito;mar/18;0,55%;0,30%;0,48%;0,44%;0,37%;0,37%;0,04%;0,00%;0,40%;4,07%;6,59%;7,22%;6,68%;4,12%;0,85%;0,17%;4,77%;0,00%;0,02%;0,05%;0,29%;0,00%;0,00%;0,00%;0,03%;1,31%;0,29%;1,04%;0,22%;0,00%;0,00%;0,00%;0,47%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,03%;0,04%;0,12%;0,16%;0,10%;0,02%;0,00%;0,09%;1,25%;0,42%;0,55%;0,72%;0,69%;0,25%;0,00%;0,47%;2,52%;0,12%;0,09%;0,86%;1,69%;0,77%;0,00%;0,42%;0,00%;0,18%;0,00%;0,00%;0,00%;0,08%;0,00%;0,03%
n2;n2 - Não Bancário de Mercado de Capitais;mar/18;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;154;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
n2%;n2 - Não Bancário de Mercado de Capitais;mar/18;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
C;n4 - Instituições de Pagamento;mar/18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
C%;n4 - Instituições de Pagamento;mar/18;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%
I;C - Conglomerado;mar/18;1.118.732.889;7.855.232;36.523.494;59.206.632;67.474.419;15.443.789;5.572.723;1.301.093;193.377.382;835.347;6.056.753;13.332.972;24.207.874;13.214.849;25.799.746;1.735.913;85.183.455;1.704.529;23.740.008;5.605.570;573.944;111.905;973.747;253.478;32.963.180;503.220;53.471.283;14.620.328;1.593.212;307.752;108.421;510.549;71.114.765;1.337.642;39.534.217;48.809.786;21.513.859;14.314.366;18.772.435;0;144.282.304;5.465.304;12.036.179;14.058.102;16.865.000;6.925.469;5.136.294;2.106.591;62.592.939;1.109.483;12.896.711;31.546.571;41.159.632;20.405.079;29.344.945;12.549.860;149.012.281;74.070;7.292.613;23.464.670;7.562.396;2.212.622;2.126.252;4.391;42.737.015;774.912;2.629.942;6.992.796;9.144.413;1.769.086;236.352;9.104;21.556.605
I%;C - Conglomerado;mar/18;65,36%;68,45%;77,82%;71,65%;67,76%;69,58%;69,08%;81,22%;70,97%;75,16%;64,33%;70,83%;77,94%;88,06%;97,30%;99,66%;82,16%;72,17%;90,46%;59,57%;86,74%;96,64%;98,55%;98,16%;82,33%;72,65%;84,52%;74,51%;91,84%;92,69%;99,91%;100,00%;82,44%;86,99%;82,87%;85,85%;87,98%;92,09%;99,96%;0,00%;87,51%;67,25%;83,53%;83,11%;82,84%;82,37%;83,67%;95,26%;81,75%;39,02%;38,91%;41,10%;30,15%;23,62%;16,48%;25,32%;26,46%;71,33%;84,50%;85,87%;73,30%;52,60%;55,61%;94,78%;78,55%;60,49%;50,78%;63,85%;69,65%;87,97%;53,24%;95,23%;65,31%
;I - Instituição independente;mar/18;592.793.267;3.619.960;10.411.566;23.427.904;32.099.329;6.750.623;2.494.168;300.935;79.104.484;276.019;3.358.142;5.489.883;6.852.878;1.791.256;716.626;5.878;18.490.683;657.290;2.505.054;3.803.859;87.717;3.890;14.311;4.758;7.076.879;189.408;9.791.475;5.002.092;141.589;24.258;93;0;15.148.916;200.099;8.172.234;8.045.659;2.938.797;1.229.034;7.281;487;20.593.591;2.662.026;2.373.654;2.857.418;3.493.147;1.482.131;1.002.234;104.925;13.975.535;1.733.960;20.245.192;45.214.640;95.337.229;65.984.771;148.701.439;37.016.122;414.233.354;29.776;1.337.805;3.860.189;2.754.092;1.993.903;1.697.210;242;11.673.216;506.126;2.549.564;3.958.469;3.983.779;241.839;207.619;456;11.447.853
;I - Instituição independente;mar/18;34,64%;31,55%;22,18%;28,35%;32,24%;30,42%;30,92%;18,78%;29,03%;24,84%;35,67%;29,17%;22,06%;11,94%;2,70%;0,34%;17,84%;27,83%;9,54%;40,43%;13,26%;3,36%;1,45%;1,84%;17,67%;27,35%;15,48%;25,49%;8,16%;7,31%;0,09%;0,00%;17,56%;13,01%;17,13%;14,15%;12,02%;7,91%;0,04%;100,00%;12,49%;32,75%;16,47%;16,89%;17,16%;17,63%;16,33%;4,74%;18,25%;60,98%;61,09%;58,90%;69,85%;76,38%;83,52%;74,68%;73,54%;28,67%;15,50%;14,13%;26,70%;47,40%;44,39%;5,22%;21,45%;39,51%;49,22%;36,15%;30,35%;12,03%;46,76%;4,77%;34,69%
