cat;Categoria;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica
b3S;b3S - Cooperativa de Crédito Singulares;set/20;76.312.580;292.691;4.435.695;13.050.388;22.428.780;6.208.897;2.068.656;10.943;48.496.050;20.340;895.398;2.731.082;4.554.025;1.792.559;701.834;3.255;10.698.492;162.831;1.434.055;1.704.629;116.910;2.017;9.991;178;3.430.610;125.375;3.276.821;315.938;938;229;657;0;3.719.959;0;0;0;0;0;0;0;0;177.712;1.106.366;2.062.334;2.545.103;1.250.358;893.338;2.951;8.038.161;1.729;45.344;166.803;373.472;138.841;7.419;0;733.607;183;135.553;697.386;302.298;48.119;12.161;0;1.195.700;0;0;0;0;0;0;0;0;
b3S%;b3S - Cooperativa de Crédito Singulares;set/20;3,59%;6,89%;8,11%;8,20%;10,48%;12,13%;18,12%;0,74%;9,78%;2,69%;6,38%;7,39%;7,80%;7,12%;1,96%;0,25%;6,21%;8,76%;9,38%;24,14%;7,95%;0,15%;1,21%;0,10%;12,22%;18,92%;4,23%;0,90%;0,03%;0,05%;0,68%;0,00%;3,12%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;3,74%;5,17%;8,54%;11,92%;11,50%;12,15%;0,15%;8,75%;0,13%;0,23%;0,31%;0,33%;0,19%;0,00%;0,00%;0,15%;0,17%;2,58%;3,18%;4,45%;1,50%;0,33%;0,00%;2,92%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b3C;b3C - Central e Confederação de Cooperativas de Crédito;set/20;1.191.248;0;153.756;466.883;237.024;34.667;6.136;0;898.466;0;661;2.109;6.703;1.770;186;0;11.431;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;7.915;31.937;124.272;72.793;2.071;164;239.168;0;262;11.887;30.034;0;0;0;42.183;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
b3C%;b3C - Central e Confederação de Cooperativas de Crédito;set/20;0,06%;0,00%;0,28%;0,29%;0,11%;0,07%;0,05%;0,00%;0,18%;0,00%;0,00%;0,01%;0,01%;0,01%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,04%;0,13%;0,58%;0,67%;0,03%;0,01%;0,26%;0,00%;0,00%;0,02%;0,03%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
b4;b4 - Banco de Desenvolvimento;set/20;293.747.009;8.502;49.786;204.339;636.479;198.152;17.482;97.963;1.212.704;5.474;80.216;298.975;685.918;338.635;246.391;2.388;1.657.997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.166;61.390;114.610;111.639;22.960;4.463;0;325.227;855.085;6.436.405;24.180.982;55.559.362;42.485.705;124.279.736;30.947.758;284.745.033;2.664;253.566;1.119.424;1.823.102;1.131.079;1.476.213;0;5.806.049;0;0;0;0;0;0;0;0;
b4%;b4 - Banco de Desenvolvimento;set/20;13,80%;0,20%;0,09%;0,13%;0,30%;0,39%;0,15%;6,64%;0,24%;0,72%;0,57%;0,81%;1,18%;1,35%;0,69%;0,19%;0,96%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,21%;0,29%;0,47%;0,52%;0,21%;0,06%;0,00%;0,35%;62,56%;32,85%;44,28%;49,64%;59,48%;66,42%;70,62%;58,13%;2,42%;4,83%;5,10%;26,81%;35,36%;40,42%;0,00%;14,17%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n1;n1 - Não Bancário de Crédito;set/20;10.969.475;45.474;178.001;401.834;544.299;135.462;21.893;364;1.327.328;38.695;658.261;1.621.783;2.578.821;918.155;304.184;15.115;6.135.013;3.390;16.347;9.715;0;0;0;0;29.453;13.996;229.111;342.102;25.629;8.164;11.752;37;630.789;0;0;0;0;0;0;0;0;8.179;41.107;31.308;30.288;14.258;5.415;0;130.554;8.949;141.584;411.465;1.073.275;555.381;320.786;1.152;2.512.592;1.243;7.427;13.212;93.472;16.801;20.062;0;152.217;2;6;51.349;50;47;77;0;51.530;
n1%;n1 - Não Bancário de Crédito;set/20;0,52%;1,07%;0,33%;0,25%;0,25%;0,26%;0,19%;0,02%;0,27%;5,12%;4,69%;4,39%;4,42%;3,65%;0,85%;1,18%;3,56%;0,18%;0,11%;0,14%;0,00%;0,00%;0,00%;0,00%;0,10%;2,11%;0,30%;0,97%;0,86%;1,69%;12,13%;0,00%;0,53%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,17%;0,19%;0,13%;0,14%;0,13%;0,07%;0,00%;0,14%;0,65%;0,72%;0,75%;0,96%;0,78%;0,17%;0,00%;0,51%;1,13%;0,14%;0,06%;1,37%;0,53%;0,55%;0,00%;0,37%;0,00%;0,00%;0,97%;0,00%;0,01%;0,04%;0,00%;0,30%;
n2;n2 - Não Bancário de Mercado de Capitais;set/20;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;219;219;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n2%;n2 - Não Bancário de Mercado de Capitais;set/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,01%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
n4;n4 - Instituições de Pagamento;set/20;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;15;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
n4%;n4 - Instituições de Pagamento;set/20;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;0,00%;
C;C - Conglomerado;set/20;1.491.954.417;2.592.534;43.596.813;127.303.377;157.359.145;38.291.313;7.693.154;1.332.110;378.168.446;602.012;9.587.275;26.189.681;40.429.448;19.031.950;34.341.943;1.260.295;131.442.604;1.462.327;13.557.563;4.501.855;1.352.316;1.385.342;813.976;171.736;23.245.115;497.036;68.594.063;29.342.713;2.394.714;373.391;30.967;2.256.765;103.489.649;1.038.287;35.944.271;79.278.184;32.759.654;26.975.025;6.479.177;5.950;182.480.548;3.778.963;17.913.338;19.623.590;16.687.897;8.696.526;5.933.647;2.011.354;74.645.315;307.800;6.341.565;17.142.520;30.557.893;11.641.878;23.885.439;5.795.012;95.672.107;52.115;4.381.540;16.924.530;3.636.177;1.666.418;1.971.757;849;28.633.386;1.239.247;1.049.045;2.415.637;4.069.530;720.479;98.793;2.378;9.595.110;
C%;C - Conglomerado;set/20;70,11%;61,01%;79,69%;80,03%;73,53%;74,81%;67,41%;90,35%;76,23%;79,70%;68,36%;70,84%;69,26%;75,63%;96,12%;97,97%;76,29%;78,68%;88,66%;63,76%;91,92%;99,85%;98,79%;99,90%;82,82%;75,02%;88,56%;83,48%;80,32%;77,46%;31,96%;100,00%;86,90%;62,14%;83,21%;87,05%;89,44%;96,70%;97,72%;100,00%;88,11%;79,44%;83,71%;81,31%;78,13%;79,99%;80,68%;99,06%;81,22%;22,52%;32,37%;31,39%;27,30%;16,30%;12,76%;13,22%;19,53%;47,42%;83,47%;77,06%;53,48%;52,09%;53,99%;100,00%;69,88%;92,74%;49,23%;45,65%;54,87%;83,98%;47,63%;28,48%;55,62%;
I;I - Instituição independente;set/20;635.990.333;1.656.813;11.108.715;31.763.949;56.639.642;12.891.791;3.720.126;142.338;117.923.373;153.334;4.437.405;10.782.150;17.941.485;6.132.729;1.387.867;26.101;40.861.071;396.296;1.733.647;2.559.259;118.881;2.017;9.991;178;4.820.269;165.521;8.862.015;5.807.797;586.828;108.626;65.932;37;15.596.755;632.543;7.254.763;11.791.012;3.869.663;921.806;151.049;0;24.620.836;977.937;3.486.719;4.511.681;4.670.271;2.175.909;1.421.224;19.187;17.262.928;1.059.069;13.249.701;37.467.739;81.373.358;59.786.463;163.240.519;38.029.286;394.206.134;57.785;867.931;5.038.519;3.162.811;1.532.514;1.680.103;0;12.339.663;97.022;1.081.993;2.876.101;3.347.370;137.446;108.642;5.971;7.654.545;
I%;I - Instituição independente;set/20;29,89%;38,99%;20,31%;19,97%;26,47%;25,19%;32,59%;9,65%;23,77%;20,30%;31,64%;29,16%;30,74%;24,37%;3,88%;2,03%;23,71%;21,32%;11,34%;36,24%;8,08%;0,15%;1,21%;0,10%;17,18%;24,98%;11,44%;16,52%;19,68%;22,54%;68,04%;0,00%;13,10%;37,86%;16,79%;12,95%;10,56%;3,30%;2,28%;0,00%;11,89%;20,56%;16,29%;18,69%;21,87%;20,01%;19,32%;0,94%;18,78%;77,48%;67,63%;68,61%;72,70%;83,70%;87,24%;86,78%;80,47%;52,58%;16,53%;22,94%;46,52%;47,91%;46,01%;0,00%;30,12%;7,26%;50,77%;54,35%;45,13%;16,02%;52,37%;71,52%;44,38%;
