Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica;;;;;;;;;;;;
HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS;7512441;n1;I;2;S4;14;DOIS IRMAOS;RS;01/03/2018;9131;446;698;1521;1075;192;19;0;3951;8;18;40;38;0;0;0;104;0;0;0;0;0;0;0;0;681;2886;943;564;1;0;0;5076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DO PODER EXECUTIVO FEDERAL, DOS SERVIDORES DA SECRETARIA DE SAÚDE E DOS TRABALHADORES EM ENSINO DO DISTRITO FEDERAL LTDA.   SICOOB EXECUTIVO;694877;b3S;I;2;S5;9;BRASILIA;DF;01/03/2018;9104;195;448;1180;2223;1163;712;0;5921;4;106;297;754;204;10;0;1374;0;1444;57;0;0;0;0;1502;2;57;21;0;0;0;0;79;0;0;0;0;0;0;0;0;96;44;56;31;0;0;0;227;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE GUAXUPÉ LTDA. - SICOOB ACICREDI;1699652;b3S;I;2;S5;9;GUAXUPE;MG;01/03/2018;9008;122;1220;2334;832;362;1;0;4871;21;103;151;176;12;0;0;464;0;802;1;0;0;0;0;802;0;2253;222;1;0;0;0;2476;0;0;0;0;0;0;0;0;103;253;39;0;0;0;0;396;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CURVELO LTDA. - SICOOB CREDICENTRO;21682737;b3S;I;2;S5;9;CURVELO;MG;01/03/2018;8831;467;476;1104;1733;449;0;0;4228;4;234;640;928;139;0;0;1945;0;213;1181;0;0;0;0;1394;21;512;62;0;0;0;0;595;0;0;0;0;0;0;0;0;71;14;0;0;0;0;0;84;0;0;0;0;0;0;0;0;0;0;584;0;0;0;0;584;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CERES E RIALMA LTDA;9576849;b3S;I;2;S5;9;CERES;GO;01/03/2018;8829;25;921;1638;2196;74;0;0;4854;0;93;152;268;18;0;0;530;0;76;53;136;0;0;0;265;0;2721;341;1;0;0;0;3063;0;0;0;0;0;0;0;0;1;115;1;0;0;0;0;116;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE MINEIRO LTDA.- UNICRED LESTE MINEIRO;1110032;b3S;I;2;S5;9;GOVERNADOR VALADARES;MG;01/03/2018;8745;17;228;423;382;62;71;0;1182;115;364;845;1459;1026;923;0;4732;0;1306;1077;300;0;0;0;2683;5;77;6;0;0;0;0;88;0;0;0;0;0;0;0;0;10;50;0;0;0;0;0;60;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E PROFISSIONAIS DA SAÚDE DA REGIÃO DE CARATINGA, MANHUAÇU E CARANGOLA LTDA. - SICOOB PROFISSIONAIS DA SAÚDE;71261184;b3S;I;2;S5;9;CARATINGA;MG;01/03/2018;8661;8;998;2049;3377;509;3;0;6944;0;108;282;516;106;0;0;1013;0;155;120;75;0;0;0;350;0;208;145;0;0;0;0;353;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO E INVESTIMENTO D'OESTE DE RONDÔNIA;5597773;b3S;I;2;S5;9;NOVA BRASILANDIA;RO;01/03/2018;8499;17;3514;2149;472;2;0;0;6154;14;57;131;160;0;0;0;362;0;55;741;71;0;0;0;866;30;990;23;0;0;0;0;1044;0;0;0;0;0;0;0;0;13;59;0;0;0;0;0;72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE SANTO CRISTO - CRESOL SANTO CRISTO;6031727;b3S;I;2;S5;9;SANTO CRISTO;RS;01/03/2018;8405;106;1096;2257;2472;357;107;0;6397;5;94;270;662;93;44;0;1168;1;0;0;0;0;0;77;78;25;492;73;0;0;0;0;589;0;0;0;0;0;0;0;0;13;29;38;60;25;0;0;165;0;0;5;4;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA PIONEIRA - CRESOL PIONEIRA;971300;b3S;I;2;S5;9;DOIS VIZINHOS;PR;01/03/2018;8241;26;219;806;2054;441;0;0;3546;0;105;308;768;198;5;0;1384;14;7;0;0;0;0;78;99;23;546;67;0;0;0;0;636;0;0;0;0;0;0;0;0;68;197;800;1153;287;0;0;2505;1;2;16;29;23;0;0;70;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SINOSSERRA FINANCEIRA S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;22639377;n1;I;2;S4;14;NOVO HAMBURGO;RS;01/03/2018;8233;0;0;0;0;0;0;0;0;0;119;330;437;5;0;0;891;0;0;0;0;0;0;0;0;139;7061;142;0;0;0;0;7342;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CARMO DO RIO CLARO LTDA - SICOOB CREDICARMO;25743311;b3S;I;2;S5;9;CARMO DO RIO CLARO;MG;01/03/2018;8094;6;497;1501;1216;206;0;0;3426;0;47;73;106;9;0;0;235;0;294;571;0;0;0;0;865;10;2878;281;0;0;0;0;3169;0;0;0;0;0;0;0;0;4;80;131;184;0;0;0;399;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SENFF S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;11970623;n1;I;2;S5;14;CURITIBA;PR;01/03/2018;8089;1;623;706;744;114;0;0;2187;181;2303;2212;1177;23;0;0;5897;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA UNIÃO DOS PINHAIS - CRESOL UNIÃO DOS PINHAIS;2446089;b3S;I;2;S5;9;CORONEL VIVIDA;PR;01/03/2018;7993;13;445;1192;1301;109;0;0;3060;0;33;90;166;33;0;0;323;14;0;0;0;0;0;409;423;0;135;5;0;0;0;0;141;0;0;0;0;0;0;0;0;27;570;1598;1485;327;0;0;4007;0;1;9;16;14;0;0;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
AGÊNCIA DE FOMENTO DE ALAGOAS S.A.;10769660;n1;I;1;S4;30;MACEIO;AL;01/03/2018;7781;45;278;1088;2267;790;0;0;4468;0;8;29;20;0;0;0;58;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66;161;392;986;934;718;0;3256;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SOCIALCRED S/A - SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE;4316357;n1;I;2;S5;10;RIO DE JANEIRO;RJ;01/03/2018;7625;33;377;208;119;32;14;0;784;0;12;18;0;0;0;0;29;0;0;0;0;0;0;0;0;108;5996;707;0;0;0;0;6812;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS MÉDICOS E DEMAIS PROFISSIONAIS DE NÍVEL SUPERIOR DA ÁREA DE SAÚDE DE OURINHOS - OURICRED;2179673;b3S;I;2;S5;9;OURINHOS;SP;01/03/2018;7466;8;452;916;811;2;0;0;2188;18;363;921;1886;765;0;0;3953;0;610;2;0;0;0;7;619;0;582;100;0;0;0;0;682;0;0;0;0;0;0;0;0;12;12;0;0;0;0;0;24;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO PLANALTO SERRA DO RIO GRANDE DO SUL - CRESOL  PLANALTO SERRA;5863726;b3S;I;2;S5;9;SANANDUVA;RS;01/03/2018;7431;163;936;1735;1826;647;91;7;5405;39;134;357;480;26;0;0;1036;0;0;0;0;0;0;98;98;31;520;23;0;0;0;0;574;0;0;0;0;0;0;0;0;13;41;30;81;23;101;0;289;1;2;11;12;2;0;0;29;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS COMERCIANTES DE VEÍCULOS, PEÇAS E ACESSÓRIOS PARA VEÍCULOS DE CURITIBA E REGIÃO - SICREDI SINCOCRED PR;7070495;b3S;I;2;S5;9;CURITIBA;PR;01/03/2018;7401;14;572;1048;482;41;8;0;2165;0;77;204;210;14;0;0;505;141;1068;416;0;0;0;0;1625;39;2420;160;0;0;0;0;2619;0;0;0;0;0;0;0;0;58;220;105;71;15;0;17;487;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE JATAÍ E REGIÃO LTDA.;10143499;b3S;I;2;S5;9;JATAI;GO;01/03/2018;7338;57;1302;2158;756;84;0;0;4357;0;46;136;64;0;0;0;246;0;271;9;0;0;0;0;280;0;2296;155;0;0;0;0;2452;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SICREDI PIAUÍ - COOPERATIVA DE CRÉDITO DOS PROFISSIONAIS DA SAÚDE DAS REGIÕES CENTRO E NORTE DO PIAUÍ;3128973;b3S;I;2;S5;9;TERESINA;PI;01/03/2018;7298;41;899;1929;2430;530;0;0;5829;0;68;136;130;21;0;0;356;0;587;519;0;0;0;0;1106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CREDITO DE LIVRE ADMISSÃO DA REGIÃO SUDESTE DE MINAS GERAIS LTDA. - SICOOB CREDISUCESSO;42887133;b3S;I;2;S5;9;BOM SUCESSO;MG;01/03/2018;7217;92;1148;1932;915;2;0;0;4088;1;79;198;205;25;0;0;509;0;64;646;11;0;0;0;721;29;1724;102;0;0;0;0;1855;0;0;0;0;0;0;0;0;38;7;0;0;0;0;0;44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
TODESCREDI S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9473806;n1;I;2;S4;14;BENTO GONCALVES;RS;01/03/2018;7177;26;136;131;82;0;0;0;375;188;3279;2756;349;0;0;0;6571;0;0;0;0;0;0;0;0;0;231;0;0;0;0;0;231;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CAPITÓLIO LTDA   SICOOB CREDICAPI;804046;b3S;I;2;S5;9;CAPITOLIO;MG;01/03/2018;7126;10;753;1561;1267;675;167;0;4432;0;72;204;363;170;0;0;808;0;730;486;184;0;0;0;1400;7;301;11;0;0;0;0;319;0;0;0;0;0;0;0;0;54;40;73;0;0;0;0;166;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS MICRO E PEQUENOS EMPRESÁRIOS E MICROEMPREENDEDORES DO GRANDE ABC - SICOOB GRANDE ABC.;7946216;b3S;I;2;S5;9;SANTO ANDRE;SP;01/03/2018;7048;38;1964;1334;1637;65;0;0;5037;0;0;0;0;0;0;0;0;0;336;0;0;0;0;0;336;23;1449;69;0;0;0;0;1540;0;0;0;0;0;0;0;0;21;113;0;0;0;0;0;134;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
AGENCIA DE FOMENTO DO RIO GRANDE DO NORTE S.A.;3848103;n1;I;1;S4;30;NATAL;RN;01/03/2018;6989;0;0;0;0;0;0;0;0;207;1191;2783;1811;0;0;0;5992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84;241;453;166;54;0;997;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;S4;9;CAMPO MOURAO;PR;01/03/2018;6939;0;88;34;0;0;0;0;122;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;0;0;0;161;0;0;0;0;0;0;0;0;0;5073;1322;184;76;0;0;6656;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS TRABALHADORES NA ÁREA DE SAÚDE, AFINS E EMPRESÁRIOS VINCULADOS À ACCI DE ERECHIM-RS-CREDISUL;7494300;b3S;I;2;S5;9;ERECHIM;RS;01/03/2018;6901;55;1435;1657;1232;154;0;0;4533;0;0;0;0;0;0;0;0;0;88;269;2;54;15;0;427;2;1382;91;0;0;0;0;1475;0;0;0;0;0;0;0;0;44;109;83;157;73;0;0;466;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S4;8;BELEM;PA;01/03/2018;6886;0;881;2220;87;0;0;0;3187;0;0;0;0;0;0;0;0;765;864;0;0;0;0;0;1629;0;0;0;0;0;0;0;0;0;672;0;0;0;0;0;672;396;553;177;84;0;0;0;1209;65;41;25;0;0;0;0;131;0;0;33;7;7;11;0;58;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS DESPACHANTES DE TRÂNSITO DE SANTA CATARINA E RIO GRANDE DO SUL - SICOOB CREDITRAN;4715685;b3S;I;2;S5;9;FLORIANOPOLIS;SC;01/03/2018;6839;61;280;587;556;115;0;0;1599;50;652;1574;1829;199;0;0;4304;0;38;699;3;0;0;0;739;0;91;4;0;0;0;0;95;0;0;0;0;0;0;0;0;59;44;0;0;0;0;0;102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DO PLANALTO SERRANO - SICOOB CREDISERRA SC;1692448;b3S;I;2;S5;9;URUPEMA;SC;01/03/2018;6800;36;452;1020;814;132;0;0;2455;16;122;418;639;124;0;0;1319;0;146;39;17;0;0;0;202;0;1819;70;0;0;0;0;1889;0;0;0;0;0;0;0;0;14;7;0;0;0;0;0;21;0;0;0;0;0;0;0;0;0;73;841;0;0;0;0;915;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE BOA VISTA LTDA.;2137018;b3S;I;2;S5;9;BOA VISTA;RR;01/03/2018;6781;95;775;1792;1784;0;0;0;4446;0;177;475;528;60;0;0;1240;0;1056;20;0;0;0;0;1076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;9;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
SOROCRED   CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;4814563;n1;I;2;S4;14;SOROCABA;SP;01/03/2018;6635;218;363;1093;1275;111;0;0;3060;368;809;1327;914;4;0;0;3421;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;81;68;5;0;0;0;0;154;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE  PARÁ DE MINAS LTDA - SICOOB CREDIRURAL;25387713;b3S;I;2;S5;9;PARA DE MINAS;MG;01/03/2018;6512;105;2359;749;1358;526;1;0;5097;6;72;155;292;89;0;0;613;0;23;40;0;0;0;0;62;0;663;51;0;0;0;0;714;0;0;0;0;0;0;0;0;1;23;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
CENTRAL DE COOPERATIVAS DE ECONOMIA E CRÉDITO MÚTUO DO ESTADO DO RIO GRANDE DO SUL LTDA - UNICRED CENTRAL RS;1634601;b3C;I;2;S4;9;PORTO ALEGRE;RS;01/03/2018;6442;0;1290;5152;0;0;0;0;6442;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DO VALE EUROPEU - CRESOL VALE EUROPEU;8297831;b3S;I;2;S5;9;BOTUVERA;SC;01/03/2018;6385;18;208;477;829;157;0;0;1689;0;35;95;259;127;2;0;518;8;0;0;0;0;0;69;77;6;281;0;0;0;0;0;288;0;0;0;0;0;0;0;0;963;470;1014;1012;99;50;0;3609;2;23;71;82;27;0;0;205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO BANDEIRANTES – SICREDI BANDEIRANTES SP;4853988;b3S;I;2;S5;9;SAO CARLOS;SP;01/03/2018;6294;26;271;671;761;27;0;0;1755;6;71;185;217;54;0;0;534;222;1076;125;0;0;0;0;1424;76;1953;121;0;0;0;0;2150;0;0;0;0;0;0;0;0;54;196;107;35;0;0;39;432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO E INVESTIMENTO DO OESTE - CREDISIS OESTE;4985665;b3S;I;2;S5;9;ESPIGAO D'OESTE;RO;01/03/2018;6260;8;734;980;0;0;0;0;1722;0;31;50;46;0;0;0;127;0;188;314;2;0;0;0;504;140;3638;119;0;0;0;0;3897;0;0;0;0;0;0;0;0;4;5;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
GREENCRED - COOPERATIVA DE CREDITO DOS MEDICOS, DEMAIS CATEGORIAS AFINS E PROFESSORES DE ENSINO SUPERIOR DE CURITIBA, REGIAO METROPOLITANA E LITORAL;2347114;b3S;I;2;S5;9;CURITIBA;PR;01/03/2018;6219;12;460;1133;1606;459;1;0;3671;0;4;5;0;0;0;0;9;0;389;94;0;0;0;0;483;0;10;0;0;0;0;0;10;0;0;0;0;0;0;0;0;1;279;651;966;150;0;0;2047;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS FORNECEDORES DE CANA E AGROPECUARISTAS DA REGIÃO OESTE PAULISTA - SICOOB COOPCRED;53623781;b3S;I;2;S5;9;VALPARAISO;SP;01/03/2018;6173;43;753;663;396;12;0;0;1868;0;42;144;320;156;6;0;668;0;589;1211;92;0;0;0;1892;8;1434;145;0;0;0;0;1587;0;0;0;0;0;0;0;0;113;45;0;0;0;0;0;159;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SECURITARIOS, DOS CORRETORES DE SEGUROS E DE CAPITALIZACAO DO RIO DE JANEIRO LTDA.;3930587;b3S;I;2;S5;9;RIO DE JANEIRO;RJ;01/03/2018;6120;72;423;1101;1765;305;0;0;3665;7;48;107;70;12;0;0;245;0;781;869;0;0;0;0;1650;0;431;35;0;0;0;0;466;0;0;0;0;0;0;0;0;9;85;0;0;0;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PALMEIRAS E REGIÃO LTDA.;37631058;b3S;I;2;S5;9;PALMEIRAS DE GOIAS;GO;01/03/2018;6092;66;353;1351;641;143;0;0;2553;0;69;205;328;20;0;0;622;0;118;1;0;0;0;0;119;108;1432;10;0;0;0;0;1551;0;0;0;0;0;0;0;0;28;56;1164;0;0;0;0;1248;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE IBIRAIARAS - CRESOL NORDESTE;6139650;b3S;I;2;S5;9;IBIRAIARAS;RS;01/03/2018;6025;53;260;204;383;79;14;0;993;1;16;39;81;86;0;0;222;69;2;0;0;0;0;59;130;18;130;19;0;0;0;0;167;0;0;0;0;0;0;0;0;1039;633;960;1379;361;39;0;4413;0;7;18;40;36;0;0;101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA CENTRAL DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA - CENTRAL CRESOL BASER;1401771;b3C;I;2;S4;9;FRANCISCO BELTRAO;PR;01/03/2018;6019;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503;127;62;109;45;0;0;845;1116;983;1310;1766;0;0;0;5174;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE FREDERICO WESTPHALEN - CRESOL FREDERICO WESTPHALEN;17343510;b3S;I;2;S5;9;FREDERICO WESTPHALEN;RS;01/03/2018;5958;40;458;1541;1231;434;379;0;4083;8;52;99;97;7;0;0;263;29;40;0;0;0;0;63;132;24;612;64;0;0;0;0;699;0;0;0;0;0;0;0;0;355;58;132;119;16;0;0;680;0;0;100;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS MICROS E PEQUENOS EMPRESÁRIOS E MICROEMPREENDEDORES DE SÃO CARLOS - SICOOB CREDIACISC;7669921;b3S;I;2;S5;9;SAO CARLOS;SP;01/03/2018;5930;125;1357;1309;1059;0;0;0;3851;4;47;101;101;0;0;0;253;0;275;422;0;0;0;0;696;86;879;28;0;0;0;0;993;0;0;0;0;0;0;0;0;17;51;70;0;0;0;0;137;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
