Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;PJ_CG_Vencido_15d;PJ_CG_Vencer_90d;PJ_CG_Vencer_91-360d;PJ_CG_Vencer_361-1080d;PJ_CG_Vencer_1081-1800d;PJ_CG_Vencer_1801-5400d;PJ_CG_Vencer_acima_5400d;PJ_CG_TOTAL;PJ_I_Vencido_15d;PJ_I_Vencer_90d;PJ_I_Vencer_91-360d;PJ_I_Vencer_361-1080d;PJ_I_Vencer_1081-1800d;PJ_I_Vencer_1801-5400d;PJ_I_Vencer_acima_5400d;PJ_I_TOTAL;PJ_CGR_Vencido_15d;PJ_CGR_Vencer_90d;PJ_CGR_Vencer_91-360d;PJ_CGR_Vencer_361-1080d;PJ_CGR_Vencer_1081-1800d;PJ_CGR_Vencer_1801-5400d;PJ_CGR_Vencer_acima_5400d;PJ_CGR_TOTAL;PJ_Recebiveis_Vencido_15d;PJ_Recebiveis_Vencer_90d;PJ_Recebiveis_Vencer_91-360d;PJ_Recebiveis_Vencer_361-1080d;PJ_Recebiveis_Vencer_1081-1800d;PJ_Recebiveis_Vencer_1801-5400d;PJ_Recebiveis_Vencer_acima_5400d;PJ_Recebiveis_TOTAL;PJ_Comex_Vencido_15d;PJ_Comex_Vencer_90d;PJ_Comex_Vencer_91-360d;PJ_Comex_Vencer_361-1080d;PJ_Comex_Vencer_1081-1800d;PJ_Comex_Vencer_1801-5400d;PJ_Comex_Vencer_acima_5400d;PJ_Comex_TOTAL;PJ_Outros_Vencido_15d;PJ_Outros_Vencer_90d;PJ_Outros_Vencer_91-360d;PJ_Outros_Vencer_361-1080d;PJ_Outros_Vencer_1081-1800d;PJ_Outros_Vencer_1801-5400d;PJ_Outros_Vencer_acima_5400d;PJ_Outros_TOTAL;PJ_Infra_Vencido_15d;PJ_Infra_Vencer_90d;PJ_Infra_Vencer_91-360d;PJ_Infra_Vencer_361-1080d;PJ_Infra_Vencer_1081-1800d;PJ_Infra_Vencer_1801-5400d;PJ_Infra_Vencer_acima_5400d;PJ_Infra_TOTAL;PJ_Rural_Vencido_15d;PJ_Rural_Vencer_90d;PJ_Rural_Vencer_91-360d;PJ_Rural_Vencer_361-1080d;PJ_Rural_Vencer_1081-1800d;PJ_Rural_Vencer_1801-5400d;PJ_Rural_Vencer_acima_5400d;PJ_Rural_TOTAL;PJ_Hab_Vencido_15d;PJ_Hab_Vencer_90d;PJ_Hab_Vencer_91-360d;PJ_Hab_Vencer_361-1080d;PJ_Hab_Vencer_1081-1800d;PJ_Hab_Vencer_1801-5400d;PJ_Hab_Vencer_acima_5400d;PJ_Hab_TOTAL;Total Exterior Pessoa Jurídica;;;;;;;;;;;;
BNP PARIBAS;51516;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;4829609;0;217434;82549;55986;8000;0;0;363969;0;10045;0;0;0;0;0;10045;0;107322;332345;23947;0;0;0;463614;0;366694;13932;0;0;0;0;380626;19370;408573;862751;269168;0;0;0;1559863;0;19083;80717;1697619;0;0;0;1797419;0;3800;212687;3519;22;0;0;220027;0;6526;11958;15561;0;0;0;34046;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;4602657;51;116843;431153;150222;18824;0;0;717093;773;104333;229597;206570;18465;1;0;559739;0;50074;51396;0;0;0;0;101470;29;815930;431530;98;0;0;0;1247586;0;214367;320471;53395;0;0;0;588233;0;605;1414;1621;0;0;0;3640;269;457247;331142;368036;184678;31687;0;1373059;0;4285;3777;3777;0;0;0;11838;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/03/2018;3945653;1898;69354;181798;3038;52;0;0;256139;8;19961;35864;26954;0;0;0;82787;0;0;0;0;0;0;0;0;11055;2082852;1461691;24267;0;0;0;3579866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1612;12585;12604;60;0;0;0;26861;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;3825751;6404;89025;259440;39532;100575;0;0;494976;0;0;316741;109058;109058;545290;381599;1461746;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;327946;138542;108671;110157;11631;0;696947;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1172081;;;;;;;;;;;;
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;3370446;34683;134858;402057;357126;15988;0;0;944712;0;0;0;0;0;0;0;0;0;39237;0;0;0;0;0;39237;54224;1546896;139515;83852;44509;40542;0;1909537;0;128158;102915;58785;4943;0;0;294801;14430;27222;18642;8765;0;0;0;69059;1449;7538;11404;56086;0;0;0;76477;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;36624;;;;;;;;;;;;
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;3293305;106678;558703;328116;513371;81107;49732;0;1637708;0;8701;3355;5677;0;0;0;17733;0;51553;13495;107;0;0;0;65156;0;0;0;0;0;0;0;0;10369;138619;320636;240264;12554;63135;0;785576;10672;36807;33418;108851;50127;37599;0;277474;0;18962;44851;86908;27185;12112;0;190017;0;11102;47613;6039;0;0;0;64754;0;0;0;0;0;0;0;0;254886;;;;;;;;;;;;
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/03/2018;3219356;105884;141167;478289;292221;13264;0;0;1030824;9;0;0;0;0;0;0;9;0;2841;433;0;0;0;0;3273;704;707160;99088;0;0;0;0;806952;43942;143935;108014;60699;20889;0;0;377479;34679;39948;39790;11527;1733;0;0;127676;0;0;0;0;0;0;0;0;0;22526;139480;7831;0;0;0;169837;0;0;0;0;0;0;0;0;703305;;;;;;;;;;;;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2018;3051465;9192;1243621;395179;0;0;0;0;1647992;5369;45654;99189;117962;15437;52;0;283663;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1727;5291;8680;7663;0;0;0;23361;14465;183467;261887;329013;78726;122;0;867680;258;37290;21839;95255;56301;17825;0;228768;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/03/2018;2985925;12974;130009;379160;348873;46182;0;5751;922950;0;12492;16362;1686;832;0;0;31373;0;0;0;0;0;0;0;0;0;29168;5218;0;0;0;0;34386;15990;224283;522162;184537;16129;0;0;963101;26042;15039;183384;330070;91812;7727;0;654075;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;380041;;;;;;;;;;;;
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/03/2018;2899981;1032;8533;15257;9887;352;0;0;35061;21372;46598;123898;174029;53473;402;0;419773;0;0;0;0;0;0;0;0;97;58349;42732;0;0;0;0;101178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;31977;300051;791439;1043763;171413;5325;0;2343969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;;
