Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Micro;Pequena;Média;Grande;Indisponível;Total não Individualizado Pessoa Jurídica;Total Exterior Pessoa Jurídica;;;;;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1237677;38409;187534;651047;360688;0;0;0;;;;;
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;1230821;40800;4013;484447;701561;0;0;0;;;;;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/03/2018;1204360;1002;22920;410625;769813;0;0;0;;;;;
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;1197274;312117;88926;461792;334432;0;7;0;;;;;
BANCO ABN AMRO S.A.;3532415;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1157481;0;0;0;1157481;0;0;0;;;;;
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2018;1155049;452142;426717;228110;47172;0;908;0;;;;;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/03/2018;1149379;201828;157691;606587;183273;0;0;0;;;;;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/03/2018;1101428;84911;34085;726597;255835;0;1;0;;;;;
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1089925;0;0;88203;1001722;0;0;0;;;;;
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;1033485;7025;227;837265;188967;0;0;0;;;;;
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/03/2018;1014270;208619;282716;516409;6526;0;0;0;;;;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2018;878420;58647;95849;440941;282983;0;0;0;;;;;
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/03/2018;849620;65848;197792;510027;75939;0;14;0;;;;;
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/03/2018;838536;95900;324577;358296;59762;0;0;0;;;;;
