Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO MÉDIO PIRACICABA E DO CIRCUITO DO OURO LTDA. - SICOOB CREDIMEPI;1644264;b3S;I;2;S5;9;JOAO MONLEVADE;MG;01/03/2018;18648;3;72;213;474;50;2;0;814;146;1452;3792;5441;1796;486;0;13113;8;180;483;914;89;1;0;1676;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;68;1363;1608;6;0;0;0;3045;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA SERRANA - CRESOL SERRANA;9476168;b3S;I;2;S5;9;CAPAO BONITO;SP;01/03/2018;18640;0;0;0;0;0;0;0;0;130;256;571;1103;366;0;0;2426;10;72;154;338;59;0;0;633;0;0;0;0;0;0;0;0;26;75;20;0;0;0;0;121;390;1237;3304;2760;2183;2783;0;12656;262;339;707;890;499;0;107;2804;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO OESTE MARANHENSE - SICOOB OESTE MARANHENSE;9424988;b3S;I;2;S5;9;ACAILANDIA;MA;01/03/2018;18614;10;643;1952;4656;371;1;0;7634;1444;2064;2651;1056;183;84;0;7482;2;67;172;239;0;0;0;480;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;764;0;0;0;764;604;1352;294;5;0;0;0;2254;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E CATEGORIAS AFINS-UNICRED NITEROI LTDA;1090027;b3S;I;2;S5;9;NITEROI;RJ;01/03/2018;18529;0;0;0;0;0;0;0;0;200;2813;6021;3948;392;80;0;13453;18;388;1098;1270;124;0;0;2899;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;1133;863;112;15;9;0;2178;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO DE DIVINÓPOLIS LTDA - SICOOB CREDIVERDE;25528753;b3S;I;2;S5;9;DIVINOPOLIS;MG;01/03/2018;18477;0;94;241;375;45;0;0;756;52;1162;3405;3302;276;1;0;8198;2;211;542;814;168;0;0;1738;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;436;1927;991;280;9;0;3664;265;2687;810;355;4;0;0;4120;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL DE RIO BRANCO LTDA.;5439425;b3S;I;2;S5;9;RIO BRANCO;AC;01/03/2018;18457;0;0;0;0;0;0;0;0;742;8768;4405;419;0;0;0;14333;81;402;866;538;0;0;0;1887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;73;2027;136;0;0;0;0;2237;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PEDRO LEOPOLDO LTDA - SICOOB CREDIPEL;71441406;b3S;I;2;S5;9;PEDRO LEOPOLDO;MG;01/03/2018;18411;16;317;774;1323;95;0;0;2526;212;887;1742;2528;493;29;0;5892;64;384;906;1036;37;0;0;2426;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;248;3100;1808;0;0;0;5157;177;1998;236;0;0;0;0;2411;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO SICREDI REGIÃO SUL DA BAHIA -SICREDI REGIÃO SUL DA BAHIA;97489280;b3S;I;2;S5;9;ITABUNA;BA;01/03/2018;18350;0;0;0;0;0;0;0;0;109;2585;5148;4680;433;18;0;12974;12;409;910;1020;72;0;0;2423;0;0;0;0;0;0;0;0;87;1026;263;0;0;0;0;1375;0;0;0;0;0;0;0;0;17;586;808;120;47;0;0;1578;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO NORTE SUL DA BAHIA LTDA.   SICOOB NORTE SUL;2876918;b3S;I;2;S5;9;GANDU;BA;01/03/2018;18313;0;687;2038;4261;51;0;0;7038;348;674;1881;1261;168;0;0;4333;39;212;487;520;37;0;0;1294;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;2530;1414;222;0;0;0;4215;144;498;790;0;0;0;0;1433;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE SACRAMENTO LTDA. - SICOOB SACRAMENTO;71154256;b3S;I;2;S5;9;SACRAMENTO;MG;01/03/2018;18305;0;0;0;0;0;0;0;0;451;1550;5336;1563;764;0;0;9666;8;86;202;283;38;0;0;617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;355;1063;4248;332;0;0;0;5997;1155;525;299;45;0;0;0;2024;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE CAMPINAS - COOPERUNICAMP;2285107;b3S;I;2;S5;9;CAMPINAS;SP;01/03/2018;18187;70;1472;3675;7879;2875;213;0;16185;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1997;5;0;0;0;0;0;2002;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE DO RIO GRANDE LTDA. - SICOOB UBERABA;25683475;b3S;I;2;S5;9;UBERABA;MG;01/03/2018;18082;2;3;5;0;0;0;0;9;574;2703;1982;899;0;0;0;6157;2;139;273;408;15;0;0;837;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;123;689;3986;2724;375;0;0;7896;151;1181;1206;550;94;0;0;3182;0;;;;;;;;;;;
BANCO TOPÁZIO S.A.;7679404;b1;I;2;S4;8;PORTO ALEGRE;RS;01/03/2018;17931;2;69;80;1;0;0;0;152;15;44;119;11;0;0;0;189;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;898;8282;8039;371;0;0;0;17590;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE ÁUREA - CRESOL ÁUREA;2904138;b3S;I;2;S5;9;AUREA;RS;01/03/2018;17866;0;0;0;0;0;0;0;0;0;36;149;273;165;0;0;623;30;82;184;178;11;0;0;483;0;0;0;0;0;0;0;0;0;26;2;0;0;0;0;28;93;2598;1883;2654;1884;2130;0;11242;195;982;1666;2031;488;76;52;5490;0;;;;;;;;;;;
GOLCRED S/A - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;7631026;n1;I;2;S4;14;SAO JOSE;SC;01/03/2018;17855;7;145;188;18;0;0;0;358;1543;2418;3365;1028;3;0;0;8357;106;1564;3503;3708;260;0;0;9140;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
SOCOPA;50328;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;17830;0;0;0;0;0;0;0;0;179;2294;5054;5516;0;0;0;13044;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;279;749;886;894;1830;36;4786;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE POUSO REDONDO - CRESOL POUSO REDONDO;10453077;b3S;I;2;S5;9;POUSO REDONDO;SC;01/03/2018;17723;0;0;0;0;0;0;0;0;3;405;882;1487;562;78;0;3418;5;87;236;483;110;0;0;921;0;0;0;0;0;0;0;0;15;148;21;0;0;0;0;184;14;2095;2403;1175;699;914;0;7300;251;1381;1827;2020;285;68;69;5901;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE CARMO DO CAJURU LTDA. - SICOOB CARMOCREDI;65239402;b3S;I;2;S5;9;CARMO DO CAJURU;MG;01/03/2018;17690;0;2;4;0;0;0;0;6;94;1973;3856;4009;521;0;0;10453;6;152;369;593;77;0;0;1196;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;443;1086;1241;81;0;0;2852;46;1789;753;421;173;1;0;3182;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO LESTE MINEIRO LTDA.- UNICRED LESTE MINEIRO;1110032;b3S;I;2;S5;9;GOVERNADOR VALADARES;MG;01/03/2018;17632;0;0;0;0;0;0;0;0;95;1059;2597;4418;2854;2945;0;13968;8;333;805;988;94;0;0;2228;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;474;304;200;147;264;0;1436;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MARECHAL CÂNDIDO RONDON E REGIÃO - SICOOB MARECHAL;7097064;b3S;I;2;S5;9;MARECHAL CANDIDO RONDON;PR;01/03/2018;17616;0;69;163;290;80;31;0;634;254;1290;2803;2264;604;22;0;7238;11;104;298;502;29;0;0;944;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;346;2066;4534;149;38;7;0;7140;132;890;616;15;5;0;0;1659;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS MUNICIPAIS DE LENÇÓIS PAULISTA - COOPERSERV;5667301;b3S;I;2;S5;9;LENCOIS PAULISTA;SP;01/03/2018;17514;30;720;3223;8356;5175;10;0;17514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DO VALE DAS ANTAS LTDA. - UNICRED VALE DAS ANTAS;94243839;b3S;I;2;S5;9;CASCA;RS;01/03/2018;17415;0;0;0;0;0;0;0;0;39;1429;3321;5614;2891;933;0;14227;34;62;184;336;203;90;0;908;0;13;36;75;58;86;0;267;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;537;227;95;1129;1;0;2013;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ASSOCIADOS DE GUARAMIRIM - CREVISC;10143743;b3S;I;2;S5;9;GUARAMIRIM;SC;01/03/2018;17342;0;0;0;0;0;0;0;0;195;2009;4214;3578;328;49;0;10374;81;575;1351;1486;108;0;0;3601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;149;909;1102;913;272;22;0;3368;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DA REGIÃO METROPOLITANA DE GOIÂNIA LTDA. - SECOVICRED;7599206;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;17329;2;29;49;48;12;0;0;140;323;1352;3514;5607;2040;1051;0;13886;7;27;100;228;28;0;0;391;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;161;1128;1244;202;162;14;0;2911;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE GUAPÉ LTDA - SICOOB CREDIGUAPÉ;71009237;b3S;I;2;S5;9;GUAPE;MG;01/03/2018;17297;0;0;0;0;0;0;0;0;4;429;1253;717;107;0;0;2511;1;65;153;213;1;0;0;433;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21;1919;7713;2147;528;34;0;12362;79;672;601;506;133;0;0;1990;0;;;;;;;;;;;
COOPERATIVA ECONOMIA CRÉDITO MÚTUO SERVIDORES E EMPREGADOS MUNIC PREF MUNIC BELO HORIZONTE BETIM BRUMADINHO CONTAGEM IBIRITÉ NOVA LIMA RIBEIRÃO DAS NEVES SABARÁ SANTA LUZIA VESPASIANO SICOOB CREDISERV;1864151;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/03/2018;17222;313;1894;4501;7338;2775;31;0;16852;15;89;190;63;6;0;0;363;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;3;1;0;0;0;0;7;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DO VALE DO ITAJAÍ E VALE DO ITAPOCÚ - SICOOB MULTICREDI;2883398;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2018;17150;2;65;183;301;40;0;0;592;180;1506;3106;4536;1785;719;0;11834;24;309;833;1256;137;0;0;2559;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;1268;759;0;0;0;0;2166;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO E INVESTIMENTO D'OESTE DE RONDÔNIA;5597773;b3S;I;2;S5;9;NOVA BRASILANDIA;RO;01/03/2018;17128;0;0;0;0;0;0;0;0;180;3606;2636;414;5;0;0;6841;6;107;222;237;12;0;0;584;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;16;5663;1606;0;0;0;0;7284;120;1584;579;135;0;0;0;2418;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS FEDERAIS DO MUNICÍPIO DE UBERABA E SUAS FUNDAÇÕES - SICOOB - CREDIMED LTDA.;71336432;b3S;I;2;S5;9;UBERABA;MG;01/03/2018;17125;2;831;2021;4758;2491;11;0;10114;21;899;2218;2210;20;0;0;5368;0;76;208;373;58;0;0;715;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28;889;11;0;0;0;0;928;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE NOVA ESPERANÇA DO SUDOESTE - CRESOL NOVA ESPERANÇA DO SUDOESTE;7926510;b3S;I;2;S5;9;NOVA ESPERANCA DO SUDOESTE;PR;01/03/2018;17110;0;0;0;0;0;0;0;0;16;225;634;958;377;0;0;2210;13;94;230;381;57;1;0;775;0;0;0;0;0;0;0;0;2;103;7;0;0;0;0;112;58;515;6085;2944;2155;1697;0;13455;9;63;107;181;114;0;84;558;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS EMPREGADOS DO GRUPO COLORADO;2024442;b3S;I;2;S5;9;GUAIRA;SP;01/03/2018;17013;26;2447;4739;7038;1400;1;0;15651;0;0;0;0;0;0;0;0;0;88;232;656;386;0;0;1362;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE MANAUS   SICOOB MANAUS;5580585;b3S;I;2;S5;9;MANAUS;AM;01/03/2018;16803;28;525;1337;3095;1957;1584;0;8526;561;674;1696;2451;849;693;0;6923;23;70;162;178;2;0;0;435;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;509;368;42;0;0;0;0;918;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE RIO FORTUNA - CRESOL RIO FORTUNA;7958405;b3S;I;2;S5;9;RIO FORTUNA;SC;01/03/2018;16702;10;136;260;165;9;0;0;581;2;133;300;698;269;2;0;1405;97;493;1086;1559;202;0;0;3437;0;0;0;0;0;0;0;0;5;55;9;0;0;0;0;69;46;1300;2432;2507;1329;1616;0;9230;41;511;616;638;94;46;34;1981;0;;;;;;;;;;;
GREENCRED - COOPERATIVA DE CREDITO DOS MEDICOS, DEMAIS CATEGORIAS AFINS E PROFESSORES DE ENSINO SUPERIOR DE CURITIBA, REGIAO METROPOLITANA E LITORAL;2347114;b3S;I;2;S5;9;CURITIBA;PR;01/03/2018;16694;0;0;0;0;0;0;0;0;114;2235;4783;5931;1363;6;0;14432;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;1269;646;326;0;0;0;2263;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO VALE RIO CRIXÁS LTDA.;7108146;b3S;I;2;S5;9;CRIXAS;GO;01/03/2018;16382;0;0;0;0;0;0;0;0;2;86;196;142;101;0;0;527;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;1556;7700;101;0;0;0;9366;2054;4399;36;0;0;0;0;6488;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DOS SERVIDORES PÚBLICOS, EMPRESAS PRIVADAS E SEUS EMPREGADOS DE VITÓRIA DA CONQUISTA LTDA. – SICOOB CREDCOOP;2528151;b3S;I;2;S5;9;VITORIA DA CONQUISTA;BA;01/03/2018;16353;67;1095;2670;5927;2977;2664;0;15401;3;38;95;123;30;1;0;290;2;75;173;238;39;0;0;526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35;98;4;0;0;0;0;137;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO E ECONOMIA COM INTERAÇÃO SOLIDÁRIA DE XANXERÊ - CRESOL XANXERÊ;7509426;b3S;I;2;S5;9;XANXERE;SC;01/03/2018;16182;0;7;13;14;0;0;0;35;1;31;101;88;19;0;0;240;6;65;156;322;81;3;0;633;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15;1639;3104;2503;1813;1991;0;11065;78;813;1342;1339;458;128;51;4208;0;;;;;;;;;;;
COOPERATIVA DE CREDITO RURAL COM INTERACAO SOLIDARIA DE GUARACIABA-CRESOL GUARACIABA;5400634;b3S;I;2;S5;9;GUARACIABA;SC;01/03/2018;15755;0;0;0;0;0;0;0;0;35;103;204;319;80;0;0;740;10;92;198;308;51;0;0;659;0;0;0;0;0;0;0;0;1;9;0;0;0;0;0;10;176;2894;3089;1674;1043;960;0;9836;388;1031;1446;1219;376;36;15;4511;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE SERVIDORES PÚBLICOS COOPERPLAN LTDA. - SICOOB COOPERPLAN;2674113;b3S;I;2;S5;9;BRASILIA;DF;01/03/2018;15637;35;571;1177;3157;3529;5037;0;13506;63;228;840;618;11;0;0;1760;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;19;345;8;0;0;0;0;371;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL ASCOOB ITAPICURU;3921543;b3S;I;2;S5;9;SANTALUZ;BA;01/03/2018;15515;20;203;514;1017;0;0;0;1754;470;846;1554;1722;572;245;0;5411;24;115;282;603;117;0;0;1141;0;0;0;0;0;0;0;0;16;158;21;0;0;0;0;195;14;59;22;0;0;0;0;95;477;2021;2946;1155;80;3;236;6918;0;;;;;;;;;;;
VALOR SOCIEDADE DE CRÉDITO AO MICROEMPREENDEDOR E À EMPRESA DE PEQUENO PORTE LTDA.;7799277;n1;I;2;S5;10;SAO PAULO;SP;01/03/2018;15200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6231;4488;4046;418;17;0;0;15200;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS POLICIAIS FEDERAIS DO RIO GRANDE DO SUL - SICREDI POL RS;3000142;b3S;I;2;S5;9;PORTO ALEGRE;RS;01/03/2018;15151;0;634;1778;3668;2630;2183;0;10893;0;206;749;298;22;0;0;1274;0;21;64;141;59;0;0;284;0;0;0;0;0;0;0;0;23;1316;344;1;0;0;0;1684;0;0;0;0;0;0;0;0;0;279;148;231;193;164;0;1015;0;;;;;;;;;;;
COOPERUFPA  - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS FEDERAIS E ESTADUAIS E DAS ENTIDADES DE ENSINO COM SEUS RESPECTIVOS FUNCIONÁRIOS NO ESTADO DO PARÁ;83325811;b3S;I;2;S5;9;BELEM;PA;01/03/2018;15084;0;3;4;0;0;0;0;7;383;2616;5483;5555;1019;20;0;15076;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MÚTUO DOS SERVIDORES DO MINISTERIO DA EDUCAÇÃO EM SÃO PAULO - COOPEMESP;73092827;b3S;I;2;S5;9;SAO PAULO;SP;01/03/2018;15063;38;1290;3128;6063;2491;11;0;13021;12;140;310;498;281;0;0;1242;0;8;21;55;9;0;0;93;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23;541;143;0;0;0;0;707;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS SERVIDORES PÚBLICOS ESTADUAIS DA PARAÍBA - CREDS LTDA.;3373150;b3S;I;2;S5;9;JOAO PESSOA;PB;01/03/2018;14887;40;888;2109;4059;2526;1826;0;11447;115;151;373;1013;55;0;0;1707;18;104;295;508;32;0;0;957;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;246;304;54;171;0;0;0;775;0;;;;;;;;;;;
COOPERATIVA DE CREDITO DE LIVRE ADMISSAO DE PARA DE MINAS LTDA - SICOOB ASCICRED;1009908;b3S;I;2;S5;9;PARA DE MINAS;MG;01/03/2018;14850;0;0;0;0;0;0;0;0;153;1364;2975;2727;46;0;0;7265;8;397;971;1313;31;0;0;2720;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;157;4307;397;4;0;0;0;4866;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE GOIÂNIA E MICRORREGIÕES LTDA.;1720488;b3S;I;2;S5;9;GOIANIA;GO;01/03/2018;14849;0;11;32;123;0;0;0;166;102;2412;2626;3773;581;37;0;9531;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1558;2628;0;0;0;4186;81;681;203;1;0;0;0;965;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO RURAL COM INTERAÇÃO SOLIDÁRIA DE APIÚNA - CRESOL APIÚNA;7215632;b3S;I;2;S5;9;APIUNA;SC;01/03/2018;14678;0;0;0;0;0;0;0;0;1;59;194;199;34;2;0;489;14;85;249;531;109;0;0;988;0;0;0;0;0;0;0;0;11;129;23;0;0;0;0;163;24;1520;2502;2174;1089;1079;0;8388;126;773;1464;1260;507;462;58;4650;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS COLABORADORES DA CEBRACE;53184438;b3S;I;2;S5;9;JACAREI;SP;01/03/2018;14539;69;738;3962;7051;2476;244;0;14539;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DA VILLARES METALS;53846242;b3S;I;2;S5;9;SUMARE;SP;01/03/2018;14493;34;889;3713;7453;2391;13;0;14493;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
SICOOB CREDINOVA - COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE NOVA SERRANA E REGIÃO CENTRO-OESTE LTDA.;1667766;b3S;I;2;S5;9;NOVA SERRANA;MG;01/03/2018;14491;3;70;177;365;0;0;0;615;46;1025;2489;4210;981;0;0;8751;0;97;207;216;0;0;0;520;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;112;3798;614;66;15;0;0;4606;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE ARAXÁ LTDA - SICOOB COOCREZ;71378426;b3S;I;2;S5;9;ARAXA;MG;01/03/2018;14294;0;0;0;0;0;0;0;0;92;1335;2645;2442;137;21;0;6671;66;635;1748;3338;712;0;0;6499;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22;388;129;145;441;0;0;1124;0;;;;;;;;;;;
BANCO KOMATSU DO BRASIL S.A.;23903068;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;14205;0;0;0;0;0;0;0;0;21;1499;4074;6869;1742;0;0;14205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DE PARAOPEBA LTDA. - SICOOB CREDIPARAOPEBA;22749014;b3S;I;2;S5;9;PARAOPEBA;MG;01/03/2018;14198;0;0;0;0;0;0;0;0;29;842;1944;2497;191;0;0;5502;0;170;206;249;0;0;0;626;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99;714;3146;2239;0;0;0;6199;37;1513;171;142;8;0;0;1871;0;;;;;;;;;;;
