Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total_Carteira_PF;PF_Consignado_Vencido_15d;PF_Consignado_Vencer_90d;PF_Consignado_Vencer_91-360d;PF_Consignado_Vencer_361-1080d;PF_Consignado_Vencer_1081-1800d;PF_Consignado_Vencer_1801-5400d;PF_Consignado_Vencer_acima_5400d;PF_Consignado_TOTAL;PF_Não_Consignado_Vencido_15d;PF_Não_Consignado_Vencer_90d;PF_Não_Consignado_Vencer_91-360d;PF_Não_Consignado_Vencer_361-1080d;PF_Não_Consignado_Vencer_1081-1800d;PF_Não_Consignado_Vencer_1801-5400d;PF_Não_Consignado_Vencer_acima_5400d;PF_Não_Consignado_TOTAL;PF_Veículos_Vencido_15d;PF_Veículos_Vencer_90d;PF_Veículos_Vencer_91-360d;PF_Veículos_Vencer_361-1080d;PF_Veículos_Vencer_1081-1800d;PF_Veículos_Vencer_1801-5400d;PF_Veículos_Vencer_acima_5400d;PF_Veículos_TOTAL;PF_Hab_Vencido_15d;PF_Hab_Vencer_90d;PF_Hab_Vencer_91-360d;PF_Hab_Vencer_361-1080d;PF_Hab_Vencer_1081-1800d;PF_Hab_Vencer_1801-5400d;PF_Hab_Vencer_acima_5400d;PF_Hab_TOTAL;PF_Cartão_Vencido_15d;PF_Cartão_Vencer_90d;PF_Cartão_Vencer_91-360d;PF_Cartão_Vencer_361-1080d;PF_Cartão_Vencer_1081-1800d;PF_Cartão_Vencer_1801-5400d;PF_Cartão_Vencer_acima_5400d;PF_Cartão_TOTAL;PF_Rural_Vencido_15d;PF_Rural_Vencer_90d;PF_Rural_Vencer_91-360d;PF_Rural_Vencer_361-1080d;PF_Rural_Vencer_1081-1800d;PF_Rural_Vencer_1801-5400d;PF_Rural_Vencer_acima_5400d;PF_Rural_TOTAL;PF_Outros_Vencido_15d;PF_Outros_Vencer_90d;PF_Outros_Vencer_91-360d;PF_Outros_Vencer_361-1080d;PF_Outros_Vencer_1081-1800d;PF_Outros_Vencer_1801-5400d;PF_Outros_Vencer_acima_5400d;Outros_TOTAL;Total_Exterior_PF;;;;;;;;;;;
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/03/2018;4853574;1537;61547;157668;325425;143179;11814;0;701170;446;8860;23347;42009;14984;1651;0;91297;0;0;0;4;4;2;0;10;0;140;282;751;749;3517;3280;8720;20885;413936;1743151;1790;1;0;0;2179762;0;96683;213807;564844;461205;469990;56;1806586;896;7012;33449;24274;336;63;0;66029;0;;;;;;;;;;;
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/03/2018;4737566;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;213;471;399;19;0;0;1106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5386;1009196;184946;1881322;1084903;458654;0;4624408;4442;50127;20200;31604;5653;26;0;112052;0;;;;;;;;;;;
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/03/2018;4318184;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;261;2993312;788078;216;0;0;0;3781868;0;0;0;0;0;0;0;0;210105;265056;61045;109;0;0;0;536316;0;;;;;;;;;;;
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/03/2018;4138949;0;0;0;0;0;0;0;0;18;158;1129;1907;821;0;0;4033;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33984;495963;809215;1681628;818256;278709;0;4117755;96;799;3472;6927;4480;1386;0;17160;0;;;;;;;;;;;
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/03/2018;4080597;530;15601;40130;51021;9059;300;0;116640;2888;8983;17779;12519;58;6;0;42233;0;0;0;0;0;0;0;0;0;2;6;15;15;74;132;243;7793;39123;11211;2;0;0;0;58129;30287;5789;9825;69052;757829;13490;0;886271;77188;1958915;912442;25784;1644;1101;8;2977081;0;;;;;;;;;;;
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/03/2018;4058891;14804;228916;563966;791154;264863;63100;0;1926801;94280;281974;602949;418119;48657;8702;0;1454682;653;2606;4574;3424;511;0;0;11768;11;1085;3783;8091;6289;17085;7781;44126;26349;236289;39996;580;0;0;0;303214;19288;6827;41205;48273;6673;4937;0;127202;38472;70895;55729;19729;4640;1401;232;191098;0;;;;;;;;;;;
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S4;8;BELEM;PA;01/03/2018;3894613;8491;194560;724401;1142465;461439;181320;0;2712676;23063;217494;401726;308669;45743;139;0;996834;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4938;29821;10268;1162;0;0;0;46189;0;0;472;4341;344;615;0;5772;5667;17705;36934;46778;17205;8791;62;133142;0;;;;;;;;;;;
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/03/2018;3722892;0;0;0;0;0;0;0;0;0;90;180;138;0;0;0;408;11256;479324;1194545;1920994;94224;124;0;3700468;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;247;3705;8522;9095;446;0;0;22016;0;;;;;;;;;;;
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/03/2018;3703394;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15272;239216;469708;1306635;882053;721401;141;3634425;881;6921;7959;25896;16194;11118;0;68969;0;;;;;;;;;;;
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/03/2018;3511717;37810;293969;766258;1351939;661295;263700;0;3374971;17325;26214;23887;1674;0;0;0;69100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15149;9244;10941;13066;7230;11540;477;67647;0;;;;;;;;;;;
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/03/2018;3361313;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67080;556528;1272886;1368100;96708;10;0;3361312;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;3279343;211;756;1678;642;0;0;0;3287;125314;191869;126417;3215;0;0;0;446816;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;576411;1685010;566079;1741;0;0;0;2829241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;3136321;3694;209910;533716;842702;356625;158585;0;2105232;242;20260;24779;21128;766;48;0;67224;3872;171670;380063;374590;26071;86;0;956352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;171;159;92;0;0;0;422;274;4149;2389;179;103;0;0;7092;0;;;;;;;;;;;
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/03/2018;2364156;4064;84168;260325;468924;245108;80049;0;1142639;3060;32146;70230;55128;10832;263;0;171659;692;3768;8591;9991;2148;13;0;25203;139;4147;12342;32083;31084;131435;110684;321914;11253;257535;10624;6736;0;0;0;286147;6941;10465;95426;101643;22910;550;0;237935;12286;58935;48722;36870;6494;15335;16;178659;0;;;;;;;;;;;
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/03/2018;2309120;323;1574;4200;596;0;0;0;6694;136;70;0;0;0;0;0;206;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;53;667073;753281;22772;0;0;0;1443179;0;0;0;0;0;0;0;0;670013;127299;58701;3029;0;0;0;859042;0;;;;;;;;;;;
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;2271901;17797;177549;469100;832977;390017;108636;0;1996076;47;364;755;1000;271;305;50;2792;12355;36749;77989;89411;5152;0;0;221656;0;39;110;283;293;1001;269;1994;66;963;0;0;0;0;0;1028;0;0;0;0;0;0;0;0;2130;2476;10316;27941;5165;327;0;48355;0;;;;;;;;;;;
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/03/2018;2152799;9222;62836;180093;291423;107857;38664;1;690095;11;50;132;230;89;37;0;548;0;0;0;0;0;0;0;0;6922;26765;58438;137599;122308;403395;64036;819463;15758;182752;0;0;0;0;0;198510;0;0;0;0;0;0;0;0;5291;18887;41630;106750;94366;176989;270;444182;0;;;;;;;;;;;
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;2067781;0;3;7;1;0;0;0;11;570143;860016;636185;1427;0;0;0;2067770;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;2056805;0;0;0;0;0;0;0;0;93462;138583;158802;53516;2215;0;0;446578;97933;274945;533821;455530;33409;0;0;1395639;0;0;0;0;0;0;0;0;53162;98478;17554;423;0;0;0;169616;0;0;0;0;0;0;0;0;7295;24501;13152;24;0;0;0;44971;0;;;;;;;;;;;
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/03/2018;2016450;1;238;889;1197;2;0;0;2326;9267;89938;181443;109719;74999;2618;0;467983;236;9738;24730;37813;7157;19;0;79693;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17780;101578;1024112;162893;29417;870;0;1336650;3148;49325;67386;9883;15;42;0;129798;0;;;;;;;;;;;
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/03/2018;1814024;2990;47046;102033;255064;183654;155853;48;746688;5371;86604;93324;89404;42829;24077;87;341696;0;0;0;0;0;0;0;0;374;4500;13897;36036;34375;144267;119508;352956;0;231696;37673;95;0;0;0;269464;569;4950;6495;12332;11259;13637;0;49241;3032;26100;24649;194;3;0;0;53978;0;;;;;;;;;;;
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;S3;25;BRASILIA;DF;01/03/2018;1722084;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11558;61970;188258;441930;234237;504337;261531;1703819;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230;374;1025;2620;2489;9297;2229;18264;0;;;;;;;;;;;
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/03/2018;1620118;14;481;1263;1306;0;0;0;3064;11264;156870;353357;402925;51677;7406;0;983499;399;6036;14915;21902;3592;7;0;46852;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11203;112548;238711;196174;23235;4831;0;586703;0;;;;;;;;;;;
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;S5;9;BRASILIA;DF;01/03/2018;1526553;712;27366;32437;60736;36194;8689;0;166134;10880;183409;286289;498954;306384;74502;0;1360419;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/03/2018;1319352;188;5933;15501;24664;11642;2754;0;60681;223638;321591;322466;790;0;0;0;868485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77646;232603;75420;5;0;0;0;385674;0;0;0;0;0;0;0;0;2131;124;2061;195;0;0;0;4512;0;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/03/2018;1186822;437;17494;50859;106615;54715;43915;0;274035;2866;26385;34212;31593;2275;54;0;97386;66;1172;3084;4300;588;0;0;9210;0;0;0;0;0;0;0;0;6837;53295;15104;138;2;0;0;75375;4825;196857;255171;76058;18081;1085;0;552076;11273;61335;58918;32408;10969;3480;356;178740;0;;;;;;;;;;;
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/03/2018;1181827;0;0;0;0;0;0;0;0;16541;37572;93015;135431;61839;50424;0;394824;87;1049;2727;4244;456;0;0;8562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6198;96484;424238;80045;26042;12338;0;645346;4378;26679;22632;44003;26108;9295;0;133095;0;;;;;;;;;;;
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1145071;0;0;0;0;0;0;0;0;1117;51376;6070;35945;0;0;0;94509;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12864;473510;374357;155890;15378;18563;0;1050562;0;;;;;;;;;;;
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/03/2018;1144391;229;1674;3751;5211;1062;13;0;11941;5937;22415;44856;51836;13385;3559;0;141988;84;111;245;293;28;0;0;761;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58266;125292;305685;256018;99626;81898;0;926786;3530;39201;20000;184;0;0;0;62916;0;;;;;;;;;;;
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/03/2018;1139919;211;89;77;23;9;0;0;409;10529;13204;17492;4315;0;0;0;45540;0;0;0;0;0;0;0;0;177;88;231;656;740;1163;116;3171;58673;114446;30482;16;0;0;0;203616;0;0;6049;6004;0;0;0;12053;22346;206392;210442;394501;41448;0;0;875129;0;;;;;;;;;;;
