Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/03/2018;1347768;0;500100;550207;183638;54570;18222;10748;4347;25935;0;;;;;;;;;;;;;
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/03/2018;1319729;0;772812;104281;85885;56669;53450;48052;37838;160742;0;;;;;;;;;;;;;
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;1234753;748533;486220;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/03/2018;1211917;118923;798391;95004;93804;52591;27965;15913;1931;7393;0;;;;;;;;;;;;;
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/03/2018;1204360;4946;95582;669551;308193;47846;23231;6658;3581;44771;0;;;;;;;;;;;;;
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/03/2018;1162719;533399;182828;165658;147899;33408;19762;26120;28693;24952;0;;;;;;;;;;;;;
BANCO ABN AMRO S.A.;3532415;b1;I;3;S4;8;SAO PAULO;SP;01/03/2018;1157481;416584;740897;0;0;0;0;0;0;0;0;;;;;;;;;;;;;
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/03/2018;1137337;256519;681658;109734;49666;10815;12102;2458;2765;11619;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/03/2018;1117091;23554;300330;420323;202777;51206;25238;15327;8774;69561;0;;;;;;;;;;;;;
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/03/2018;1103872;0;786031;61572;47047;36254;23685;22868;22071;104343;0;;;;;;;;;;;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/03/2018;1098770;0;353557;550296;94029;48662;13898;10929;4378;23020;0;;;;;;;;;;;;;
