Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior;;;
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;01/03/2018;713855;400481;0;2447;0;0;0;310782;0;0;0;0;0;111;0;35;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/03/2018;707125;660862;24141;0;0;0;0;22112;0;0;0;0;0;0;0;11;0;;;
BOFA MERRILL LYNCH;51255;b1;C;3;S3;199;SAO PAULO;SP;01/03/2018;705119;9;0;0;0;0;0;705110;0;0;0;0;0;0;0;0;0;;;
DACASA FINANCEIRA;51891;n1;C;2;S4;197;VITORIA;ES;01/03/2018;697432;691600;0;0;0;0;0;0;0;0;0;0;0;0;0;5831;0;;;
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;01/03/2018;691924;381182;0;0;0;0;0;217561;0;0;0;0;0;0;0;0;93182;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/03/2018;680386;551159;0;0;0;0;16150;112896;0;0;0;0;0;0;0;180;0;;;
AGÊNCIA DE FOMENTO DO ESTADO DE SANTA CATARINA S.A.-BADESC;82937293;n1;I;1;S4;30;FLORIANOPOLIS;SC;01/03/2018;671927;312430;0;116079;0;0;3019;0;218891;0;21104;0;0;404;0;0;0;;;
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;I;2;S4;9;SORRISO;MT;01/03/2018;664908;567479;0;0;0;0;7507;89789;0;0;0;0;0;0;0;133;0;;;
INDUSVAL;50531;b1;C;2;S4;199;SAO PAULO;SP;01/03/2018;652566;130989;72;498;0;0;19146;426320;0;25357;4076;158;0;6;45944;0;0;;;
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO - SICOOB CREDICOONAI;53923116;b3S;I;2;S4;9;RIBEIRAO PRETO;SP;01/03/2018;647326;645030;9;0;0;0;0;0;0;0;2269;0;0;0;0;18;0;;;
