Instituição financeira;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Prefixado;TR / TBF;TJLP;TLP;Libor;Outras Taxas Pós-Fixadas;Carteira ativa com indexador CDI;SELIC;Outras Taxas Flutuantes;IGPM;IPCA;IPCC;Outros Índices de Preço;Outros Indexadores;Total não Individualizado;Total Exterior
BANCO VOLKSWAGEN S.A.;59109165;b2;I;3;S3;8;SAO PAULO;SP;01/09/2019;16023435;11372302;0;778325;1190606;0;0;2481415;12402;0;0;0;0;0;188341;44;0
ABC-BRASIL;41856;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;14249075;4414299;0;128928;209722;0;0;7041407;12405;0;0;489737;0;7411;1001534;2;943630
BANCO REGIONAL DE DESENVOLVIMENTO DO EXTREMO SUL;92816560;b4;I;1;S3;5;PORTO ALEGRE;RS;01/09/2019;13354719;8331245;55951;2954781;439968;0;0;0;670852;0;501847;58931;0;55998;285139;7;0
MERCEDES-BENZ;51262;b2;C;3;S3;198;SAO PAULO;SP;01/09/2019;11371655;8715410;199826;1019181;1163702;0;0;0;273536;0;0;0;0;0;0;0;0
CITIBANK;30403;b1;C;3;S2;199;SAO PAULO;SP;01/09/2019;11316581;7676660;0;1969;0;0;0;3637854;96;0;0;0;0;0;0;0;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;I;1;S2;8;FORTALEZA;CE;01/09/2019;10501344;6940804;30052;458135;72;0;1351261;525071;0;23;1154606;0;0;40905;0;414;0
BANCO COOPERATIVO SICREDI S.A.;1181521;b1;I;2;S3;11;PORTO ALEGRE;RS;01/09/2019;10449612;9250877;310568;229174;353474;0;39209;266273;0;0;0;0;0;0;0;36;0
BMG;30290;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;10069782;9077583;0;0;0;0;16985;432697;0;0;0;0;0;0;58081;1861;482575
NU PAGAMENTOS S.A.;18236120;n4;I;2;;41;SAO PAULO;SP;01/09/2019;9651716;9530711;0;0;0;0;0;0;0;0;0;0;0;0;0;121005;0
BANCO GMAC S.A.;59274605;b2;I;3;S3;8;SAO PAULO;SP;01/09/2019;9622673;9622670;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
BRB;31976;b1;C;1;S3;199;BRASILIA;DF;01/09/2019;9589903;8595327;6553;37222;0;0;950660;0;0;0;0;0;0;0;0;141;0
CCB;32119;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;9149813;2660912;13713;0;0;0;0;1397823;0;1397712;8725;0;0;0;0;240;3670688
BANCO CNH INDUSTRIAL CAPITAL S.A.;2992446;b2;I;3;S3;8;CURITIBA;PR;01/09/2019;9143350;8903801;0;237017;0;0;0;0;2532;0;0;0;0;0;0;0;0
BANCO CSF S.A.;8357240;b2;I;3;S3;8;SAO PAULO;SP;01/09/2019;9001538;8995391;0;0;0;0;0;0;0;0;0;0;0;0;0;6147;0
BANCOOB;51750;b1;C;2;S3;199;BRASILIA;DF;01/09/2019;8664447;7743395;0;123442;0;0;0;622908;10262;0;0;163920;0;0;0;521;0
JOHN DEERE;50071;b1;C;3;S3;199;INDAIATUBA;SP;01/09/2019;8458816;7681381;0;63744;46141;652772;0;0;14778;0;0;0;0;0;0;0;0
ALFA;51293;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;7806668;5978902;0;210778;215938;0;2699;1306193;92091;0;0;0;0;0;0;66;0
ORIGINAL;51781;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;7357385;3638052;0;0;0;0;0;1168180;0;0;6712;0;0;0;1882763;850;660827
PORTO SEGURO;51444;n1;C;2;S4;197;SAO PAULO;SP;01/09/2019;7068159;7067228;0;0;0;0;0;0;0;0;0;0;0;0;0;931;0
BANCO TOYOTA DO BRASIL S.A.;3215790;b2;I;3;S4;8;SAO PAULO;SP;01/09/2019;6758187;6752156;0;0;0;0;0;6030;0;0;0;0;0;0;0;0;0
BANCO FIDIS S/A;62237425;b2;I;3;S4;8;BETIM;MG;01/09/2019;6010983;6010978;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0
BANCO DE LAGE LANDEN BRASIL S.A.;5040481;b2;I;3;S4;8;PORTO ALEGRE;RS;01/09/2019;5521822;5390225;0;30546;33347;0;0;61888;5817;0;0;0;0;0;0;0;0
MERCANTIL DO BRASIL;20152;b1;C;2;S3;199;BELO HORIZONTE;MG;01/09/2019;5054747;4075429;111282;0;0;0;201461;641189;5023;0;1;0;0;0;0;1293;19069
BANCO DO ESTADO DO PARÁ S.A.;4913711;b1;I;1;S3;8;BELEM;PA;01/09/2019;4574575;4569385;0;0;355;0;406;0;0;0;4370;0;0;0;0;58;0
MIDWAY S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;9464032;n1;I;2;S4;14;SAO PAULO;SP;01/09/2019;4570984;4531790;0;0;0;0;0;0;0;0;0;0;0;0;0;39194;0
BANCO DE DESENVOLVIMENTO DE MINAS GERAIS S.A.-BDMG;38486817;b4;I;1;S3;5;BELO HORIZONTE;MG;01/09/2019;4518265;1443579;113572;1219403;0;0;19;7812;687109;6119;214972;139909;0;11887;673884;0;0
INTER;51884;b1;C;2;S4;199;BELO HORIZONTE;MG;01/09/2019;4371422;1946905;324730;0;0;0;2096175;3014;0;0;0;0;0;0;0;598;0
BANCO VOLVO BRASIL S.A.;58017179;b2;I;3;S4;8;CURITIBA;PR;01/09/2019;4228293;3492110;0;620212;0;0;0;0;97488;0;18483;0;0;0;0;0;0
CREDIT SUISSE;30771;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;4214236;146332;0;0;0;876388;0;1648911;0;0;0;1254630;0;0;0;0;287975
BOCOM;52003;b1;C;3;S4;199;SALVADOR;BA;01/09/2019;4197641;403691;0;0;0;0;2936;2104472;0;0;0;2552;0;0;422007;0;1261983
BANESTES;30159;b1;C;1;S3;199;VITORIA;ES;01/09/2019;4161881;2604512;548654;33060;5190;0;2123;899983;0;0;1077;0;0;0;67010;272;0
ING;51073;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;3962870;86797;0;0;0;0;0;531581;0;3344490;0;0;0;0;2;0;0
HONDA;51396;b2;C;3;S4;198;SAO PAULO;SP;01/09/2019;3934956;3934936;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0
SCANIA BANCO S.A.;11417016;b2;I;3;S4;8;SAO BERNARDO DO CAMPO;SP;01/09/2019;3700150;3700150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SOFISA;31873;b1;C;2;S4;199;SAO PAULO;SP;01/09/2019;3628498;1052123;0;0;0;0;0;2373818;0;0;0;26407;0;0;135033;17;41100
BANCO FIBRA S.A.;58616418;b1;I;2;S3;8;SAO PAULO;SP;01/09/2019;3497652;1427058;0;0;0;0;247180;942968;0;0;0;0;0;0;173498;18;706930
BANCO DA AMAZONIA S.A.;4902979;b1;I;1;S3;2;BELEM;PA;01/09/2019;3354455;1724123;315890;80568;0;0;433939;645723;93051;352;16490;0;0;0;44300;20;0
PINE;50304;b1;C;2;S3;199;SAO PAULO;SP;01/09/2019;3324501;1469379;13642;23662;0;0;11237;1347216;20488;0;0;83603;0;0;281185;1;74088
PARANÁ BANCO;30881;b1;C;2;S4;199;CURITIBA;PR;01/09/2019;3289558;3240547;0;0;0;0;1516;23521;0;0;23256;0;0;0;0;718;0
COOPERATIVA DE CREDITO CREDICITRUS;54037916;b3S;I;2;S4;9;BEBEDOURO;SP;01/09/2019;3098838;2312105;7206;0;0;0;0;779366;155;0;0;0;0;0;0;5;0
COOPERATIVA DE CREDITO VALE DO ITAJAI - VIACREDI;82639451;b3S;I;2;S5;9;BLUMENAU;SC;01/09/2019;3071336;2615020;192664;1476;0;0;0;261760;0;0;0;0;0;0;0;416;0
PERNAMBUCANAS FINANCIADORA S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO;43180355;n1;I;2;S4;14;SAO PAULO;SP;01/09/2019;2952683;2886229;0;0;0;0;0;0;0;0;0;0;0;0;0;66454;0
OMNI;50940;b1;C;2;S4;199;SAO PAULO;SP;01/09/2019;2947586;2943104;0;0;0;0;0;0;0;0;0;0;0;0;0;4481;0
REALIZE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.;27351731;n1;I;3;S4;14;PORTO ALEGRE;RS;01/09/2019;2729800;2703233;0;0;0;0;0;0;0;0;0;0;0;0;0;26567;0
SICOOB COCRED COOPERATIVA DE CRÉDITO;71328769;b3S;I;2;S4;9;SERTAOZINHO;SP;01/09/2019;2670037;1339549;2281;0;0;0;2700;1294609;102;0;0;0;0;0;30793;3;0
BANCO DO ESTADO DE SERGIPE S.A.;13009717;b1;I;1;S4;8;ARACAJU;SE;01/09/2019;2506985;2007489;372040;352;0;0;0;85158;0;0;1536;0;0;0;40149;261;0
INDUSTRIAL DO BRASIL;50988;b1;C;2;S4;199;SAO PAULO;SP;01/09/2019;2399342;1476007;0;946;0;0;37046;16114;563638;0;4595;30;0;0;146132;94;154739
CREFISA;52010;b1;C;2;S4;199;SAO PAULO;SP;01/09/2019;2389136;2369210;0;0;0;0;0;19085;0;0;0;0;0;0;0;841;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO PARANÁ/SÃO PAULO - SICREDI UNIÃO PR/SP;79342069;b3S;I;2;S4;9;MARINGA;PR;01/09/2019;2250134;1734409;253273;0;0;0;0;261595;0;0;0;0;0;807;0;49;0
JP MORGAN CHASE;20107;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;2209878;1210183;0;0;0;0;0;999695;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO OURO VERDE DO MATO GROSSO - SICREDI OURO VERDE MT;26529420;b3S;I;2;S4;9;LUCAS DO RIO VERDE;MT;01/09/2019;2201020;1611591;39639;185;0;0;205197;344398;0;0;0;0;0;0;0;11;0
ASSOCIACAO DE POUPANCA E EMPRESTIMO - POUPEX;655522;n1;I;2;S3;25;BRASILIA;DF;01/09/2019;2192245;321072;1871168;0;0;0;0;0;0;0;0;0;0;0;0;5;0
BADESUL DESENVOLVIMENTO S.A - AGÊNCIA DE FOMENTO/RS;2885855;n1;I;1;S4;30;PORTO ALEGRE;RS;01/09/2019;2059054;1233006;49813;314718;53889;0;0;0;348867;0;18568;946;0;24290;14957;0;0
CREDIT AGRICOLE;51066;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;2036044;0;0;0;0;0;0;201689;0;0;0;0;0;0;1834355;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VANGUARDA DA REGIÃO DAS CATARATAS DO IGUAÇU E VALE DO PARAÍBA - SICREDI VANGUARDA PR/SP/RJ;78414067;b3S;I;2;S4;9;MEDIANEIRA;PR;01/09/2019;2023610;1377443;137982;0;0;0;0;508166;0;0;0;0;0;0;0;19;0
SCOTIABANK BRASIL S.A. BANCO MÚLTIPLO;29030467;b1;I;3;S4;8;SAO PAULO;SP;01/09/2019;1993071;450328;0;0;0;0;1466044;76699;0;0;0;0;0;0;0;0;0
BANCO IBM S.A.;34270520;b2;I;3;S4;8;RIO DE JANEIRO;RJ;01/09/2019;1968803;447537;0;0;0;0;0;1521154;0;0;0;0;0;0;111;0;0
BANCO TRIANGULO S.A.;17351180;b1;I;2;S4;8;UBERLANDIA;MG;01/09/2019;1884543;1490270;0;41938;8819;0;0;331906;6385;0;0;0;0;0;0;5226;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO PIQUIRI ABCD - SICREDI VALE DO PIQUIRI ABCD PR/SP;81099491;b3S;I;2;S4;9;PALOTINA;PR;01/09/2019;1760397;1476757;55701;0;0;0;0;227919;0;0;0;0;0;0;0;20;0
COOPERFORTE - COOPERATIVA DE ECONOMIA E CRÉDITO MÚTUO DOS FUNCIONÁRIOS DE INSTITUIÇÕES FINANCEIRAS PÚBLICAS FEDERAIS LTDA.;1658426;b3S;I;2;S5;9;BRASILIA;DF;01/09/2019;1734094;89657;1644432;0;0;0;0;0;0;0;0;0;0;0;0;5;0
BMW;51420;n1;C;3;S4;197;SAO PAULO;SP;01/09/2019;1724008;1724007;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
AGIBANK;51956;b1;C;2;S4;199;PORTO ALEGRE;RS;01/09/2019;1721874;1720061;0;0;0;0;0;0;0;0;0;0;0;0;0;1812;0
BANCO CARGILL S.A.;3609817;b1;I;3;S4;8;SAO PAULO;SP;01/09/2019;1720781;708849;0;0;0;0;0;0;0;0;0;0;0;0;1011932;0;0
BANCO CATERPILLAR S.A.;2658435;b2;I;3;S4;8;SAO PAULO;SP;01/09/2019;1659830;1343826;0;140106;0;0;5315;141353;0;0;0;0;0;0;29229;0;0
DEUTSCHE BANK S.A. - BANCO ALEMAO;62331228;b1;I;3;S3;8;SAO PAULO;SP;01/09/2019;1618749;859912;0;0;0;0;0;323488;0;435349;0;0;0;0;0;0;0
MIZUHO;51554;b1;I;3;S4;199;SAO PAULO;SP;01/09/2019;1615635;667805;0;0;0;0;0;229577;0;0;0;0;0;0;0;0;718252
BANCO MUFG BRASIL S.A.;60498557;b1;I;3;S3;8;SAO PAULO;SP;01/09/2019;1568482;425555;0;9181;21651;0;662;512586;0;0;0;0;0;0;598848;0;0
COOPERATIVA DE CRÉDITO MAXI ALFA DE LIVRE ADMISSÃO DE ASSOCIADOS - SICOOB MAXICRÉDITO;78825270;b3S;I;2;S5;9;CHAPECO;SC;01/09/2019;1549609;1143893;4774;271;0;0;0;400429;222;0;0;0;0;0;0;20;0
BANCO DIGIO S.A.;27098060;b2;I;3;S4;8;BARUERI;SP;01/09/2019;1514023;1509473;0;0;0;0;0;0;0;0;0;0;0;0;0;4550;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO CENTRO BRASILEIRA LTDA.;37395399;b3S;I;2;S5;9;GOIANIA;GO;01/09/2019;1511969;698075;0;0;0;0;0;782433;0;0;31455;0;0;0;0;7;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SERRO AZUL – SICREDI UNIÃO RS;88894548;b3S;I;2;S4;9;CERRO LARGO;RS;01/09/2019;1509945;1010040;57065;208;0;0;0;442618;0;0;0;0;0;0;0;14;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO CENTRO SUL DO MATO GROSSO DO SUL – SICREDI CENTRO-SUL MS;26408161;b3S;I;2;S4;9;DOURADOS;MS;01/09/2019;1408222;1139047;0;0;0;0;0;269154;0;0;0;0;0;0;0;22;0
CREDICOAMO CREDITO RURAL COOPERATIVA;81723108;b3S;I;2;S4;9;CAMPO MOURAO;PR;01/09/2019;1375511;1374029;0;0;0;0;0;0;0;0;0;0;0;1482;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CAMPOS GERAIS - SICREDI CAMPOS GERAIS PR/SP;81466286;b3S;I;2;S4;9;PONTA GROSSA;PR;01/09/2019;1349006;1000004;22592;0;0;0;0;326396;0;0;0;0;0;0;0;14;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DE ESTADOS RIO GRANDE DO SUL, SANTA CATARINA E MINAS GERAIS - SICREDI UNIESTADOS;87780268;b3S;I;2;S4;9;ERECHIM;RS;01/09/2019;1343168;804494;80273;0;0;0;0;458392;0;0;0;0;0;0;0;9;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DE CARLOS BARBOSA - SICREDI SERRANA RS;90608712;b3S;I;2;S4;9;CARLOS BARBOSA;RS;01/09/2019;1321877;406732;119285;0;0;0;0;795848;0;0;0;0;0;0;0;13;0
BANCO A.J. RENNER S.A.;92874270;b1;I;2;S4;8;PORTO ALEGRE;RS;01/09/2019;1313546;1279715;0;0;0;0;0;33810;0;0;0;0;0;0;0;20;0
SOCIETE GENERALE;31859;b1;C;3;S3;199;SAO PAULO;SP;01/09/2019;1304552;961015;0;0;0;0;41465;302072;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI PIONEIRA RS - SICREDI PIONEIRA RS;91586982;b3S;I;2;S4;9;NOVA PETROPOLIS;RS;01/09/2019;1287681;531087;66825;0;0;0;0;689243;0;0;0;0;0;511;0;15;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PLANALTO – SICREDI PLANALTO RS/MG;88038260;b3S;I;2;S4;9;CRUZ ALTA;RS;01/09/2019;1275362;754332;13293;0;0;0;0;501475;0;0;0;0;0;6255;3;5;0
BANCO RODOBENS S.A.;33603457;b1;I;2;S4;8;SAO PAULO;SP;01/09/2019;1253668;917103;78309;53843;0;0;4124;97052;9231;896;37309;41410;0;14361;29;1;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE DA AMAZÔNIA LTDA. - SICOOB CREDISUL.;3632872;b3S;I;2;S5;9;VILHENA;RO;01/09/2019;1242295;1168300;30427;0;0;0;0;43564;0;0;0;0;0;0;0;3;0
HP FINANCIAL SERVICES ARRENDAMENTO MERCANTIL S.A.;97406706;n1;I;3;S4;19;BARUERI;SP;01/09/2019;1224807;876396;0;0;0;0;0;330295;0;0;0;0;0;0;18117;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO SUDOESTE MT/PA - SICREDI SUDOESTE MT/PA;32995755;b3S;I;2;S4;9;TANGARA DA SERRA;MT;01/09/2019;1223418;959155;26154;0;0;0;14311;223782;0;0;0;0;0;0;0;16;0
DESENVOLVE SP - AGÊNCIA DE FOMENTO DO ESTADO DE SÃO PAULO S.A.;10663610;n1;I;1;S4;30;SAO PAULO;SP;01/09/2019;1197826;72100;0;341994;150407;0;0;0;147593;0;0;248322;0;237410;0;0;0
COOPERATIVA DE CRÉDITO LESTE CAPIXABA - SICOOB LESTE CAPIXABA;32430233;b3S;I;2;S5;9;LINHARES;ES;01/09/2019;1183675;696431;432;0;0;0;0;486797;0;0;0;0;0;0;0;15;0
BANCO SUMITOMO MITSUI BRASILEIRO S.A.;60518222;b1;I;3;S3;8;SAO PAULO;SP;01/09/2019;1167618;300446;0;0;0;125756;0;693106;0;0;0;0;0;0;0;0;48310
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DO ARAGUAIA E XINGU - SICREDI ARAXINGU;33021064;b3S;I;2;S4;9;CANARANA;MT;01/09/2019;1167450;581222;116564;0;0;0;15408;454252;0;0;0;0;0;0;0;4;0
SICOOB CREDICOM - COOPERATIVA DE ECONOMIA E CREDITO MUTUO DOS MEDICOS E PROFISSIONAIS DA AREA DE SAUDE DO BRASIL LTDA.;42898825;b3S;I;2;S5;9;BELO HORIZONTE;MG;01/09/2019;1156741;425537;0;0;0;0;0;731201;0;0;0;0;0;0;0;3;0
BANCO YAMAHA MOTOR DO BRASIL S.A.;10371492;b2;I;3;S4;8;GUARULHOS;SP;01/09/2019;1155695;1155692;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0
AGÊNCIA DE FOMENTO DO PARANÁ S.A.;3584906;n1;I;1;S4;30;CURITIBA;PR;01/09/2019;1149986;122303;0;626871;46330;0;8418;0;32563;0;0;313499;0;0;0;2;0
BANCO FORD S.A.;90731688;b2;I;3;S4;8;SAO PAULO;SP;01/09/2019;1148367;4222;0;0;0;0;0;1144144;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO VALE DO CERRADO - SICREDI VALE DO CERRADO;32983165;b3S;I;2;S4;9;CAMPO VERDE;MT;01/09/2019;1078776;740709;0;0;0;0;118316;219745;0;0;0;0;0;0;0;6;0
BANCO LUSO BRASILEIRO S.A.;59118133;b1;I;2;S4;8;SAO PAULO;SP;01/09/2019;1039671;333239;890;0;0;0;0;586773;0;0;16108;0;0;184;102477;0;0
UNIPRIME NORTE DO PARANÁ - COOPERATIVA DE CRÉDITO LTDA;2398976;b3S;I;2;S4;9;LONDRINA;PR;01/09/2019;1037513;545113;0;68;0;0;0;492289;0;0;0;0;0;38;0;6;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SORRISO - SICREDI CELEIRO DO MT;26555235;b3S;I;2;S4;9;SORRISO;MT;01/09/2019;968703;816149;0;0;0;0;3506;149043;0;0;0;0;0;0;0;6;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO SUDOESTE GOIANO;24795049;b3S;I;2;S5;9;RIO VERDE;GO;01/09/2019;961182;730272;9999;42293;0;0;0;178617;0;0;0;0;0;0;0;1;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO UNIÃO DOS ESTADOS DE MATO GROSSO DO SUL, TOCANTINS E OESTE DA BAHIA - SICREDI UNIÃO MS/TO;24654881;b3S;I;2;S4;9;CAMPO GRANDE;MS;01/09/2019;954265;827999;11526;0;0;0;77290;37436;0;0;0;0;0;0;0;13;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO NORTE MATO-GROSSENSE E OESTE PARAENSE – SICREDI GRANDES RIOS MT/PA;37442605;b3S;I;2;S4;9;COLIDER;MT;01/09/2019;937900;772180;7218;0;0;0;467;158025;0;0;0;0;0;0;0;10;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO PAMPA GAÚCHO - SICREDI PAMPA GAÚCHO;87733077;b3S;I;2;S4;9;ITAQUI;RS;01/09/2019;937511;489736;31298;0;0;0;0;416030;0;0;0;0;0;437;0;11;0
COOPERATIVA DE CRÉDITO DE LIVRE ADMISSÃO DO CENTRO SUL RONDONIENSE - SICOOB CREDIP.;2015588;b3S;I;2;S5;9;PIMENTA BUENO;RO;01/09/2019;927563;867211;11471;0;0;0;0;48859;0;0;0;0;0;0;0;22;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO ALTO URUGUAI - SICREDI ALTO URUGUAI RS/SC/MG;87733770;b3S;I;2;S4;9;RODEIO BONITO;RS;01/09/2019;923384;500210;43868;0;0;0;0;379297;0;0;0;0;0;0;0;10;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO CELEIRO CENTRO OESTE – SICREDI CELEIRO CENTRO OESTE;3566655;b3S;I;2;S4;9;SAO GABRIEL DO OESTE;MS;01/09/2019;909829;625218;3573;0;0;0;136208;144814;0;0;0;0;0;0;0;15;0
BANCO DE DESENVOLVIMENTO DO ESPIRITO SANTO S.A.;28145829;b4;I;1;S4;5;VITORIA;ES;01/09/2019;901897;785898;23529;19585;0;0;71012;0;0;0;0;1873;0;0;0;0;0
COOPERATIVA DE CRÉDITO DO TRIÂNGULO MINEIRO E SÃO FRANCISCO LTDA. - SICOOB ARACOOP;3320525;b3S;I;2;S5;9;ARAGUARI;MG;01/09/2019;901226;715973;0;0;0;0;0;185247;0;0;0;0;0;0;0;6;0
RENDIMENTO;51468;b1;C;2;S4;199;SAO PAULO;SP;01/09/2019;895684;240931;0;39397;0;0;0;539822;3655;0;0;0;0;0;71877;2;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO DAS REGIÕES CENTRO DO RS E MG – SICREDI REGIÃO CENTRO RS/MG;95594941;b3S;I;2;S4;9;SANTA MARIA;RS;01/09/2019;892462;533889;11152;0;0;0;0;346850;0;0;0;0;0;563;0;8;0
MÁXIMA;50201;b1;C;2;S4;199;RIO DE JANEIRO;RJ;01/09/2019;889888;376190;138;0;0;0;65953;319632;0;0;127768;0;0;0;0;206;0
COOPERATIVA DE CRÉDITO SUL-SERRANA DO ESPÍRITO SANTO;815319;b3S;I;2;S5;9;VENDA NOVA DO IMIGRANTE;ES;01/09/2019;868233;513427;3341;0;0;0;0;351444;0;0;0;0;0;0;0;21;0
DACASA FINANCEIRA;51891;n1;C;2;S4;197;VITORIA;ES;01/09/2019;842350;838943;0;0;0;0;0;0;0;0;0;0;0;0;0;3407;0
BANCO ABN AMRO S.A.;3532415;b1;I;3;S4;8;SAO PAULO;SP;01/09/2019;821713;386925;0;0;0;0;0;75808;0;0;0;0;0;0;358980;0;0
BANCO TOPÁZIO S.A.;7679404;b1;I;2;S4;8;PORTO ALEGRE;RS;01/09/2019;801407;734020;0;0;0;0;0;66469;0;0;0;0;0;0;0;917;0
INTESA SANPAOLO BRASIL S.A. - BANCO MÚLTIPLO;55230916;b1;I;3;S4;8;SAO PAULO;SP;01/09/2019;785876;598426;0;0;0;0;75478;111972;0;0;0;0;0;0;0;0;0
COOPERATIVA DE CRÉDITO, POUPANÇA E INVESTIMENTO SICREDI EVOLUÇÃO - SICREDI EVOLUÇÃO;35571249;b3S;I;2;S5;9;JOAO PESSOA;PB;01/09/2019;757508;647144;0;0;0;0;0;110361;0;0;0;0;0;0;0;3;0
